Produto;Descricao;Categoria;EstoqueAtual;CustoUnitario
PC000143;LANTERNA TRASEIRA REFORCADO PARALELA A;ELETRICA;6,0;1101,34
PC000144;MOTOR DE PARTIDA STD PARALELA A;ELETRICA;10,0;978,67
PC000145;JUNTA DE CABECOTE STD PARALELA A;MOTOR;16,0;1804,66
PC000146;SENSOR ABS  REMANUFATURADO;ELETRICA;52,0;845,29
PC000147;RESERVATORIO EXPANSAO STD PARALELA A;ARREFECIMENTO;2,0;91,29
PC000148;TURBO COMPRESSOR PESADO PARALELA A;MOTOR;20,0;3375,83
PC000149;MANGUEIRA RADIADOR PESADO PARALELA B;ARREFECIMENTO;7,0;361,75
PC000150;PINO MESTRE STD PARALELA B;SUSPENSAO;3,0;305,72
PC000151;QUINTA RODA COMPLETA REFORCADO REMANUFATURADO;ARTICULACAO_5RODA;35,0;1158,78
PC000152;EIXO CARDAN PESADO REMANUFATURADO;TRANSMISSAO;10,0;3263,81
PC000153;PLATO DE EMBREAGEM STD REMANUFATURADO;TRANSMISSAO;7,0;4978,03
PC000154;FILTRO DE OLEO MOTOR  PARALELA B;MOTOR;80,0;1110,71
PC000155;BATERIA 150AH PESADO PARALELA B;ELETRICA;831,0;686,11
PC000156;DISCO DE FREIO REFORCADO PARALELA A;FREIOS;34,0;223,83
PC000157;CILINDRO MESTRE REFORCADO ORIGINAL;FREIOS;8,0;171,25
PC000158;CHICOTE ELETRICO  ORIGINAL;ELETRICA;38,0;764,56
PC000159;PARAFUSO DE RODA  PARALELA A;RODAS_PNEUS;30,0;156,47
PC000160;RADIADOR COMPLETO PESADO REMANUFATURADO;ARREFECIMENTO;5,0;111,4
PC000161;FILTRO DE OLEO CAMBIO  PARALELA A;FILTROS;65,0;41,17
PC000162;ESPELHO RETROVISOR STD PARALELA A;CARROCERIA;11,0;929,8
PC000163;RODA DE ACO ARO 22 PESADO REMANUFATURADO;RODAS_PNEUS;1,0;875,52
PC000164;VIDRO LATERAL REFORCADO REMANUFATURADO;CARROCERIA;42,0;836,53
PC000165;MANGOTE PNEUMATICO LEVE REMANUFATURADO;ARTICULACAO_5RODA;3,0;421,75
PC000166;PARA-BRISA PESADO ORIGINAL;CARROCERIA;62,0;567,23
PC000167;AMORTECEDOR DIANTEIRO LEVE PARALELA A;SUSPENSAO;5,0;200,88
PC000168;FILTRO DE COMBUSTIVEL  REMANUFATURADO;FILTROS;12,0;93,19
PC000169;FILTRO DE AR MOTOR REFORCADO PARALELA B;FILTROS;5,0;108,42
PC000170;VALVULA TERMOSTATICA LEVE REMANUFATURADO;ARREFECIMENTO;9,0;171,66
PC000171;CAMARA DE AR LEVE REMANUFATURADO;RODAS_PNEUS;4,0;1022,83
PC000172;FEIXE DE MOLA  REMANUFATURADO;SUSPENSAO;20,0;1228,25
PC000173;CORREIA DENTADA REFORCADO PARALELA B;MOTOR;2,0;2461,92
PC000174;ROLAMENTO DE RODA REFORCADO ORIGINAL;RODAS_PNEUS;6,0;508,72
PC000175;SINCRONIZADOR PESADO ORIGINAL;TRANSMISSAO;31,0;7760,56
PC000176;BOLSA DE AR SUSPENSAO LEVE ORIGINAL;SUSPENSAO;2,0;626,95
PC000177;MANGUEIRA DE FREIO AR PESADO ORIGINAL;FREIOS;11,0;123,84
PC000178;FILTRO SEPARADOR AGUA LEVE REMANUFATURADO;FILTROS;35,0;55,43
PC000179;LONA DE FREIO REFORCADO ORIGINAL;FREIOS;6,0;282,44
PC000180;CRUZETA CARDAN REFORCADO ORIGINAL;TRANSMISSAO;38,0;3458,15
PC000181;PARA-CHOQUE DIANTEIRO REFORCADO PARALELA A;CARROCERIA;30,0;930,7
PC000182;VALVULA DE FREIO STD PARALELA B;FREIOS;16,0;185,4
PC000183;FAROL DIANTEIRO LED  PARALELA A;ELETRICA;6,0;1085,18
PC000184;BARRA ESTABILIZADORA  PARALELA A;SUSPENSAO;12,0;884,32
PC000185;AMORTECEDOR TRASEIRO LEVE PARALELA B;SUSPENSAO;11,0;139,93
PC000186;FILTRO DE CABINE  ORIGINAL;FILTROS;16,0;49,89
PC000187;ENGATE DE REBOQUE STD ORIGINAL;ARTICULACAO_5RODA;153,0;335,54
PC000188;DISCO DE EMBREAGEM REFORCADO REMANUFATURADO;TRANSMISSAO;15,0;2781,08
PC000189;SAPATA DE FREIO STD PARALELA A;FREIOS;4,0;376,14
PC000190;BICO INJETOR PESADO PARALELA A;MOTOR;1,0;4172,19
PC000191;BUCHA DE MOLA  ORIGINAL;SUSPENSAO;14,0;756,46
PC000192;VENTOINHA LEVE PARALELA B;ARREFECIMENTO;9,0;615,51
PC000193;CAMISA DE CILINDRO REFORCADO PARALELA A;MOTOR;54,0;1952,45
PC000194;BOMBA INJETORA LEVE PARALELA B;MOTOR;48,0;2429,8
PC000195;TAMBOR DE FREIO LEVE PARALELA A;FREIOS;2,0;128,98
PC000196;ROLAMENTO DE EMBREAGEM REFORCADO PARALELA A;TRANSMISSAO;15,0;522,92
PC000197;PINO REI PESADO ORIGINAL;ARTICULACAO_5RODA;15,0;1320,32
PC000198;PARA-LAMA REFORCADO ORIGINAL;CARROCERIA;2,0;637,48
PC000199;VALVULA DE ADMISSAO PESADO ORIGINAL;MOTOR;26,0;2980,92
PC000200;PNEU RADIAL 295/80  REMANUFATURADO;RODAS_PNEUS;1,0;1239,16
PC000201;MACANETA DE PORTA STD ORIGINAL;CARROCERIA;153,0;390,11
PC000202;CUBO DE RODA  PARALELA A;RODAS_PNEUS;9,0;1100,64
PC000203;BOMBA D AGUA REFORCADO PARALELA B;ARREFECIMENTO;9,0;766,61
PC000204;PASTILHA DE FREIO  ORIGINAL;FREIOS;68,0;308,33
PC000205;CAIXA DE CAMBIO COMPLETA REFORCADO PARALELA A;TRANSMISSAO;45,0;5748,74
PC000206;ALTERNADOR REFORCADO PARALELA B;ELETRICA;2,0;370,89
PC000207;LANTERNA TRASEIRA REFORCADO ORIGINAL;ELETRICA;2,0;145,75
PC000208;MOTOR DE PARTIDA  PARALELA A;ELETRICA;54,0;243,59
PC000209;JUNTA DE CABECOTE REFORCADO PARALELA B;MOTOR;1,0;3699,57
PC000210;SENSOR ABS LEVE PARALELA A;ELETRICA;9,0;699,01
PC000211;RESERVATORIO EXPANSAO REFORCADO PARALELA A;ARREFECIMENTO;3,0;665,44
PC000212;TURBO COMPRESSOR LEVE PARALELA B;MOTOR;5,0;5345,01
PC000213;MANGUEIRA RADIADOR STD ORIGINAL;ARREFECIMENTO;30,0;471,31
PC000214;PINO MESTRE LEVE PARALELA B;SUSPENSAO;8,0;415,91
PC000215;QUINTA RODA COMPLETA REFORCADO ORIGINAL;ARTICULACAO_5RODA;16,0;795,54
PC000216;EIXO CARDAN PESADO REMANUFATURADO;TRANSMISSAO;144,0;4260,91
PC000217;PLATO DE EMBREAGEM REFORCADO ORIGINAL;TRANSMISSAO;6,0;6529,99
PC000218;FILTRO DE OLEO MOTOR STD ORIGINAL;MOTOR;6,0;2801,68
PC000219;BATERIA 150AH REFORCADO REMANUFATURADO;ELETRICA;8,0;101,12
PC000220;DISCO DE FREIO STD PARALELA A;FREIOS;31,0;423,54
PC000221;CILINDRO MESTRE LEVE ORIGINAL;FREIOS;1,0;100,76
PC000222;CHICOTE ELETRICO STD PARALELA B;ELETRICA;142,0;1061,51
PC000223;PARAFUSO DE RODA LEVE PARALELA B;RODAS_PNEUS;11,0;462,63
PC000224;RADIADOR COMPLETO REFORCADO PARALELA B;ARREFECIMENTO;6,0;417,21
PC000225;FILTRO DE OLEO CAMBIO LEVE PARALELA A;FILTROS;46,0;80,61
PC000226;ESPELHO RETROVISOR REFORCADO ORIGINAL;CARROCERIA;97,0;639,67
PC000227;RODA DE ACO ARO 22 STD ORIGINAL;RODAS_PNEUS;8,0;859,79
PC000228;VIDRO LATERAL REFORCADO PARALELA A;CARROCERIA;18,0;754,57
PC000229;MANGOTE PNEUMATICO PESADO PARALELA B;ARTICULACAO_5RODA;15,0;800,75
PC000230;PARA-BRISA LEVE ORIGINAL;CARROCERIA;2,0;308,79
PC000231;AMORTECEDOR DIANTEIRO  REMANUFATURADO;SUSPENSAO;49,0;543,13
PC000232;FILTRO DE COMBUSTIVEL REFORCADO PARALELA A;FILTROS;27,0;49,13
PC000233;FILTRO DE AR MOTOR STD REMANUFATURADO;FILTROS;8,0;20,77
PC000234;VALVULA TERMOSTATICA STD PARALELA A;ARREFECIMENTO;46,0;730,12
PC000235;CAMARA DE AR STD PARALELA A;RODAS_PNEUS;39,0;413,78
PC000236;FEIXE DE MOLA LEVE REMANUFATURADO;SUSPENSAO;12,0;206,23
PC000237;CORREIA DENTADA  PARALELA A;MOTOR;89,0;1856,72
PC000238;ROLAMENTO DE RODA PESADO PARALELA A;RODAS_PNEUS;2,0;231,99
PC000239;SINCRONIZADOR LEVE REMANUFATURADO;TRANSMISSAO;28,0;1961,25
PC000240;BOLSA DE AR SUSPENSAO LEVE ORIGINAL;SUSPENSAO;6,0;817,9
PC000241;MANGUEIRA DE FREIO AR PESADO ORIGINAL;FREIOS;47,0;73,14
PC000242;FILTRO SEPARADOR AGUA LEVE PARALELA B;FILTROS;8,0;36,39
PC000243;LONA DE FREIO  ORIGINAL;FREIOS;64,0;140,31
PC000244;CRUZETA CARDAN PESADO REMANUFATURADO;TRANSMISSAO;3,0;1084,57
PC000245;PARA-CHOQUE DIANTEIRO LEVE PARALELA B;CARROCERIA;26,0;172,84
PC000246;VALVULA DE FREIO STD PARALELA B;FREIOS;27,0;204,1
PC000247;FAROL DIANTEIRO LED PESADO ORIGINAL;ELETRICA;12,0;515,1
PC000248;BARRA ESTABILIZADORA PESADO ORIGINAL;SUSPENSAO;33,0;576,76
PC000249;AMORTECEDOR TRASEIRO  PARALELA A;SUSPENSAO;5,0;969,32
PC000250;FILTRO DE CABINE PESADO ORIGINAL;FILTROS;4,0;65,13
PC000251;ENGATE DE REBOQUE PESADO PARALELA B;ARTICULACAO_5RODA;53,0;1872,21
PC000252;DISCO DE EMBREAGEM REFORCADO PARALELA A;TRANSMISSAO;5,0;4265,71
PC000253;SAPATA DE FREIO LEVE PARALELA A;FREIOS;27,0;169,32
PC000254;BICO INJETOR STD ORIGINAL;MOTOR;157,0;2349,64
PC000255;BUCHA DE MOLA REFORCADO REMANUFATURADO;SUSPENSAO;185,0;218,12
PC000256;VENTOINHA  PARALELA B;ARREFECIMENTO;16,0;240,25
PC000257;CAMISA DE CILINDRO  ORIGINAL;MOTOR;112,0;905,5
PC000258;BOMBA INJETORA REFORCADO ORIGINAL;MOTOR;91,0;4795,92
PC000259;TAMBOR DE FREIO STD PARALELA A;FREIOS;12,0;227,73
PC000260;ROLAMENTO DE EMBREAGEM  ORIGINAL;TRANSMISSAO;105,0;5154,15
PC000261;PINO REI LEVE PARALELA B;ARTICULACAO_5RODA;9,0;2059,08
PC000262;PARA-LAMA PESADO ORIGINAL;CARROCERIA;61,0;268,59
PC000263;VALVULA DE ADMISSAO PESADO PARALELA A;MOTOR;17,0;2467,95
PC000264;PNEU RADIAL 295/80 STD PARALELA A;RODAS_PNEUS;13,0;675,51
PC000265;MACANETA DE PORTA REFORCADO ORIGINAL;CARROCERIA;48,0;700,9
PC000266;CUBO DE RODA  PARALELA A;RODAS_PNEUS;26,0;214,57
PC000267;BOMBA D AGUA  PARALELA B;ARREFECIMENTO;4,0;996,54
PC000268;PASTILHA DE FREIO REFORCADO ORIGINAL;FREIOS;2,0;76,52
PC000269;CAIXA DE CAMBIO COMPLETA  ORIGINAL;TRANSMISSAO;37,0;6228,91
PC000270;ALTERNADOR LEVE ORIGINAL;ELETRICA;76,0;861,85
PC000271;LANTERNA TRASEIRA LEVE ORIGINAL;ELETRICA;59,0;1111,15
PC000272;MOTOR DE PARTIDA PESADO ORIGINAL;ELETRICA;16,0;766,93
PC000273;JUNTA DE CABECOTE  PARALELA B;MOTOR;3,0;2527,22
PC000274;SENSOR ABS PESADO ORIGINAL;ELETRICA;25,0;767,61
PC000275;RESERVATORIO EXPANSAO STD ORIGINAL;ARREFECIMENTO;9,0;916,04
PC000276;TURBO COMPRESSOR LEVE PARALELA A;MOTOR;72,0;1241,18
PC000277;MANGUEIRA RADIADOR PESADO PARALELA B;ARREFECIMENTO;28,0;124,83
PC000278;PINO MESTRE  PARALELA B;SUSPENSAO;653,0;320,84
PC000279;QUINTA RODA COMPLETA PESADO PARALELA A;ARTICULACAO_5RODA;15,0;1263,02
PC000280;EIXO CARDAN  ORIGINAL;TRANSMISSAO;75,0;629,85
PC000281;PLATO DE EMBREAGEM PESADO PARALELA A;TRANSMISSAO;56,0;3940,25
PC000282;FILTRO DE OLEO MOTOR STD ORIGINAL;MOTOR;118,0;5104,59
PC000283;BATERIA 150AH STD ORIGINAL;ELETRICA;34,0;1439,19
PC000284;DISCO DE FREIO STD PARALELA B;FREIOS;11,0;265,71
PC000285;CILINDRO MESTRE LEVE ORIGINAL;FREIOS;20,0;218,38
PC000286;CHICOTE ELETRICO LEVE ORIGINAL;ELETRICA;16,0;138,33
PC000287;PARAFUSO DE RODA STD PARALELA B;RODAS_PNEUS;3,0;555,04
PC000288;RADIADOR COMPLETO PESADO PARALELA B;ARREFECIMENTO;0,0;303,07
PC000289;FILTRO DE OLEO CAMBIO  REMANUFATURADO;FILTROS;87,0;92,58
PC000290;ESPELHO RETROVISOR REFORCADO ORIGINAL;CARROCERIA;7,0;44,56
PC000291;RODA DE ACO ARO 22  ORIGINAL;RODAS_PNEUS;7,0;1094,13
PC000292;VIDRO LATERAL  ORIGINAL;CARROCERIA;10,0;386,82
PC000293;MANGOTE PNEUMATICO STD ORIGINAL;ARTICULACAO_5RODA;134,0;1426,39
PC000295;AMORTECEDOR DIANTEIRO LEVE PARALELA B;SUSPENSAO;225,0;168,98
PC000296;FILTRO DE COMBUSTIVEL PESADO REMANUFATURADO;FILTROS;4,0;48,03
PC000297;FILTRO DE AR MOTOR PESADO PARALELA B;FILTROS;9,0;53,27
PC000298;VALVULA TERMOSTATICA  ORIGINAL;ARREFECIMENTO;23,0;593,19
PC000299;CAMARA DE AR LEVE PARALELA A;RODAS_PNEUS;1,0;1336,73
PC000300;FEIXE DE MOLA PESADO PARALELA A;SUSPENSAO;12,0;619,71
PC000301;CORREIA DENTADA LEVE PARALELA A;MOTOR;8,0;2841,62
PC000303;SINCRONIZADOR PESADO PARALELA A;TRANSMISSAO;308,0;1851,29
PC000304;BOLSA DE AR SUSPENSAO REFORCADO PARALELA B;SUSPENSAO;6,0;1044,22
PC000305;MANGUEIRA DE FREIO AR REFORCADO REMANUFATURADO;FREIOS;25,0;187,24
PC000307;LONA DE FREIO  ORIGINAL;FREIOS;8,0;170,98
PC000308;CRUZETA CARDAN REFORCADO ORIGINAL;TRANSMISSAO;1,0;1129,05
PC000309;PARA-CHOQUE DIANTEIRO STD PARALELA A;CARROCERIA;11,0;465,65
PC000310;VALVULA DE FREIO REFORCADO PARALELA A;FREIOS;13,0;134,39
PC000311;FAROL DIANTEIRO LED PESADO ORIGINAL;ELETRICA;35,0;652,13
PC000312;BARRA ESTABILIZADORA REFORCADO ORIGINAL;SUSPENSAO;10,0;756,44
PC000313;AMORTECEDOR TRASEIRO REFORCADO ORIGINAL;SUSPENSAO;9,0;406,3
