Vencimento;Valor;Filial
17/10/2026;19353,05;Loja Norte
16/10/2026;7133,95;Loja Norte
13/10/2026;31076,02;Loja Norte
14/10/2026;1455,05;Loja Norte
14/10/2026;8506,21;Loja Norte
17/10/2026;13014,03;Loja Norte
18/10/2026;64863,53;Loja Norte
20/10/2026;45552,72;Loja Norte
19/10/2026;29530,46;Loja Norte
19/10/2026;52538,35;Loja Norte
25/10/2026;38088,86;Loja Norte
27/10/2026;11131,19;Loja Norte
28/10/2026;7303,11;Loja Norte
31/10/2026;23193,58;Loja Norte
29/10/2026;113613,54;Loja Norte
01/11/2026;10594,11;Loja Norte
04/11/2026;2388,2;Loja Norte
02/11/2026;84486,93;Loja Norte
07/11/2026;5205,59;Loja Norte
03/11/2026;56627,43;Loja Norte
09/11/2026;4017,08;Loja Norte
13/11/2026;11676,83;Loja Norte
13/11/2026;29388,26;Loja Norte
10/11/2026;59106,45;Loja Norte
11/11/2026;32987,9;Loja Norte
22/11/2026;52859,29;Loja Norte
20/11/2026;6655,97;Loja Norte
22/11/2026;16801,58;Loja Norte
22/11/2026;72801,45;Loja Norte
27/11/2026;359,36;Loja Norte
26/11/2026;22685,25;Loja Norte
28/11/2026;7330,28;Loja Norte
29/11/2026;63609,36;Loja Norte
26/11/2026;12075,55;Loja Norte
26/11/2026;12976,08;Loja Norte
04/12/2026;10002,66;Loja Norte
03/12/2026;27591,33;Loja Norte
01/12/2026;35826,39;Loja Norte
30/11/2026;969,76;Loja Norte
30/11/2026;3101,82;Loja Norte
02/12/2026;46979,53;Loja Norte
09/12/2026;21190,08;Loja Norte
07/12/2026;24167,69;Loja Norte
13/12/2026;40355,01;Loja Norte
09/12/2026;10753,97;Loja Norte
13/12/2026;40638,15;Loja Norte
20/12/2026;24705,87;Loja Norte
16/12/2026;3919,78;Loja Norte
19/12/2026;2279,91;Loja Norte
14/12/2026;4848,11;Loja Norte
17/12/2026;43314,83;Loja Norte
14/12/2026;1907,74;Loja Norte
19/12/2026;19639,45;Loja Norte
25/12/2026;75234,2;Loja Norte
24/12/2026;2962,17;Loja Norte
23/12/2026;50390,74;Loja Norte
26/12/2026;1090,51;Loja Norte
31/12/2026;10971,75;Loja Norte
30/12/2026;48902,86;Loja Norte
31/12/2026;23663,11;Loja Norte
01/01/2027;23949,15;Loja Norte
07/01/2027;6965,79;Loja Norte
06/01/2027;74757,98;Loja Norte
06/01/2027;44970,33;Loja Norte
10/01/2027;16341,01;Loja Norte
04/01/2027;108,01;Loja Norte
14/01/2027;21836,07;Loja Norte
14/01/2027;44748,66;Loja Norte
12/01/2027;11118,09;Loja Norte
14/01/2027;23183,63;Loja Norte
12/01/2027;25933,77;Loja Norte
14/01/2027;1640,52;Loja Norte
12/01/2027;11919,77;Loja Norte
22/01/2027;49062,09;Loja Norte
22/01/2027;20244;Loja Norte
18/01/2027;15859,66;Loja Norte
19/01/2027;18745,82;Loja Norte
21/01/2027;21957,71;Loja Norte
23/01/2027;16611,81;Loja Norte
30/01/2027;30238,87;Loja Norte
26/01/2027;19599,53;Loja Norte
30/01/2027;78723,71;Loja Norte
26/01/2027;3412,02;Loja Norte
27/01/2027;12166,98;Loja Norte
06/08/2026;1633,9;Loja Sul
03/08/2026;14284,08;Loja Sul
09/08/2026;32623,32;Loja Sul
05/08/2026;4383,09;Loja Sul
04/08/2026;12409,37;Loja Sul
08/08/2026;5097,72;Loja Sul
06/08/2026;72124,23;Loja Sul
09/08/2026;48426,54;Loja Sul
10/08/2026;3717,49;Loja Sul
13/08/2026;161,79;Loja Sul
14/08/2026;41040,77;Loja Sul
14/08/2026;5604,01;Loja Sul
11/08/2026;79295,76;Loja Sul
13/08/2026;19481,39;Loja Sul
14/08/2026;19009,88;Loja Sul
21/08/2026;2567,53;Loja Sul
17/08/2026;66238,1;Loja Sul
20/08/2026;2653,94;Loja Sul
20/08/2026;16724,3;Loja Sul
17/08/2026;46576,97;Loja Sul
20/08/2026;8397,01;Loja Sul
21/08/2026;33033,19;Loja Sul
28/08/2026;29347,34;Loja Sul
27/08/2026;2442,88;Loja Sul
28/08/2026;51879,17;Loja Sul
30/08/2026;48609,04;Loja Sul
25/08/2026;6156,12;Loja Sul
29/08/2026;49840,93;Loja Sul
02/09/2026;53665,52;Loja Sul
03/09/2026;68114,6;Loja Sul
03/09/2026;11409,24;Loja Sul
04/09/2026;48130,89;Loja Sul
13/09/2026;50809,57;Loja Sul
13/09/2026;2144,26;Loja Sul
10/09/2026;12624,23;Loja Sul
10/09/2026;50771,4;Loja Sul
07/09/2026;5746,38;Loja Sul
09/09/2026;32626,39;Loja Sul
10/09/2026;45637,59;Loja Sul
13/09/2026;12585,8;Loja Sul
20/09/2026;52850,36;Loja Sul
18/09/2026;36074,89;Loja Sul
15/09/2026;40688,81;Loja Sul
15/09/2026;13657,82;Loja Sul
19/09/2026;25206,31;Loja Sul
21/09/2026;17192,83;Loja Sul
26/09/2026;14769,16;Loja Sul
22/09/2026;21052,75;Loja Sul
25/09/2026;71226,33;Loja Sul
22/09/2026;14639,44;Loja Sul
24/09/2026;15179,23;Loja Sul
21/09/2026;18277,48;Loja Sul
26/09/2026;15220,72;Loja Sul
01/10/2026;63260,46;Loja Sul
01/10/2026;60654,67;Loja Sul
29/09/2026;9421,91;Loja Sul
02/10/2026;1343,67;Loja Sul
01/10/2026;8951,99;Loja Sul
03/10/2026;33179,22;Loja Sul
30/09/2026;5239,56;Loja Sul
07/10/2026;26744,07;Loja Sul
11/10/2026;13795,7;Loja Sul
08/10/2026;3150,7;Loja Sul
06/10/2026;16180,68;Loja Sul
07/10/2026;1601,64;Loja Sul
06/10/2026;29326,58;Loja Sul
07/10/2026;62587,35;Loja Sul
17/10/2026;5012;Loja Sul
15/10/2026;43416,97;Loja Sul
17/10/2026;3511,85;Loja Sul
13/10/2026;128710,41;Loja Sul
12/10/2026;51565,56;Loja Sul
15/10/2026;27043,99;Loja Sul
23/10/2026;3221,81;Loja Sul
23/10/2026;13469,71;Loja Sul
21/10/2026;109102,18;Loja Sul
19/10/2026;5450,15;Loja Sul
22/10/2026;49551,29;Loja Sul
01/11/2026;1251,97;Loja Sul
27/10/2026;32503,85;Loja Sul
27/10/2026;106076,55;Loja Sul
29/10/2026;8752,06;Loja Sul
29/10/2026;9285,26;Loja Sul
26/10/2026;7331,65;Loja Sul
31/10/2026;4513,63;Loja Sul
05/11/2026;89140,62;Loja Sul
04/11/2026;105286,96;Loja Sul
07/11/2026;6245,43;Loja Sul
02/11/2026;26128,36;Loja Sul
11/11/2026;131184,09;Loja Sul
11/11/2026;5531,74;Loja Sul
12/11/2026;29458,73;Loja Sul
09/11/2026;12744,37;Loja Sul
11/11/2026;19444,33;Loja Sul
21/11/2026;1692,5;Loja Sul
22/11/2026;111028,77;Loja Sul
22/11/2026;56592,17;Loja Sul
19/11/2026;39748,34;Loja Sul
25/11/2026;16396,04;Loja Sul
29/11/2026;40724,98;Loja Sul
23/11/2026;22913,12;Loja Sul
25/11/2026;97888,81;Loja Sul
28/11/2026;14989,96;Loja Sul
30/11/2026;26210,83;Loja Sul
06/12/2026;35010,72;Loja Sul
01/12/2026;37584,64;Loja Sul
04/12/2026;2175,48;Loja Sul
03/12/2026;13610,96;Loja Sul
30/11/2026;465,95;Loja Sul
06/12/2026;27297,76;Loja Sul
30/11/2026;49585,52;Loja Sul
11/12/2026;6775,32;Loja Sul
07/12/2026;6981,87;Loja Sul
11/12/2026;17487,48;Loja Sul
11/12/2026;51390,32;Loja Sul
13/12/2026;76372,94;Loja Sul
12/12/2026;17055,24;Loja Sul
15/12/2026;33389,67;Loja Sul
16/12/2026;40062,11;Loja Sul
15/12/2026;1781,28;Loja Sul
18/12/2026;44531,88;Loja Sul
19/12/2026;17131,26;Loja Sul
19/12/2026;35442,31;Loja Sul
19/12/2026;21203,77;Loja Sul
21/12/2026;21735,94;Loja Sul
27/12/2026;156208,01;Loja Sul
24/12/2026;13819,19;Loja Sul
22/12/2026;21319,87;Loja Sul
26/12/2026;7008,5;Loja Sul
29/12/2026;23481,22;Loja Sul
29/12/2026;39708;Loja Sul
28/12/2026;20594,94;Loja Sul
01/01/2027;59549,44;Loja Sul
29/12/2026;30654,22;Loja Sul
02/01/2027;16638,54;Loja Sul
07/01/2027;36374,68;Loja Sul
05/01/2027;80374,04;Loja Sul
08/01/2027;14350,87;Loja Sul
04/01/2027;52226,61;Loja Sul
14/01/2027;6112,02;Loja Sul
16/01/2027;56609,32;Loja Sul
11/01/2027;29343,98;Loja Sul
11/01/2027;21899,77;Loja Sul
17/01/2027;69846,87;Loja Sul
11/01/2027;907,06;Loja Sul
14/01/2027;806,87;Loja Sul
22/01/2027;32089,71;Loja Sul
22/01/2027;3657,64;Loja Sul
19/01/2027;90098,19;Loja Sul
18/01/2027;39127,8;Loja Sul
26/01/2027;138098,59;Loja Sul
31/01/2027;8014,84;Loja Sul
30/01/2027;16545,99;Loja Sul
31/01/2027;10125,67;Loja Sul
29/01/2027;1088,75;Loja Sul
28/01/2027;33597,72;Loja Sul
