Vencimento;Valor;Conta;Filial
18/11/2026;6264,54;Fornecedor Alfa;Loja Centro
16/11/2026;5400,87;Fornecedor Beta;Loja Centro
25/11/2026;1179,79;Fornecedor Beta;Loja Centro
24/11/2026;44899,96;Fornecedor Gamma;Loja Centro
24/11/2026;10572,2;Fornecedor Delta;Loja Centro
27/11/2026;89916,3;Fornecedor Alfa;Loja Centro
26/11/2026;86217,26;Fornecedor Beta;Loja Centro
03/12/2026;17741,51;Fornecedor Alfa;Loja Centro
30/11/2026;9307,49;Fornecedor Beta;Loja Centro
03/12/2026;7696,33;Fornecedor Beta;Loja Centro
03/12/2026;16901;Fornecedor Delta;Loja Centro
09/12/2026;154112,23;Fornecedor Gamma;Loja Centro
10/12/2026;67038,85;Fornecedor Delta;Loja Centro
08/12/2026;121380,27;Fornecedor Gamma;Loja Centro
07/12/2026;70043,22;Fornecedor Alfa;Loja Centro
14/12/2026;174179,63;Fornecedor Gamma;Loja Centro
15/12/2026;10099,13;Fornecedor Delta;Loja Centro
15/12/2026;100298,12;Fornecedor Beta;Loja Centro
23/12/2026;19649,23;Fornecedor Alfa;Loja Centro
23/12/2026;45252,85;Fornecedor Delta;Loja Centro
21/12/2026;71948,32;Fornecedor Gamma;Loja Centro
30/12/2026;5174,53;Fornecedor Gamma;Loja Centro
01/01/2027;14086,27;Fornecedor Delta;Loja Centro
29/12/2026;5720,3;Fornecedor Alfa;Loja Centro
01/01/2027;2578,23;Fornecedor Beta;Loja Centro
07/01/2027;8813,17;Fornecedor Delta;Loja Centro
07/01/2027;1670,33;Fornecedor Beta;Loja Centro
06/01/2027;9261,24;Fornecedor Gamma;Loja Centro
08/01/2027;4351,41;Fornecedor Delta;Loja Centro
13/01/2027;9824,19;Fornecedor Beta;Loja Centro
13/01/2027;8876,67;Fornecedor Alfa;Loja Centro
12/01/2027;103409,29;Fornecedor Delta;Loja Centro
13/01/2027;71026,07;Fornecedor Delta;Loja Centro
18/01/2027;17420,14;Fornecedor Gamma;Loja Centro
18/01/2027;51634,19;Fornecedor Gamma;Loja Centro
18/01/2027;29132,82;Fornecedor Beta;Loja Centro
22/01/2027;3815,85;Fornecedor Alfa;Loja Centro
26/01/2027;165244,92;Fornecedor Delta;Loja Centro
25/01/2027;5335,67;Fornecedor Beta;Loja Centro
07/08/2026;13008,25;Fornecedor Gamma;Loja Norte
06/08/2026;63318,77;Fornecedor Beta;Loja Norte
13/08/2026;13263,84;Fornecedor Delta;Loja Norte
14/08/2026;41564,02;Fornecedor Beta;Loja Norte
21/08/2026;410,04;Fornecedor Beta;Loja Norte
18/08/2026;52326,95;Fornecedor Alfa;Loja Norte
20/08/2026;24904,18;Fornecedor Alfa;Loja Norte
25/08/2026;5507,33;Fornecedor Alfa;Loja Norte
25/08/2026;56586,79;Fornecedor Beta;Loja Norte
27/08/2026;12103,09;Fornecedor Beta;Loja Norte
26/08/2026;8557,29;Fornecedor Delta;Loja Norte
31/08/2026;82470,06;Fornecedor Delta;Loja Norte
04/09/2026;92,23;Fornecedor Beta;Loja Norte
04/09/2026;42158,07;Fornecedor Alfa;Loja Norte
31/08/2026;1302,05;Fornecedor Alfa;Loja Norte
10/09/2026;4594,88;Fornecedor Gamma;Loja Norte
11/09/2026;31098,2;Fornecedor Delta;Loja Norte
07/09/2026;42542,97;Fornecedor Gamma;Loja Norte
09/09/2026;2126,94;Fornecedor Gamma;Loja Norte
08/09/2026;49401,1;Fornecedor Gamma;Loja Norte
15/09/2026;37345,2;Fornecedor Beta;Loja Norte
18/09/2026;1097,6;Fornecedor Beta;Loja Norte
16/09/2026;2388,26;Fornecedor Beta;Loja Norte
15/09/2026;2991,99;Fornecedor Delta;Loja Norte
15/09/2026;10671,97;Fornecedor Gamma;Loja Norte
21/09/2026;77980,96;Fornecedor Delta;Loja Norte
23/09/2026;22799,56;Fornecedor Beta;Loja Norte
02/10/2026;8296,89;Fornecedor Alfa;Loja Norte
28/09/2026;41658,67;Fornecedor Beta;Loja Norte
30/09/2026;30590,42;Fornecedor Delta;Loja Norte
08/10/2026;18548,5;Fornecedor Alfa;Loja Norte
07/10/2026;5664,35;Fornecedor Alfa;Loja Norte
08/10/2026;19142,9;Fornecedor Delta;Loja Norte
12/10/2026;1242,07;Fornecedor Alfa;Loja Norte
14/10/2026;2423,96;Fornecedor Delta;Loja Norte
16/10/2026;1140,28;Fornecedor Gamma;Loja Norte
12/10/2026;676,29;Fornecedor Alfa;Loja Norte
15/10/2026;986,09;Fornecedor Delta;Loja Norte
22/10/2026;14553,87;Fornecedor Alfa;Loja Norte
20/10/2026;92007,19;Fornecedor Beta;Loja Norte
22/10/2026;33342,67;Fornecedor Beta;Loja Norte
19/10/2026;38207,06;Fornecedor Beta;Loja Norte
20/10/2026;2885,62;Fornecedor Gamma;Loja Norte
30/10/2026;10695,17;Fornecedor Beta;Loja Norte
29/10/2026;7731,88;Fornecedor Gamma;Loja Norte
30/10/2026;7999,28;Fornecedor Beta;Loja Norte
29/10/2026;551,57;Fornecedor Alfa;Loja Norte
28/10/2026;1194,78;Fornecedor Beta;Loja Norte
05/11/2026;14414,39;Fornecedor Delta;Loja Norte
02/11/2026;159567,42;Fornecedor Alfa;Loja Norte
05/11/2026;41550,91;Fornecedor Alfa;Loja Norte
12/11/2026;27790,86;Fornecedor Alfa;Loja Norte
11/11/2026;15584,96;Fornecedor Beta;Loja Norte
09/11/2026;36965,78;Fornecedor Beta;Loja Norte
17/11/2026;13623,63;Fornecedor Beta;Loja Norte
18/11/2026;19832,15;Fornecedor Beta;Loja Norte
19/11/2026;8210,43;Fornecedor Gamma;Loja Norte
26/11/2026;1258,2;Fornecedor Gamma;Loja Norte
25/11/2026;159384,53;Fornecedor Gamma;Loja Norte
23/11/2026;10841,54;Fornecedor Beta;Loja Norte
02/12/2026;3638,67;Fornecedor Gamma;Loja Norte
04/12/2026;25789,04;Fornecedor Gamma;Loja Norte
01/12/2026;20520,9;Fornecedor Delta;Loja Norte
03/12/2026;7238,8;Fornecedor Alfa;Loja Norte
08/12/2026;123956,9;Fornecedor Alfa;Loja Norte
10/12/2026;47906,55;Fornecedor Delta;Loja Norte
14/12/2026;6340,23;Fornecedor Gamma;Loja Norte
17/12/2026;4803,19;Fornecedor Alfa;Loja Norte
16/12/2026;5310,36;Fornecedor Delta;Loja Norte
16/12/2026;4772,91;Fornecedor Gamma;Loja Norte
25/12/2026;7028,76;Fornecedor Delta;Loja Norte
22/12/2026;105137,11;Fornecedor Alfa;Loja Norte
30/12/2026;17486,21;Fornecedor Delta;Loja Norte
31/12/2026;107017,03;Fornecedor Delta;Loja Norte
06/01/2027;11472,7;Fornecedor Gamma;Loja Norte
05/01/2027;11356,48;Fornecedor Delta;Loja Norte
04/01/2027;389,61;Fornecedor Alfa;Loja Norte
12/01/2027;25936,94;Fornecedor Gamma;Loja Norte
11/01/2027;127594,5;Fornecedor Delta;Loja Norte
13/01/2027;30261,59;Fornecedor Delta;Loja Norte
18/01/2027;2747,29;Fornecedor Gamma;Loja Norte
22/01/2027;2368,87;Fornecedor Alfa;Loja Norte
19/01/2027;3433,13;Fornecedor Delta;Loja Norte
27/01/2027;44863,51;Fornecedor Delta;Loja Norte
27/01/2027;1451,86;Fornecedor Alfa;Loja Norte
05/08/2026;13123,45;Fornecedor Beta;Loja Sul
03/08/2026;1967,55;Fornecedor Alfa;Loja Sul
03/08/2026;12086,81;Fornecedor Alfa;Loja Sul
03/08/2026;13895,8;Fornecedor Beta;Loja Sul
12/08/2026;3210,51;Fornecedor Alfa;Loja Sul
13/08/2026;2932,17;Fornecedor Alfa;Loja Sul
11/08/2026;132972,79;Fornecedor Beta;Loja Sul
10/08/2026;80957,36;Fornecedor Gamma;Loja Sul
13/08/2026;14433,83;Fornecedor Alfa;Loja Sul
17/08/2026;85160,5;Fornecedor Beta;Loja Sul
19/08/2026;2103,45;Fornecedor Alfa;Loja Sul
21/08/2026;7879,02;Fornecedor Delta;Loja Sul
24/08/2026;3772,66;Fornecedor Delta;Loja Sul
28/08/2026;24584,39;Fornecedor Gamma;Loja Sul
25/08/2026;10790,55;Fornecedor Delta;Loja Sul
24/08/2026;11008,04;Fornecedor Beta;Loja Sul
28/08/2026;2107,39;Fornecedor Gamma;Loja Sul
01/09/2026;111951,32;Fornecedor Beta;Loja Sul
03/09/2026;51410,16;Fornecedor Gamma;Loja Sul
04/09/2026;20723,5;Fornecedor Beta;Loja Sul
09/09/2026;118873,68;Fornecedor Alfa;Loja Sul
11/09/2026;39397,3;Fornecedor Alfa;Loja Sul
15/09/2026;31972,33;Fornecedor Alfa;Loja Sul
15/09/2026;56779,67;Fornecedor Gamma;Loja Sul
17/09/2026;71783,02;Fornecedor Delta;Loja Sul
14/09/2026;27590,48;Fornecedor Delta;Loja Sul
22/09/2026;32344,17;Fornecedor Gamma;Loja Sul
25/09/2026;7236,68;Fornecedor Gamma;Loja Sul
25/09/2026;21928,36;Fornecedor Beta;Loja Sul
02/10/2026;17491,49;Fornecedor Beta;Loja Sul
29/09/2026;15533,03;Fornecedor Delta;Loja Sul
02/10/2026;36702,16;Fornecedor Alfa;Loja Sul
02/10/2026;10716,18;Fornecedor Gamma;Loja Sul
30/09/2026;3359,43;Fornecedor Delta;Loja Sul
05/10/2026;19259,73;Fornecedor Gamma;Loja Sul
05/10/2026;96870,78;Fornecedor Gamma;Loja Sul
16/10/2026;7494,21;Fornecedor Delta;Loja Sul
12/10/2026;36060,36;Fornecedor Gamma;Loja Sul
19/10/2026;34919,2;Fornecedor Gamma;Loja Sul
22/10/2026;25282,36;Fornecedor Delta;Loja Sul
19/10/2026;24134,08;Fornecedor Alfa;Loja Sul
22/10/2026;37833,27;Fornecedor Delta;Loja Sul
26/10/2026;22025,33;Fornecedor Gamma;Loja Sul
30/10/2026;25720,33;Fornecedor Delta;Loja Sul
03/11/2026;159448,62;Fornecedor Beta;Loja Sul
05/11/2026;28985,86;Fornecedor Alfa;Loja Sul
05/11/2026;128974,5;Fornecedor Gamma;Loja Sul
10/11/2026;25654,16;Fornecedor Delta;Loja Sul
11/11/2026;15293,65;Fornecedor Delta;Loja Sul
12/11/2026;6136,5;Fornecedor Delta;Loja Sul
19/11/2026;40165,76;Fornecedor Beta;Loja Sul
19/11/2026;51993,32;Fornecedor Alfa;Loja Sul
17/11/2026;18067,16;Fornecedor Alfa;Loja Sul
20/11/2026;5214;Fornecedor Gamma;Loja Sul
25/11/2026;14043,5;Fornecedor Alfa;Loja Sul
25/11/2026;8743,89;Fornecedor Delta;Loja Sul
24/11/2026;25725,92;Fornecedor Beta;Loja Sul
24/11/2026;17038,75;Fornecedor Delta;Loja Sul
27/11/2026;7908,65;Fornecedor Delta;Loja Sul
04/12/2026;66361,31;Fornecedor Alfa;Loja Sul
30/11/2026;22137,26;Fornecedor Alfa;Loja Sul
01/12/2026;49021,7;Fornecedor Delta;Loja Sul
01/12/2026;36390,47;Fornecedor Alfa;Loja Sul
30/11/2026;4194,7;Fornecedor Gamma;Loja Sul
08/12/2026;23468,24;Fornecedor Alfa;Loja Sul
08/12/2026;65932,87;Fornecedor Alfa;Loja Sul
15/12/2026;235376,89;Fornecedor Alfa;Loja Sul
15/12/2026;103162,33;Fornecedor Beta;Loja Sul
24/12/2026;48822,49;Fornecedor Gamma;Loja Sul
22/12/2026;34551,78;Fornecedor Beta;Loja Sul
29/12/2026;155,21;Fornecedor Alfa;Loja Sul
28/12/2026;62,08;Fornecedor Alfa;Loja Sul
29/12/2026;1513,99;Fornecedor Gamma;Loja Sul
29/12/2026;1163,36;Fornecedor Gamma;Loja Sul
29/12/2026;523,93;Fornecedor Delta;Loja Sul
05/01/2027;19931,35;Fornecedor Beta;Loja Sul
05/01/2027;50619,07;Fornecedor Beta;Loja Sul
06/01/2027;19051,37;Fornecedor Beta;Loja Sul
04/01/2027;50209,31;Fornecedor Alfa;Loja Sul
04/01/2027;27500,72;Fornecedor Alfa;Loja Sul
12/01/2027;36554,35;Fornecedor Delta;Loja Sul
15/01/2027;14338,44;Fornecedor Beta;Loja Sul
15/01/2027;121267,75;Fornecedor Delta;Loja Sul
19/01/2027;30799,97;Fornecedor Gamma;Loja Sul
18/01/2027;48073,51;Fornecedor Beta;Loja Sul
18/01/2027;13947,05;Fornecedor Delta;Loja Sul
28/01/2027;42943,61;Fornecedor Alfa;Loja Sul
29/01/2027;50123,85;Fornecedor Gamma;Loja Sul
