Emissao;Produto;Descricao;Quantidade;Vlr.Unitario;Vlr.Total;Cliente
09/01/2019;PROD1602;PROD1602;4;152,54;610,17;336
09/01/2019;PROD115;PROD115;4;543,65;2174,61;394
09/01/2019;PROD16;PROD16;4;190,68;762,71;482
09/01/2019;PROD885;PROD885;2;199,15;398,31;404
09/01/2019;PROD1684;PROD1684;4;199,15;796,61;227
09/01/2019;PROD767;PROD767;2;518,58;1037,17;424
09/01/2019;PROD387;PROD387;2;367,07;734,14;230
09/01/2019;PROD1824;PROD1824;2;207,63;415,25;80
09/01/2019;PROD976;PROD976;4;245,76;983,05;424
09/01/2019;PROD1514;PROD1514;4;223,73;894,92;220
09/01/2019;PROD1158;PROD1158;2;250,0;500,0;133
09/01/2019;PROD1830;PROD1830;2;228,81;457,63;178
09/01/2019;PROD1602;PROD1602;4;152,54;610,17;404
09/01/2019;PROD975;PROD975;4;240,68;962,71;191
10/01/2019;PROD157;PROD157;4;415,25;1661,02;426
10/01/2019;PROD142;PROD142;2;283,9;567,8;272
10/01/2019;PROD975;PROD975;2;240,68;481,36;191
10/01/2019;PROD1083;PROD1083;4;566,95;2267,8;250
10/01/2019;PROD184;PROD184;4;237,29;949,15;234
10/01/2019;PROD659;PROD659;4;169,49;677,97;134
10/01/2019;PROD66;PROD66;4;283,05;1132,2;140
10/01/2019;PROD1128;PROD1128;8;169,49;1355,93;58
10/01/2019;PROD1158;PROD1158;12;203,39;2440,68;58
10/01/2019;PROD823;PROD823;8;148,31;1186,44;58
10/01/2019;PROD883;PROD883;8;169,49;1355,93;58
10/01/2019;PROD885;PROD885;8;169,49;1355,93;58
10/01/2019;PROD885;PROD885;4;169,49;677,97;58
10/01/2019;PROD902;PROD902;2;170,16;340,32;25
10/01/2019;PROD882;PROD882;8;154,66;1237,29;58
10/01/2019;PROD973;PROD973;4;515,24;2060,95;502
10/01/2019;PROD16;PROD16;4;190,68;762,71;59
10/01/2019;PROD16;PROD16;4;190,68;762,71;290
10/01/2019;PROD924;PROD924;1;677,5;677,5;4
10/01/2019;PROD484;PROD484;2;156,78;313,56;86
10/01/2019;PROD1788;PROD1788;2;315,25;630,51;290
10/01/2019;PROD1658;PROD1658;4;224,58;898,31;133
10/01/2019;PROD1684;PROD1684;6;199,15;1194,92;290
11/01/2019;PROD823;PROD823;2;165,25;330,51;499
11/01/2019;PROD1568;PROD1568;2;540,61;1081,22;230
11/01/2019;PROD674;PROD674;4;574,71;2298,85;459
11/01/2019;PROD883;PROD883;8;169,49;1355,93;227
11/01/2019;PROD1567;PROD1567;4;243,64;974,58;54
11/01/2019;PROD1158;PROD1158;2;250,0;500,0;499
11/01/2019;PROD882;PROD882;4;169,49;677,97;66
11/01/2019;PROD997;PROD997;2;572,03;1144,07;270
11/01/2019;PROD117;PROD117;4;374,33;1497,32;459
11/01/2019;PROD1845;PROD1845;4;198,31;793,22;254
11/01/2019;PROD1651;PROD1651;2;173,73;347,46;254
11/01/2019;PROD1766;PROD1766;2;266,95;533,9;101
11/01/2019;PROD218;PROD218;4;196,13;784,51;230
11/01/2019;PROD1824;PROD1824;4;207,63;830,51;134
11/01/2019;PROD1602;PROD1602;4;152,54;610,17;218
11/01/2019;PROD1570;PROD1570;2;733,06;1466,12;230
11/01/2019;PROD247;PROD247;2;178,56;357,12;459
11/01/2019;PROD1213;PROD1213;4;706,92;2827,69;230
11/01/2019;PROD1545;PROD1545;1;541,47;541,47;230
11/01/2019;PROD1570;PROD1570;1;719,32;719,32;426
11/01/2019;PROD1545;PROD1545;1;0,01;0,01;230
11/01/2019;PROD1938;PROD1938;4;412,72;1650,88;230
11/01/2019;PROD926;PROD926;3;152,54;457,63;172
11/01/2019;PROD96;PROD96;1;362,69;362,69;94
11/01/2019;PROD1695;PROD1695;4;276,39;1105,54;129
11/01/2019;PROD107;PROD107;1;705,32;705,32;51
12/01/2019;PROD1796;PROD1796;4;900,46;3601,83;126
12/01/2019;PROD199;PROD199;4;368,64;1474,58;290
12/01/2019;PROD221;PROD221;4;207,63;830,51;290
12/01/2019;PROD4;PROD4;4;317,8;1271,19;290
12/01/2019;PROD165;PROD165;4;237,29;949,15;290
12/01/2019;PROD221;PROD221;4;207,63;830,51;290
12/01/2019;PROD246;PROD246;30;166,1;4983,05;226
12/01/2019;PROD224;PROD224;2;241,53;483,05;101
12/01/2019;PROD221;PROD221;2;207,63;415,25;101
12/01/2019;PROD222;PROD222;8;244,07;1952,54;234
12/01/2019;PROD243;PROD243;4;166,1;664,41;234
12/01/2019;PROD139;PROD139;4;254,24;1016,95;234
12/01/2019;PROD745;PROD745;4;290,02;1160,07;234
12/01/2019;PROD749;PROD749;4;327,97;1311,86;234
12/01/2019;PROD243;PROD243;4;169,49;677,97;405
12/01/2019;PROD243;PROD243;8;166,1;1328,81;106
12/01/2019;PROD247;PROD247;4;166,1;664,41;106
12/01/2019;PROD192;PROD192;4;232,54;930,17;106
12/01/2019;PROD218;PROD218;8;177,97;1423,73;290
12/01/2019;PROD224;PROD224;4;241,53;966,1;290
12/01/2019;PROD746;PROD746;4;411,02;1644,07;290
12/01/2019;PROD745;PROD745;4;295,76;1183,05;290
12/01/2019;PROD1248;PROD1248;2;928,0;1856,0;122
12/01/2019;PROD1695;PROD1695;4;346,64;1386,54;129
12/01/2019;PROD1142;PROD1142;4;275,42;1101,69;488
12/01/2019;PROD1785;PROD1785;1;483,05;483,05;420
12/01/2019;PROD1142;PROD1142;2;275,42;550,85;488
12/01/2019;PROD1914;PROD1914;2;269,68;539,36;218
12/01/2019;PROD150;PROD150;4;173,73;694,92;270
12/01/2019;PROD224;PROD224;4;241,53;966,1;336
12/01/2019;PROD248;PROD248;12;216,1;2593,22;336
12/01/2019;PROD659;PROD659;2;169,49;338,98;424
12/01/2019;PROD251;PROD251;6;220,34;1322,03;80
12/01/2019;PROD254;PROD254;3;322,03;966,1;80
12/01/2019;PROD252;PROD252;4;241,53;966,1;80
12/01/2019;PROD247;PROD247;8;169,49;1355,93;80
12/01/2019;PROD882;PROD882;4;189,19;756,78;230
12/01/2019;PROD243;PROD243;4;169,49;677,97;336
12/01/2019;PROD152;PROD152;2;360,17;720,34;236
14/01/2019;PROD1296;PROD1296;1;381,88;381,88;207
14/01/2019;PROD1296;PROD1296;1;381,88;381,88;347
14/01/2019;PROD1283;PROD1283;4;301,35;1205,39;230
14/01/2019;PROD1654;PROD1654;2;470,91;941,81;189
14/01/2019;PROD1684;PROD1684;4;199,15;796,61;375
14/01/2019;PROD172;PROD172;4;522,84;2091,36;230
14/01/2019;PROD823;PROD823;4;165,25;661,02;424
14/01/2019;PROD882;PROD882;4;173,73;694,92;424
14/01/2019;PROD1296;PROD1296;4;334,75;1338,98;451
14/01/2019;PROD927;PROD927;4;649,87;2599,49;407
14/01/2019;PROD1087;PROD1087;4;224,58;898,31;272
14/01/2019;PROD374;PROD374;4;177,97;711,86;410
14/01/2019;PROD1830;PROD1830;4;217,37;869,49;15
14/01/2019;PROD252;PROD252;8;229,45;1835,59;15
14/01/2019;PROD243;PROD243;9;161,02;1449,15;15
14/01/2019;PROD221;PROD221;4;197,25;788,98;15
14/01/2019;PROD926;PROD926;2;149,49;298,98;254
14/01/2019;PROD243;PROD243;4;169,49;677,97;336
14/01/2019;PROD221;PROD221;8;207,63;1661,02;329
14/01/2019;PROD885;PROD885;4;263,09;1052,37;230
14/01/2019;PROD1646;PROD1646;2;210,95;421,9;254
14/01/2019;PROD221;PROD221;12;197,25;2366,95;506
14/01/2019;PROD251;PROD251;2;233,44;466,88;250
14/01/2019;PROD1741;PROD1741;2;228,81;457,63;122
14/01/2019;PROD902;PROD902;4;175,42;701,69;134
14/01/2019;PROD1746;PROD1746;4;190,68;762,71;261
14/01/2019;PROD199;PROD199;4;368,64;1474,58;336
14/01/2019;PROD1158;PROD1158;4;250,0;1000,0;169
15/01/2019;PROD870;PROD870;1;160,17;160,17;134
15/01/2019;PROD1751;PROD1751;2;253,91;507,81;52
15/01/2019;PROD1224;PROD1224;1;451,61;451,61;435
15/01/2019;PROD247;PROD247;1;169,49;169,49;150
15/01/2019;PROD1830;PROD1830;2;216,1;432,2;250
15/01/2019;PROD484;PROD484;4;165,25;661,02;431
15/01/2019;PROD1853;PROD1853;2;325,78;651,56;146
15/01/2019;PROD1810;PROD1810;4;823,25;3292,98;236
15/01/2019;PROD902;PROD902;4;169,49;677,97;78
15/01/2019;PROD247;PROD247;4;169,49;677,97;448
15/01/2019;PROD150;PROD150;4;173,73;694,92;448
15/01/2019;PROD873;PROD873;2;342,16;684,32;230
15/01/2019;PROD1790;PROD1790;4;0,0;0,0;122
15/01/2019;PROD98;PROD98;4;470,34;1881,36;59
15/01/2019;PROD1602;PROD1602;2;152,54;305,08;267
15/01/2019;PROD1830;PROD1830;2;228,81;457,63;424
15/01/2019;PROD873;PROD873;1;328,05;328,05;67
15/01/2019;PROD1824;PROD1824;1;203,39;203,39;426
15/01/2019;PROD692;PROD692;4;820,7;3282,8;122
16/01/2019;PROD374;PROD374;2;177,97;355,93;185
16/01/2019;PROD1830;PROD1830;4;211,86;847,46;394
16/01/2019;PROD1684;PROD1684;1;209,32;209,32;230
16/01/2019;PROD1633;PROD1633;4;956,92;3827,69;405
16/01/2019;PROD1684;PROD1684;4;199,15;796,61;272
16/01/2019;PROD1451;PROD1451;2;390,96;781,92;52
16/01/2019;PROD1588;PROD1588;4;168,11;672,44;117
16/01/2019;PROD17;PROD17;2;656,78;1313,56;122
16/01/2019;PROD1691;PROD1691;1;644,0;644,0;414
16/01/2019;PROD1919;PROD1919;2;188,39;376,78;230
16/01/2019;PROD1529;PROD1529;2;332,2;664,41;133
16/01/2019;PROD165;PROD165;4;237,29;949,15;377
16/01/2019;PROD1741;PROD1741;4;237,29;949,15;375
16/01/2019;PROD374;PROD374;2;177,97;355,93;185
16/01/2019;PROD692;PROD692;4;614,3;2457,19;230
16/01/2019;PROD243;PROD243;12;169,49;2033,9;272
16/01/2019;PROD946;PROD946;4;800,85;3203,39;407
16/01/2019;PROD17;PROD17;2;293,8;587,6;122
17/01/2019;PROD1830;PROD1830;8;201,27;1610,17;420
17/01/2019;PROD233;PROD233;4;523,73;2094,92;290
17/01/2019;PROD248;PROD248;4;211,02;844,07;454
17/01/2019;PROD192;PROD192;2;224,58;449,15;85
17/01/2019;PROD165;PROD165;4;237,29;949,15;207
17/01/2019;PROD168;PROD168;2;504,24;1008,47;499
17/01/2019;PROD659;PROD659;4;165,25;661,02;426
17/01/2019;PROD1638;PROD1638;1;254,18;254,18;426
17/01/2019;PROD1646;PROD1646;6;184,75;1108,47;420
17/01/2019;PROD902;PROD902;4;166,1;664,41;366
17/01/2019;PROD747;PROD747;2;319,38;638,76;230
17/01/2019;PROD251;PROD251;1;231,01;231,01;230
17/01/2019;PROD1145;PROD1145;2;224,58;449,15;172
17/01/2019;PROD209;PROD209;4;516,95;2067,8;234
17/01/2019;PROD80;PROD80;1;300,85;300,85;213
17/01/2019;PROD1695;PROD1695;4;322,43;1289,73;52
17/01/2019;PROD251;PROD251;4;231,01;924,03;230
17/01/2019;PROD209;PROD209;4;508,47;2033,9;234
17/01/2019;PROD1684;PROD1684;3;209,32;627,97;230
17/01/2019;PROD1702;PROD1702;2;377,12;754,24;270
17/01/2019;PROD777;PROD777;4;466,1;1864,41;128
17/01/2019;PROD776;PROD776;4;771,19;3084,75;424
17/01/2019;PROD900;PROD900;4;402,59;1610,37;230
18/01/2019;PROD885;PROD885;2;195,17;390,34;66
18/01/2019;PROD817;PROD817;1;266,95;266,95;113
18/01/2019;PROD1092;PROD1092;4;273,58;1094,31;254
18/01/2019;PROD885;PROD885;4;161,02;644,07;94
18/01/2019;PROD1925;PROD1925;2;328,02;656,03;162
18/01/2019;PROD1207;PROD1207;2;375,85;751,69;162
18/01/2019;PROD150;PROD150;4;170,25;681,02;106
18/01/2019;PROD1872;PROD1872;4;415,25;1661,02;423
18/01/2019;PROD1695;PROD1695;1;338,97;338,97;230
18/01/2019;PROD1827;PROD1827;2;237,29;474,58;402
18/01/2019;PROD885;PROD885;4;199,15;796,61;405
18/01/2019;PROD165;PROD165;4;237,29;949,15;405
18/01/2019;PROD1827;PROD1827;4;233,05;932,2;405
18/01/2019;PROD247;PROD247;6;169,49;1016,95;499
18/01/2019;PROD246;PROD246;8;169,07;1352,54;57
18/01/2019;PROD96;PROD96;4;355,93;1423,73;129
18/01/2019;PROD381;PROD381;4;381,97;1527,9;424
18/01/2019;PROD252;PROD252;4;241,53;966,1;290
18/01/2019;PROD1228;PROD1228;1;769,86;769,86;207
18/01/2019;PROD1830;PROD1830;4;211,86;847,46;405
19/01/2019;PROD926;PROD926;2;152,54;305,08;172
19/01/2019;PROD1824;PROD1824;4;197,25;788,98;375
19/01/2019;PROD163;PROD163;4;490,0;1960,0;423
19/01/2019;PROD918;PROD918;2;796,61;1593,22;199
19/01/2019;PROD1830;PROD1830;4;201,27;805,08;420
19/01/2019;PROD1919;PROD1919;12;169,49;2033,9;420
19/01/2019;PROD151;PROD151;1;271,19;271,19;48
19/01/2019;PROD484;PROD484;4;161,95;647,8;126
19/01/2019;PROD1078;PROD1078;4;405,41;1621,63;230
19/01/2019;PROD151;PROD151;4;271,04;1084,17;213
19/01/2019;PROD1830;PROD1830;4;211,86;847,46;506
19/01/2019;PROD1919;PROD1919;8;182,2;1457,63;506
19/01/2019;PROD823;PROD823;4;190,68;762,71;444
19/01/2019;PROD1602;PROD1602;1;152,54;152,54;267
19/01/2019;PROD1719;PROD1719;4;203,39;813,56;449
19/01/2019;PROD1905;PROD1905;4;296,02;1184,07;66
19/01/2019;PROD978;PROD978;4;283,9;1135,59;213
19/01/2019;PROD254;PROD254;4;334,75;1338,98;394
19/01/2019;PROD1050;PROD1050;4;231,12;924,47;230
19/01/2019;PROD1050;PROD1050;4;204,36;817,46;447
19/01/2019;PROD10;PROD10;2;617,05;1234,1;52
19/01/2019;PROD1228;PROD1228;1;769,86;769,86;207
19/01/2019;PROD53;PROD53;3;398,31;1194,92;506
19/01/2019;PROD1830;PROD1830;4;211,65;846,61;345
21/01/2019;PROD1498;PROD1498;8;182,2;1457,63;465
21/01/2019;PROD1684;PROD1684;4;199,15;796,61;54
21/01/2019;PROD1830;PROD1830;12;211,86;2542,37;115
21/01/2019;PROD1588;PROD1588;30;139,83;4194,92;465
21/01/2019;PROD1543;PROD1543;2;177,97;355,93;423
21/01/2019;PROD733;PROD733;1;458,31;458,31;426
21/01/2019;PROD1659;PROD1659;2;169,49;338,98;431
21/01/2019;PROD1126;PROD1126;4;762,6;3050,41;454
21/01/2019;PROD817;PROD817;4;266,95;1067,8;260
21/01/2019;PROD140;PROD140;4;229,45;917,8;375
21/01/2019;PROD857;PROD857;20;152,97;3059,32;375
21/01/2019;PROD1919;PROD1919;4;173,09;692,37;149
21/01/2019;PROD1830;PROD1830;8;201,27;1610,17;149
21/01/2019;PROD1498;PROD1498;8;173,09;1384,75;149
21/01/2019;PROD873;PROD873;1;342,16;342,16;230
21/01/2019;PROD910;PROD910;1;1269,64;1269,64;499
21/01/2019;PROD934;PROD934;1;835,59;835,59;213
21/01/2019;PROD700;PROD700;1;839,83;839,83;447
21/01/2019;PROD186;PROD186;4;268,52;1074,07;290
21/01/2019;PROD30;PROD30;2;465,72;931,44;218
21/01/2019;PROD1684;PROD1684;6;199,15;1194,92;499
21/01/2019;PROD1788;PROD1788;2;315,25;630,51;290
21/01/2019;PROD1529;PROD1529;2;332,2;664,41;290
21/01/2019;PROD248;PROD248;7;216,1;1512,71;290
21/01/2019;PROD887;PROD887;1;398,62;398,62;57
21/01/2019;PROD700;PROD700;1;839,83;839,83;447
21/01/2019;PROD1240;PROD1240;4;560,17;2240,68;336
21/01/2019;PROD1772;PROD1772;1;148,31;148,31;350
21/01/2019;PROD1919;PROD1919;12;173,09;2077,12;375
21/01/2019;PROD902;PROD902;4;175,42;701,69;405
21/01/2019;PROD931;PROD931;1;823,91;823,91;347
21/01/2019;PROD873;PROD873;2;342,16;684,32;230
22/01/2019;PROD196;PROD196;1;426,14;426,14;447
22/01/2019;PROD673;PROD673;4;190,68;762,71;12
22/01/2019;PROD220;PROD220;2;236,27;472,54;106
22/01/2019;PROD1321;PROD1321;4;311,59;1246,37;218
22/01/2019;PROD484;PROD484;2;165,25;330,51;86
22/01/2019;PROD1649;PROD1649;2;186,44;372,88;475
22/01/2019;PROD930;PROD930;2;389,83;779,66;13
22/01/2019;PROD926;PROD926;2;144,07;288,14;399
22/01/2019;PROD1830;PROD1830;1;211,86;211,86;59
22/01/2019;PROD1919;PROD1919;4;182,2;728,81;499
22/01/2019;PROD97;PROD97;12;189,19;2270,34;15
22/01/2019;PROD1830;PROD1830;2;211,86;423,73;431
22/01/2019;PROD1502;PROD1502;4;150,85;603,39;431
22/01/2019;PROD1651;PROD1651;4;173,73;694,92;86
22/01/2019;PROD1919;PROD1919;9;165,94;1493,47;15
22/01/2019;PROD1559;PROD1559;1;711,58;711,58;117
22/01/2019;PROD1646;PROD1646;2;194,92;389,83;394
22/01/2019;PROD857;PROD857;4;161,02;644,07;394
22/01/2019;PROD857;PROD857;16;152,54;2440,68;420
22/01/2019;PROD692;PROD692;4;583,58;2334,34;230
22/01/2019;PROD857;PROD857;10;161,02;1610,17;12
22/01/2019;PROD1139;PROD1139;4;739,53;2958,1;402
22/01/2019;PROD855;PROD855;10;139,83;1398,31;12
22/01/2019;PROD1522;PROD1522;4;335,74;1342,95;126
22/01/2019;PROD855;PROD855;4;139,83;559,32;454
22/01/2019;PROD855;PROD855;4;139,83;559,32;227
23/01/2019;PROD251;PROD251;2;231,01;462,02;230
23/01/2019;PROD1684;PROD1684;4;195,17;780,68;109
23/01/2019;PROD165;PROD165;4;250,0;1000,0;213
23/01/2019;PROD1058;PROD1058;4;182,2;728,81;404
23/01/2019;PROD855;PROD855;4;139,83;559,32;404
23/01/2019;PROD1058;PROD1058;4;182,2;728,81;261
23/01/2019;PROD151;PROD151;1;268,22;268,22;230
23/01/2019;PROD814;PROD814;2;189,19;378,39;230
23/01/2019;PROD882;PROD882;2;173,73;347,46;290
23/01/2019;PROD1473;PROD1473;2;199,15;398,31;185
23/01/2019;PROD251;PROD251;4;231,01;924,03;230
23/01/2019;PROD883;PROD883;2;216,1;432,2;290
23/01/2019;PROD52;PROD52;1;360,17;360,17;474
23/01/2019;PROD1058;PROD1058;4;173,08;692,34;181
23/01/2019;PROD1139;PROD1139;4;724,74;2898,95;117
23/01/2019;PROD221;PROD221;7;207,63;1453,39;290
23/01/2019;PROD975;PROD975;4;245,76;983,05;129
23/01/2019;PROD986;PROD986;4;720,34;2881,36;129
23/01/2019;PROD192;PROD192;1;250,0;250,0;280
23/01/2019;PROD1878;PROD1878;4;654,02;2616,07;345
23/01/2019;PROD17;PROD17;2;412,12;824,23;122
23/01/2019;PROD1828;PROD1828;2;306,54;613,08;230
23/01/2019;PROD976;PROD976;4;245,76;983,05;394
23/01/2019;PROD882;PROD882;1;165,04;165,04;181
23/01/2019;PROD1654;PROD1654;1;470,91;470,91;426
24/01/2019;PROD885;PROD885;1;161,02;161,02;94
24/01/2019;PROD52;PROD52;1;352,97;352,97;426
24/01/2019;PROD52;PROD52;2;352,97;705,93;426
24/01/2019;PROD220;PROD220;2;251,16;502,32;230
24/01/2019;PROD221;PROD221;4;203,47;813,9;454
24/01/2019;PROD192;PROD192;8;237,29;1898,31;494
24/01/2019;PROD1026;PROD1026;2;266,95;533,9;62
24/01/2019;PROD462;PROD462;1;207,47;207,47;375
24/01/2019;PROD873;PROD873;1;334,75;334,75;411
24/01/2019;PROD976;PROD976;3;245,76;737,29;411
24/01/2019;PROD1475;PROD1475;4;177,97;711,86;404
24/01/2019;PROD673;PROD673;4;177,97;711,86;404
24/01/2019;PROD673;PROD673;4;177,97;711,86;506
24/01/2019;PROD1475;PROD1475;4;177,97;711,86;506
24/01/2019;PROD481;PROD481;2;809,32;1618,64;92
