Produto;Data;Quantidade;Valor Total;Categoria
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";05/01/2009;24;188,73;Office Supplies
Canon S750 Color Inkjet Printer;05/01/2009;6;700,73;Technology
Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;05/01/2009;5;1244,19;Furniture
3285;05/01/2009;11;2021,15;Technology
Memorex 4.7GB DVD+RW, 3/Pack;05/01/2009;6;165,75;Technology
Novimex Swivel Fabric Task Chair;06/01/2009;23;3674,08;Furniture
Newell 342;06/01/2009;29;101,77;Office Supplies
GBC VeloBinder Strips;06/01/2009;1;22,13;Office Supplies
G.E. Longer-Life Indoor Recessed Floodlight Bulbs;06/01/2009;19;129,84;Furniture
Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;06/01/2009;30;26133,39;Furniture
Sanford EarthWrite® Recycled Pencils, Medium Soft, #2;06/01/2009;17;37,06;Office Supplies
Eldon Portable Mobile Manager;06/01/2009;46;1413,89;Office Supplies
Xerox 19;06/01/2009;34;1089,59;Office Supplies
Xerox 227;06/01/2009;46;298,97;Office Supplies
Tennsco Commercial Shelving;06/01/2009;6;159,05;Office Supplies
Bush Westfield Collection Bookcases, Fully Assembled;06/01/2009;23;2357,45;Furniture
BASF Silver 74 Minute CD-R;06/01/2009;27;46,86;Technology
Accessory35;06/01/2009;2;61,72;Technology
Avery Reinforcements for Hole-Punch Pages;07/01/2009;3;10,58;Office Supplies
Canon PC1060 Personal Laser Copier;07/01/2009;3;2119,67;Technology
Polycom ViewStation ISDN Videoconferencing Unit;07/01/2009;7;45923,76;Technology
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";07/01/2009;46;737,25;Office Supplies
Keytronic French Keyboard;07/01/2009;2;158,04;Technology
Premium Transparent Presentation Covers by GBC;07/01/2009;30;610,65;Office Supplies
i1000;07/01/2009;34;1961,79;Technology
Newell 310;07/01/2009;6;11,57;Office Supplies
i1000;07/01/2009;11;607,6;Technology
Acco 6 Outlet Guardian Premium Surge Suppressor;08/01/2009;23;324,28;Office Supplies
Avery 491;08/01/2009;16;64,29;Office Supplies
GBC DocuBind TL300 Electric Binding System;08/01/2009;25;21752,01;Office Supplies
"Executive Impressions 14"" Two-Color Numerals Wall Clock";08/01/2009;3;75,77;Furniture
Newell 339;09/01/2009;24;64,11;Office Supplies
Newell 337;09/01/2009;44;145,19;Office Supplies
Boston 16765 Mini Stand Up Battery Pencil Sharpener;09/01/2009;43;541,45;Office Supplies
Acco® Hot Clips Clips to Go;09/01/2009;39;121,87;Office Supplies
Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll;09/01/2009;9;45,87;Office Supplies
"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""";09/01/2009;11;68,5;Office Supplies
M70;09/01/2009;1;107,95;Technology
12 Colored Short Pencils;09/01/2009;47;117,88;Office Supplies
Multimedia Mailers;10/01/2009;32;4906,85;Office Supplies
Imation Neon 80 Minute CD-R Spindle, 50/Pack;10/01/2009;34;1177,5;Technology
Fellowes Internet Keyboard, Platinum;10/01/2009;43;1307,35;Technology
Fellowes Super Stor/Drawer® Files;10/01/2009;3;523,58;Office Supplies
Hon Metal Bookcases, Putty;10/01/2009;31;2137,1;Furniture
Panasonic KX-P3200 Dot Matrix Printer;10/01/2009;49;15137,11;Technology
Xerox 1996;10/01/2009;16;112,81;Office Supplies
Newell 337;10/01/2009;19;63,14;Office Supplies
Document Clip Frames;10/01/2009;24;199,12;Furniture
Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack;10/01/2009;30;164,78;Technology
Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;10/01/2009;35;1009,42;Furniture
Newell 309;10/01/2009;48;571,17;Office Supplies
Verbatim DVD-R 4.7GB authoring disc;11/01/2009;31;1143,45;Technology
Okidata ML320 Series Turbo Dot Matrix Printers;11/01/2009;19;6991,65;Technology
Xerox 188;11/01/2009;18;216,87;Office Supplies
Holmes Odor Grabber;11/01/2009;18;262,94;Office Supplies
"Tensor ""Hersey Kiss"" Styled Floor Lamp";11/01/2009;44;574,5;Furniture
Eldon Image Series Black Desk Accessories;11/01/2009;29;138,17;Furniture
Panasonic KX-P3200 Dot Matrix Printer;11/01/2009;20;4531,34;Technology
Prang Dustless Chalk Sticks;12/01/2009;33;58,48;Office Supplies
Fellowes Super Stor/Drawer®;12/01/2009;40;1030,09;Office Supplies
Brites Rubber Bands, 1 1/2 oz. Box;12/01/2009;44;90,35;Office Supplies
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";12/01/2009;28;260,79;Office Supplies
Global Leather Executive Chair;12/01/2009;12;4080,3;Furniture
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;12/01/2009;45;15963,09;Furniture
Belkin 8 Outlet SurgeMaster II Gold Surge Protector;12/01/2009;27;1603,27;Office Supplies
Targus USB Numeric Keypad;12/01/2009;10;401,14;Technology
Xerox 1910;13/01/2009;13;660,99;Office Supplies
Eldon® Wave Desk Accessories;13/01/2009;17;39,23;Furniture
Xerox 1903;13/01/2009;50;297,76;Office Supplies
Panasonic KX-P1150 Dot Matrix Printer;13/01/2009;3;445,34;Technology
Newell 336;14/01/2009;14;62,6;Office Supplies
DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7;14/01/2009;3;38,71;Furniture
Tyvek® Side-Opening Peel & Seel® Expanding Envelopes;14/01/2009;8;733,55;Office Supplies
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";14/01/2009;14;2690,84;Office Supplies
Hewlett-Packard Deskjet 5550 Color Inkjet Printer;14/01/2009;21;2364,29;Technology
Newell 336;14/01/2009;27;112,57;Office Supplies
Hon 4070 Series Pagoda Round Back Stacking Chairs;14/01/2009;23;7484,31;Furniture
Xerox 1939;14/01/2009;13;245,82;Office Supplies
Okidata ML184 Turbo Dot Matrix Printers;14/01/2009;23;7202,94;Technology
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags;14/01/2009;27;217,68;Office Supplies
Telescoping Adjustable Floor Lamp;14/01/2009;29;577,89;Furniture
Panasonic KX-P1131 Dot Matrix Printer;14/01/2009;36;9920,85;Technology
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page";15/01/2009;7;51,27;Office Supplies
Newell 335;15/01/2009;9;24,76;Office Supplies
"6"" Cubicle Wall Clock, Black";15/01/2009;25;201,06;Furniture
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";15/01/2009;47;296,13;Office Supplies
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);15/01/2009;41;217,0;Office Supplies
Avery Printable Repositionable Plastic Tabs;15/01/2009;48;447,89;Office Supplies
Premium Writing Pencils, Soft, #2 by Central Association for the Blind;16/01/2009;20;62,78;Office Supplies
Bevis Round Conference Table Top, X-Base;16/01/2009;2;373,27;Furniture
M70;16/01/2009;25;2836,05;Technology
Assorted Color Push Pins;16/01/2009;41;78,49;Office Supplies
Stockwell Push Pins;16/01/2009;36;76,48;Office Supplies
"Executive Impressions 14"" Two-Color Numerals Wall Clock";16/01/2009;37;832,14;Furniture
Fellowes Personal Hanging Folder Files, Navy;16/01/2009;35;503,75;Office Supplies
TOPS Money Receipt Book, Consecutively Numbered in Red,;16/01/2009;30;257,42;Office Supplies
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";16/01/2009;6;679,6;Furniture
Fellowes Black Plastic Comb Bindings;16/01/2009;46;249,02;Office Supplies
Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;17/01/2009;40;1143,49;Office Supplies
Security-Tint Envelopes;17/01/2009;18;130,11;Office Supplies
Tyvek® Side-Opening Peel & Seel® Expanding Envelopes;17/01/2009;3;299,08;Office Supplies
Newell 309;17/01/2009;25;280,43;Office Supplies
6162;17/01/2009;3;337,34;Technology
Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad;17/01/2009;11;49,76;Office Supplies
Maxell DVD-RAM Discs;17/01/2009;33;528,54;Technology
Holmes Replacement Filter for HEPA Air Cleaner, Large Room;17/01/2009;13;196,22;Office Supplies
Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black;17/01/2009;24;7871,91;Office Supplies
Newell 323;17/01/2009;46;78,08;Office Supplies
Boston Model 1800 Electric Pencil Sharpener, Gray;17/01/2009;39;1101,28;Office Supplies
Xerox 1991;17/01/2009;26;566,39;Office Supplies
Peel & Seel® Recycled Catalog Envelopes, Brown;18/01/2009;12;141,9;Office Supplies
Avery Arch Ring Binders;18/01/2009;50;2842,54;Office Supplies
AT&T Black Trimline Phone, Model 210;18/01/2009;20;331,21;Technology
Tenex File Box, Personal Filing Tote with Lid, Black;18/01/2009;17;278,76;Office Supplies
Global Leather Executive Chair;18/01/2009;25;8875,17;Furniture
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";18/01/2009;47;672,46;Office Supplies
Xerox 1891;18/01/2009;29;1379,1;Office Supplies
Newell 340;19/01/2009;41;108,15;Office Supplies
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection;19/01/2009;18;3568,45;Office Supplies
Computer Printout Paper with Letter-Trim Perforations;19/01/2009;5;98,66;Office Supplies
Hewlett-Packard 2600DN Business Color Inkjet Printer;19/01/2009;18;2215,96;Technology
Fellowes Smart Surge Ten-Outlet Protector, Platinum;20/01/2009;36;2167,05;Office Supplies
Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order;20/01/2009;27;3970,33;Furniture
Southworth 25% Cotton Premium Laser Paper and Envelopes;21/01/2009;40;751,94;Office Supplies
Memorex Slim 80 Minute CD-R, 10/Pack;21/01/2009;34;335,59;Technology
Premier Elliptical Ring Binder, Black;21/01/2009;46;1482,01;Office Supplies
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;21/01/2009;33;11336,37;Furniture
4009® Highlighters by Sanford;21/01/2009;36;147,71;Office Supplies
Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll;21/01/2009;33;139,98;Office Supplies
XtraLife® ClearVue Slant-D® Ring Binders by Cardinal;21/01/2009;41;312,26;Office Supplies
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;21/01/2009;16;4407,03;Office Supplies
Avery 508;21/01/2009;36;173,22;Office Supplies
Southworth 25% Cotton Premium Laser Paper and Envelopes;21/01/2009;19;354,13;Office Supplies
XtraLife® ClearVue Slant-D® Ring Binders by Cardinal;21/01/2009;12;97,74;Office Supplies
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting;21/01/2009;40;4152,55;Furniture
Hon iLevel Computer Training Table;21/01/2009;37;1251,18;Furniture
TOPS Money Receipt Book, Consecutively Numbered in Red,;21/01/2009;4;33,44;Office Supplies
Motorola SB4200 Cable Modem;22/01/2009;27;4584,73;Technology
Avery 498;22/01/2009;49;134,83;Office Supplies
8890;22/01/2009;25;2570,94;Technology
Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting;22/01/2009;44;4039,72;Furniture
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";22/01/2009;36;562,8;Office Supplies
"Career Cubicle Clock, 8 1/4"", Black";22/01/2009;9;206,04;Furniture
Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;22/01/2009;32;28180,08;Furniture
"Carina 42""Hx23 3/4""W Media Storage Unit";22/01/2009;13;1160,59;Office Supplies
Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base;22/01/2009;39;8865,1;Furniture
PC Concepts 116 Key Quantum 3000 Keyboard;22/01/2009;6;187,37;Technology
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut";23/01/2009;18;136,41;Office Supplies
Keytronic 105-Key Spanish Keyboard;23/01/2009;18;1383,2;Technology
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case";23/01/2009;42;1312,65;Office Supplies
Harmony HEPA Quiet Air Purifiers;24/01/2009;23;294,68;Office Supplies
Canon PC-428 Personal Copier;24/01/2009;21;4429,69;Technology
Safco Contoured Stacking Chairs;24/01/2009;30;6654,39;Furniture
Holmes Odor Grabber;24/01/2009;24;359,65;Office Supplies
Fellowes Command Center 5-outlet power strip;24/01/2009;5;318,31;Office Supplies
5170i;25/01/2009;15;1532,48;Technology
Eldon Regeneration Recycled Desk Accessories, Smoke;25/01/2009;4;11,08;Furniture
Global Stack Chair without Arms, Black;26/01/2009;15;403,71;Furniture
IBM Active Response Keyboard, Black;26/01/2009;10;392,77;Technology
Bretford Rectangular Conference Table Tops;26/01/2009;24;7332,09;Furniture
Canon MP41DH Printing Calculator;26/01/2009;31;4587,3;Technology
Xerox 1947;26/01/2009;11;67,14;Office Supplies
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;26/01/2009;49;4321,63;Furniture
Fellowes Neat Ideas® Storage Cubes;26/01/2009;39;1243,45;Office Supplies
Nu-Dell Leatherette Frames;26/01/2009;30;447,33;Furniture
Avery 498;26/01/2009;5;15,38;Office Supplies
Newell 338;27/01/2009;36;100,87;Office Supplies
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;27/01/2009;41;1863,02;Office Supplies
V70;27/01/2009;38;6121,2;Technology
T18;27/01/2009;4;377,21;Technology
OIC Thumb-Tacks;27/01/2009;50;55,89;Office Supplies
Fellowes Neat Ideas® Storage Cubes;28/01/2009;31;1065,26;Office Supplies
Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11;28/01/2009;36;267,53;Office Supplies
Newell 323;28/01/2009;3;6,76;Office Supplies
Xerox 194;28/01/2009;1;67,49;Office Supplies
Belkin 8 Outlet SurgeMaster II Gold Surge Protector;28/01/2009;3;190,45;Office Supplies
Wilson Jones Impact Binders;28/01/2009;34;179,99;Office Supplies
T60;29/01/2009;14;1122,64;Technology
GBC DocuBind 200 Manual Binding Machine;29/01/2009;38;16147,61;Office Supplies
Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors;29/01/2009;4;1042,63;Furniture
Memorex 4.7GB DVD-RAM, 3/Pack;30/01/2009;42;1285,37;Technology
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";30/01/2009;23;361,65;Technology
Polycom ViaVideo Desktop Video Communications Unit;30/01/2009;31;16066,85;Technology
US Robotics 56K V.92 Internal PCI Faxmodem;31/01/2009;46;2188,06;Technology
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;31/01/2009;40;9141,64;Furniture
Honeywell Quietcare HEPA Air Cleaner;31/01/2009;6;451,44;Office Supplies
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";31/01/2009;6;49,81;Office Supplies
Avery 51;31/01/2009;41;239,75;Office Supplies
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms;31/01/2009;42;6244,18;Furniture
Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11;31/01/2009;36;257,91;Office Supplies
Acme® Elite Stainless Steel Scissors;31/01/2009;16;138,55;Office Supplies
Rediform S.O.S. Phone Message Books;31/01/2009;30;150,2;Office Supplies
Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus;01/02/2009;37;1697,44;Technology
Avery 497;01/02/2009;17;55,45;Office Supplies
Lexmark Z25 Color Inkjet Printer;01/02/2009;41;3279,01;Technology
Global High-Back Leather Tilter, Burgundy;02/02/2009;49;5718,85;Furniture
"6"" Cubicle Wall Clock, Black";02/02/2009;44;363,92;Furniture
Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray;02/02/2009;38;3152,75;Technology
OIC Thumb-Tacks;02/02/2009;38;44,85;Office Supplies
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;02/02/2009;42;3609,88;Furniture
Laminate Occasional Tables;02/02/2009;31;4713,25;Furniture
Accessory27;03/02/2009;26;846,08;Technology
Master Caster Door Stop, Gray;03/02/2009;36;181,39;Furniture
Peel & Stick Add-On Corner Pockets;04/02/2009;32;74,34;Office Supplies
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors";04/02/2009;9;118,66;Office Supplies
BPI Conference Tables;04/02/2009;43;6089,05;Furniture
Avery 493;04/02/2009;46;237,15;Office Supplies
Array® Parchment Paper, Assorted Colors;04/02/2009;22;179,22;Office Supplies
Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS;04/02/2009;50;1441,57;Technology
Southworth 25% Cotton Antique Laid Paper & Envelopes;04/02/2009;20;173,09;Office Supplies
HP Office Paper (20Lb. and 87 Bright);04/02/2009;10;71,86;Office Supplies
Xerox 21;04/02/2009;35;228,8;Office Supplies
BASF Silver 74 Minute CD-R;04/02/2009;40;69,66;Technology
Advantus Push Pins, Aluminum Head;04/02/2009;36;213,74;Office Supplies
Newell 343;04/02/2009;2;7,01;Office Supplies
Panasonic KX-P1150 Dot Matrix Printer;04/02/2009;33;4610,35;Technology
Metal Folding Chairs, Beige, 4/Carton;04/02/2009;18;610,07;Furniture
GBC White Gloss Covers, Plain Front;04/02/2009;47;671,03;Office Supplies
Fellowes Personal Hanging Folder Files, Navy;04/02/2009;14;181,49;Office Supplies
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;05/02/2009;23;6133,18;Office Supplies
Hot File® 7-Pocket, Floor Stand;05/02/2009;3;540,41;Office Supplies
Sanford Colorific Colored Pencils, 12/Box;05/02/2009;48;139,86;Office Supplies
R380;05/02/2009;6;926,58;Technology
Post-it® Important Message Note Pad, Neon Colors, 50 Sheets/Pad;05/02/2009;29;221,33;Office Supplies
Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;05/02/2009;39;15260,78;Technology
Eldon® Expressions Wood and Plastic Desk Accessories, Oak;05/02/2009;15;150,24;Furniture
"Bevis Round Bullnose 29"" High Table Top";06/02/2009;30;6589,3;Furniture
Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table;06/02/2009;16;950,46;Furniture
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms;06/02/2009;45;7548,65;Furniture
Polycom Soundstation EX Audio-Conferencing Telephone, Black;06/02/2009;2;1838,18;Technology
StarTAC 8000;06/02/2009;4;705,69;Technology
StarTAC 7760;06/02/2009;24;1318,87;Technology
Surelock Post Binders;07/02/2009;46;1398,87;Office Supplies
Timeport L7089;07/02/2009;28;2813,85;Technology
Xerox 1923;07/02/2009;46;320,93;Office Supplies
Southworth 25% Cotton Premium Laser Paper and Envelopes;07/02/2009;30;630,14;Office Supplies
Portfile® Personal File Boxes;07/02/2009;14;261,85;Office Supplies
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";08/02/2009;47;714,46;Technology
GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;08/02/2009;38;607,42;Office Supplies
Motorola SB4200 Cable Modem;08/02/2009;4;718,03;Technology
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped";08/02/2009;20;2026,01;Furniture
Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors;09/02/2009;43;10318,72;Furniture
Xerox 188;10/02/2009;41;473,67;Office Supplies
C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;10/02/2009;22;138,24;Office Supplies
Aluminum Document Frame;10/02/2009;5;63,85;Furniture
"Career Cubicle Clock, 8 1/4"", Black";10/02/2009;44;951,33;Furniture
Sharp EL500L Fraction Calculator;10/02/2009;7;104,46;Technology
Lexmark 4227 Plus Dot Matrix Printer;11/02/2009;7;13253,93;Technology
Euro Pro Shark Stick Mini Vacuum;11/02/2009;17;1002,73;Office Supplies
TimeportP7382;11/02/2009;18;3015,49;Technology
Talkabout T8097;11/02/2009;48;8475,96;Technology
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;11/02/2009;36;9757,48;Furniture
GBC ProClick Spines for 32-Hole Punch;12/02/2009;1;19,32;Office Supplies
Xerox 1993;12/02/2009;31;206,54;Office Supplies
Staples Gold Paper Clips;12/02/2009;22;68,92;Office Supplies
Xerox 217;12/02/2009;37;240,52;Office Supplies
GBC Laser Imprintable Binding System Covers, Desert Sand;12/02/2009;13;197,61;Office Supplies
Canon MP41DH Printing Calculator;12/02/2009;22;3220,58;Technology
Self-Adhesive Address Labels for Typewriters by Universal;12/02/2009;15;103,62;Office Supplies
Fellowes High-Stak® Drawer Files;12/02/2009;14;2367,99;Office Supplies
Turquoise Lead Holder with Pocket Clip;12/02/2009;20;124,84;Office Supplies
Newell 339;12/02/2009;31;92,18;Office Supplies
"Wilson Jones Hanging View Binder, White, 1""";12/02/2009;17;127,45;Office Supplies
StarTAC 7797;12/02/2009;38;3594,74;Technology
Southworth Structures Collection;13/02/2009;48;332,55;Office Supplies
Xerox 1997;13/02/2009;6;48,93;Office Supplies
Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer;13/02/2009;45;3699,22;Technology
Electrix Halogen Magnifier Lamp;13/02/2009;42;8549,04;Furniture
O'Sullivan Living Dimensions 2-Shelf Bookcases;13/02/2009;44;5483,96;Furniture
Bretford CR4500 Series Slim Rectangular Table;14/02/2009;8;2651,21;Furniture
Chromcraft Rectangular Conference Tables;14/02/2009;34;6686,34;Furniture
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";14/02/2009;4;256,77;Furniture
Southworth 25% Cotton Premium Laser Paper and Envelopes;14/02/2009;47;1003,43;Office Supplies
Computer Printout Paper with Letter-Trim Perforations;15/02/2009;3;62,89;Office Supplies
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";15/02/2009;4;47,12;Office Supplies
Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;15/02/2009;20;154,13;Office Supplies
Bretford Just In Time Height-Adjustable Multi-Task Work Tables;15/02/2009;46;18824,42;Furniture
Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock;15/02/2009;34;2548,3;Furniture
Gyration RF Keyboard;15/02/2009;30;4846,74;Technology
Durable Pressboard Binders;15/02/2009;23;93,05;Office Supplies
Filing/Storage Totes and Swivel Casters;15/02/2009;13;136,24;Office Supplies
Staples Standard Envelopes;16/02/2009;24;129,53;Office Supplies
Avery Printable Repositionable Plastic Tabs;16/02/2009;37;311,66;Office Supplies
"Wilson Jones Hanging View Binder, White, 1""";16/02/2009;28;208,83;Office Supplies
Canon Imageclass D680 Copier / Fax;16/02/2009;15;9862,51;Technology
"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";16/02/2009;41;228,3;Technology
Peel & Seel® Recycled Catalog Envelopes, Brown;16/02/2009;15;180,39;Office Supplies
Eldon Econocleat® Chair Mats for Low Pile Carpets;17/02/2009;22;954,57;Furniture
Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;17/02/2009;44;242,46;Office Supplies
Polycom ViewStation Adapter H323 Videoconferencing Unit;17/02/2009;5;8767,62;Technology
Adams Telephone Message Books, 5 1/4 x 11;17/02/2009;2;16,81;Office Supplies
Deflect-o Glass Clear Studded Chair Mats;17/02/2009;10;607,77;Furniture
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;18/02/2009;30;10554,63;Furniture
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;18/02/2009;8;1749,64;Furniture
80 Minute CD-R Spindle, 100/Pack - Staples;19/02/2009;48;1838,19;Technology
Xerox 1971;19/02/2009;37;158,62;Office Supplies
Xerox 1983;19/02/2009;29;185,61;Office Supplies
X-Rack File for Hanging Folders;19/02/2009;33;373,13;Office Supplies
Kleencut® Forged Office Shears by Acme United Corporation;19/02/2009;4;10,96;Office Supplies
Newell 315;19/02/2009;37;226,65;Office Supplies
Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac;20/02/2009;37;159,89;Office Supplies
Avery 510;20/02/2009;48;180,48;Office Supplies
Dana Swing-Arm Lamps;20/02/2009;31;350,48;Furniture
Fellowes Black Plastic Comb Bindings;20/02/2009;41;241,1;Office Supplies
Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;20/02/2009;49;491,93;Furniture
"Executive Impressions 13"" Clairmont Wall Clock";20/02/2009;24;479,13;Furniture
"Bevis Round Bullnose 29"" High Table Top";21/02/2009;11;2770,35;Furniture
Avery 493;21/02/2009;39;199,39;Office Supplies
Zoom V.92 USB External Faxmodem;21/02/2009;18;901,81;Technology
Hand-Finished Solid Wood Document Frame;22/02/2009;42;1498,46;Furniture
Hunt Boston® Vacuum Mount KS Pencil Sharpener;22/02/2009;50;1633,37;Office Supplies
"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";22/02/2009;27;132,36;Technology
