Produto;Filial;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000016;Loja Centro;19/12/2026;5;18,0;7632,14;🟡 Planejado;A;Fornecedor Beta;13,0;29,1
PC000016;Loja Centro;03/01/2027;5;18,0;7476,33;🟡 Planejado;A;Fornecedor Beta;13,0;29,1
PC000016;Loja Centro;19/01/2027;6;18,0;7685,86;🟡 Planejado;A;Fornecedor Beta;13,0;28,7
PC000016;Loja Centro;04/02/2027;6;19,0;7856,23;🟡 Planejado;A;Fornecedor Beta;13,0;28,7
PC000690;Loja Centro;25/10/2026;3;18,0;6108,14;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;10/11/2026;3;19,0;6509,8;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;25/11/2026;4;18,0;6116,24;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;10/12/2026;4;18,0;6107,47;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;25/12/2026;5;18,0;6111,56;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;10/01/2027;5;19,0;6516,12;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;25/01/2027;6;18,0;6110,15;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000690;Loja Centro;09/02/2027;6;18,0;6109,29;🟡 Planejado;A;Fornecedor Beta;13,0;28,6
PC000295;Loja Centro;14/10/2026;3;16,0;5814,36;🟡 Planejado;A;Fornecedor Alfa;15,0;24,8
PC000295;Loja Centro;29/10/2026;3;15,0;5530,48;🟡 Planejado;A;Fornecedor Alfa;15,0;24,8
PC000295;Loja Centro;14/11/2026;4;16,0;5872,81;🟡 Planejado;A;Fornecedor Alfa;15,0;24,7
PC000295;Loja Centro;30/11/2026;4;16,0;5886,39;🟡 Planejado;A;Fornecedor Alfa;15,0;24,7
PC000295;Loja Centro;16/12/2026;5;16,0;5867,02;🟡 Planejado;A;Fornecedor Alfa;15,0;24,7
PC000295;Loja Centro;31/12/2026;5;15,0;5510,19;🟡 Planejado;A;Fornecedor Alfa;15,0;24,7
PC000295;Loja Centro;16/01/2027;6;16,0;5863,74;🟡 Planejado;A;Fornecedor Alfa;15,0;24,7
PC000295;Loja Centro;01/02/2027;6;16,0;5871,4;🟡 Planejado;A;Fornecedor Alfa;15,0;24,7
PC000007;Loja Centro;14/08/2026;1;25,0;7956,14;🚨 Urgente (até 7 dias);A;Fornecedor Delta;12,0;30,1
PC000007;Loja Centro;29/08/2026;1;19,0;5824,85;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;12,0;30,1
PC000007;Loja Centro;13/09/2026;2;19,0;5839,26;🟡 Planejado;A;Fornecedor Delta;12,0;30,1
PC000007;Loja Centro;29/09/2026;2;20,0;6220,61;🟡 Planejado;A;Fornecedor Delta;12,0;30,1
PC000007;Loja Centro;14/10/2026;3;19,0;5838,29;🟡 Planejado;A;Fornecedor Delta;12,0;30,1
PC000007;Loja Centro;30/10/2026;3;20,0;6223,84;🟡 Planejado;A;Fornecedor Delta;12,0;30,1
PC000007;Loja Centro;14/11/2026;4;19,0;5837,76;🟡 Planejado;A;Fornecedor Delta;12,0;30,2
PC000007;Loja Centro;29/11/2026;4;19,0;5836,17;🟡 Planejado;A;Fornecedor Delta;12,0;30,2
PC000007;Loja Centro;14/12/2026;5;19,0;5837,43;🟡 Planejado;A;Fornecedor Delta;12,0;30,2
PC000007;Loja Centro;30/12/2026;5;20,0;6225,86;🟡 Planejado;A;Fornecedor Delta;12,0;30,2
PC000007;Loja Centro;14/01/2027;6;19,0;5837,32;🟡 Planejado;A;Fornecedor Delta;12,0;30,2
PC000007;Loja Centro;30/01/2027;6;20,0;6226,13;🟡 Planejado;A;Fornecedor Delta;12,0;30,2
PC000425;Loja Centro;15/10/2026;3;16,0;7124,73;🟡 Planejado;A;Fornecedor Delta;14,0;25,8
PC000425;Loja Centro;31/10/2026;3;17,0;7535,51;🟡 Planejado;A;Fornecedor Delta;14,0;25,8
PC000425;Loja Centro;13/11/2026;4;20,0;8745,6;🟡 Planejado;A;Fornecedor Delta;12,0;30,3
PC000425;Loja Centro;28/11/2026;4;19,0;8294,07;🟡 Planejado;A;Fornecedor Delta;12,0;30,3
PC000425;Loja Centro;21/12/2026;5;14,0;6168,68;🟡 Planejado;A;Fornecedor Delta;17,0;21,3
PC000425;Loja Centro;05/01/2027;5;13,0;5838,24;🟡 Planejado;A;Fornecedor Delta;17,0;21,3
PC000425;Loja Centro;20/01/2027;6;13,0;5851,87;🟡 Planejado;A;Fornecedor Delta;17,0;21,3
PC000425;Loja Centro;05/02/2027;6;14,0;6232,91;🟡 Planejado;A;Fornecedor Delta;17,0;21,3
PC000730;Loja Centro;20/08/2026;1;15,0;4142,18;🚨 Urgente (até 7 dias);A;Fornecedor Gamma;16,0;23,5
PC000730;Loja Centro;05/09/2026;1;15,0;4333,28;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;16,0;23,5
PC000730;Loja Centro;19/09/2026;2;16,0;4512,81;🟡 Planejado;A;Fornecedor Gamma;14,0;25,2
PC000730;Loja Centro;05/10/2026;2;17,0;4645,15;🟡 Planejado;A;Fornecedor Gamma;14,0;25,2
PC000730;Loja Centro;13/10/2026;3;27,0;7431,71;🟡 Planejado;A;Fornecedor Gamma;9,0;39,6
PC000730;Loja Centro;28/10/2026;3;24,0;6826,99;🟡 Planejado;A;Fornecedor Gamma;9,0;39,6
PC000730;Loja Centro;12/11/2026;4;35,0;9665,42;🟡 Planejado;A;Fornecedor Gamma;8,0;47,5
PC000730;Loja Centro;28/11/2026;4;31,0;8747,12;🟡 Planejado;A;Fornecedor Gamma;8,0;47,5
PC000730;Loja Centro;24/12/2026;5;19,0;5371,47;🟡 Planejado;A;Fornecedor Gamma;12,0;29,6
PC000730;Loja Centro;09/01/2027;5;19,0;5456,85;🟡 Planejado;A;Fornecedor Gamma;12,0;29,6
PC000730;Loja Centro;27/01/2027;6;18,0;5095,48;🟡 Planejado;A;Fornecedor Gamma;13,0;27,7
PC000357;Loja Centro;14/08/2026;1;12,0;4985,29;🚨 Urgente (até 7 dias);A;Fornecedor Delta;19,0;19,1
PC000357;Loja Centro;30/08/2026;1;13,0;5088,31;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;19,0;19,1
PC000357;Loja Centro;14/09/2026;2;12,0;4997,69;🟡 Planejado;A;Fornecedor Delta;19,0;19,5
PC000357;Loja Centro;30/09/2026;2;13,0;5202,01;🟡 Planejado;A;Fornecedor Delta;19,0;19,5
PC000357;Loja Centro;13/10/2026;3;20,0;8082,92;🟡 Planejado;A;Fornecedor Delta;14,0;26,9
PC000357;Loja Centro;28/10/2026;3;17,0;6742,83;🟡 Planejado;A;Fornecedor Delta;14,0;26,9
PC000357;Loja Centro;12/11/2026;4;20,0;8097,76;🟡 Planejado;A;Fornecedor Delta;12,0;29,6
PC000357;Loja Centro;28/11/2026;4;19,0;7891,67;🟡 Planejado;A;Fornecedor Delta;12,0;29,6
PC000357;Loja Centro;19/12/2026;5;14,0;5590,88;🟡 Planejado;A;Fornecedor Delta;17,0;22,0
PC000357;Loja Centro;04/01/2027;5;14,0;5884,54;🟡 Planejado;A;Fornecedor Delta;17,0;22,0
PC000357;Loja Centro;18/01/2027;6;14,0;5778,25;🟡 Planejado;A;Fornecedor Delta;16,0;23,0
PC000357;Loja Centro;02/02/2027;6;14,0;5765,15;🟡 Planejado;A;Fornecedor Delta;16,0;23,0
PC000845;Loja Centro;05/10/2026;2;15,0;6261,07;🟡 Planejado;A;Fornecedor Gamma;15,0;23,6
PC000845;Loja Centro;21/10/2026;3;15,0;6540,66;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;06/11/2026;3;15,0;6570,87;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;22/11/2026;4;15,0;6550,68;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;08/12/2026;4;15,0;6562,99;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;24/12/2026;5;15,0;6555,05;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;09/01/2027;5;15,0;6560,03;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;25/01/2027;6;15,0;6556,92;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000845;Loja Centro;09/02/2027;6;14,0;6148,99;🟡 Planejado;A;Fornecedor Gamma;16,0;23,5
PC000896;Loja Centro;14/08/2026;1;30,0;9926,22;🚨 Urgente (até 7 dias);A;Fornecedor Beta;14,0;26,6
PC000896;Loja Centro;30/08/2026;1;17,0;5808,67;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;14,0;26,6
PC000896;Loja Centro;14/09/2026;2;17,0;5600,77;🟡 Planejado;A;Fornecedor Beta;14,0;27,0
PC000896;Loja Centro;30/09/2026;2;18,0;5886,24;🟡 Planejado;A;Fornecedor Beta;14,0;27,0
PC000896;Loja Centro;15/10/2026;3;17,0;5605,63;🟡 Planejado;A;Fornecedor Beta;13,0;27,2
PC000896;Loja Centro;30/10/2026;3;17,0;5558,02;🟡 Planejado;A;Fornecedor Beta;13,0;27,2
PC000896;Loja Centro;14/11/2026;4;17,0;5605,63;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000896;Loja Centro;30/11/2026;4;18,0;5951,64;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000896;Loja Centro;15/12/2026;5;17,0;5606,43;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000896;Loja Centro;31/12/2026;5;18,0;5964,23;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000896;Loja Centro;15/01/2027;6;17,0;5606,49;🟡 Planejado;A;Fornecedor Beta;13,0;27,4
PC000896;Loja Centro;31/01/2027;6;18,0;5971,1;🟡 Planejado;A;Fornecedor Beta;13,0;27,4
PC000547;Loja Centro;25/09/2026;2;17,0;6323,04;🟡 Planejado;A;Fornecedor Beta;13,0;27,2
PC000547;Loja Centro;10/10/2026;2;17,0;6102,82;🟡 Planejado;A;Fornecedor Beta;13,0;27,2
PC000547;Loja Centro;25/10/2026;3;17,0;6153,81;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;10/11/2026;3;18,0;6528,65;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;25/11/2026;4;17,0;6149,01;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;11/12/2026;4;18,0;6538,98;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;26/12/2026;5;17,0;6146,12;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;10/01/2027;5;17,0;6135,57;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;25/01/2027;6;17,0;6144,18;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000547;Loja Centro;09/02/2027;6;17,0;6138,44;🟡 Planejado;A;Fornecedor Beta;13,0;27,3
PC000773;Loja Centro;23/12/2026;5;13,0;5343,17;🟡 Planejado;A;Fornecedor Beta;17,0;21,1
PC000773;Loja Centro;08/01/2027;5;14,0;5585,48;🟡 Planejado;A;Fornecedor Beta;17,0;21,1
PC000773;Loja Centro;23/01/2027;6;13,0;5311,86;🟡 Planejado;A;Fornecedor Beta;17,0;21,2
PC000773;Loja Centro;08/02/2027;6;14,0;5613,56;🟡 Planejado;A;Fornecedor Beta;17,0;21,2
PC000883;Loja Centro;17/08/2026;1;17,0;4861,38;🚨 Urgente (até 7 dias);A;Fornecedor Beta;13,0;27,1
PC000883;Loja Centro;01/09/2026;1;17,0;4824,45;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;13,0;27,1
PC000883;Loja Centro;18/09/2026;2;16,0;4644,26;🟡 Planejado;A;Fornecedor Beta;15,0;25,1
PC000883;Loja Centro;04/10/2026;2;17,0;4780,1;🟡 Planejado;A;Fornecedor Beta;15,0;25,1
PC000883;Loja Centro;13/10/2026;3;25,0;7352,46;🟡 Planejado;A;Fornecedor Beta;10,0;37,8
PC000883;Loja Centro;29/10/2026;3;25,0;7187,15;🟡 Planejado;A;Fornecedor Beta;10,0;37,8
PC000883;Loja Centro;12/11/2026;4;29,0;8514,09;🟡 Planejado;A;Fornecedor Beta;8,0;43,8
PC000883;Loja Centro;28/11/2026;4;29,0;8335,71;🟡 Planejado;A;Fornecedor Beta;8,0;43,8
PC000883;Loja Centro;21/12/2026;5;19,0;5359,6;🟡 Planejado;A;Fornecedor Beta;12,0;29,9
PC000883;Loja Centro;06/01/2027;5;20,0;5686,52;🟡 Planejado;A;Fornecedor Beta;12,0;29,9
PC000883;Loja Centro;22/01/2027;6;19,0;5380,6;🟡 Planejado;A;Fornecedor Beta;12,0;29,3
PC000883;Loja Centro;07/02/2027;6;19,0;5569,98;🟡 Planejado;A;Fornecedor Beta;12,0;29,3
PC000802;Loja Centro;10/09/2026;1;14,0;4831,64;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;17,0;22,0
PC000802;Loja Centro;30/09/2026;2;13,0;4180,36;🟡 Planejado;A;Fornecedor Gamma;19,0;19,2
PC000802;Loja Centro;13/10/2026;3;22,0;7506,91;🟡 Planejado;A;Fornecedor Gamma;13,0;28,8
PC000802;Loja Centro;28/10/2026;3;18,0;5925,87;🟡 Planejado;A;Fornecedor Gamma;13,0;28,8
PC000802;Loja Centro;12/11/2026;4;25,0;8378,93;🟡 Planejado;A;Fornecedor Gamma;11,0;34,5
PC000802;Loja Centro;27/11/2026;4;21,0;7112,83;🟡 Planejado;A;Fornecedor Gamma;11,0;34,5
PC000802;Loja Centro;19/12/2026;5;15,0;5135,15;🟡 Planejado;A;Fornecedor Gamma;15,0;24,4
PC000802;Loja Centro;04/01/2027;5;16,0;5356,7;🟡 Planejado;A;Fornecedor Gamma;15,0;24,4
PC000802;Loja Centro;20/01/2027;6;16,0;5224,13;🟡 Planejado;A;Fornecedor Gamma;15,0;24,2
PC000802;Loja Centro;04/02/2027;6;15,0;4972,19;🟡 Planejado;A;Fornecedor Gamma;15,0;24,2
PC000903;Loja Centro;18/08/2026;1;14,0;4974,56;🚨 Urgente (até 7 dias);A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;03/09/2026;1;15,0;5265,1;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;19/09/2026;2;15,0;5265,08;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;04/10/2026;2;14,0;4936,02;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;20/10/2026;3;15,0;5265,06;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;04/11/2026;3;14,0;4936,01;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;20/11/2026;4;15,0;5265,06;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;06/12/2026;4;15,0;5265,07;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;22/12/2026;5;15,0;5265,05;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;06/01/2027;5;14,0;4936,0;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;22/01/2027;6;15,0;5265,04;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000903;Loja Centro;07/02/2027;6;15,0;5265,06;🟡 Planejado;A;Fornecedor Delta;16,0;23,3
PC000460;Loja Centro;31/08/2026;1;17,0;5124,13;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;13,0;27,4
PC000460;Loja Centro;15/09/2026;2;17,0;5105,45;🟡 Planejado;A;Fornecedor Beta;13,0;27,5
PC000460;Loja Centro;30/09/2026;2;17,0;5081,28;🟡 Planejado;A;Fornecedor Beta;13,0;27,5
PC000460;Loja Centro;15/10/2026;3;17,0;5096,46;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;30/10/2026;3;17,0;5088,18;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;14/11/2026;4;17,0;5093,39;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;29/11/2026;4;17,0;5090,55;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;14/12/2026;5;17,0;5092,33;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;30/12/2026;5;18,0;5430,78;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;14/01/2027;6;17,0;5091,99;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000460;Loja Centro;29/01/2027;6;17,0;5091,64;🟡 Planejado;A;Fornecedor Beta;13,0;27,6
PC000520;Loja Centro;25/12/2026;5;12,0;4964,27;🟡 Planejado;A;Fornecedor Beta;19,0;18,9
PC000520;Loja Centro;09/01/2027;5;12,0;4866,03;🟡 Planejado;A;Fornecedor Beta;19,0;18,9
PC000520;Loja Centro;22/01/2027;6;13,0;5359,7;🟡 Planejado;A;Fornecedor Beta;18,0;20,5
PC000520;Loja Centro;07/02/2027;6;13,0;5625,66;🟡 Planejado;A;Fornecedor Beta;18,0;20,5
PC000080;Loja Centro;14/10/2026;3;10,0;4076,53;🟡 Planejado;A;Fornecedor Alfa;24,0;15,0
PC000080;Loja Centro;30/10/2026;3;10,0;4229,42;🟡 Planejado;A;Fornecedor Alfa;24,0;15,0
PC000080;Loja Centro;14/11/2026;4;9,0;3983,68;🟡 Planejado;A;Fornecedor Alfa;24,0;15,1
PC000080;Loja Centro;30/11/2026;4;10,0;4238,44;🟡 Planejado;A;Fornecedor Alfa;24,0;15,1
PC000080;Loja Centro;15/12/2026;5;9,0;3983,26;🟡 Planejado;A;Fornecedor Alfa;24,0;15,1
PC000080;Loja Centro;30/12/2026;5;9,0;3977,82;🟡 Planejado;A;Fornecedor Alfa;24,0;15,1
PC000080;Loja Centro;14/01/2027;6;9,0;3982,76;🟡 Planejado;A;Fornecedor Alfa;24,0;15,1
PC000080;Loja Centro;30/01/2027;6;10,0;4245,34;🟡 Planejado;A;Fornecedor Alfa;24,0;15,1
PC000015;Loja Centro;28/08/2026;1;12,0;3799,02;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;20,0;18,3
PC000015;Loja Centro;13/09/2026;2;12,0;3998,15;🟡 Planejado;A;Fornecedor Alfa;20,0;18,7
PC000015;Loja Centro;29/09/2026;2;12,0;3927,81;🟡 Planejado;A;Fornecedor Alfa;20,0;18,7
PC000015;Loja Centro;13/10/2026;3;24,0;7583,0;🟡 Planejado;A;Fornecedor Alfa;13,0;28,9
PC000015;Loja Centro;29/10/2026;3;19,0;6067,77;🟡 Planejado;A;Fornecedor Alfa;13,0;28,9
PC000015;Loja Centro;13/11/2026;4;18,0;5859,07;🟡 Planejado;A;Fornecedor Alfa;12,0;29,3
PC000015;Loja Centro;28/11/2026;4;18,0;5768,47;🟡 Planejado;A;Fornecedor Alfa;12,0;29,3
PC000015;Loja Centro;20/12/2026;5;13,0;4243,16;🟡 Planejado;A;Fornecedor Alfa;17,0;21,0
PC000015;Loja Centro;05/01/2027;5;14,0;4422,88;🟡 Planejado;A;Fornecedor Alfa;17,0;21,0
PC000015;Loja Centro;19/01/2027;6;14,0;4511,2;🟡 Planejado;A;Fornecedor Alfa;16,0;22,3
PC000015;Loja Centro;04/02/2027;6;15,0;4685,92;🟡 Planejado;A;Fornecedor Alfa;16,0;22,3
PC000785;Loja Centro;14/09/2026;2;12,0;3452,21;🟡 Planejado;A;Fornecedor Alfa;21,0;17,7
PC000785;Loja Centro;30/09/2026;2;12,0;3484,3;🟡 Planejado;A;Fornecedor Alfa;21,0;17,7
PC000785;Loja Centro;13/10/2026;3;16,0;4793,0;🟡 Planejado;A;Fornecedor Alfa;16,0;22,8
PC000785;Loja Centro;28/10/2026;3;14,0;4215,89;🟡 Planejado;A;Fornecedor Alfa;16,0;22,8
PC000785;Loja Centro;12/11/2026;4;27,0;8210,86;🟡 Planejado;A;Fornecedor Alfa;11,0;33,3
PC000785;Loja Centro;27/11/2026;4;21,0;6148,94;🟡 Planejado;A;Fornecedor Alfa;11,0;33,3
PC000785;Loja Centro;23/12/2026;5;13,0;3953,11;🟡 Planejado;A;Fornecedor Alfa;18,0;20,3
PC000785;Loja Centro;07/01/2027;5;13,0;3754,28;🟡 Planejado;A;Fornecedor Alfa;18,0;20,3
PC000785;Loja Centro;22/01/2027;6;14,0;4062,62;🟡 Planejado;A;Fornecedor Alfa;17,0;20,9
PC000785;Loja Centro;07/02/2027;6;14,0;4122,03;🟡 Planejado;A;Fornecedor Alfa;17,0;20,9
PC000335;Loja Centro;04/12/2026;4;14,0;6187,28;🟡 Planejado;A;Fornecedor Delta;16,0;22,6
