Produto;EstoqueAtual;CustoUnitario;Fornecedor
PC000162;11,0;929,8;Não informado
PC000163;1,0;875,52;Não informado
PC000164;42,0;836,53;Não informado
PC000165;3,0;421,75;Não informado
PC000166;62,0;567,23;Não informado
PC000167;5,0;200,88;Não informado
PC000168;12,0;93,19;Não informado
PC000169;5,0;108,42;Não informado
PC000170;9,0;171,66;Não informado
PC000171;4,0;1022,83;Não informado
PC000172;20,0;1228,25;Não informado
PC000173;2,0;2461,92;Não informado
PC000174;6,0;508,72;Não informado
PC000175;31,0;7760,56;Não informado
PC000176;2,0;626,95;Não informado
PC000177;11,0;123,84;Não informado
PC000178;35,0;55,43;Não informado
PC000179;6,0;282,44;Não informado
PC000180;38,0;3458,15;Não informado
PC000181;30,0;930,7;Não informado
PC000182;16,0;185,4;Não informado
PC000183;6,0;1085,18;Não informado
PC000184;12,0;884,32;Não informado
PC000185;11,0;139,93;Não informado
PC000186;16,0;49,89;Não informado
PC000187;153,0;335,54;Não informado
PC000188;15,0;2781,08;Não informado
PC000189;4,0;376,14;Não informado
PC000190;1,0;4172,19;Não informado
PC000191;14,0;756,46;Não informado
PC000192;9,0;615,51;Não informado
PC000193;54,0;1952,45;Não informado
PC000194;48,0;2429,8;Não informado
PC000195;2,0;128,98;Não informado
PC000196;15,0;522,92;Não informado
PC000197;15,0;1320,32;Não informado
PC000198;2,0;637,48;Não informado
PC000199;26,0;2980,92;Não informado
PC000200;1,0;1239,16;Não informado
PC000201;153,0;390,11;Não informado
PC000202;9,0;1100,64;Não informado
PC000203;9,0;766,61;Não informado
PC000204;68,0;308,33;Não informado
PC000205;45,0;5748,74;Não informado
PC000206;2,0;370,89;Não informado
PC000207;2,0;145,75;Não informado
PC000208;54,0;243,59;Não informado
PC000209;1,0;3699,57;Não informado
PC000210;9,0;699,01;Não informado
PC000211;3,0;665,44;Não informado
PC000212;5,0;5345,01;Não informado
PC000213;30,0;471,31;Não informado
PC000214;8,0;415,91;Não informado
PC000215;16,0;795,54;Não informado
PC000216;144,0;4260,91;Não informado
PC000217;6,0;6529,99;Não informado
PC000218;6,0;2801,68;Não informado
PC000219;8,0;101,12;Não informado
PC000220;31,0;423,54;Não informado
PC000221;1,0;100,76;Não informado
PC000222;142,0;1061,51;Não informado
PC000223;11,0;462,63;Não informado
PC000224;6,0;417,21;Não informado
PC000225;46,0;80,61;Não informado
PC000226;97,0;639,67;Não informado
PC000227;8,0;859,79;Não informado
PC000228;18,0;754,57;Não informado
PC000229;15,0;800,75;Não informado
PC000230;2,0;308,79;Não informado
PC000231;49,0;543,13;Não informado
PC000232;27,0;49,13;Não informado
PC000233;8,0;20,77;Não informado
PC000234;46,0;730,12;Não informado
PC000235;39,0;413,78;Não informado
PC000236;12,0;206,23;Não informado
PC000237;89,0;1856,72;Não informado
PC000238;2,0;231,99;Não informado
PC000239;28,0;1961,25;Não informado
PC000240;6,0;817,9;Não informado
PC000241;47,0;73,14;Não informado
PC000242;8,0;36,39;Não informado
PC000243;64,0;140,31;Não informado
PC000244;3,0;1084,57;Não informado
PC000245;26,0;172,84;Não informado
PC000246;27,0;204,1;Não informado
PC000247;12,0;515,1;Não informado
PC000248;33,0;576,76;Não informado
PC000249;5,0;969,32;Não informado
PC000250;4,0;65,13;Não informado
PC000251;53,0;1872,21;Não informado
PC000252;5,0;4265,71;Não informado
PC000253;27,0;169,32;Não informado
PC000254;157,0;2349,64;Não informado
PC000255;185,0;218,12;Não informado
PC000256;16,0;240,25;Não informado
PC000257;112,0;905,5;Não informado
PC000258;91,0;4795,92;Não informado
PC000259;12,0;227,73;Não informado
PC000260;105,0;5154,15;Não informado
PC000261;9,0;2059,08;Não informado
PC000262;61,0;268,59;Não informado
PC000263;17,0;2467,95;Não informado
PC000264;13,0;675,51;Não informado
PC000265;48,0;700,9;Não informado
PC000266;26,0;214,57;Não informado
PC000267;4,0;996,54;Não informado
PC000268;2,0;76,52;Não informado
PC000269;37,0;6228,91;Não informado
PC000270;76,0;861,85;Não informado
PC000271;59,0;1111,15;Não informado
PC000272;16,0;766,93;Não informado
PC000273;3,0;2527,22;Não informado
PC000274;25,0;767,61;Não informado
PC000275;9,0;916,04;Não informado
PC000276;72,0;1241,18;Não informado
PC000277;28,0;124,83;Não informado
PC000278;653,0;320,84;Não informado
PC000279;15,0;1263,02;Não informado
PC000280;75,0;629,85;Não informado
PC000281;56,0;3940,25;Não informado
PC000282;118,0;5104,59;Não informado
PC000283;34,0;1439,19;Não informado
PC000284;11,0;265,71;Não informado
PC000285;20,0;218,38;Não informado
PC000286;16,0;138,33;Não informado
PC000287;3,0;555,04;Não informado
PC000288;0,0;303,07;Não informado
PC000289;87,0;92,58;Não informado
PC000290;7,0;44,56;Não informado
PC000291;7,0;1094,13;Não informado
PC000292;10,0;386,82;Não informado
PC000293;134,0;1426,39;Não informado
PC000295;225,0;168,98;Não informado
PC000296;4,0;48,03;Não informado
PC000297;9,0;53,27;Não informado
PC000298;23,0;593,19;Não informado
PC000299;1,0;1336,73;Não informado
PC000300;12,0;619,71;Não informado
PC000301;8,0;2841,62;Não informado
PC000303;308,0;1851,29;Não informado
PC000304;6,0;1044,22;Não informado
PC000305;25,0;187,24;Não informado
PC000307;8,0;170,98;Não informado
PC000308;1,0;1129,05;Não informado
PC000309;11,0;465,65;Não informado
PC000310;13,0;134,39;Não informado
PC000311;35,0;652,13;Não informado
PC000312;10,0;756,44;Não informado
PC000313;9,0;406,3;Não informado
PC000314;12,0;75,32;Não informado
PC000315;20,0;1450,44;Não informado
PC000316;19,0;3221,6;Não informado
PC000317;1,0;65,01;Não informado
PC000318;9,0;1819,38;Não informado
PC000319;16,0;322,57;Não informado
PC000320;4,0;997,99;Não informado
PC000321;7,0;346,93;Não informado
PC000322;104,0;1056,95;Não informado
PC000323;19,0;300,84;Não informado
PC000325;22,0;1343,67;Não informado
PC000326;11,0;230,59;Não informado
PC000327;1,0;1224,08;Não informado
PC000328;18,0;1147,98;Não informado
PC000329;3,0;108,51;Não informado
PC000330;18,0;1002,08;Não informado
PC000331;1,0;56,67;Não informado
PC000332;4,0;306,56;Não informado
PC000333;55,0;7762,57;Não informado
PC000334;38,0;687,37;Não informado
PC000335;2,0;1005,42;Não informado
PC000336;44,0;411,98;Não informado
PC000337;56,0;2180,42;Não informado
PC000338;2,0;956,82;Não informado
PC000339;120,0;812,54;Não informado
PC000340;26,0;1142,62;Não informado
PC000341;5,0;203,89;Não informado
PC000342;115,0;1064,28;Não informado
PC000343;27,0;1808,07;Não informado
PC000344;0,0;2887,04;Não informado
PC000345;11,0;6407,11;Não informado
PC000346;158,0;681,99;Não informado
PC000347;171,0;568,51;Não informado
PC000348;13,0;133,87;Não informado
PC000349;5,0;415,23;Não informado
PC000350;208,0;349,72;Não informado
PC000351;56,0;557,32;Não informado
PC000352;9,0;637,51;Não informado
PC000353;45,0;29,31;Não informado
PC000354;11,0;402,17;Não informado
PC000355;20,0;631,87;Não informado
PC000356;40,0;865,2;Não informado
PC000357;10,0;841,82;Não informado
PC000358;193,0;530,77;Não informado
PC000359;9,0;1126,64;Não informado
PC000360;3,0;110,96;Não informado
PC000361;45,0;85,9;Não informado
PC000362;1,0;670,47;Não informado
PC000363;91,0;310,31;Não informado
PC000364;124,0;687,37;Não informado
PC000365;4,0;2512,1;Não informado
PC000366;7,0;1202,88;Não informado
PC000367;3,0;1285,11;Não informado
PC000368;6,0;600,82;Não informado
PC000369;20,0;100,09;Não informado
PC000371;5,0;325,32;Não informado
PC000372;2,0;6903,91;Não informado
PC000373;63,0;617,11;Não informado
PC000374;63,0;81,69;Não informado
PC000375;16,0;357,07;Não informado
PC000376;3,0;625,65;Não informado
PC000377;45,0;817,81;Não informado
PC000378;1,0;93,11;Não informado
PC000379;37,0;2096,97;Não informado
PC000380;1,0;4341,01;Não informado
PC000381;26,0;116,64;Não informado
PC000382;1,0;4473,1;Não informado
PC000383;22,0;562,04;Não informado
PC000384;9,0;901,35;Não informado
PC000385;18,0;4509,49;Não informado
PC000386;3,0;5628,92;Não informado
PC000387;1,0;277,45;Não informado
PC000388;38,0;4626,28;Não informado
PC000389;0,0;2303,83;Não informado
PC000390;44,0;365,32;Não informado
PC000391;31,0;1054,45;Não informado
PC000392;18,0;732,89;Não informado
PC000393;6,0;382,7;Não informado
PC000394;325,0;1753,86;Não informado
PC000395;37,0;857,9;Não informado
PC000396;72,0;138,28;Não informado
PC000397;9,0;3847,49;Não informado
PC000398;26,0;584,44;Não informado
PC000399;38,0;279,84;Não informado
PC000400;31,0;1183,95;Não informado
PC000401;5,0;3997,93;Não informado
PC000402;33,0;179,81;Não informado
PC000403;221,0;859,25;Não informado
PC000404;3,0;5238,02;Não informado
PC000405;10,0;302,55;Não informado
PC000406;28,0;150,4;Não informado
PC000407;31,0;1459,62;Não informado
PC000408;62,0;2066,82;Não informado
PC000409;46,0;1438,41;Não informado
PC000410;2,0;4007,0;Não informado
PC000411;6,0;628,99;Não informado
PC000412;42,0;103,45;Não informado
PC000413;23,0;88,58;Não informado
PC000414;8,0;578,47;Não informado
PC000415;6,0;1077,51;Não informado
PC000416;32,0;176,29;Não informado
PC000417;11,0;103,34;Não informado
PC000418;17,0;718,7;Não informado
PC000419;30,0;1142,8;Não informado
PC000420;1,0;341,36;Não informado
PC000421;5,0;2872,15;Não informado
PC000422;50,0;582,56;Não informado
PC000423;6,0;1175,34;Não informado
PC000425;7,0;129,13;Não informado
PC000426;7,0;598,08;Não informado
PC000427;1,0;1140,0;Não informado
PC000428;16,0;809,47;Não informado
PC000429;7,0;4536,44;Não informado
PC000430;9,0;739,45;Não informado
PC000431;21,0;309,41;Não informado
PC000432;14,0;756,47;Não informado
PC000433;1,0;309,92;Não informado
PC000434;8,0;50,83;Não informado
PC000435;1,0;58,33;Não informado
PC000436;16,0;3702,97;Não informado
PC000437;10,0;298,59;Não informado
PC000438;54,0;216,68;Não informado
PC000439;27,0;1054,42;Não informado
PC000440;13,0;540,91;Não informado
PC000441;1,0;700,22;Não informado
PC000442;24,0;132,82;Não informado
PC000443;12,0;357,41;Não informado
PC000444;4,0;670,93;Não informado
PC000445;0,0;308,4;Não informado
PC000446;7,0;4294,89;Não informado
PC000447;4,0;190,08;Não informado
PC000448;293,0;331,68;Não informado
PC000449;42,0;2056,8;Não informado
PC000450;9,0;489,7;Não informado
PC000451;5,0;426,62;Não informado
PC000452;119,0;2282,49;Não informado
PC000453;8,0;1967,76;Não informado
PC000454;30,0;910,55;Não informado
PC000455;8,0;2039,32;Não informado
PC000456;3,0;1540,94;Não informado
PC000457;3,0;327,81;Não informado
PC000459;11,0;765,19;Não informado
PC000460;20,0;106,66;Não informado
PC000461;23,0;1113,34;Não informado
PC000463;78,0;777,02;Não informado
PC000464;3,0;643,6;Não informado
PC000465;4,0;2462,22;Não informado
PC000466;29,0;444,03;Não informado
PC000467;11,0;378,25;Não informado
PC000468;48,0;4016,63;Não informado
PC000469;2,0;284,87;Não informado
PC000470;9,0;378,2;Não informado
PC000471;67,0;552,61;Não informado
PC000472;3,0;5126,73;Não informado
PC000473;7,0;2910,6;Não informado
PC000474;7,0;391,06;Não informado
PC000475;2,0;630,99;Não informado
PC000476;9,0;289,26;Não informado
PC000477;13,0;172,09;Não informado
PC000478;23,0;201,0;Não informado
PC000479;136,0;918,32;Não informado
PC000480;6,0;885,52;Não informado
PC000481;82,0;29,36;Não informado
PC000482;91,0;493,31;Não informado
PC000483;22,0;1337,11;Não informado
PC000484;7,0;473,73;Não informado
PC000485;4,0;2232,98;Não informado
PC000486;10,0;311,49;Não informado
PC000487;10,0;653,99;Não informado
PC000488;3,0;29,56;Não informado
PC000489;7,0;34,55;Não informado
PC000490;78,0;365,39;Não informado
PC000491;3,0;458,41;Não informado
PC000492;3,0;740,55;Não informado
PC000493;51,0;4321,68;Não informado
PC000494;17,0;223,53;Não informado
PC000495;244,0;3146,42;Não informado
PC000496;3,0;666,73;Não informado
PC000497;34,0;208,04;Não informado
PC000498;1,0;114,97;Não informado
PC000499;12,0;104,49;Não informado
PC000500;12,0;3437,13;Não informado
PC000501;49,0;658,84;Não informado
PC000502;55,0;82,41;Não informado
PC000504;52,0;329,2;Não informado
PC000505;34,0;279,39;Não informado
PC000506;8,0;78,6;Não informado
PC000507;0,0;2955,73;Não informado
PC000508;36,0;838,01;Não informado
PC000509;3,0;277,45;Não informado
PC000510;6,0;3420,43;Não informado
PC000511;6,0;712,3;Não informado
PC000512;34,0;562,19;Não informado
PC000513;4,0;1711,7;Não informado
PC000514;29,0;6371,34;Não informado
PC000515;45,0;213,09;Não informado
PC000516;4,0;7742,6;Não informado
PC000517;9,0;423,71;Não informado
PC000518;160,0;431,0;Não informado
PC000520;3,0;1581,59;Não informado
PC000521;2,0;86,0;Não informado
PC000522;5,0;1552,5;Não informado
PC000524;10,0;294,85;Não informado
PC000525;239,0;1106,01;Não informado
PC000526;4,0;350,91;Não informado
PC000527;3,0;64,16;Não informado
PC000528;12,0;969,78;Não informado
PC000529;5,0;3744,59;Não informado
PC000530;8,0;1021,24;Não informado
PC000531;5,0;232,76;Não informado
PC000532;86,0;4758,3;Não informado
PC000533;6,0;1000,56;Não informado
PC000534;87,0;756,42;Não informado
PC000535;7,0;2866,79;Não informado
PC000536;14,0;3913,59;Não informado
PC000537;20,0;2399,86;Não informado
PC000538;20,0;3759,05;Não informado
PC000539;11,0;725,11;Não informado
PC000540;6,0;214,65;Não informado
PC000541;18,0;281,49;Não informado
PC000542;2,0;1096,8;Não informado
PC000543;29,0;1568,34;Não informado
PC000544;5,0;223,98;Não informado
PC000545;10,0;74,11;Não informado
PC000546;39,0;261,68;Não informado
PC000547;20,0;594,64;Não informado
PC000548;4,0;264,72;Não informado
PC000549;149,0;1457,21;Não informado
PC000550;4,0;97,21;Não informado
PC000551;1,0;438,28;Não informado
PC000552;2,0;125,96;Não informado
PC000553;27,0;47,74;Não informado
PC000554;19,0;222,28;Não informado
PC000555;218,0;1672,16;Não informado
PC000556;34,0;198,16;Não informado
PC000557;21,0;3241,48;Não informado
PC000558;15,0;1175,04;Não informado
PC000559;26,0;4682,99;Não informado
PC000560;29,0;433,16;Não informado
PC000561;27,0;280,07;Não informado
PC000562;2,0;50,92;Não informado
PC000563;26,0;305,33;Não informado
PC000564;6,0;2825,18;Não informado
PC000565;3,0;646,29;Não informado
PC000566;189,0;179,16;Não informado
PC000567;92,0;999,54;Não informado
PC000568;10,0;974,17;Não informado
PC000569;49,0;671,25;Não informado
PC000570;14,0;23,3;Não informado
PC000571;27,0;358,9;Não informado
PC000572;47,0;5315,29;Não informado
PC000573;6,0;357,13;Não informado
PC000574;3,0;4730,06;Não informado
PC000575;96,0;538,73;Não informado
PC000576;55,0;564,28;Não informado
PC000577;6,0;355,63;Não informado
PC000579;141,0;237,06;Não informado
PC000580;5,0;1026,27;Não informado
PC000581;50,0;3073,78;Não informado
PC000582;23,0;106,18;Não informado
PC000583;5,0;2356,98;Não informado
PC000584;97,0;763,8;Não informado
PC000585;9,0;770,18;Não informado
PC000586;1,0;1233,83;Não informado
PC000587;140,0;847,54;Não informado
PC000588;3,0;230,18;Não informado
PC000589;28,0;3362,39;Não informado
PC000590;32,0;1016,21;Não informado
PC000591;6,0;510,72;Não informado
PC000592;5,0;623,02;Não informado
PC000593;5,0;4087,38;Não informado
PC000594;23,0;303,6;Não informado
PC000595;27,0;639,98;Não informado
PC000596;6,0;768,54;Não informado
PC000597;7,0;567,09;Não informado
PC000598;35,0;685,53;Não informado
PC000599;13,0;2198,11;Não informado
PC000600;1,0;1094,75;Não informado
PC000601;64,0;3653,05;Não informado
PC000602;1,0;1830,86;Não informado
PC000603;3,0;1403,52;Não informado
PC000604;134,0;207,43;Não informado
PC000605;3,0;314,18;Não informado
PC000606;7,0;944,14;Não informado
PC000607;5,0;1025,67;Não informado
PC000608;2,0;477,16;Não informado
PC000609;1,0;103,17;Não informado
PC000610;1,0;154,69;Não informado
PC000611;53,0;975,05;Não informado
PC000612;32,0;202,7;Não informado
PC000613;1,0;1743,34;Não informado
PC000614;12,0;118,61;Não informado
PC000615;9,0;944,45;Não informado
PC000616;7,0;112,98;Não informado
PC000617;3,0;21,06;Não informado
PC000618;9,0;454,64;Não informado
PC000619;1,0;512,57;Não informado
PC000620;9,0;872,19;Não informado
PC000621;1,0;4770,86;Não informado
PC000622;63,0;831,36;Não informado
PC000623;0,0;2020,9;Não informado
PC000624;27,0;160,06;Não informado
PC000627;8,0;353,3;Não informado
PC000628;25,0;1458,97;Não informado
PC000629;1,0;599,27;Não informado
PC000630;2,0;393,92;Não informado
PC000631;23,0;806,22;Não informado
PC000632;14,0;279,52;Não informado
PC000633;4,0;555,32;Não informado
PC000634;17,0;94,73;Não informado
PC000635;7,0;1182,26;Não informado
PC000636;3,0;3162,9;Não informado
PC000637;39,0;337,96;Não informado
PC000638;5,0;376,09;Não informado
PC000639;0,0;599,61;Não informado
PC000640;5,0;466,33;Não informado
PC000641;3,0;4922,27;Não informado
PC000642;2,0;2702,79;Não informado
PC000643;0,0;250,92;Não informado
PC000644;39,0;3911,43;Não informado
PC000645;4,0;615,18;Não informado
PC000646;58,0;748,06;Não informado
PC000647;27,0;4501,56;Não informado
PC000648;5,0;753,45;Não informado
PC000649;32,0;329,6;Não informado
PC000650;9,0;1578,31;Não informado
PC000651;4,0;767,01;Não informado
PC000652;19,0;70,89;Não informado
PC000653;38,0;4800,33;Não informado
PC000654;141,0;1259,34;Não informado
PC000655;2,0;755,2;Não informado
PC000656;49,0;401,84;Não informado
PC000657;103,0;1461,9;Não informado
PC000658;97,0;364,9;Não informado
PC000659;7,0;788,71;Não informado
PC000660;3,0;5538,7;Não informado
PC000661;234,0;664,27;Não informado
PC000662;6,0;611,34;Não informado
PC000663;3,0;1806,5;Não informado
PC000664;21,0;420,74;Não informado
PC000665;38,0;2279,64;Não informado
PC000666;32,0;4271,74;Não informado
PC000667;30,0;540,86;Não informado
PC000668;4,0;164,3;Não informado
PC000669;8,0;314,02;Não informado
PC000670;50,0;849,65;Não informado
PC000671;2,0;873,49;Não informado
PC000672;506,0;567,05;Não informado
PC000673;5,0;67,56;Não informado
PC000674;0,0;69,18;Não informado
PC000675;19,0;1649,03;Não informado
PC000676;8,0;929,29;Não informado
PC000677;2,0;1272,78;Não informado
PC000678;38,0;443,12;Não informado
PC000679;3,0;881,68;Não informado
PC000680;23,0;31,4;Não informado
PC000681;65,0;46,06;Não informado
PC000682;11,0;111,56;Não informado
PC000683;7,0;708,56;Não informado
PC000684;4,0;823,76;Não informado
PC000685;2,0;3055,31;Não informado
PC000686;2,0;938,06;Não informado
PC000687;56,0;960,91;Não informado
PC000688;5,0;140,97;Não informado
PC000689;2,0;249,53;Não informado
PC000690;3,0;31,01;Não informado
PC000691;0,0;145,96;Não informado
PC000692;39,0;2535,46;Não informado
PC000693;8,0;974,06;Não informado
PC000694;16,0;339,56;Não informado
PC000695;24,0;859,69;Não informado
PC000696;42,0;413,39;Não informado
PC000697;294,0;677,14;Não informado
PC000698;15,0;39,52;Não informado
PC000699;26,0;1449,36;Não informado
PC000700;5,0;2613,22;Não informado
PC000701;140,0;355,46;Não informado
PC000702;10,0;5065,03;Não informado
PC000703;47,0;951,26;Não informado
PC000704;4,0;534,9;Não informado
PC000705;6,0;1018,98;Não informado
PC000706;9,0;3945,14;Não informado
PC000707;13,0;113,86;Não informado
PC000708;15,0;1595,79;Não informado
PC000709;11,0;1723,38;Não informado
PC000710;80,0;749,32;Não informado
PC000711;58,0;3821,38;Não informado
PC000712;7,0;397,38;Não informado
PC000714;12,0;940,36;Não informado
PC000715;37,0;193,32;Não informado
PC000716;7,0;166,75;Não informado
PC000717;18,0;420,75;Não informado
PC000718;21,0;196,2;Não informado
PC000719;51,0;474,41;Não informado
PC000720;103,0;845,22;Não informado
PC000721;23,0;5299,26;Não informado
PC000722;20,0;1215,43;Não informado
PC000723;7,0;621,17;Não informado
PC000724;13,0;1795,46;Não informado
PC000725;10,0;636,66;Não informado
PC000726;66,0;1263,17;Não informado
PC000727;9,0;704,44;Não informado
PC000728;100,0;5016,71;Não informado
PC000729;13,0;6304,57;Não informado
PC000730;1,0;2740,32;Não informado
PC000731;2,0;933,04;Não informado
PC000732;40,0;169,16;Não informado
PC000733;10,0;314,98;Não informado
PC000734;4,0;61,02;Não informado
PC000735;60,0;1653,29;Não informado
PC000736;5,0;560,62;Não informado
PC000737;8,0;111,5;Não informado
PC000738;3,0;228,74;Não informado
PC000739;5,0;1719,19;Não informado
PC000740;15,0;878,41;Não informado
PC000741;38,0;1129,03;Não informado
PC000742;2,0;798,85;Não informado
PC000744;11,0;59,03;Não informado
PC000745;28,0;78,08;Não informado
PC000746;3,0;1013,26;Não informado
PC000747;63,0;1316,23;Não informado
PC000748;9,0;946,52;Não informado
PC000749;22,0;2865,14;Não informado
PC000750;1,0;1126,85;Não informado
PC000751;4,0;1883,73;Não informado
PC000752;82,0;441,18;Não informado
PC000753;22,0;341,94;Não informado
PC000754;2,0;36,7;Não informado
PC000755;148,0;69,31;Não informado
PC000756;46,0;3602,38;Não informado
PC000757;25,0;705,06;Não informado
PC000758;3,0;66,87;Não informado
PC000759;6,0;659,5;Não informado
PC000760;13,0;627,63;Não informado
PC000761;20,0;766,71;Não informado
PC000762;0,0;79,09;Não informado
PC000763;5,0;743,02;Não informado
PC000764;41,0;4369,08;Não informado
PC000765;10,0;122,87;Não informado
PC000766;45,0;406,1;Não informado
PC000767;9,0;202,4;Não informado
PC000768;5,0;181,83;Não informado
PC000769;57,0;6518,16;Não informado
PC000770;13,0;729,03;Não informado
PC000771;8,0;182,1;Não informado
PC000772;211,0;2000,7;Não informado
PC000773;7,0;569,04;Não informado
PC000774;47,0;816,38;Não informado
PC000775;5,0;4626,48;Não informado
PC000776;32,0;1698,66;Não informado
PC000777;87,0;254,24;Não informado
PC000778;4,0;565,94;Não informado
PC000779;38,0;504,55;Não informado
PC000780;11,0;265,7;Não informado
