Produto;EstoqueAtual;CustoUnitario;Fornecedor;Filial
PC000084;9;396,57;Fornecedor Alfa;Loja Centro
PC000085;14;425,57;Fornecedor Alfa;Loja Centro
PC000086;91;214,59;Fornecedor Delta;Loja Centro
PC000087;33;279,13;Fornecedor Alfa;Loja Centro
PC000088;18;81,83;Fornecedor Alfa;Loja Centro
PC000089;25;446,1;Fornecedor Beta;Loja Centro
PC000090;35;110,4;Fornecedor Delta;Loja Centro
PC000091;26;424,69;Fornecedor Beta;Loja Centro
PC000092;21;295,14;Fornecedor Gamma;Loja Centro
PC000093;73;276,62;Fornecedor Alfa;Loja Centro
PC000094;64;234,61;Fornecedor Gamma;Loja Centro
PC000095;19;109,96;Fornecedor Beta;Loja Centro
PC000096;13;86,03;Fornecedor Alfa;Loja Centro
PC000097;21;105,45;Fornecedor Alfa;Loja Centro
PC000098;43;90,41;Fornecedor Beta;Loja Centro
PC000099;77;352,58;Fornecedor Beta;Loja Centro
PC000100;21;162,76;Fornecedor Beta;Loja Centro
PC000101;65;33,57;Fornecedor Beta;Loja Centro
PC000102;17;436,34;Fornecedor Beta;Loja Centro
PC000103;21;398,63;Fornecedor Alfa;Loja Centro
PC000104;5;418,07;Fornecedor Beta;Loja Centro
PC000105;74;447,75;Fornecedor Alfa;Loja Centro
PC000106;46;84,86;Fornecedor Alfa;Loja Centro
PC000107;152;183,14;Fornecedor Beta;Loja Centro
PC000108;62;343,14;Fornecedor Beta;Loja Centro
PC000109;20;315,64;Fornecedor Delta;Loja Centro
PC000110;28;76,02;Fornecedor Alfa;Loja Centro
PC000111;49;368,6;Fornecedor Beta;Loja Centro
PC000112;53;107,2;Fornecedor Beta;Loja Centro
PC000113;48;106,93;Fornecedor Beta;Loja Centro
PC000114;56;245,34;Fornecedor Delta;Loja Centro
PC000115;17;270,08;Fornecedor Delta;Loja Centro
PC000116;27;264,4;Fornecedor Gamma;Loja Centro
PC000117;43;48,44;Fornecedor Alfa;Loja Centro
PC000118;8;395,84;Fornecedor Gamma;Loja Centro
PC000119;76;125,4;Fornecedor Beta;Loja Centro
PC000120;42;65,25;Fornecedor Delta;Loja Centro
PC000121;43;400,83;Fornecedor Delta;Loja Centro
PC000122;8;430,4;Fornecedor Gamma;Loja Centro
PC000123;39;389,06;Fornecedor Delta;Loja Centro
PC000124;39;365,81;Fornecedor Beta;Loja Centro
PC000125;31;297,62;Fornecedor Delta;Loja Centro
PC000126;25;251,48;Fornecedor Gamma;Loja Centro
PC000127;19;46,45;Fornecedor Beta;Loja Centro
PC000128;3;188,54;Fornecedor Gamma;Loja Centro
PC000129;59;172,73;Fornecedor Delta;Loja Centro
PC000130;8;122,81;Fornecedor Gamma;Loja Centro
PC000131;14;327,75;Fornecedor Gamma;Loja Centro
PC000132;40;227,18;Fornecedor Alfa;Loja Centro
PC000133;27;43,82;Fornecedor Delta;Loja Centro
PC000134;29;105,32;Fornecedor Delta;Loja Centro
PC000135;16;310,0;Fornecedor Gamma;Loja Centro
PC000136;24;41,65;Fornecedor Alfa;Loja Centro
PC000137;44;384,23;Fornecedor Delta;Loja Centro
PC000138;140;226,85;Fornecedor Beta;Loja Centro
PC000139;10;220,42;Fornecedor Gamma;Loja Centro
PC000140;35;269,84;Fornecedor Delta;Loja Centro
PC000141;10;372,51;Fornecedor Beta;Loja Centro
PC000142;100;161,73;Fornecedor Delta;Loja Centro
PC000143;73;307,68;Fornecedor Beta;Loja Centro
PC000144;137;258,05;Fornecedor Gamma;Loja Centro
PC000145;60;126,03;Fornecedor Delta;Loja Centro
PC000146;12;396,35;Fornecedor Delta;Loja Centro
PC000147;5;360,46;Fornecedor Alfa;Loja Centro
PC000148;8;299,04;Fornecedor Gamma;Loja Centro
PC000149;20;383,96;Fornecedor Beta;Loja Centro
PC000150;14;391,34;Fornecedor Delta;Loja Centro
PC000151;50;321,1;Fornecedor Delta;Loja Centro
PC000152;69;377,96;Fornecedor Beta;Loja Centro
PC000153;28;316,28;Fornecedor Gamma;Loja Centro
PC000154;13;308,62;Fornecedor Alfa;Loja Centro
PC000155;27;281,43;Fornecedor Alfa;Loja Centro
PC000156;38;340,7;Fornecedor Delta;Loja Centro
PC000157;51;78,1;Fornecedor Beta;Loja Centro
PC000158;14;397,34;Fornecedor Delta;Loja Centro
PC000159;17;393,35;Fornecedor Beta;Loja Centro
PC000160;49;20,93;Fornecedor Alfa;Loja Centro
PC000161;59;373,01;Fornecedor Gamma;Loja Centro
PC000162;53;64,96;Fornecedor Beta;Loja Centro
PC000163;31;156,12;Fornecedor Alfa;Loja Centro
PC000164;39;336,63;Fornecedor Delta;Loja Centro
PC000165;48;79,06;Fornecedor Beta;Loja Centro
PC000166;16;369,54;Fornecedor Gamma;Loja Centro
PC000167;46;375,8;Fornecedor Delta;Loja Centro
PC000168;58;232,3;Fornecedor Delta;Loja Centro
PC000169;6;10,82;Fornecedor Alfa;Loja Centro
PC000170;53;134,87;Fornecedor Beta;Loja Centro
PC000171;25;280,68;Fornecedor Delta;Loja Centro
PC000172;97;441,68;Fornecedor Gamma;Loja Centro
PC000173;46;287,26;Fornecedor Beta;Loja Centro
PC000174;27;122,83;Fornecedor Gamma;Loja Centro
PC000175;14;288,23;Fornecedor Delta;Loja Centro
PC000176;2;246,67;Fornecedor Gamma;Loja Centro
PC000177;20;352,69;Fornecedor Alfa;Loja Centro
PC000178;8;55,29;Fornecedor Gamma;Loja Centro
PC000179;16;344,37;Fornecedor Beta;Loja Centro
PC000180;46;247,24;Fornecedor Gamma;Loja Centro
PC000181;34;433,64;Fornecedor Gamma;Loja Centro
PC000182;20;159,11;Fornecedor Alfa;Loja Centro
PC000183;69;287,62;Fornecedor Gamma;Loja Centro
PC000184;36;419,96;Fornecedor Gamma;Loja Centro
PC000185;61;53,31;Fornecedor Delta;Loja Centro
PC000186;35;422,25;Fornecedor Delta;Loja Centro
PC000187;85;312,05;Fornecedor Beta;Loja Centro
PC000188;98;37,98;Fornecedor Delta;Loja Centro
PC000189;61;141,03;Fornecedor Delta;Loja Centro
PC000190;58;321,01;Fornecedor Delta;Loja Centro
PC000191;8;37,77;Fornecedor Delta;Loja Centro
PC000192;63;265,32;Fornecedor Alfa;Loja Centro
PC000193;14;160,88;Fornecedor Delta;Loja Centro
PC000194;93;282,44;Fornecedor Alfa;Loja Centro
PC000195;26;28,22;Fornecedor Alfa;Loja Centro
PC000196;35;393,22;Fornecedor Delta;Loja Centro
PC000197;25;438,28;Fornecedor Gamma;Loja Centro
PC000198;70;436,24;Fornecedor Alfa;Loja Centro
PC000199;56;339,35;Fornecedor Gamma;Loja Centro
PC000200;56;65,5;Fornecedor Gamma;Loja Centro
PC000201;26;343,15;Fornecedor Delta;Loja Centro
PC000202;36;18,87;Fornecedor Beta;Loja Centro
PC000203;104;17,78;Fornecedor Delta;Loja Centro
PC000204;21;151,04;Fornecedor Beta;Loja Centro
PC000205;50;223,98;Fornecedor Beta;Loja Centro
PC000206;47;348,52;Fornecedor Delta;Loja Centro
PC000207;82;310,02;Fornecedor Delta;Loja Centro
PC000208;24;205,09;Fornecedor Beta;Loja Centro
PC000209;36;128,94;Fornecedor Delta;Loja Centro
PC000210;12;448,73;Fornecedor Beta;Loja Centro
PC000211;43;196,37;Fornecedor Gamma;Loja Centro
PC000212;21;207,51;Fornecedor Delta;Loja Centro
PC000213;9;80,32;Fornecedor Gamma;Loja Centro
PC000214;33;359,31;Fornecedor Alfa;Loja Centro
PC000215;5;314,61;Fornecedor Gamma;Loja Centro
PC000216;26;105,58;Fornecedor Gamma;Loja Centro
PC000217;28;44,41;Fornecedor Beta;Loja Centro
PC000218;15;308,78;Fornecedor Gamma;Loja Centro
PC000219;22;297,29;Fornecedor Delta;Loja Centro
PC000220;26;128,78;Fornecedor Beta;Loja Centro
PC000221;37;428,28;Fornecedor Alfa;Loja Centro
PC000222;30;74,77;Fornecedor Delta;Loja Centro
PC000223;22;199,09;Fornecedor Alfa;Loja Centro
PC000224;9;425,08;Fornecedor Gamma;Loja Centro
PC000225;32;193,52;Fornecedor Delta;Loja Centro
PC000226;6;290,23;Fornecedor Delta;Loja Centro
PC000227;56;183,74;Fornecedor Alfa;Loja Centro
PC000228;51;129,2;Fornecedor Delta;Loja Centro
PC000229;38;442,92;Fornecedor Delta;Loja Centro
PC000230;34;188,93;Fornecedor Delta;Loja Centro
PC000231;80;403,19;Fornecedor Gamma;Loja Centro
PC000232;15;109,64;Fornecedor Alfa;Loja Centro
PC000233;51;102,19;Fornecedor Delta;Loja Centro
PC000234;52;21,76;Fornecedor Beta;Loja Centro
PC000235;33;296,04;Fornecedor Beta;Loja Centro
PC000236;10;170,89;Fornecedor Beta;Loja Centro
PC000237;30;390,05;Fornecedor Beta;Loja Centro
PC000238;9;217,16;Fornecedor Gamma;Loja Centro
PC000239;48;435,94;Fornecedor Delta;Loja Centro
PC000240;45;90,0;Fornecedor Alfa;Loja Centro
PC000241;6;391,93;Fornecedor Delta;Loja Centro
PC000242;26;351,26;Fornecedor Gamma;Loja Centro
PC000243;22;348,75;Fornecedor Beta;Loja Centro
PC000244;49;381,39;Fornecedor Gamma;Loja Centro
PC000245;19;344,37;Fornecedor Delta;Loja Centro
PC000246;37;284,79;Fornecedor Alfa;Loja Centro
PC000247;85;66,01;Fornecedor Gamma;Loja Centro
PC000248;65;22,38;Fornecedor Alfa;Loja Centro
PC000249;22;415,01;Fornecedor Gamma;Loja Centro
PC000250;24;280,56;Fornecedor Alfa;Loja Centro
PC000251;8;360,07;Fornecedor Alfa;Loja Centro
PC000252;27;220,83;Fornecedor Beta;Loja Centro
PC000253;65;59,85;Fornecedor Alfa;Loja Centro
PC000254;34;63,33;Fornecedor Beta;Loja Centro
PC000255;22;311,02;Fornecedor Delta;Loja Centro
PC000256;11;198,2;Fornecedor Delta;Loja Centro
PC000257;44;96,63;Fornecedor Beta;Loja Centro
PC000258;51;225,28;Fornecedor Beta;Loja Centro
PC000259;63;36,38;Fornecedor Gamma;Loja Centro
PC000260;35;265,23;Fornecedor Gamma;Loja Centro
PC000261;37;126,9;Fornecedor Gamma;Loja Centro
PC000262;24;360,52;Fornecedor Delta;Loja Centro
PC000263;44;145,18;Fornecedor Gamma;Loja Centro
PC000264;21;209,21;Fornecedor Alfa;Loja Centro
PC000265;41;13,14;Fornecedor Alfa;Loja Centro
PC000266;73;40,02;Fornecedor Gamma;Loja Centro
PC000267;42;181,48;Fornecedor Alfa;Loja Centro
PC000268;17;220,13;Fornecedor Delta;Loja Centro
PC000269;27;273,21;Fornecedor Alfa;Loja Centro
PC000270;31;136,91;Fornecedor Delta;Loja Centro
PC000271;33;315,18;Fornecedor Beta;Loja Centro
PC000272;16;388,17;Fornecedor Beta;Loja Centro
PC000273;26;352,69;Fornecedor Beta;Loja Centro
PC000274;7;25,51;Fornecedor Beta;Loja Centro
PC000275;17;220,38;Fornecedor Alfa;Loja Centro
PC000276;70;54,38;Fornecedor Gamma;Loja Centro
PC000277;23;114,98;Fornecedor Alfa;Loja Centro
PC000278;38;444,1;Fornecedor Delta;Loja Centro
PC000279;22;70,98;Fornecedor Alfa;Loja Centro
PC000280;34;228,51;Fornecedor Alfa;Loja Centro
PC000281;75;281,22;Fornecedor Delta;Loja Centro
PC000282;71;318,49;Fornecedor Beta;Loja Centro
PC000283;42;255,36;Fornecedor Beta;Loja Centro
PC000284;27;12,32;Fornecedor Beta;Loja Centro
PC000285;34;152,3;Fornecedor Gamma;Loja Centro
PC000286;45;236,83;Fornecedor Delta;Loja Centro
PC000287;26;46,84;Fornecedor Delta;Loja Centro
PC000288;56;162,98;Fornecedor Alfa;Loja Centro
PC000289;19;22,68;Fornecedor Gamma;Loja Centro
PC000290;23;42,73;Fornecedor Beta;Loja Centro
PC000291;16;183,44;Fornecedor Gamma;Loja Centro
PC000292;29;66,66;Fornecedor Delta;Loja Centro
PC000293;17;258,85;Fornecedor Delta;Loja Centro
PC000294;19;312,74;Fornecedor Alfa;Loja Centro
PC000295;78;361,86;Fornecedor Alfa;Loja Centro
PC000296;90;96,47;Fornecedor Delta;Loja Centro
PC000297;15;82,03;Fornecedor Beta;Loja Centro
PC000298;63;54,22;Fornecedor Beta;Loja Centro
PC000299;33;289,3;Fornecedor Gamma;Loja Centro
PC000300;7;320,26;Fornecedor Delta;Loja Centro
PC000301;58;21,96;Fornecedor Delta;Loja Centro
PC000302;23;421,81;Fornecedor Beta;Loja Centro
PC000303;2;30,97;Fornecedor Beta;Loja Centro
PC000304;7;247,25;Fornecedor Delta;Loja Centro
PC000305;53;321,4;Fornecedor Alfa;Loja Centro
PC000306;23;392,97;Fornecedor Delta;Loja Centro
PC000307;30;323,63;Fornecedor Delta;Loja Centro
PC000308;24;362,36;Fornecedor Beta;Loja Centro
PC000309;111;158,04;Fornecedor Beta;Loja Centro
PC000310;19;368,15;Fornecedor Alfa;Loja Centro
PC000311;15;43,41;Fornecedor Alfa;Loja Centro
PC000312;82;403,51;Fornecedor Gamma;Loja Centro
PC000313;82;250,04;Fornecedor Delta;Loja Centro
PC000314;81;369,25;Fornecedor Beta;Loja Centro
PC000315;63;207,92;Fornecedor Alfa;Loja Centro
PC000316;105;292,46;Fornecedor Gamma;Loja Centro
PC000317;44;240,67;Fornecedor Gamma;Loja Centro
PC000318;32;331,36;Fornecedor Beta;Loja Centro
PC000319;102;44,08;Fornecedor Beta;Loja Centro
PC000320;41;34,68;Fornecedor Gamma;Loja Centro
PC000321;24;117,22;Fornecedor Alfa;Loja Centro
PC000322;40;78,52;Fornecedor Gamma;Loja Centro
PC000323;6;393,33;Fornecedor Delta;Loja Centro
PC000324;32;104,89;Fornecedor Delta;Loja Centro
PC000325;41;439,33;Fornecedor Beta;Loja Centro
PC000326;7;156,91;Fornecedor Alfa;Loja Centro
PC000327;99;88,5;Fornecedor Alfa;Loja Centro
PC000328;58;357,05;Fornecedor Delta;Loja Centro
PC000329;11;299,15;Fornecedor Gamma;Loja Centro
PC000330;57;228,2;Fornecedor Beta;Loja Centro
PC000331;24;253,47;Fornecedor Gamma;Loja Centro
PC000332;9;325,89;Fornecedor Gamma;Loja Centro
PC000333;71;108,98;Fornecedor Gamma;Loja Centro
PC000334;52;448,38;Fornecedor Alfa;Loja Centro
PC000335;100;438,86;Fornecedor Delta;Loja Centro
PC000336;90;295,44;Fornecedor Alfa;Loja Centro
PC000337;5;96,2;Fornecedor Delta;Loja Centro
PC000338;11;308,66;Fornecedor Beta;Loja Centro
PC000339;45;39,91;Fornecedor Beta;Loja Centro
PC000340;45;21,55;Fornecedor Gamma;Loja Centro
PC000341;17;121,9;Fornecedor Delta;Loja Centro
PC000342;8;212,48;Fornecedor Delta;Loja Centro
PC000343;37;391,78;Fornecedor Delta;Loja Centro
PC000344;24;329,41;Fornecedor Gamma;Loja Centro
PC000345;30;336,28;Fornecedor Gamma;Loja Centro
PC000346;92;196,07;Fornecedor Beta;Loja Centro
PC000347;37;160,9;Fornecedor Alfa;Loja Centro
PC000348;78;172,0;Fornecedor Delta;Loja Centro
PC000349;44;444,54;Fornecedor Delta;Loja Centro
PC000350;30;25,73;Fornecedor Alfa;Loja Centro
PC000351;23;391,23;Fornecedor Delta;Loja Centro
PC000352;32;263,77;Fornecedor Gamma;Loja Centro
PC000353;32;201,87;Fornecedor Gamma;Loja Centro
PC000354;40;328,56;Fornecedor Delta;Loja Centro
PC000355;23;223,11;Fornecedor Gamma;Loja Centro
PC000356;51;394,05;Fornecedor Gamma;Loja Centro
PC000357;12;406,11;Fornecedor Delta;Loja Centro
PC000358;39;194,4;Fornecedor Beta;Loja Centro
PC000359;22;130,36;Fornecedor Alfa;Loja Centro
PC000360;10;269,82;Fornecedor Gamma;Loja Centro
PC000361;16;411,26;Fornecedor Beta;Loja Centro
PC000362;37;101,11;Fornecedor Gamma;Loja Centro
PC000363;28;283,35;Fornecedor Gamma;Loja Centro
PC000364;49;287,15;Fornecedor Alfa;Loja Centro
PC000365;31;332,04;Fornecedor Gamma;Loja Centro
PC000366;57;66,15;Fornecedor Alfa;Loja Centro
PC000367;17;324,39;Fornecedor Alfa;Loja Centro
PC000368;11;409,79;Fornecedor Alfa;Loja Centro
PC000369;48;87,42;Fornecedor Beta;Loja Centro
PC000370;18;112,99;Fornecedor Delta;Loja Centro
PC000371;27;437,36;Fornecedor Beta;Loja Centro
PC000372;15;87,99;Fornecedor Delta;Loja Centro
PC000373;49;385,64;Fornecedor Delta;Loja Centro
PC000374;10;225,59;Fornecedor Alfa;Loja Centro
PC000375;53;117,28;Fornecedor Gamma;Loja Centro
PC000376;60;392,87;Fornecedor Alfa;Loja Centro
PC000377;31;204,82;Fornecedor Gamma;Loja Centro
PC000378;39;235,55;Fornecedor Delta;Loja Centro
PC000379;8;166,78;Fornecedor Alfa;Loja Centro
PC000380;60;270,08;Fornecedor Gamma;Loja Centro
PC000381;17;80,28;Fornecedor Beta;Loja Centro
PC000382;91;180,86;Fornecedor Gamma;Loja Centro
PC000383;23;436,48;Fornecedor Alfa;Loja Centro
PC000384;39;122,09;Fornecedor Beta;Loja Centro
PC000385;62;298,28;Fornecedor Gamma;Loja Centro
PC000386;54;151,73;Fornecedor Gamma;Loja Centro
PC000387;61;349,88;Fornecedor Gamma;Loja Centro
PC000388;55;65,85;Fornecedor Gamma;Loja Centro
PC000389;12;436,66;Fornecedor Gamma;Loja Centro
PC000390;29;208,57;Fornecedor Beta;Loja Centro
PC000391;5;112,33;Fornecedor Delta;Loja Centro
PC000392;22;40,49;Fornecedor Beta;Loja Centro
PC000393;39;83,03;Fornecedor Beta;Loja Centro
PC000394;53;237,74;Fornecedor Beta;Loja Centro
PC000395;90;156,96;Fornecedor Delta;Loja Centro
PC000396;78;374,37;Fornecedor Alfa;Loja Centro
PC000397;34;198,45;Fornecedor Delta;Loja Centro
PC000398;12;117,93;Fornecedor Beta;Loja Centro
PC000399;38;280,78;Fornecedor Gamma;Loja Centro
PC000400;37;320,4;Fornecedor Gamma;Loja Centro
PC000401;19;81,83;Fornecedor Beta;Loja Centro
PC000402;55;82,09;Fornecedor Gamma;Loja Centro
PC000403;16;24,21;Fornecedor Beta;Loja Centro
PC000404;6;333,49;Fornecedor Gamma;Loja Centro
PC000405;4;301,4;Fornecedor Delta;Loja Centro
PC000406;21;217,79;Fornecedor Alfa;Loja Centro
PC000407;40;381,12;Fornecedor Alfa;Loja Centro
PC000408;24;364,11;Fornecedor Delta;Loja Centro
PC000409;26;266,73;Fornecedor Delta;Loja Centro
PC000410;62;391,78;Fornecedor Beta;Loja Centro
PC000411;29;98,98;Fornecedor Beta;Loja Centro
PC000412;71;57,47;Fornecedor Beta;Loja Centro
PC000413;13;127,23;Fornecedor Gamma;Loja Centro
PC000414;59;33,23;Fornecedor Beta;Loja Centro
PC000415;66;242,78;Fornecedor Delta;Loja Centro
PC000416;55;421,98;Fornecedor Alfa;Loja Centro
PC000417;75;25,39;Fornecedor Gamma;Loja Centro
PC000418;75;61,97;Fornecedor Beta;Loja Centro
PC000419;17;207,87;Fornecedor Gamma;Loja Centro
PC000420;74;420,77;Fornecedor Gamma;Loja Centro
PC000421;21;147,74;Fornecedor Beta;Loja Centro
PC000422;72;232,2;Fornecedor Gamma;Loja Centro
PC000423;13;26,38;Fornecedor Alfa;Loja Centro
PC000424;69;73,57;Fornecedor Delta;Loja Centro
PC000425;64;444,09;Fornecedor Delta;Loja Centro
PC000426;29;434,58;Fornecedor Alfa;Loja Centro
PC000427;81;10,18;Fornecedor Gamma;Loja Centro
PC000428;23;428,7;Fornecedor Beta;Loja Centro
PC000429;36;290,49;Fornecedor Gamma;Loja Centro
PC000430;31;391,62;Fornecedor Alfa;Loja Centro
PC000431;4;209,0;Fornecedor Gamma;Loja Centro
PC000432;36;235,89;Fornecedor Delta;Loja Centro
PC000433;7;224,07;Fornecedor Gamma;Loja Centro
PC000434;15;302,75;Fornecedor Alfa;Loja Centro
PC000435;101;69,73;Fornecedor Delta;Loja Centro
PC000436;43;21,25;Fornecedor Gamma;Loja Centro
PC000437;49;144,11;Fornecedor Gamma;Loja Centro
PC000438;52;319,47;Fornecedor Delta;Loja Centro
PC000439;19;97,22;Fornecedor Beta;Loja Centro
PC000440;6;305,66;Fornecedor Delta;Loja Centro
PC000441;7;436,7;Fornecedor Beta;Loja Centro
PC000442;93;49,5;Fornecedor Alfa;Loja Centro
PC000443;19;305,29;Fornecedor Alfa;Loja Centro
PC000444;90;204,14;Fornecedor Delta;Loja Centro
PC000445;51;391,72;Fornecedor Delta;Loja Centro
PC000446;17;86,3;Fornecedor Alfa;Loja Centro
PC000447;11;314,14;Fornecedor Beta;Loja Centro
PC000448;39;378,45;Fornecedor Alfa;Loja Centro
PC000449;41;425,52;Fornecedor Delta;Loja Centro
PC000450;48;310,0;Fornecedor Alfa;Loja Centro
PC000451;27;227,75;Fornecedor Delta;Loja Centro
PC000452;38;281,09;Fornecedor Delta;Loja Centro
PC000453;16;392,06;Fornecedor Alfa;Loja Centro
PC000454;26;260,21;Fornecedor Beta;Loja Centro
PC000455;55;21,43;Fornecedor Gamma;Loja Centro
PC000456;16;419,48;Fornecedor Alfa;Loja Centro
PC000457;16;312,77;Fornecedor Gamma;Loja Centro
PC000458;28;307,02;Fornecedor Alfa;Loja Centro
PC000459;31;103,33;Fornecedor Gamma;Loja Centro
PC000460;37;299,23;Fornecedor Beta;Loja Centro
PC000461;60;182,09;Fornecedor Beta;Loja Centro
PC000462;17;295,84;Fornecedor Alfa;Loja Centro
PC000463;9;55,11;Fornecedor Delta;Loja Centro
PC000464;7;298,77;Fornecedor Gamma;Loja Centro
PC000465;65;449,74;Fornecedor Delta;Loja Centro
PC000466;25;29,31;Fornecedor Delta;Loja Centro
PC000467;88;439,91;Fornecedor Delta;Loja Centro
PC000468;20;187,85;Fornecedor Beta;Loja Centro
PC000469;35;392,87;Fornecedor Alfa;Loja Centro
PC000470;19;353,81;Fornecedor Alfa;Loja Centro
PC000471;29;258,62;Fornecedor Beta;Loja Centro
PC000472;29;334,39;Fornecedor Beta;Loja Centro
PC000473;69;396,3;Fornecedor Alfa;Loja Centro
PC000474;66;186,63;Fornecedor Delta;Loja Centro
PC000475;12;152,55;Fornecedor Gamma;Loja Centro
PC000476;16;303,08;Fornecedor Gamma;Loja Centro
PC000477;22;365,07;Fornecedor Gamma;Loja Centro
PC000478;16;344,93;Fornecedor Delta;Loja Centro
PC000479;27;360,63;Fornecedor Alfa;Loja Centro
PC000480;61;200,53;Fornecedor Beta;Loja Centro
PC000481;75;369,48;Fornecedor Alfa;Loja Centro
PC000482;127;61,13;Fornecedor Delta;Loja Centro
PC000483;47;248,66;Fornecedor Beta;Loja Centro
PC000484;25;10,55;Fornecedor Delta;Loja Centro
PC000485;54;151,47;Fornecedor Gamma;Loja Centro
PC000486;19;169,98;Fornecedor Gamma;Loja Centro
PC000487;18;183,11;Fornecedor Delta;Loja Centro
PC000488;12;315,4;Fornecedor Beta;Loja Centro
PC000489;85;179,74;Fornecedor Beta;Loja Centro
