Produto;Categoria;Emissao;Quantidade;Vlr.Total;Filial;_periodo_val
PC000006;Arrefecimento;01/02/2025;10;5299,2;Loja Norte;2025-02
PC000006;Arrefecimento;01/03/2025;8;4239,36;Loja Norte;2025-03
PC000006;Arrefecimento;01/04/2025;10;5299,2;Loja Norte;2025-04
PC000006;Arrefecimento;01/05/2025;9;4769,28;Loja Norte;2025-05
PC000006;Arrefecimento;01/06/2025;9;4769,28;Loja Norte;2025-06
PC000006;Arrefecimento;01/07/2025;9;4769,28;Loja Norte;2025-07
PC000006;Arrefecimento;01/08/2025;10;5299,2;Loja Norte;2025-08
PC000006;Arrefecimento;01/09/2025;8;4239,36;Loja Norte;2025-09
PC000006;Arrefecimento;01/10/2025;9;4769,28;Loja Norte;2025-10
PC000006;Arrefecimento;01/11/2025;12;6359,04;Loja Norte;2025-11
PC000006;Arrefecimento;01/12/2025;16;8478,72;Loja Norte;2025-12
PC000006;Arrefecimento;01/01/2026;11;5829,12;Loja Norte;2026-01
PC000006;Arrefecimento;01/02/2026;10;5299,2;Loja Norte;2026-02
PC000006;Arrefecimento;01/03/2026;10;5299,2;Loja Norte;2026-03
PC000006;Arrefecimento;01/04/2026;11;5829,12;Loja Norte;2026-04
PC000006;Arrefecimento;01/05/2026;9;4769,28;Loja Norte;2026-05
PC000006;Arrefecimento;01/06/2026;9;4769,28;Loja Norte;2026-06
PC000006;Arrefecimento;01/07/2026;10;5299,2;Loja Norte;2026-07
PC000006;Arrefecimento;01/08/2026;7;3709,44;Loja Norte;2026-08
PC000007;Arrefecimento;01/09/2022;13;6237,45;Loja Norte;2022-09
PC000007;Arrefecimento;01/10/2022;13;6237,45;Loja Norte;2022-10
PC000007;Arrefecimento;01/11/2022;16;7676,86;Loja Norte;2022-11
PC000007;Arrefecimento;01/12/2022;18;8636,46;Loja Norte;2022-12
PC000007;Arrefecimento;01/01/2023;14;6717,25;Loja Norte;2023-01
PC000007;Arrefecimento;01/02/2023;13;6237,45;Loja Norte;2023-02
PC000007;Arrefecimento;01/03/2023;14;6717,25;Loja Norte;2023-03
PC000007;Arrefecimento;01/04/2023;14;6717,25;Loja Norte;2023-04
PC000007;Arrefecimento;01/05/2023;16;7676,86;Loja Norte;2023-05
PC000007;Arrefecimento;01/06/2023;12;5757,64;Loja Norte;2023-06
PC000007;Arrefecimento;01/07/2023;12;5757,64;Loja Norte;2023-07
PC000007;Arrefecimento;01/08/2023;13;6237,45;Loja Norte;2023-08
PC000007;Arrefecimento;01/09/2023;15;7197,05;Loja Norte;2023-09
PC000007;Arrefecimento;01/10/2023;11;5277,84;Loja Norte;2023-10
PC000007;Arrefecimento;01/11/2023;15;7197,05;Loja Norte;2023-11
PC000007;Arrefecimento;01/12/2023;25;11995,09;Loja Norte;2023-12
PC000007;Arrefecimento;01/01/2024;14;6717,25;Loja Norte;2024-01
PC000007;Arrefecimento;01/02/2024;14;6717,25;Loja Norte;2024-02
PC000007;Arrefecimento;01/03/2024;16;7676,86;Loja Norte;2024-03
PC000007;Arrefecimento;01/04/2024;17;8156,66;Loja Norte;2024-04
PC000007;Arrefecimento;01/05/2024;16;7676,86;Loja Norte;2024-05
PC000007;Arrefecimento;01/06/2024;15;7197,05;Loja Norte;2024-06
PC000007;Arrefecimento;01/07/2024;13;6237,45;Loja Norte;2024-07
PC000007;Arrefecimento;01/08/2024;15;7197,05;Loja Norte;2024-08
PC000007;Arrefecimento;01/09/2024;14;6717,25;Loja Norte;2024-09
PC000007;Arrefecimento;01/10/2024;16;7676,86;Loja Norte;2024-10
PC000007;Arrefecimento;01/11/2024;22;10555,68;Loja Norte;2024-11
PC000007;Arrefecimento;01/12/2024;21;10075,87;Loja Norte;2024-12
PC000007;Arrefecimento;01/01/2025;18;8636,46;Loja Norte;2025-01
PC000007;Arrefecimento;01/02/2025;15;7197,05;Loja Norte;2025-02
PC000007;Arrefecimento;01/03/2025;14;6717,25;Loja Norte;2025-03
PC000007;Arrefecimento;01/04/2025;19;9116,27;Loja Norte;2025-04
PC000007;Arrefecimento;01/05/2025;17;8156,66;Loja Norte;2025-05
PC000007;Arrefecimento;01/06/2025;12;5757,64;Loja Norte;2025-06
PC000007;Arrefecimento;01/07/2025;14;6717,25;Loja Norte;2025-07
PC000007;Arrefecimento;01/08/2025;13;6237,45;Loja Norte;2025-08
PC000007;Arrefecimento;01/09/2025;13;6237,45;Loja Norte;2025-09
PC000007;Arrefecimento;01/10/2025;17;8156,66;Loja Norte;2025-10
PC000007;Arrefecimento;01/11/2025;20;9596,07;Loja Norte;2025-11
PC000007;Arrefecimento;01/12/2025;23;11035,48;Loja Norte;2025-12
PC000007;Arrefecimento;01/01/2026;18;8636,46;Loja Norte;2026-01
PC000007;Arrefecimento;01/02/2026;16;7676,86;Loja Norte;2026-02
PC000007;Arrefecimento;01/03/2026;20;9596,07;Loja Norte;2026-03
PC000007;Arrefecimento;01/04/2026;17;8156,66;Loja Norte;2026-04
PC000007;Arrefecimento;01/05/2026;18;8636,46;Loja Norte;2026-05
PC000007;Arrefecimento;01/06/2026;19;9116,27;Loja Norte;2026-06
PC000007;Arrefecimento;01/07/2026;14;6717,25;Loja Norte;2026-07
PC000007;Arrefecimento;01/08/2026;16;7676,86;Loja Norte;2026-08
PC000011;Arrefecimento;01/09/2022;9;1637,75;Loja Norte;2022-09
PC000011;Arrefecimento;01/10/2022;9;1637,75;Loja Norte;2022-10
PC000011;Arrefecimento;01/11/2022;14;2547,61;Loja Norte;2022-11
PC000011;Arrefecimento;01/12/2022;15;2729,58;Loja Norte;2022-12
PC000011;Arrefecimento;01/01/2023;10;1819,72;Loja Norte;2023-01
PC000011;Arrefecimento;01/02/2023;10;1819,72;Loja Norte;2023-02
PC000011;Arrefecimento;01/03/2023;10;1819,72;Loja Norte;2023-03
PC000011;Arrefecimento;01/04/2023;11;2001,7;Loja Norte;2023-04
PC000011;Arrefecimento;01/05/2023;10;1819,72;Loja Norte;2023-05
PC000011;Arrefecimento;01/06/2023;8;1455,78;Loja Norte;2023-06
PC000011;Arrefecimento;01/07/2023;10;1819,72;Loja Norte;2023-07
PC000011;Arrefecimento;01/08/2023;9;1637,75;Loja Norte;2023-08
PC000011;Arrefecimento;01/09/2023;7;1273,81;Loja Norte;2023-09
PC000011;Arrefecimento;01/10/2023;7;1273,81;Loja Norte;2023-10
PC000011;Arrefecimento;01/11/2023;12;2183,67;Loja Norte;2023-11
PC000011;Arrefecimento;01/12/2023;16;2911,56;Loja Norte;2023-12
PC000011;Arrefecimento;01/01/2024;9;1637,75;Loja Norte;2024-01
PC000011;Arrefecimento;01/02/2024;9;1637,75;Loja Norte;2024-02
PC000011;Arrefecimento;01/03/2024;10;1819,72;Loja Norte;2024-03
PC000011;Arrefecimento;01/04/2024;10;1819,72;Loja Norte;2024-04
PC000011;Arrefecimento;01/05/2024;10;1819,72;Loja Norte;2024-05
PC000011;Arrefecimento;01/06/2024;9;1637,75;Loja Norte;2024-06
PC000011;Arrefecimento;01/07/2024;10;1819,72;Loja Norte;2024-07
PC000011;Arrefecimento;01/08/2024;9;1637,75;Loja Norte;2024-08
PC000011;Arrefecimento;01/09/2024;8;1455,78;Loja Norte;2024-09
PC000011;Arrefecimento;01/10/2024;10;1819,72;Loja Norte;2024-10
PC000011;Arrefecimento;01/11/2024;12;2183,67;Loja Norte;2024-11
PC000011;Arrefecimento;01/12/2024;14;2547,61;Loja Norte;2024-12
PC000011;Arrefecimento;01/01/2025;11;2001,7;Loja Norte;2025-01
PC000011;Arrefecimento;01/02/2025;10;1819,72;Loja Norte;2025-02
PC000011;Arrefecimento;01/03/2025;10;1819,72;Loja Norte;2025-03
PC000011;Arrefecimento;01/04/2025;10;1819,72;Loja Norte;2025-04
PC000011;Arrefecimento;01/05/2025;11;2001,7;Loja Norte;2025-05
PC000011;Arrefecimento;01/06/2025;11;2001,7;Loja Norte;2025-06
PC000011;Arrefecimento;01/07/2025;10;1819,72;Loja Norte;2025-07
PC000011;Arrefecimento;01/08/2025;9;1637,75;Loja Norte;2025-08
PC000011;Arrefecimento;01/09/2025;10;1819,72;Loja Norte;2025-09
PC000011;Arrefecimento;01/10/2025;10;1819,72;Loja Norte;2025-10
PC000011;Arrefecimento;01/11/2025;11;2001,7;Loja Norte;2025-11
PC000011;Arrefecimento;01/12/2025;16;2911,56;Loja Norte;2025-12
PC000011;Arrefecimento;01/01/2026;10;1819,72;Loja Norte;2026-01
PC000011;Arrefecimento;01/02/2026;12;2183,67;Loja Norte;2026-02
PC000011;Arrefecimento;01/03/2026;9;1637,75;Loja Norte;2026-03
PC000011;Arrefecimento;01/04/2026;11;2001,7;Loja Norte;2026-04
PC000011;Arrefecimento;01/05/2026;12;2183,67;Loja Norte;2026-05
PC000011;Arrefecimento;01/06/2026;10;1819,72;Loja Norte;2026-06
PC000011;Arrefecimento;01/07/2026;10;1819,72;Loja Norte;2026-07
PC000011;Arrefecimento;01/08/2026;9;1637,75;Loja Norte;2026-08
PC000014;Arrefecimento;01/09/2022;21;1004,66;Loja Norte;2022-09
PC000014;Arrefecimento;01/10/2022;18;861,14;Loja Norte;2022-10
PC000014;Arrefecimento;01/11/2022;26;1243,87;Loja Norte;2022-11
PC000014;Arrefecimento;01/12/2022;31;1483,08;Loja Norte;2022-12
PC000014;Arrefecimento;01/01/2023;20;956,82;Loja Norte;2023-01
PC000014;Arrefecimento;01/02/2023;21;1004,66;Loja Norte;2023-02
PC000014;Arrefecimento;01/03/2023;19;908,98;Loja Norte;2023-03
PC000014;Arrefecimento;01/04/2023;24;1148,19;Loja Norte;2023-04
PC000014;Arrefecimento;01/05/2023;17;813,3;Loja Norte;2023-05
PC000014;Arrefecimento;01/06/2023;20;956,82;Loja Norte;2023-06
PC000014;Arrefecimento;01/07/2023;18;861,14;Loja Norte;2023-07
PC000014;Arrefecimento;01/08/2023;19;908,98;Loja Norte;2023-08
PC000014;Arrefecimento;01/09/2023;15;717,62;Loja Norte;2023-09
PC000014;Arrefecimento;01/10/2023;21;1004,66;Loja Norte;2023-10
PC000014;Arrefecimento;01/11/2023;26;1243,87;Loja Norte;2023-11
PC000014;Arrefecimento;01/12/2023;34;1626,6;Loja Norte;2023-12
PC000014;Arrefecimento;01/01/2024;22;1052,51;Loja Norte;2024-01
PC000014;Arrefecimento;01/02/2024;22;1052,51;Loja Norte;2024-02
PC000014;Arrefecimento;01/03/2024;23;1100,35;Loja Norte;2024-03
PC000014;Arrefecimento;01/04/2024;20;956,82;Loja Norte;2024-04
PC000014;Arrefecimento;01/05/2024;22;1052,51;Loja Norte;2024-05
PC000014;Arrefecimento;01/06/2024;18;861,14;Loja Norte;2024-06
PC000014;Arrefecimento;01/07/2024;18;861,14;Loja Norte;2024-07
PC000014;Arrefecimento;01/08/2024;19;908,98;Loja Norte;2024-08
PC000014;Arrefecimento;01/09/2024;18;861,14;Loja Norte;2024-09
PC000014;Arrefecimento;01/10/2024;20;956,82;Loja Norte;2024-10
PC000014;Arrefecimento;01/11/2024;24;1148,19;Loja Norte;2024-11
PC000014;Arrefecimento;01/12/2024;35;1674,44;Loja Norte;2024-12
PC000014;Arrefecimento;01/01/2025;26;1243,87;Loja Norte;2025-01
PC000014;Arrefecimento;01/02/2025;25;1196,03;Loja Norte;2025-02
PC000014;Arrefecimento;01/03/2025;24;1148,19;Loja Norte;2025-03
PC000014;Arrefecimento;01/04/2025;22;1052,51;Loja Norte;2025-04
PC000014;Arrefecimento;01/05/2025;23;1100,35;Loja Norte;2025-05
PC000014;Arrefecimento;01/06/2025;23;1100,35;Loja Norte;2025-06
PC000014;Arrefecimento;01/07/2025;23;1100,35;Loja Norte;2025-07
PC000014;Arrefecimento;01/08/2025;24;1148,19;Loja Norte;2025-08
PC000014;Arrefecimento;01/09/2025;19;908,98;Loja Norte;2025-09
PC000014;Arrefecimento;01/10/2025;17;813,3;Loja Norte;2025-10
PC000014;Arrefecimento;01/11/2025;30;1435,23;Loja Norte;2025-11
PC000014;Arrefecimento;01/12/2025;34;1626,6;Loja Norte;2025-12
PC000014;Arrefecimento;01/01/2026;21;1004,66;Loja Norte;2026-01
PC000014;Arrefecimento;01/02/2026;22;1052,51;Loja Norte;2026-02
PC000014;Arrefecimento;01/03/2026;22;1052,51;Loja Norte;2026-03
PC000014;Arrefecimento;01/04/2026;25;1196,03;Loja Norte;2026-04
PC000014;Arrefecimento;01/05/2026;28;1339,55;Loja Norte;2026-05
PC000014;Arrefecimento;01/06/2026;23;1100,35;Loja Norte;2026-06
PC000014;Arrefecimento;01/07/2026;21;1004,66;Loja Norte;2026-07
PC000014;Arrefecimento;01/08/2026;24;1148,19;Loja Norte;2026-08
PC000015;Arrefecimento;01/09/2022;10;5310,45;Loja Norte;2022-09
PC000015;Arrefecimento;01/10/2022;11;5841,5;Loja Norte;2022-10
PC000015;Arrefecimento;01/11/2022;14;7434,64;Loja Norte;2022-11
PC000015;Arrefecimento;01/12/2022;18;9558,82;Loja Norte;2022-12
PC000015;Arrefecimento;01/01/2023;10;5310,45;Loja Norte;2023-01
PC000015;Arrefecimento;01/02/2023;12;6372,54;Loja Norte;2023-02
PC000015;Arrefecimento;01/03/2023;12;6372,54;Loja Norte;2023-03
PC000015;Arrefecimento;01/04/2023;11;5841,5;Loja Norte;2023-04
PC000015;Arrefecimento;01/05/2023;13;6903,59;Loja Norte;2023-05
PC000015;Arrefecimento;01/06/2023;12;6372,54;Loja Norte;2023-06
PC000015;Arrefecimento;01/07/2023;11;5841,5;Loja Norte;2023-07
PC000015;Arrefecimento;01/08/2023;10;5310,45;Loja Norte;2023-08
PC000015;Arrefecimento;01/09/2023;8;4248,36;Loja Norte;2023-09
PC000015;Arrefecimento;01/10/2023;10;5310,45;Loja Norte;2023-10
PC000015;Arrefecimento;01/11/2023;12;6372,54;Loja Norte;2023-11
PC000015;Arrefecimento;01/12/2023;17;9027,77;Loja Norte;2023-12
PC000015;Arrefecimento;01/01/2024;12;6372,54;Loja Norte;2024-01
PC000015;Arrefecimento;01/02/2024;12;6372,54;Loja Norte;2024-02
PC000015;Arrefecimento;01/03/2024;12;6372,54;Loja Norte;2024-03
PC000015;Arrefecimento;01/04/2024;14;7434,64;Loja Norte;2024-04
PC000015;Arrefecimento;01/05/2024;10;5310,45;Loja Norte;2024-05
PC000015;Arrefecimento;01/06/2024;11;5841,5;Loja Norte;2024-06
PC000015;Arrefecimento;01/07/2024;12;6372,54;Loja Norte;2024-07
PC000015;Arrefecimento;01/08/2024;11;5841,5;Loja Norte;2024-08
PC000015;Arrefecimento;01/09/2024;10;5310,45;Loja Norte;2024-09
PC000015;Arrefecimento;01/10/2024;11;5841,5;Loja Norte;2024-10
PC000015;Arrefecimento;01/11/2024;14;7434,64;Loja Norte;2024-11
PC000015;Arrefecimento;01/12/2024;17;9027,77;Loja Norte;2024-12
PC000015;Arrefecimento;01/01/2025;12;6372,54;Loja Norte;2025-01
PC000015;Arrefecimento;01/02/2025;10;5310,45;Loja Norte;2025-02
PC000015;Arrefecimento;01/03/2025;13;6903,59;Loja Norte;2025-03
PC000015;Arrefecimento;01/04/2025;13;6903,59;Loja Norte;2025-04
PC000015;Arrefecimento;01/05/2025;9;4779,41;Loja Norte;2025-05
PC000015;Arrefecimento;01/06/2025;9;4779,41;Loja Norte;2025-06
PC000015;Arrefecimento;01/07/2025;9;4779,41;Loja Norte;2025-07
PC000015;Arrefecimento;01/08/2025;10;5310,45;Loja Norte;2025-08
PC000015;Arrefecimento;01/09/2025;12;6372,54;Loja Norte;2025-09
PC000015;Arrefecimento;01/10/2025;11;5841,5;Loja Norte;2025-10
PC000015;Arrefecimento;01/11/2025;16;8496,73;Loja Norte;2025-11
PC000015;Arrefecimento;01/12/2025;19;10089,86;Loja Norte;2025-12
PC000015;Arrefecimento;01/01/2026;12;6372,54;Loja Norte;2026-01
PC000015;Arrefecimento;01/02/2026;10;5310,45;Loja Norte;2026-02
PC000015;Arrefecimento;01/03/2026;13;6903,59;Loja Norte;2026-03
PC000015;Arrefecimento;01/04/2026;11;5841,5;Loja Norte;2026-04
PC000015;Arrefecimento;01/05/2026;10;5310,45;Loja Norte;2026-05
PC000015;Arrefecimento;01/06/2026;11;5841,5;Loja Norte;2026-06
PC000015;Arrefecimento;01/07/2026;12;6372,54;Loja Norte;2026-07
PC000015;Arrefecimento;01/08/2026;10;5310,45;Loja Norte;2026-08
PC000016;Arrefecimento;01/09/2022;7;4732,1;Loja Norte;2022-09
PC000016;Arrefecimento;01/10/2022;9;6084,13;Loja Norte;2022-10
PC000016;Arrefecimento;01/11/2022;13;8788,19;Loja Norte;2022-11
PC000016;Arrefecimento;01/12/2022;15;10140,22;Loja Norte;2022-12
PC000016;Arrefecimento;01/01/2023;11;7436,16;Loja Norte;2023-01
PC000016;Arrefecimento;01/02/2023;11;7436,16;Loja Norte;2023-02
PC000016;Arrefecimento;01/03/2023;10;6760,15;Loja Norte;2023-03
PC000016;Arrefecimento;01/04/2023;10;6760,15;Loja Norte;2023-04
PC000016;Arrefecimento;01/05/2023;9;6084,13;Loja Norte;2023-05
PC000016;Arrefecimento;01/06/2023;9;6084,13;Loja Norte;2023-06
PC000016;Arrefecimento;01/07/2023;8;5408,12;Loja Norte;2023-07
PC000016;Arrefecimento;01/08/2023;9;6084,13;Loja Norte;2023-08
PC000016;Arrefecimento;01/09/2023;7;4732,1;Loja Norte;2023-09
PC000016;Arrefecimento;01/10/2023;9;6084,13;Loja Norte;2023-10
PC000016;Arrefecimento;01/11/2023;12;8112,18;Loja Norte;2023-11
PC000016;Arrefecimento;01/12/2023;17;11492,25;Loja Norte;2023-12
PC000016;Arrefecimento;01/01/2024;11;7436,16;Loja Norte;2024-01
PC000016;Arrefecimento;01/02/2024;12;8112,18;Loja Norte;2024-02
PC000016;Arrefecimento;01/03/2024;11;7436,16;Loja Norte;2024-03
PC000016;Arrefecimento;01/04/2024;12;8112,18;Loja Norte;2024-04
PC000016;Arrefecimento;01/05/2024;11;7436,16;Loja Norte;2024-05
PC000016;Arrefecimento;01/06/2024;9;6084,13;Loja Norte;2024-06
PC000016;Arrefecimento;01/07/2024;9;6084,13;Loja Norte;2024-07
PC000016;Arrefecimento;01/08/2024;10;6760,15;Loja Norte;2024-08
PC000016;Arrefecimento;01/09/2024;10;6760,15;Loja Norte;2024-09
PC000016;Arrefecimento;01/10/2024;10;6760,15;Loja Norte;2024-10
PC000016;Arrefecimento;01/11/2024;14;9464,2;Loja Norte;2024-11
PC000016;Arrefecimento;01/12/2024;17;11492,25;Loja Norte;2024-12
PC000016;Arrefecimento;01/01/2025;10;6760,15;Loja Norte;2025-01
PC000016;Arrefecimento;01/02/2025;11;7436,16;Loja Norte;2025-02
PC000016;Arrefecimento;01/03/2025;11;7436,16;Loja Norte;2025-03
PC000016;Arrefecimento;01/04/2025;11;7436,16;Loja Norte;2025-04
PC000016;Arrefecimento;01/05/2025;9;6084,13;Loja Norte;2025-05
PC000016;Arrefecimento;01/06/2025;11;7436,16;Loja Norte;2025-06
PC000016;Arrefecimento;01/07/2025;9;6084,13;Loja Norte;2025-07
PC000016;Arrefecimento;01/08/2025;9;6084,13;Loja Norte;2025-08
PC000016;Arrefecimento;01/09/2025;10;6760,15;Loja Norte;2025-09
PC000016;Arrefecimento;01/10/2025;8;5408,12;Loja Norte;2025-10
PC000016;Arrefecimento;01/11/2025;15;10140,22;Loja Norte;2025-11
PC000016;Arrefecimento;01/12/2025;16;10816,23;Loja Norte;2025-12
PC000016;Arrefecimento;01/01/2026;12;8112,18;Loja Norte;2026-01
PC000016;Arrefecimento;01/02/2026;10;6760,15;Loja Norte;2026-02
PC000016;Arrefecimento;01/03/2026;11;7436,16;Loja Norte;2026-03
PC000016;Arrefecimento;01/04/2026;13;8788,19;Loja Norte;2026-04
PC000016;Arrefecimento;01/05/2026;11;7436,16;Loja Norte;2026-05
PC000016;Arrefecimento;01/06/2026;10;6760,15;Loja Norte;2026-06
PC000016;Arrefecimento;01/07/2026;11;7436,16;Loja Norte;2026-07
PC000016;Arrefecimento;01/08/2026;9;6084,13;Loja Norte;2026-08
PC000022;Arrefecimento;01/07/2025;7;1839,72;Loja Norte;2025-07
PC000022;Arrefecimento;01/08/2025;7;1839,72;Loja Norte;2025-08
PC000022;Arrefecimento;01/09/2025;8;2102,53;Loja Norte;2025-09
PC000022;Arrefecimento;01/10/2025;7;1839,72;Loja Norte;2025-10
PC000022;Arrefecimento;01/11/2025;10;2628,17;Loja Norte;2025-11
PC000022;Arrefecimento;01/12/2025;12;3153,8;Loja Norte;2025-12
PC000022;Arrefecimento;01/01/2026;8;2102,53;Loja Norte;2026-01
PC000022;Arrefecimento;01/02/2026;8;2102,53;Loja Norte;2026-02
PC000022;Arrefecimento;01/03/2026;10;2628,17;Loja Norte;2026-03
PC000022;Arrefecimento;01/04/2026;9;2365,35;Loja Norte;2026-04
PC000022;Arrefecimento;01/05/2026;8;2102,53;Loja Norte;2026-05
PC000022;Arrefecimento;01/06/2026;7;1839,72;Loja Norte;2026-06
PC000022;Arrefecimento;01/07/2026;7;1839,72;Loja Norte;2026-07
PC000022;Arrefecimento;01/08/2026;8;2102,53;Loja Norte;2026-08
PC000027;Arrefecimento;01/09/2022;5;3643,28;Loja Norte;2022-09
PC000027;Arrefecimento;01/10/2022;5;3643,28;Loja Norte;2022-10
PC000027;Arrefecimento;01/11/2022;5;3643,28;Loja Norte;2022-11
PC000027;Arrefecimento;01/12/2022;8;5829,24;Loja Norte;2022-12
PC000027;Arrefecimento;01/01/2023;6;4371,93;Loja Norte;2023-01
PC000027;Arrefecimento;01/02/2023;5;3643,28;Loja Norte;2023-02
PC000027;Arrefecimento;01/03/2023;5;3643,28;Loja Norte;2023-03
