_ProdutoUnico;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000210;48;Croston;28087,43;[26550.1, 26550.1, 26550.1];-5,5;ok;"{""ARIMA"": 5980878.057657088, ""ExponentialSmoothing"": 8743421.26247556, ""SARIMAX"": 14964248.93029376, ""Holt"": 9547199.805468516, ""Prophet"": 8681345.799413674, ""Croston"": 4514052.26715437, ""TSB"": 4514052.26715437}"
PC000186;48;Ensemble;27987,95;[25368.25, 25128.09, 28436.33];-9,4;ok;"{""ARIMA"": 13866850.994974041, ""ExponentialSmoothing"": 10923168.213560283, ""SARIMAX"": 29847547.79879989, ""Holt"": 10207269.883883307, ""Prophet"": 9490556.960812312, ""Croston"": 10290069.095653987, ""TSB"": 10290069.095653987, ""Ensemble"": 8614859.877908835}"
PC000819;48;Prophet;19955,16;[20565.78, 21600.01, 29766.68];3,1;ok;"{""ARIMA"": 7251587.923025672, ""ExponentialSmoothing"": 4441621.67927178, ""SARIMAX"": 4309341.901196695, ""Holt"": 12244530.457837552, ""Prophet"": 3459034.074260505, ""Croston"": 10521995.00190614, ""TSB"": 10521995.00190614, ""Ensemble"": 3741773.6822999567}"
PC000495;48;Prophet;19922,59;[20993.99, 22877.08, 30828.42];5,4;ok;"{""ARIMA"": 4916385.819557375, ""ExponentialSmoothing"": 2162480.643326487, ""SARIMAX"": 5357400.4152099835, ""Holt"": 5116104.920834076, ""Prophet"": 1302736.6548297654, ""Croston"": 9693469.385585882, ""TSB"": 9693469.385585882}"
PC000420;48;ARIMA;19503,66;[21149.26, 21992.92, 22425.45];8,4;ok;"{""ARIMA"": 7961384.544944063, ""ExponentialSmoothing"": 9185750.435673814, ""SARIMAX"": 14307438.39095501, ""Holt"": 16183316.253102168, ""Prophet"": 10811807.908025483, ""Croston"": 12113163.133012787, ""TSB"": 12113163.133012787}"
PC000980;48;ARIMA;24589,32;[23596.28, 23150.95, 22951.24];-4,0;ok;"{""ARIMA"": 2938354.056611067, ""ExponentialSmoothing"": 5861491.341144915, ""SARIMAX"": 6188166.05590585, ""Holt"": 7771833.751388309, ""Prophet"": 6524936.939544428, ""Croston"": 6727542.605039492, ""TSB"": 6727542.605039492}"
PC000156;48;Ensemble;21628,97;[24136.49, 23831.88, 26513.12];11,6;ok;"{""ARIMA"": 6897792.004140808, ""ExponentialSmoothing"": 5964110.81415029, ""SARIMAX"": 12474731.404391699, ""Holt"": 5014600.039213662, ""Prophet"": 3349840.9433032474, ""Croston"": 4207871.747920492, ""TSB"": 4207871.747920492, ""Ensemble"": 2004928.6402273348}"
PC000684;48;Prophet;23972,42;[19912.14, 22133.26, 30880.01];-16,9;ok;"{""ARIMA"": 12692668.522176767, ""ExponentialSmoothing"": 8323716.374613064, ""SARIMAX"": 26257016.609569702, ""Holt"": 11519796.90842633, ""Prophet"": 7661406.04070051, ""Croston"": 10742787.608795974, ""TSB"": 10742787.608795974}"
PC000224;48;Croston;20946,77;[23476.07, 23476.07, 23476.07];12,1;ok;"{""ARIMA"": 3397290.92677651, ""ExponentialSmoothing"": 4139416.3603032487, ""SARIMAX"": 17295435.486944806, ""Holt"": 2669273.056044072, ""Prophet"": 3149095.196352217, ""Croston"": 2049935.8494417684, ""TSB"": 2049935.8494417684}"
PC000016;48;Ensemble;20354,35;[21530.68, 22404.93, 28339.8];5,8;ok;"{""ARIMA"": 6903637.770396748, ""ExponentialSmoothing"": 7181148.325309649, ""SARIMAX"": 8018898.481678382, ""Holt"": 12062211.331035675, ""Prophet"": 7270689.964224757, ""Croston"": 8557789.67815387, ""TSB"": 8557789.67815387, ""Ensemble"": 6504853.941243019}"
PC000052;48;SARIMAX;21104,44;[25506.74, 23530.59, 31716.1];20,9;ok;"{""ARIMA"": 2998436.416695349, ""ExponentialSmoothing"": 1806872.6133112463, ""SARIMAX"": 1357530.027098263, ""Holt"": 10129852.904038727, ""Prophet"": 1853032.3680952538, ""Croston"": 3469571.1542093963, ""TSB"": 3469571.1542093963}"
PC000061;48;SARIMAX;19794,14;[21677.35, 21169.34, 28815.28];9,5;ok;"{""ARIMA"": 3867239.9547840594, ""ExponentialSmoothing"": 3589426.673049018, ""SARIMAX"": 2961259.457705086, ""Holt"": 6896563.323855276, ""Prophet"": 4028847.192921637, ""Croston"": 4332850.09736666, ""TSB"": 4332850.09736666}"
PC000690;48;ARIMA;21475,2;[22048.69, 22224.64, 22278.62];2,7;ok;"{""ARIMA"": 2941299.456933291, ""ExponentialSmoothing"": 8481816.578924796, ""SARIMAX"": 7480687.415092648, ""Holt"": 4600487.020223532, ""Prophet"": 4728819.465137365, ""Croston"": 3966965.0567194787, ""TSB"": 3966965.0567194787}"
PC000036;48;Ensemble;21782,39;[23406.51, 23406.5, 23406.5];7,5;ok;"{""ARIMA"": 6436116.081361659, ""ExponentialSmoothing"": 7345106.121509186, ""SARIMAX"": 19937948.048414905, ""Holt"": 5001879.00325377, ""Prophet"": 5616205.434599158, ""Croston"": 4976129.250615384, ""TSB"": 4976129.250615384, ""Ensemble"": 4975074.367782918}"
PC000416;48;ARIMA;23066,56;[22291.31, 21839.54, 21576.26];-3,4;ok;"{""ARIMA"": 3860646.8772882763, ""ExponentialSmoothing"": 7645866.669191812, ""SARIMAX"": 12106681.387725381, ""Holt"": 5174650.309219076, ""Prophet"": 5234858.084274148, ""Croston"": 4344073.71786068, ""TSB"": 4344073.71786068, ""Ensemble"": 4152851.6115447446}"
PC000003;48;Prophet;17035,44;[19789.19, 19976.3, 26925.82];16,2;ok;"{""ARIMA"": 10156604.994550185, ""ExponentialSmoothing"": 8057122.954651281, ""SARIMAX"": 7670081.924818933, ""Holt"": 18768417.94365665, ""Prophet"": 6666402.831057687, ""Croston"": 11378922.15391904, ""TSB"": 11378922.15391904, ""Ensemble"": 6893669.612527338}"
PC000780;48;ARIMA;18727,17;[20553.79, 21099.92, 21263.21];9,8;ok;"{""ARIMA"": 4050888.723654186, ""ExponentialSmoothing"": 5755721.377035624, ""SARIMAX"": 8953288.908284185, ""Holt"": 5922489.266282138, ""Prophet"": 5505963.9787795, ""Croston"": 5307903.161340016, ""TSB"": 5307903.161340016}"
PC000897;48;ExponentialSmoothing;19615,54;[20183.88, 19335.53, 29486.77];2,9;ok;"{""ARIMA"": 9521239.340447295, ""ExponentialSmoothing"": 7279081.563285266, ""SARIMAX"": 15673715.963435374, ""Holt"": 12517713.073808433, ""Prophet"": 7899914.637075496, ""Croston"": 10422416.894706324, ""TSB"": 10422416.894706324}"
PC000762;48;ExponentialSmoothing;20047,12;[20114.31, 17799.11, 28373.06];0,3;ok;"{""ARIMA"": 5012487.0752058895, ""ExponentialSmoothing"": 1235759.9929615776, ""SARIMAX"": 7295951.828426662, ""Holt"": 5134436.81660501, ""Prophet"": 2917023.5639727265, ""Croston"": 5137285.529821941, ""TSB"": 5137285.529821941}"
PC000295;48;Croston;20374,48;[21309.56, 21309.56, 21309.56];4,6;ok;"{""ARIMA"": 2576935.0087514385, ""ExponentialSmoothing"": 4228797.7860465525, ""SARIMAX"": 3345040.173030065, ""Holt"": 7763064.961781707, ""Prophet"": 4145532.6509086047, ""Croston"": 1535167.6202663959, ""TSB"": 1535167.6202663959}"
PC000144;48;ARIMA;20796,83;[20541.88, 20455.7, 20426.56];-1,2;ok;"{""ARIMA"": 6247056.652185671, ""ExponentialSmoothing"": 11275205.380382396, ""SARIMAX"": 10828415.107060395, ""Holt"": 7484448.2120176805, ""Prophet"": 9318894.411411403, ""Croston"": 7128737.650285945, ""TSB"": 7128737.650285945, ""Ensemble"": 6477968.676303939}"
PC000905;48;Holt;19286,32;[19622.11, 19622.17, 19622.21];1,7;ok;"{""ARIMA"": 1186544.2345400536, ""ExponentialSmoothing"": 1874640.1923399211, ""SARIMAX"": 2072745.6417438772, ""Holt"": 485997.4714852792, ""Prophet"": 933848.9718338394, ""Croston"": 1454855.5872946412, ""TSB"": 1454855.5872946412}"
PC000007;48;ARIMA;21097,61;[21155.83, 21181.16, 21192.18];0,3;ok;"{""ARIMA"": 1093351.4407630719, ""ExponentialSmoothing"": 4025883.4665942024, ""SARIMAX"": 7562435.165435936, ""Holt"": 11010741.833965061, ""Prophet"": 5426732.035731634, ""Croston"": 3113588.2329150685, ""TSB"": 3113588.2329150685}"
PC000640;48;Prophet;18111,89;[17491.06, 19754.72, 27290.43];-3,4;ok;"{""ARIMA"": 2403773.959420575, ""ExponentialSmoothing"": 2080640.5186110754, ""SARIMAX"": 2724153.7114372514, ""Holt"": 4379286.773512165, ""Prophet"": 1627133.3410679314, ""Croston"": 2398484.191362521, ""TSB"": 2398484.191362521}"
PC000470;48;Croston;20083,75;[20775.51, 20775.51, 20775.51];3,4;ok;"{""ARIMA"": 3137020.2622756213, ""ExponentialSmoothing"": 4524650.94591171, ""SARIMAX"": 9784935.989983255, ""Holt"": 2478009.5309795463, ""Prophet"": 4141776.923137534, ""Croston"": 1917535.3381652562, ""TSB"": 1917535.3381652562, ""Ensemble"": 1999381.578061891}"
PC000425;48;ExponentialSmoothing;15999,52;[16947.18, 19088.56, 25451.9];5,9;ok;"{""ARIMA"": 8372341.431264694, ""ExponentialSmoothing"": 4240102.921615067, ""SARIMAX"": 14127238.783603655, ""Holt"": 11294046.783827052, ""Prophet"": 5338638.319453724, ""Croston"": 8414006.207884418, ""TSB"": 8414006.207884418}"
PC000730;48;Prophet;17154,25;[15087.82, 16173.69, 25355.23];-12,0;ok;"{""ARIMA"": 4739424.389207854, ""ExponentialSmoothing"": 2570286.5684193126, ""SARIMAX"": 3914854.144942034, ""Holt"": 12089451.09966436, ""Prophet"": 1610771.5999968995, ""Croston"": 8799615.747216636, ""TSB"": 8799615.747216636}"
PC000357;48;ExponentialSmoothing;16997,04;[17361.09, 17749.03, 24539.98];2,1;ok;"{""ARIMA"": 6416061.569236632, ""ExponentialSmoothing"": 3637130.4046475496, ""SARIMAX"": 5674982.928954036, ""Holt"": 11859317.435611727, ""Prophet"": 3808758.6204901063, ""Croston"": 5830685.548800714, ""TSB"": 5830685.548800714}"
PC000845;48;ARIMA;19807,09;[19371.46, 19208.12, 19146.88];-2,2;ok;"{""ARIMA"": 724344.5598810172, ""ExponentialSmoothing"": 3593159.765294356, ""SARIMAX"": 5207366.028274507, ""Holt"": 3836931.616130665, ""Prophet"": 3227414.014146277, ""Croston"": 1387664.38164844, ""TSB"": 1387664.38164844}"
PC000613;48;ARIMA;17939,6;[18534.96, 18781.41, 18883.43];3,3;ok;"{""ARIMA"": 3998662.0989139075, ""ExponentialSmoothing"": 6184130.260254018, ""SARIMAX"": 8082922.469657415, ""Holt"": 4594832.557267158, ""Prophet"": 8074425.386982267, ""Croston"": 4584767.661116178, ""TSB"": 4584767.661116178, ""Ensemble"": 4351742.74469781}"
PC000701;48;Ensemble;18520,35;[18587.25, 18468.53, 20825.47];0,4;ok;"{""ARIMA"": 5766241.699522491, ""ExponentialSmoothing"": 8870621.449884627, ""SARIMAX"": 12123378.37183906, ""Holt"": 5237259.033849887, ""Prophet"": 5116232.915341149, ""Croston"": 5416646.073476651, ""TSB"": 5416646.073476651, ""Ensemble"": 4313642.857122691}"
PC000356;48;Prophet;17559,6;[18884.61, 18107.29, 25521.21];7,5;ok;"{""ARIMA"": 3748940.6218863637, ""ExponentialSmoothing"": 2654224.1370548247, ""SARIMAX"": 8293367.986817195, ""Holt"": 5404195.832458347, ""Prophet"": 2552540.9555467404, ""Croston"": 3819566.8718344923, ""TSB"": 3819566.8718344923}"
PC000674;48;Holt;19602,0;[19844.82, 19844.89, 19844.96];1,2;ok;"{""ARIMA"": 1809209.1256357944, ""ExponentialSmoothing"": 6564718.231832098, ""SARIMAX"": 3824806.8407205455, ""Holt"": 552659.831655698, ""Prophet"": 4161665.8607768887, ""Croston"": 3005828.547020802, ""TSB"": 3005828.547020802}"
PC000451;48;Prophet;16904,28;[14553.79, 16712.42, 22351.89];-13,9;ok;"{""ARIMA"": 5054196.95392982, ""ExponentialSmoothing"": 4021019.581989836, ""SARIMAX"": 5554988.4501822, ""Holt"": 8348456.404166562, ""Prophet"": 3600848.398999347, ""Croston"": 7774744.62563317, ""TSB"": 7774744.62563317}"
PC000310;48;ExponentialSmoothing;16867,21;[15301.28, 16384.61, 24947.19];-9,3;ok;"{""ARIMA"": 6032551.466971461, ""ExponentialSmoothing"": 4620717.550884055, ""SARIMAX"": 10240259.117539203, ""Holt"": 18343181.95152105, ""Prophet"": 6318186.607634955, ""Croston"": 10998129.190131905, ""TSB"": 10998129.190131905}"
PC000620;48;Prophet;14465,46;[18525.65, 19289.81, 23578.72];28,1;ok;"{""ARIMA"": 7471785.876585797, ""ExponentialSmoothing"": 9123962.773967152, ""SARIMAX"": 10560984.911971504, ""Holt"": 16274327.918877214, ""Prophet"": 3191424.8830777598, ""Croston"": 7329485.397627358, ""TSB"": 7329485.397627358}"
