Produto;Descricao;Categoria;Emissao;Quantidade;Vlr.Unitario;Vlr.Total;Custo Total;Promocao
TEC-PH-10004732;Cisco Office Telephone, Cordless;Technology - Phones;21/08/2012;2,0;41,66;83,31;131,64;1
OFF-SU-10000087;Stiletto Ruler, High Speed;Office Supplies - Supplies;19/12/2011;12,0;14,88;178,56;155,52;0
OFF-XER-10001429;Xerox Parchment Paper, Recycled;Office Supplies - Paper;05/11/2014;1,0;13,17;13,17;7,26;0
OFF-ST-10004837;Eldon File Cart, Single Width;Office Supplies - Storage;01/09/2011;6,0;127,92;767,52;721,62;0
OFF-OIC-10003366;OIC Staples, Metal;Office Supplies - Fasteners;11/05/2012;2,0;11,46;22,92;13,56;0
OFF-LA-10002598;Harbour Creations Removable Labels, Laser Printer Compatible;Office Supplies - Labels;15/09/2014;1,0;6,78;6,78;6,52;0
OFF-AP-10002239;Hoover Toaster, White;Office Supplies - Appliances;21/12/2011;3,0;40,89;122,67;166,86;1
OFF-PA-10000579;Xerox Computer Printout Paper, Recycled;Office Supplies - Paper;20/09/2013;2,0;23,62;47,25;34,14;1
OFF-FA-10004494;Stockwell Push Pins, Metal;Office Supplies - Fasteners;28/03/2011;3,0;7,24;21,73;43,11;1
OFF-ST-10001837;SAFCO Mobile Desk Side File, Wire Frame;Office Supplies - Storage;02/01/2012;2,0;42,76;85,52;63,28;0
TEC-CO-10000967;HP Fax Machine, Laser;Technology - Copiers;12/03/2014;3,0;149,97;449,91;539,91;1
TEC-PH-10003102;Samsung Audio Dock, with Caller ID;Technology - Phones;27/05/2013;4,0;111,22;444,88;427,12;0
TEC-HP -10004012;HP Personal Copier, Digital;Technology - Copiers;05/08/2011;2,0;123,93;247,86;208,26;0
TEC-AC-10003081;Memorex Mouse, USB;Technology - Accessories;10/08/2012;4,0;18,92;75,68;71,2;0
OFF-FA-10000581;Stockwell Thumb Tacks, Metal;Office Supplies - Fasteners;28/11/2014;3,0;7,23;21,7;27,45;1
TEC-PAN-10000377;Panasonic Inkjet, Durable;Technology - Machines;09/01/2013;2,0;312,21;624,42;499,56;0
OFF-PA-10004675;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";Office Supplies - Paper;16/01/2014;2,0;6,35;12,7;6,86;0
OFF-CAR-10002931;Cardinal Hole Reinforcements, Recycled;Office Supplies - Binders;04/02/2013;2,0;5,7;11,4;6,66;0
OFF-BI-10002225;Cardinal Binding Machine, Durable;Office Supplies - Binders;22/11/2012;2,0;51,27;102,54;66,66;0
TEC-PH-10000702;"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White";Technology - Phones;06/10/2014;1,0;7,99;7,99;5,29;1
OFF-SU-10000062;Stiletto Scissors, High Speed;Office Supplies - Supplies;06/09/2013;8,0;21,25;169,99;185,28;1
OFF-EN-10003615;GlobeWeis Interoffice Envelope, with clear poly window;Office Supplies - Envelopes;22/04/2012;8,0;25,68;205,44;295,92;1
OFF-AP-10001394;Harmony Air Purifier;Office Supplies - Appliances;10/12/2014;1,0;189,0;189,0;120,96;0
FUR-FU-10001468;Tenex Antistatic Computer Chair Mats;Furniture - Furnishings;05/04/2012;4,0;136,78;547,14;615,53;1
OFF-FA-10000227;OIC Clamps, Metal;Office Supplies - Fasteners;25/08/2011;2,0;19,89;39,78;21,9;0
OFF-AR-10004492;BIC Canvas, Blue;Office Supplies - Art;24/09/2012;5,0;53,7;268,5;247,05;0
OFF-BI-10003910;DXL Angle-View Binders with Locking Rings by Samsill;Office Supplies - Binders;19/06/2013;2,0;2,31;4,63;8,48;1
FUR-BO-10001646;Safco Library with Doors, Pine;Furniture - Bookcases;29/11/2012;3,0;260,76;782,28;469,38;0
FUR-TA-10001520;Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table;Furniture - Tables;16/11/2012;3,0;71,37;214,11;177,71;0
OFF-AP-10000576;Belkin 7 Outlet SurgeMaster II;Office Supplies - Appliances;27/09/2013;6,0;39,48;236,88;170,55;0
FUR-FU-10001619;Advantus Clock, Erganomic;Furniture - Furnishings;06/08/2013;4,0;50,01;200,04;122,04;0
TEC-HP -10004971;HP Wireless Fax, Color;Technology - Copiers;02/09/2012;2,0;108,5;216,99;716,1;1
TEC-CIS-10001717;Cisco Smart Phone, with Caller ID;Technology - Phones;29/01/2014;1,0;196,27;196,27;366,39;1
FUR-CH-10000351;Novimex Chairmat, Set of Two;Furniture - Chairs;19/01/2012;1,0;42,77;42,77;36,93;1
OFF-SU-10001218;Fiskars Softgrip Scissors;Office Supplies - Supplies;27/08/2012;3,0;10,98;32,94;23,72;0
OFF-PA-10000289;Xerox 213;Office Supplies - Paper;12/04/2011;5,0;6,48;32,4;16,85;0
TEC-AC-10004196;Belkin Memory Card, USB;Technology - Accessories;11/12/2014;2,0;115,02;230,04;223,14;0
OFF-AR-10001720;Stanley Canvas, Blue;Office Supplies - Art;15/05/2014;3,0;49,47;148,41;124,74;0
OFF-SU-10004846;Acme Box Cutter, Serrated;Office Supplies - Supplies;03/05/2012;2,0;31,05;62,1;49,68;1
OFF-BI-10003702;Wilson Jones Binder Covers, Durable;Office Supplies - Binders;11/08/2013;2,0;12,69;25,38;13,74;0
OFF-SME-10002740;Smead Lockers, Single Width;Office Supplies - Storage;02/08/2013;2,0;198,45;396,9;218,34;0
OFF-HAR-10001714;Harbour Creations Legal Exhibit Labels, Adjustable;Office Supplies - Labels;18/12/2013;2,0;2,66;5,31;9,6;1
TEC-CO-10000500;Canon Fax and Copier, High-Speed;Technology - Copiers;25/09/2013;2,0;161,11;322,22;352,56;1
FUR-BEV-10000326;Bevis Wood Table, Rectangular;Furniture - Tables;07/02/2013;1,0;531,18;531,18;440,88;0
OFF-PA-10004326;Enermax Parchment Paper, Multicolor;Office Supplies - Paper;10/03/2014;2,0;10,08;20,16;29,58;1
OFF-PA-10000127;SanDisk Parchment Paper, Multicolor;Office Supplies - Paper;16/02/2012;4,0;16,31;65,23;45,72;1
TEC-PH-10000923;Belkin SportFit Armband For iPhone 5s/5c, Fuchsia;Technology - Phones;09/09/2013;5,0;11,99;59,96;38,22;1
OFF-FA-10004659;Stockwell Thumb Tacks, 12 Pack;Office Supplies - Fasteners;01/08/2012;2,0;12,96;25,92;17,64;0
TEC-PH-10001382;Apple Office Telephone, Cordless;Technology - Phones;01/09/2012;2,0;68,13;136,26;68,16;0
FUR-FU-10000394;Rubbermaid Photo Frame, Durable;Furniture - Furnishings;13/11/2013;11,0;48,78;536,58;284,46;0
OFF-EN-10002674;Cameo Interoffice Envelope, Set of 50;Office Supplies - Envelopes;10/12/2013;1,0;31,62;31,62;19,62;0
OFF-LA-10002752;Smead Legal Exhibit Labels, 5000 Label Set;Office Supplies - Labels;10/09/2014;1,0;11,49;11,49;9,33;0
FUR-BO-10004142;Safco Classic Bookcase, Traditional;Furniture - Bookcases;04/12/2013;3,0;292,1;876,3;517,02;0
OFF-AR-10004360;Boston Pens, Fluorescent;Office Supplies - Art;08/12/2011;4,0;8,26;33,02;25,6;1
FUR-TA-10003782;Lesro Training Table, Rectangular;Furniture - Tables;23/06/2014;6,0;53,27;319,64;639,36;1
OFF-SU-10001731;Acme Letter Opener, Serrated;Office Supplies - Supplies;24/04/2012;3,0;14,26;42,79;50,13;1
OFF-FA-10002763;Advantus Map Pennant Flags and Round Head Tacks;Office Supplies - Fasteners;06/03/2014;2,0;3,95;7,9;5,37;0
TEC-PAN-10003688;Panasonic Printer, Wireless;Technology - Machines;18/12/2014;2,0;266,49;532,98;399,78;0
OFF-AR-10001708;Boston Sketch Pad, Blue;Office Supplies - Art;04/07/2012;2,0;48,6;97,2;76,8;0
TEC-AC-10002649;Belkin Keyboard, Programmable;Technology - Accessories;02/12/2014;5,0;45,25;226,26;273,3;1
OFF-GRE-10002561;Green Bar Message Books, Premium;Office Supplies - Paper;27/02/2014;4,0;23,79;95,16;85,68;0
TEC-AC-10001590;Dell Slim USB Multimedia Keyboard;Technology - Accessories;23/06/2012;3,0;25,0;75,0;57,0;0
OFF-EN-10004560;Cameo Business Envelopes, Security-Tint;Office Supplies - Envelopes;17/11/2013;3,0;11,3;33,9;22,74;0
OFF-BIN-10000837;Binney & Smith Markers, Easy-Erase;Office Supplies - Art;04/07/2014;2,0;24,36;48,72;29,28;0
OFF-EN-10001509;Poly String Tie Envelopes;Office Supplies - Envelopes;20/01/2014;1,0;2,04;2,04;1,08;0
OFF-ST-10003017;Tenex Box, Industrial;Office Supplies - Storage;14/08/2014;5,0;16,98;84,9;72,3;0
OFF-LA-10003338;Harbour Creations Removable Labels, 5000 Label Set;Office Supplies - Labels;24/05/2012;14,0;9,32;130,41;101,64;1
OFF-PA-10000300;Xerox 1936;Office Supplies - Paper;15/05/2014;3,0;15,98;47,95;31,77;1
OFF-PA-10000026;Eaton Cards & Envelopes, 8.5 x 11;Office Supplies - Paper;10/10/2012;2,0;24,66;49,32;80,94;1
TEC-AC-10003116;Memorex Froggy Flash Drive 8 GB;Technology - Accessories;22/10/2014;2,0;14,2;28,4;21,65;1
OFF-PA-10003301;Green Bar Parchment Paper, Recycled;Office Supplies - Paper;26/02/2011;1,0;11,06;11,06;7,86;0
OFF-BI-10000106;Cardinal Hole Reinforcements, Clear;Office Supplies - Binders;25/06/2013;3,0;4,32;12,96;9,54;1
FUR-FU-10004139;Tenex Photo Frame, Duo Pack;Furniture - Furnishings;04/06/2013;2,0;20,76;41,52;42,92;1
TEC-CO-10001893;HP Wireless Fax, Color;Technology - Copiers;14/11/2014;2,0;144,18;288,36;313,44;1
TEC-PH-10000018;Nokia Smart Phone, Full Size;Technology - Phones;22/03/2011;5,0;424,9;2124,5;1635,9;0
TEC-PH-10000298;Nokia Speaker Phone, Cordless;Technology - Phones;21/11/2012;6,0;75,6;453,6;597,24;1
TEC-PH-10004631;Cisco Audio Dock, with Caller ID;Technology - Phones;19/12/2012;7,0;72,83;509,8;450,38;1
TEC-AC-10002348;Enermax Memory Card, USB;Technology - Accessories;05/03/2014;6,0;114,6;687,6;584,46;0
OFF-EN-10002464;Cameo Peel and Seal, Security-Tint;Office Supplies - Envelopes;23/05/2012;2,0;23,4;46,8;37,92;0
FUR-HAR-10002223;Harbour Creations Chairmat, Set of Two;Furniture - Chairs;20/04/2014;2,0;74,25;148,5;129,24;0
OFF-PA-10000591;Green Bar Cards & Envelopes, Multicolor;Office Supplies - Paper;18/11/2013;3,0;26,56;79,68;85,68;1
TEC-MA-10002779;Panasonic Receipt Printer, Red;Technology - Machines;06/01/2014;3,0;118,05;354,15;180,63;0
OFF-AR-10002952;Stanley Contemporary Battery Pencil Sharpeners;Office Supplies - Art;07/08/2012;10,0;10,68;106,8;96,12;1
OFF-BI-10002735;GBC Prestige Therm-A-Bind Covers;Office Supplies - Binders;04/04/2012;3,0;27,45;82,34;54,55;1
OFF-AR-10000715;Boston Markers, Blue;Office Supplies - Art;22/11/2011;5,0;26,37;131,85;77,85;0
OFF-BI-10001636;Ibico Plastic and Wire Spiral Binding Combs;Office Supplies - Binders;10/12/2014;4,0;8,43;33,72;18,21;0
TEC-CO-10000556;HP Wireless Fax, Laser;Technology - Copiers;09/08/2012;3,0;360,21;1080,63;1015,83;0
OFF-ST-10004608;Smead Shelving, Industrial;Office Supplies - Storage;19/03/2014;3,0;44,47;133,41;133,47;1
TEC-AC-10002550;Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack;Technology - Accessories;24/07/2014;5,0;31,95;159,75;148,57;0
OFF-BI-10000050;Angle-D Binders with Locking Rings, Label Holders;Office Supplies - Binders;21/09/2012;2,0;7,3;14,6;7,74;0
OFF-EN-10003858;Jiffy Manila Envelope, Recycled;Office Supplies - Envelopes;22/11/2012;1,0;24,81;24,81;17,13;0
OFF-AR-10000814;Binney & Smith Canvas, Fluorescent;Office Supplies - Art;27/11/2014;6,0;31,57;189,43;211,68;1
OFF-BIC-10001632;BIC Pens, Easy-Erase;Office Supplies - Art;16/07/2011;1,0;14,55;14,55;11,37;0
FUR-BO-10003034;Sauder Stackable Bookrack, Pine;Furniture - Bookcases;02/09/2013;4,0;59,27;237,07;339,84;1
OFF-AR-10004999;Newell 315;Office Supplies - Art;02/09/2013;2,0;5,98;11,96;8,97;0
OFF-SU-10002466;Elite Shears, Easy Grip;Office Supplies - Supplies;09/11/2013;2,0;19,45;38,9;55,8;1
FUR-BO-10004162;Ikea Floating Shelf Set, Pine;Furniture - Bookcases;23/12/2011;1,0;68,68;68,68;67,54;1
TEC-BEL-10004950;Belkin Numeric Keypad, Erganomic;Technology - Accessories;24/03/2014;8,0;59,25;474,0;464,64;0
TEC-MA-10000122;Okidata Calculator, Red;Technology - Machines;24/06/2014;3,0;32,96;98,88;77,16;0
FUR-FU-10004516;Deflect-O Frame, Black;Furniture - Furnishings;16/07/2014;5,0;110,04;550,2;308,25;0
OFF-ST-10000560;Fellowes Trays, Industrial;Office Supplies - Storage;13/08/2013;5,0;38,58;192,9;152,4;0
OFF-BOS-10003478;Boston Markers, Fluorescent;Office Supplies - Art;05/11/2012;4,0;11,05;44,21;93,96;1
OFF-FA-10003437;Accos Clamps, Bulk Pack;Office Supplies - Fasteners;18/07/2014;3,0;19,38;58,14;42,48;0
OFF-GLO-10002982;GlobeWeis Mailers, Set of 50;Office Supplies - Envelopes;09/11/2013;1,0;38,55;38,55;38,19;0
OFF-LA-10001618;Hon Legal Exhibit Labels, Adjustable;Office Supplies - Labels;03/02/2012;7,0;8,76;61,32;51,66;0
OFF-ST-10004835;Fellowes File Cart, Wire Frame;Office Supplies - Storage;17/06/2013;3,0;90,92;272,76;259,14;0
OFF-BI-10000756;Storex DuraTech Recycled Plastic Frosted Binders;Office Supplies - Binders;21/11/2012;2,0;0,85;1,7;4,24;1
OFF-SU-10001586;Kleencut Trimmer, Steel;Office Supplies - Supplies;12/09/2014;2,0;40,83;81,66;68,64;0
TEC-PH-10000169;Apple Smart Phone, with Caller ID;Technology - Phones;07/06/2012;1,0;426,04;426,04;251,38;0
TEC-PH-10003856;Motorola Smart Phone, with Caller ID;Technology - Phones;11/11/2014;7,0;645,54;4518,78;3886,26;0
OFF-PA-10004155;Eaton Computer Printout Paper, 8.5 x 11;Office Supplies - Paper;09/11/2013;2,0;12,28;24,55;39,72;1
FUR-CH-10003844;Office Star Rocking Chair, Black;Furniture - Chairs;13/01/2012;4,0;92,32;369,28;269,6;0
FUR-TA-10004748;Bevis Coffee Table, Fully Assembled;Furniture - Tables;17/09/2014;3,0;207,77;623,32;815,13;1
OFF-HAR-10004896;Harbour Creations Color Coded Labels, Laser Printer Compatible;Office Supplies - Labels;02/04/2013;4,0;12,9;51,6;40,8;0
OFF-FA-10000585;OIC Bulk Pack Metal Binder Clips;Office Supplies - Fasteners;13/11/2013;6,0;2,79;16,75;11,31;1
OFF-AR-10001473;Newell 313;Office Supplies - Art;02/01/2012;3,0;3,28;9,84;7,18;0
OFF-FA-10001026;Stockwell Staples, Metal;Office Supplies - Fasteners;25/03/2014;2,0;10,92;21,84;13,56;0
OFF-LA-10002848;Novimex Shipping Labels, Laser Printer Compatible;Office Supplies - Labels;03/09/2013;6,0;7,32;43,92;29,04;0
OFF-ST-10000557;Tenex Box, Blue;Office Supplies - Storage;11/10/2012;3,0;11,0;33,0;29,4;0
OFF-AR-10002816;Boston Canvas, Blue;Office Supplies - Art;28/01/2014;4,0;26,82;107,28;160,92;1
OFF-PA-10003105;SanDisk Parchment Paper, Premium;Office Supplies - Paper;24/07/2012;2,0;16,71;33,42;27,12;0
OFF-SU-10004655;Stiletto Trimmer, Steel;Office Supplies - Supplies;28/06/2013;2,0;28,1;56,2;42,72;0
OFF-EN-10003977;Cameo Clasp Envelope, Recycled;Office Supplies - Envelopes;07/08/2012;5,0;8,31;41,55;38,25;0
OFF-KRA-10002752;Kraft Clasp Envelope, Recycled;Office Supplies - Envelopes;18/08/2011;1,0;7,8;7,8;6,57;0
FUR-CH-10000785;Global Ergonomic Managers Chair;Furniture - Chairs;25/11/2014;6,0;162,88;977,29;803,55;1
OFF-AP-10001617;KitchenAid Blender, Silver;Office Supplies - Appliances;27/07/2012;1,0;65,9;65,9;48,12;0
FUR-CH-10002966;Harbour Creations Swivel Stool, Red;Furniture - Chairs;16/08/2011;1,0;180,12;180,12;174,72;0
OFF-LA-10003551;Harbour Creations File Folder Labels, 5000 Label Set;Office Supplies - Labels;15/05/2012;4,0;9,12;36,48;18,24;0
OFF-BI-10001759;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue";Office Supplies - Binders;12/06/2014;6,0;3,05;18,29;11,66;1
TEC-STA-10003925;StarTech Card Printer, Durable;Technology - Machines;27/12/2013;1,0;163,62;163,62;122,73;0
OFF-LA-10001474;Avery 477;Office Supplies - Labels;10/12/2013;4,0;30,53;122,12;65,94;0
OFF-HAR-10004896;Harbour Creations Color Coded Labels, Laser Printer Compatible;Office Supplies - Labels;12/09/2011;4,0;12,9;51,6;40,8;0
OFF-BI-10000844;Wilson Jones Hole Reinforcements, Economy;Office Supplies - Binders;01/08/2012;4,0;4,53;18,12;9,12;0
OFF-SU-10000877;Acme Scissors, Easy Grip;Office Supplies - Supplies;17/09/2013;6,0;13,53;81,18;123,48;1
OFF-ROG-10002866;Rogers Folders, Blue;Office Supplies - Storage;15/11/2012;1,0;12,28;12,28;30,09;1
OFF-EN-10000645;Ames Mailers, Recycled;Office Supplies - Envelopes;13/11/2014;1,0;18,36;18,36;25,65;1
TEC-PH-10003970;Cisco Headset, Full Size;Technology - Phones;29/08/2014;5,0;59,82;299,1;191,5;0
OFF-LA-10003210;Harbour Creations File Folder Labels, Laser Printer Compatible;Office Supplies - Labels;04/05/2011;4,0;8,73;34,92;24,12;0
FUR-SAF-10002940;Safco Corner Shelving, Mobile;Furniture - Bookcases;03/06/2013;6,0;151,98;911,88;510,66;0
OFF-ST-10001222;Eldon Shelving, Single Width;Office Supplies - Storage;01/12/2011;9,0;43,6;392,44;436,05;1
OFF-TEN-10002817;Tenex Folders, Blue;Office Supplies - Storage;05/04/2013;2,0;6,97;13,93;31,14;1
OFF-PA-10004694;Green Bar Cards & Envelopes, 8.5 x 11;Office Supplies - Paper;12/05/2012;6,0;52,53;315,18;258,48;0
OFF-SME-10004160;Smead Folders, Wire Frame;Office Supplies - Storage;05/04/2012;4,0;16,56;66,24;62,28;0
OFF-BI-10001286;Ibico Hole Reinforcements, Durable;Office Supplies - Binders;05/04/2013;4,0;8,49;33,96;27,24;0
OFF-SU-10004087;Elite Scissors, Steel;Office Supplies - Supplies;29/04/2011;3,0;21,93;65,79;51,39;0
OFF-LA-10001065;Avery Round Labels, Alphabetical;Office Supplies - Labels;31/01/2013;3,0;4,64;13,92;12,12;0
OFF-EN-10000673;Cameo Business Envelopes, Recycled;Office Supplies - Envelopes;20/07/2011;5,0;15,75;78,75;43,35;0
OFF-AR-10001813;Stanley Markers, Fluorescent;Office Supplies - Art;18/09/2013;6,0;15,64;93,84;59,16;0
OFF-ST-10000948;Fellowes Box, Blue;Office Supplies - Storage;21/05/2014;5,0;17,71;88,56;50,25;1
OFF-FA-10003123;Stockwell Staples, Bulk Pack;Office Supplies - Fasteners;26/05/2014;2,0;4,16;8,33;10,56;1
OFF-ST-10001558;Acco Perma 4000 Stacking Storage Drawers;Office Supplies - Storage;11/11/2013;3,0;12,99;38,98;41,41;1
OFF-CAR-10002942;Cardinal 3-Hole Punch, Recycled;Office Supplies - Binders;23/05/2012;6,0;29,16;174,96;124,38;0
FUR-TA-10001539;Chromcraft Rectangular Conference Tables;Furniture - Tables;30/05/2011;3,0;118,48;355,45;540,29;1
OFF-BI-10002853;Avery Binder Covers, Recycled;Office Supplies - Binders;21/09/2013;2,0;10,29;20,57;12,12;1
FUR-FU-10004097;Advantus Door Stop, Duo Pack;Furniture - Furnishings;25/06/2012;5,0;31,56;157,81;211,95;1
OFF-EN-10003416;Jiffy Peel and Seal, with clear poly window;Office Supplies - Envelopes;26/06/2013;2,0;6,28;12,56;25,44;1
TEC-PH-10001677;Nokia Office Telephone, Full Size;Technology - Phones;10/04/2012;3,0;44,28;132,84;103,62;0
OFF-AR-10001216;BIC Pencil Sharpener, Easy-Erase;Office Supplies - Art;06/08/2014;2,0;29,28;58,56;55,68;0
OFF-OIC-10002625;OIC Thumb Tacks, 12 Pack;Office Supplies - Fasteners;18/08/2014;1,0;13,5;13,5;8,1;0
FUR-FU-10004152;Eldon Photo Frame, Erganomic;Furniture - Furnishings;05/03/2012;3,0;39,71;119,13;112,41;1
