Produto;Filial;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;FontePrevisao;ModeloUsado
PC000015;Loja Norte;Fornecedor Alfa;A;Baixa;41,0;10,1;121,9;15;30;10,0;2,99;16,22;🟡 Estoque excessivo;0,0;319,86;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000477;Loja Norte;Fornecedor Gamma;A;Baixa;57,0;8,8;193,6;15;30;10,0;1,88;16,22;🟡 Estoque excessivo;0,0;365,07;0,0;1-Config ML (Painel);ARIMA
PC000564;Loja Norte;Fornecedor Alfa;A;Baixa;29,0;19,7;44,1;15;30;10,0;8,27;16,22;🟡 Estoque excessivo;0,0;129,46;0,0;1-Config ML (Painel);SARIMAX
PC000441;Loja Norte;Fornecedor Beta;A;Baixa;101,0;6,9;440,1;15;30;10,0;0,83;16,22;🟡 Estoque excessivo;0,0;436,7;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000845;Loja Norte;Fornecedor Gamma;A;Baixa;51,0;8,3;184,4;15;30;10,0;1,98;16,22;🟡 Estoque excessivo;0,0;424,84;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000410;Loja Norte;Fornecedor Beta;A;Baixa;25,0;10,2;73,7;15;30;10,0;4,95;16,22;🟡 Estoque excessivo;0,0;391,78;0,0;1-Config ML (Painel);ARIMA
PC000857;Loja Norte;Fornecedor Alfa;A;Baixa;31,0;8,2;113,2;15;30;10,0;3,22;16,22;🟡 Estoque excessivo;0,0;341,73;0,0;1-Config ML (Painel);Prophet
PC000959;Loja Norte;Fornecedor Alfa;A;Baixa;30,0;11,2;80,6;15;30;10,0;4,53;16,22;🟡 Estoque excessivo;0,0;289,19;0,0;1-Config ML (Painel);Ensemble
PC000557;Loja Norte;Fornecedor Gamma;A;Baixa;30,0;14,5;62,0;15;30;10,0;5,89;16,22;🟡 Estoque excessivo;0,0;278,05;0,0;1-Config ML (Painel);ARIMA
PC000069;Loja Norte;Fornecedor Delta;A;Baixa;7,0;23,9;8,8;15;30;10,0;41,59;16,22;🚨 RUPTURA IMINENTE;17,0;164,74;2789,13;1-Config ML (Painel);ExponentialSmoothing
PC000245;Loja Norte;Fornecedor Delta;A;Baixa;40,0;7,4;161,5;15;30;10,0;2,26;16,22;🟡 Estoque excessivo;0,0;344,37;0,0;1-Config ML (Painel);SARIMAX
PC000430;Loja Norte;Fornecedor Alfa;A;Baixa;20,0;8,1;73,8;15;30;10,0;4,95;16,22;🟡 Estoque excessivo;0,0;391,62;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000901;Loja Norte;Fornecedor Delta;A;Baixa;29,0;14,5;60,0;15;30;10,0;6,09;16,22;🟡 Estoque excessivo;0,0;252,97;0,0;1-Config ML (Painel);Ensemble
PC000666;Loja Norte;Fornecedor Delta;A;Baixa;31,0;8,5;109,5;15;30;10,0;3,33;16,22;🟡 Estoque excessivo;0,0;384,33;0,0;1-Config ML (Painel);Prophet
PC000373;Loja Norte;Fornecedor Delta;A;Baixa;11,0;8,2;40,1;15;30;10,0;9,1;16,22;🟡 Estoque excessivo;0,0;385,64;0,0;1-Config ML (Painel);ARIMA
PC000819;Loja Norte;Fornecedor Alfa;A;Baixa;38,0;10,8;105,7;15;30;10,0;3,45;16,22;🟡 Estoque excessivo;0,0;284,1;0,0;1-Config ML (Painel);ARIMA
PC000984;Loja Norte;Fornecedor Beta;A;Baixa;96,0;15,1;190,7;15;30;10,0;1,91;16,22;🟡 Estoque excessivo;0,0;221,47;0,0;1-Config ML (Painel);SARIMAX
PC000006;Loja Norte;Fornecedor Beta;A;Baixa;33,0;9,2;108,0;15;30;10,0;3,38;16,22;🟡 Estoque excessivo;0,0;299,18;0,0;1-Config ML (Painel);Prophet
PC000889;Loja Norte;Fornecedor Gamma;A;Baixa;68,0;7,9;257,0;15;30;10,0;1,42;16,22;🟡 Estoque excessivo;0,0;329,1;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000695;Loja Norte;Fornecedor Beta;A;Baixa;51,0;18,0;85,1;15;30;10,0;4,29;16,22;🟡 Estoque excessivo;0,0;170,45;0,0;1-Config ML (Painel);ARIMA
PC000515;Loja Norte;Fornecedor Gamma;A;Baixa;13,0;34,0;11,5;15;30;10,0;31,87;16,22;🔴 Comprar agora;21,0;94,53;1989,77;1-Config ML (Painel);SARIMAX
PC000378;Loja Norte;Fornecedor Delta;A;Baixa;47,0;10,4;135,5;15;30;10,0;2,69;16,22;🟡 Estoque excessivo;0,0;235,55;0,0;1-Config ML (Painel);SARIMAX
PC000336;Loja Norte;Fornecedor Alfa;A;Baixa;19,0;9,1;62,8;15;30;10,0;5,81;16,22;🟡 Estoque excessivo;0,0;295,44;0,0;1-Config ML (Painel);Holt
PC000041;Loja Norte;Fornecedor Delta;A;Baixa;10,0;10,5;28,6;15;30;10,0;12,75;16,22;🟢 OK;0,0;246,46;0,0;1-Config ML (Painel);Ensemble
PC000529;Loja Norte;Fornecedor Delta;A;Baixa;2,0;8,6;7,0;15;30;10,0;52,29;16,22;🚨 RUPTURA IMINENTE;7,0;362,94;2394,08;1-Config ML (Painel);ARIMA
PC000671;Loja Norte;Fornecedor Beta;A;Baixa;6,0;12,5;14,4;15;30;10,0;25,37;16,22;🔴 Comprar agora;7,0;176,24;1147,46;1-Config ML (Painel);ExponentialSmoothing
PC000072;Loja Norte;Fornecedor Alfa;A;Baixa;68,0;21,2;96,4;15;30;10,0;3,79;16,22;🟡 Estoque excessivo;0,0;111,25;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000057;Loja Norte;Fornecedor Beta;A;Baixa;47,0;6,8;208,4;15;30;10,0;1,75;16,22;🟡 Estoque excessivo;0,0;347,1;0,0;1-Config ML (Painel);SARIMAX
PC000947;Loja Norte;Fornecedor Gamma;B;Baixa;78,0;13,0;180,0;20;40;10,0;2,03;12,17;🟡 Estoque excessivo;0,0;202,57;0,0;1-Config ML (Painel);Holt
PC000146;Loja Norte;Fornecedor Delta;B;Baixa;65,0;5,9;328,5;20;40;10,0;1,11;12,17;🟡 Estoque excessivo;0,0;396,35;0,0;1-Config ML (Painel);ARIMA
PC000899;Loja Norte;Fornecedor Beta;B;Baixa;26,0;15,8;49,4;20;40;10,0;7,38;12,17;🟡 Estoque excessivo;0,0;165,08;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000460;Loja Norte;Fornecedor Beta;B;Baixa;75,0;7,2;314,6;20;40;10,0;1,16;12,17;🟡 Estoque excessivo;0,0;299,23;0,0;1-Config ML (Painel);SARIMAX
PC000617;Loja Norte;Fornecedor Delta;B;Baixa;67,0;5,6;355,9;20;40;10,0;1,03;12,17;🟡 Estoque excessivo;0,0;447,41;0,0;1-Config ML (Painel);Prophet
PC000822;Loja Norte;Fornecedor Alfa;B;Baixa;38,0;36,3;31,4;20;40;10,0;11,61;12,17;🟢 OK;0,0;61,65;0,0;1-Config ML (Painel);ARIMA
PC000702;Loja Norte;Fornecedor Gamma;B;Baixa;60,0;11,8;152,2;20;40;10,0;2,4;12,17;🟡 Estoque excessivo;0,0;199,16;0,0;1-Config ML (Painel);SARIMAX
PC000005;Loja Norte;Fornecedor Delta;B;Baixa;59,0;6,8;260,2;20;40;10,0;1,4;12,17;🟡 Estoque excessivo;0,0;364,5;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000206;Loja Norte;Fornecedor Delta;B;Baixa;25,0;6,3;120,0;20;40;10,0;3,04;12,17;🟡 Estoque excessivo;0,0;348,52;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000931;Loja Norte;Fornecedor Alfa;B;Baixa;179,0;7,8;690,0;20;40;10,0;0,53;12,17;🟡 Estoque excessivo;0,0;264,35;0,0;1-Config ML (Painel);Prophet
PC000027;Loja Norte;Fornecedor Alfa;B;Baixa;21,0;4,9;129,5;20;40;10,0;2,82;12,17;🟡 Estoque excessivo;0,0;389,02;0,0;1-Config ML (Painel);Ensemble
PC000946;Loja Norte;Fornecedor Beta;B;Baixa;33,0;9,8;100,9;20;40;10,0;3,62;12,17;🟡 Estoque excessivo;0,0;236,63;0,0;1-Config ML (Painel);Ensemble
PC000520;Loja Norte;Fornecedor Beta;B;Baixa;34,0;4,3;238,3;20;40;10,0;1,53;12,17;🟡 Estoque excessivo;0,0;417,75;0,0;1-Config ML (Painel);Prophet
PC000879;Loja Norte;Fornecedor Alfa;B;Baixa;67,0;17,5;115,0;20;40;10,0;3,17;12,17;🟡 Estoque excessivo;0,0;139,52;0,0;1-Config ML (Painel);Ensemble
PC000730;Loja Norte;Fornecedor Gamma;B;Baixa;90,0;7,7;349,4;20;40;10,0;1,04;12,17;🟡 Estoque excessivo;0,0;279,93;0,0;1-Config ML (Painel);ARIMA
PC000900;Loja Norte;Fornecedor Gamma;B;Baixa;31,0;6,7;139,1;20;40;10,0;2,62;12,17;🟡 Estoque excessivo;0,0;354,44;0,0;1-Config ML (Painel);SARIMAX
PC000343;Loja Norte;Fornecedor Delta;B;Baixa;28,0;4,6;181,8;20;40;10,0;2,01;12,17;🟡 Estoque excessivo;0,0;391,78;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000434;Loja Norte;Fornecedor Alfa;B;Baixa;108,0;6,0;542,4;20;40;10,0;0,67;12,17;🟡 Estoque excessivo;0,0;302,75;0,0;1-Config ML (Painel);Ensemble
PC000834;Loja Norte;Fornecedor Beta;B;Baixa;59,0;6,2;286,7;20;40;10,0;1,27;12,17;🟡 Estoque excessivo;0,0;338,65;0,0;1-Config ML (Painel);Ensemble
PC000165;Loja Norte;Fornecedor Beta;C;Baixa;61,0;24,4;75,1;30;55;10,0;4,86;8,59;🟡 Estoque excessivo;0,0;79,06;0,0;1-Config ML (Painel);ARIMA
PC000719;Loja Norte;Fornecedor Delta;C;Baixa;50,0;4,2;358,6;30;55;10,0;1,02;8,59;🟡 Estoque excessivo;0,0;442,79;0,0;1-Config ML (Painel);ARIMA
PC000761;Loja Norte;Fornecedor Gamma;C;Baixa;13,0;11,3;34,5;30;55;10,0;10,57;8,59;🟢 OK;0,0;208,83;0,0;1-Config ML (Painel);ARIMA
PC000974;Loja Norte;Fornecedor Delta;C;Baixa;30,0;7,1;125,9;30;55;10,0;2,9;8,59;🟡 Estoque excessivo;0,0;236,99;0,0;1-Config ML (Painel);Prophet
PC000471;Loja Norte;Fornecedor Beta;C;Baixa;39,0;8,7;134,6;30;55;10,0;2,71;8,59;🟡 Estoque excessivo;0,0;258,62;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000180;Loja Norte;Fornecedor Gamma;C;Baixa;27,0;6,1;133,2;30;55;10,0;2,74;8,59;🟡 Estoque excessivo;0,0;247,24;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000641;Loja Norte;Fornecedor Delta;C;Baixa;23,0;7,1;97,0;30;55;10,0;3,76;8,59;🟡 Estoque excessivo;0,0;246,66;0,0;1-Config ML (Painel);Prophet
PC000461;Loja Norte;Fornecedor Beta;C;Baixa;13,0;9,3;41,9;30;55;10,0;8,71;8,59;🟢 OK;0,0;182,09;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000813;Loja Norte;Fornecedor Beta;C;Baixa;17,0;13,0;39,1;30;55;10,0;9,33;8,59;🟢 OK;0,0;125,15;0,0;1-Config ML (Painel);Ensemble
PC000935;Loja Norte;Fornecedor Delta;C;Baixa;27,0;6,1;132,1;30;55;10,0;2,76;8,59;🟡 Estoque excessivo;0,0;307,0;0,0;1-Config ML (Painel);ARIMA
PC000978;Loja Norte;Fornecedor Gamma;C;Baixa;96,0;9,0;319,9;30;55;10,0;1,14;8,59;🟡 Estoque excessivo;0,0;197,91;0,0;1-Config ML (Painel);Holt
PC000209;Loja Norte;Fornecedor Delta;C;Baixa;39,0;12,1;96,6;30;55;10,0;3,78;8,59;🟡 Estoque excessivo;0,0;128,94;0,0;1-Config ML (Painel);Ensemble
PC000723;Loja Norte;Fornecedor Beta;C;Baixa;61,0;10,5;174,2;30;55;10,0;2,1;8,59;🟡 Estoque excessivo;0,0;142,05;0,0;1-Config ML (Painel);Prophet
PC000937;Loja Norte;Fornecedor Alfa;C;Baixa;52,0;11,3;137,7;30;55;10,0;2,65;8,59;🟡 Estoque excessivo;0,0;127,26;0,0;1-Config ML (Painel);ARIMA
PC000333;Loja Norte;Fornecedor Gamma;C;Baixa;65,0;12,0;162,0;30;55;10,0;2,25;8,59;🟡 Estoque excessivo;0,0;108,98;0,0;1-Config ML (Painel);SARIMAX
PC000078;Loja Norte;Fornecedor Gamma;C;Baixa;43,0;4,3;297,8;30;55;10,0;1,23;8,59;🟡 Estoque excessivo;0,0;308,4;0,0;1-Config ML (Painel);Prophet
PC000643;Loja Norte;Fornecedor Alfa;C;Baixa;8,0;5,2;46,4;30;55;10,0;7,86;8,59;🟢 OK;0,0;238,26;0,0;1-Config ML (Painel);Prophet
PC000841;Loja Norte;Fornecedor Beta;C;Baixa;86,0;8,9;290,1;30;55;10,0;1,26;8,59;🟡 Estoque excessivo;0,0;172,5;0,0;1-Config ML (Painel);Prophet
PC000785;Loja Norte;Fornecedor Alfa;C;Baixa;33,0;4,5;220,5;30;55;10,0;1,66;8,59;🟡 Estoque excessivo;0,0;299,43;0,0;1-Config ML (Painel);SARIMAX
PC000355;Loja Norte;Fornecedor Gamma;C;Baixa;47,0;5,7;247,6;30;55;10,0;1,47;8,59;🟡 Estoque excessivo;0,0;223,11;0,0;1-Config ML (Painel);ARIMA
PC000291;Loja Norte;Fornecedor Gamma;C;Baixa;17,0;6,6;77,1;30;55;10,0;4,73;8,59;🟡 Estoque excessivo;0,0;183,44;0,0;1-Config ML (Painel);SARIMAX
PC000611;Loja Norte;Fornecedor Alfa;C;Baixa;31,0;3,4;272,2;30;55;10,0;1,34;8,59;🟡 Estoque excessivo;0,0;396,99;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000354;Loja Norte;Fornecedor Delta;C;Baixa;13,0;4,4;88,3;30;55;10,0;4,13;8,59;🟡 Estoque excessivo;0,0;328,56;0,0;1-Config ML (Painel);Holt
PC000856;Loja Norte;Fornecedor Delta;C;Baixa;36,0;11,2;96,3;30;55;10,0;3,79;8,59;🟡 Estoque excessivo;0,0;119,49;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000945;Loja Norte;Fornecedor Alfa;C;Baixa;29,0;4,0;218,5;30;55;10,0;1,67;8,59;🟡 Estoque excessivo;0,0;356,57;0,0;1-Config ML (Painel);ARIMA
PC000851;Loja Norte;Fornecedor Alfa;C;Baixa;18,0;9,4;57,3;30;55;10,0;6,38;8,59;🟡 Estoque excessivo;0,0;134,37;0,0;1-Config ML (Painel);ARIMA
PC000729;Loja Norte;Fornecedor Alfa;C;Baixa;46,0;3,1;448,1;30;55;10,0;0,81;8,59;🟡 Estoque excessivo;0,0;367,77;0,0;1-Config ML (Painel);ARIMA
PC000603;Loja Norte;Fornecedor Alfa;C;Baixa;42,0;9,9;127,1;30;55;10,0;2,87;8,59;🟡 Estoque excessivo;0,0;108,18;0,0;1-Config ML (Painel);Prophet
PC000953;Loja Norte;Fornecedor Alfa;D;Baixa;46,0;3,5;399,1;40;75;10,0;0,91;6,35;🟡 Estoque excessivo;0,0;272,42;0,0;1-Config ML (Painel);Prophet
PC000563;Loja Norte;Fornecedor Alfa;D;Baixa;36,0;3,7;291,7;40;75;10,0;1,25;6,35;🟡 Estoque excessivo;0,0;352,99;0,0;1-Config ML (Painel);Ensemble
PC000375;Loja Norte;Fornecedor Gamma;D;Baixa;37,0;9,3;119,9;40;75;10,0;3,04;6,35;🟡 Estoque excessivo;0,0;117,28;0,0;1-Config ML (Painel);ARIMA
PC000884;Loja Norte;Fornecedor Alfa;D;Baixa;29,0;4,0;217,8;40;75;10,0;1,68;6,35;🟡 Estoque excessivo;0,0;344,42;0,0;1-Config ML (Painel);Ensemble
PC000833;Loja Norte;Fornecedor Delta;D;Baixa;48,0;12,0;119,6;40;75;10,0;3,05;6,35;🟡 Estoque excessivo;0,0;265,43;0,0;1-Config ML (Painel);Holt
PC000240;Loja Norte;Fornecedor Alfa;D;Baixa;34,0;11,9;85,5;40;75;10,0;4,27;6,35;🟡 Estoque excessivo;0,0;90,0;0,0;1-Config ML (Painel);Ensemble
PC000223;Loja Norte;Fornecedor Alfa;D;Baixa;16,0;5,4;88,9;40;75;10,0;4,1;6,35;🟡 Estoque excessivo;0,0;199,09;0,0;1-Config ML (Painel);Ensemble
PC000011;Loja Norte;Fornecedor Beta;D;Baixa;66,0;10,2;193,6;40;75;10,0;1,89;6,35;🟡 Estoque excessivo;0,0;105,77;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000286;Loja Norte;Fornecedor Delta;D;Baixa;40,0;3,8;315,0;40;75;10,0;1,16;6,35;🟡 Estoque excessivo;0,0;236,83;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000868;Loja Norte;Fornecedor Gamma;D;Baixa;36,0;11,6;93,5;40;75;10,0;3,9;6,35;🟡 Estoque excessivo;0,0;80,85;0,0;1-Config ML (Painel);ARIMA
PC000238;Loja Norte;Fornecedor Gamma;D;Baixa;74,0;5,0;443,7;40;75;10,0;0,82;6,35;🟡 Estoque excessivo;0,0;217,16;0,0;1-Config ML (Painel);Ensemble
PC000172;Loja Norte;Fornecedor Gamma;D;Baixa;27,0;2,9;279,8;40;75;10,0;1,3;6,35;🟡 Estoque excessivo;0,0;441,68;0,0;1-Config ML (Painel);ARIMA
PC000601;Loja Norte;Fornecedor Alfa;D;Baixa;41,0;9,8;126,1;40;75;10,0;2,89;6,35;🟡 Estoque excessivo;0,0;92,81;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000457;Loja Norte;Fornecedor Gamma;D;Baixa;95,0;3,9;728,2;40;75;10,0;0,5;6,35;🟡 Estoque excessivo;0,0;312,77;0,0;1-Config ML (Painel);ARIMA
PC000348;Loja Norte;Fornecedor Delta;D;Baixa;26,0;6,1;127,7;40;75;10,0;2,86;6,35;🟡 Estoque excessivo;0,0;172,0;0,0;1-Config ML (Painel);ARIMA
PC000614;Loja Norte;Fornecedor Alfa;D;Baixa;39,0;7,7;152,4;40;75;10,0;2,4;6,35;🟡 Estoque excessivo;0,0;151,36;0,0;1-Config ML (Painel);SARIMAX
