Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido
PC006539;Não informado;A;Baixa;44,0;96,7;13,7;15;30;15;26,74;16,22;🚨 RUPTURA IMINENTE;53,0;876,79;46200,68
PC008192;Não informado;A;Baixa;169,0;53,4;95,0;15;30;15;3,84;16,22;🟡 Estoque excessivo;0,0;1117,81;0,0
PC007827;Não informado;A;Baixa;110,0;58,4;56,5;15;30;15;6,46;16,22;🟡 Estoque excessivo;0,0;943,76;0,0
PC007840;Não informado;A;Baixa;69,0;144,3;14,4;15;30;15;25,44;16,22;🚨 RUPTURA IMINENTE;75,0;539,91;40628,26
PC008362;Não informado;A;Baixa;94,0;102,8;27,4;15;30;15;13,31;16,22;🟢 OK;0,0;669,22;0,0
PC003648;Não informado;A;Média;171,0;111,5;46,0;15;30;15;7,93;16,22;🟡 Estoque excessivo;0,0;728,53;0,0
PC006378;Não informado;A;Baixa;47,0;70,0;20,1;15;30;15;18,12;16,22;🟢 OK;0,0;864,81;0,0
PC001227;Não informado;B;Baixa;134,0;329,3;12,2;20;40;15;29,9;12,17;🚨 RUPTURA IMINENTE;305,0;236,64;72203,86
PC001386;Não informado;B;Baixa;160,0;66,3;72,4;20;40;15;5,04;12,17;🟡 Estoque excessivo;0,0;750,4;0,0
PC004491;Não informado;B;Baixa;167,0;59,4;84,3;20;40;15;4,33;12,17;🟡 Estoque excessivo;0,0;662,38;0,0
PC005715;Não informado;B;Média;169,0;102,3;49,5;20;40;15;7,37;12,17;🟡 Estoque excessivo;0,0;786,55;0,0
PC004512;Não informado;B;Baixa;172,0;87,9;58,7;20;40;15;6,22;12,17;🟡 Estoque excessivo;0,0;937,3;0,0
PC007786;Não informado;B;Baixa;105,0;71,8;43,9;20;40;15;8,32;12,17;🟡 Estoque excessivo;0,0;631,02;0,0
PC003968;Não informado;B;Baixa;214,0;125,1;51,3;20;40;15;7,11;12,17;🟡 Estoque excessivo;0,0;409,87;0,0
PC008768;Não informado;B;Baixa;179,0;135,8;39,5;20;40;15;9,23;12,17;🟢 OK;0,0;504,63;0,0
PC008544;Não informado;B;Baixa;262,0;81,0;97,1;20;40;15;3,76;12,17;🟡 Estoque excessivo;0,0;717,19;0,0
PC008789;Não informado;B;Baixa;28,0;44,1;19,0;20;40;15;19,18;12,17;🔴 Comprar agora;31,0;699,52;21581,02
PC008288;Não informado;B;Baixa;139,0;63,8;65,3;20;40;15;5,59;12,17;🟡 Estoque excessivo;0,0;605,9;0,0
PC000789;Não informado;B;Baixa;68,0;72,2;28,2;20;40;15;12,92;12,17;🟢 OK;0,0;798,97;0,0
PC008064;Não informado;B;Baixa;123,0;171,5;21,5;20;40;15;16,97;12,17;🟢 OK;0,0;400,08;0,0
PC002176;Não informado;B;Baixa;141,0;53,1;79,7;20;40;15;4,58;12,17;🟡 Estoque excessivo;0,0;872,17;0,0
PC008843;Não informado;B;Baixa;113,0;47,9;70,8;20;40;15;5,15;12,17;🟡 Estoque excessivo;0,0;900,86;0,0
PC007008;Não informado;B;Média;173,0;184,4;28,1;20;40;15;12,97;12,17;🟢 OK;0,0;358,36;0,0
PC002464;Não informado;B;Baixa;51,0;38,6;39,7;20;40;15;9,2;12,17;🟢 OK;0,0;854,4;0,0
PC003467;Não informado;B;Baixa;60,0;65,8;27,4;20;40;15;13,34;12,17;🟢 OK;0,0;524,32;0,0
PC008992;Não informado;B;Baixa;121,0;60,1;60,4;20;40;15;6,04;12,17;🟡 Estoque excessivo;0,0;1076,5;0,0
PC003091;Não informado;B;Baixa;204,0;76,6;79,9;20;40;15;4,57;12,17;🟡 Estoque excessivo;0,0;370,12;0,0
PC009472;Não informado;B;Baixa;128,0;37,7;101,8;20;40;15;3,59;12,17;🟡 Estoque excessivo;0,0;701,02;0,0
PC001600;Não informado;B;Baixa;84,0;65,3;38,6;20;40;15;9,46;12,17;🟢 OK;0,0;854,5;0,0
PC007061;Não informado;B;Baixa;253,0;76,0;99,8;20;40;15;3,66;12,17;🟡 Estoque excessivo;0,0;428,03;0,0
PC006291;Não informado;B;Baixa;106,0;39,4;80,8;20;40;15;4,52;12,17;🟡 Estoque excessivo;0,0;789,68;0,0
PC002922;Não informado;B;Baixa;109,0;41,4;79,0;20;40;15;4,62;12,17;🟡 Estoque excessivo;0,0;826,87;0,0
PC006869;Não informado;B;Baixa;70,0;44,0;47,8;20;40;15;7,64;12,17;🟡 Estoque excessivo;0,0;878,69;0,0
PC008597;Não informado;B;Baixa;89,0;40,5;66,0;20;40;15;5,53;12,17;🟡 Estoque excessivo;0,0;960,38;0,0
PC000448;Não informado;B;Baixa;293,0;100,3;87,6;20;40;15;4,17;12,17;🟡 Estoque excessivo;0,0;331,68;0,0
PC009280;Não informado;B;Baixa;108,0;34,9;92,9;20;40;15;3,93;12,17;🟡 Estoque excessivo;0,0;880,35;0,0
PC001322;Não informado;B;Baixa;26,0;35,3;22,1;20;40;15;16,53;12,17;🟢 OK;0,0;969,9;0,0
PC009675;Não informado;B;Baixa;237,0;84,0;84,6;20;40;15;4,31;12,17;🟡 Estoque excessivo;0,0;395,21;0,0
PC000128;Não informado;B;Baixa;54,0;62,2;26,0;20;40;15;14,02;12,17;🟢 OK;0,0;489,21;0,0
PC002507;Não informado;B;Baixa;93,0;60,7;45,9;20;40;15;7,95;12,17;🟡 Estoque excessivo;0,0;445,9;0,0
PC002197;Não informado;B;Baixa;48,0;62,6;23,0;20;40;15;15,88;12,17;🟢 OK;0,0;349,44;0,0
PC004179;Não informado;B;Baixa;104,0;65,6;47,5;20;40;15;7,68;12,17;🟡 Estoque excessivo;0,0;425,56;0,0
PC000213;Não informado;B;Baixa;30,0;56,2;16,0;20;40;15;22,8;12,17;🔴 Comprar agora;45,0;471,31;21189,36
PC002699;Não informado;B;Baixa;43,0;46,9;27,5;20;40;15;13,26;12,17;🟢 OK;0,0;753,98;0,0
PC005011;Não informado;B;Baixa;72,0;30,3;71,2;20;40;15;5,12;12,17;🟡 Estoque excessivo;0,0;853,23;0,0
PC005600;Não informado;B;Baixa;68,0;34,6;58,9;20;40;15;6,2;12,17;🟡 Estoque excessivo;0,0;719,57;0,0
PC003989;Não informado;B;Baixa;198,0;107,8;55,1;20;40;15;6,62;12,17;🟡 Estoque excessivo;0,0;229,3;0,0
PC008275;Não informado;B;Baixa;48,0;29,0;49,7;20;40;15;7,35;12,17;🟡 Estoque excessivo;0,0;916,18;0,0
PC002835;Não informado;C;Baixa;115,0;42,9;80,3;30;55;15;4,54;8,59;🟡 Estoque excessivo;0,0;609,96;0,0
PC005203;Não informado;C;Baixa;40,0;43,0;27,9;30;55;15;13,07;8,59;🔴 Comprar agora;39,0;742,82;28795,69
PC008042;Não informado;C;Baixa;33,0;27,6;35,9;30;55;15;10,16;8,59;🟢 OK;0,0;974,34;0,0
PC005930;Não informado;C;Baixa;180,0;112,8;47,9;30;55;15;7,63;8,59;🟢 OK;0,0;302,81;0,0
PC000019;Não informado;C;Baixa;142,0;249,6;17,1;30;55;15;21,39;8,59;🔴 Comprar agora;316,0;362,45;114407,5
PC007379;Não informado;C;Baixa;72,0;34,3;63,0;30;55;15;5,79;8,59;🟡 Estoque excessivo;0,0;563,73;0,0
PC009941;Não informado;C;Baixa;33,0;31,9;31,0;30;55;15;11,76;8,59;🟢 OK;0,0;670,66;0,0
PC000981;Não informado;C;Baixa;148,0;68,9;64,4;30;55;15;5,67;8,59;🟡 Estoque excessivo;0,0;399,44;0,0
PC002571;Não informado;C;Baixa;29,0;35,6;24,4;30;55;15;14,95;8,59;🔴 Comprar agora;36,0;628,74;22828,74
PC000011;Não informado;C;Baixa;17,0;31,5;16,2;30;55;15;22,56;8,59;🔴 Comprar agora;41,0;670,95;27367,67
PC000064;Não informado;C;Baixa;49,0;63,4;23,2;30;55;15;15,75;8,59;🔴 Comprar agora;67,0;571,45;38467,09
PC001811;Não informado;C;Baixa;83,0;32,5;76,6;30;55;15;4,76;8,59;🟡 Estoque excessivo;0,0;707,64;0,0
PC005461;Não informado;C;Baixa;253,0;80,8;93,9;30;55;15;3,89;8,59;🟡 Estoque excessivo;0,0;268,91;0,0
PC003605;Não informado;C;Baixa;77,0;33,7;68,4;30;55;15;5,33;8,59;🟡 Estoque excessivo;0,0;801,58;0,0
PC004000;Não informado;C;Baixa;129,0;42,0;92,1;30;55;15;3,96;8,59;🟡 Estoque excessivo;0,0;502,71;0,0
PC002389;Não informado;C;Baixa;30,0;83,6;10,8;30;55;15;33,91;8,59;🚨 RUPTURA IMINENTE;123,0;819,52;101048,98
PC007315;Não informado;C;Baixa;33,0;36,1;27,4;30;55;15;13,32;8,59;🔴 Comprar agora;33,0;539,28;17934,98
PC004768;Não informado;C;Baixa;56,0;47,4;35,4;30;55;15;10,31;8,59;🟢 OK;0,0;511,42;0,0
PC001312;Não informado;C;Baixa;50,0;54,6;27,4;30;55;15;13,3;8,59;🔴 Comprar agora;50,0;675,68;33912,46
PC009824;Não informado;C;Baixa;136,0;78,8;51,8;30;55;15;7,05;8,59;🟢 OK;0,0;473,47;0,0
PC003050;Não informado;C;Baixa;10,0;90,7;3,3;30;55;15;110,41;8,59;🚨 RUPTURA IMINENTE;156,0;741,34;115920,1
PC007648;Não informado;C;Baixa;52,0;26,4;59,0;30;55;15;6,19;8,59;🟡 Estoque excessivo;0,0;843,58;0,0
PC006826;Não informado;C;Baixa;43,0;28,2;45,8;30;55;15;7,97;8,59;🟢 OK;0,0;600,24;0,0
PC003562;Não informado;C;Baixa;93,0;39,6;70,4;30;55;15;5,18;8,59;🟡 Estoque excessivo;0,0;462,35;0,0
PC008853;Não informado;C;Baixa;61,0;23,3;78,4;30;55;15;4,66;8,59;🟡 Estoque excessivo;0,0;791,37;0,0
PC006867;Não informado;C;Baixa;64,0;26,4;72,7;30;55;15;5,02;8,59;🟡 Estoque excessivo;0,0;679,16;0,0
PC004992;Não informado;C;Baixa;38,0;55,5;20,5;30;55;15;17,78;8,59;🔴 Comprar agora;64,0;362,77;23153,63
PC000896;Não informado;C;Baixa;142,0;104,9;40,6;30;55;15;8,99;8,59;🟢 OK;0,0;196,36;0,0
PC009664;Não informado;C;Baixa;37,0;21,2;52,4;30;55;15;6,97;8,59;🟢 OK;0,0;802,54;0,0
PC006411;Não informado;C;Baixa;84,0;40,8;61,8;30;55;15;5,9;8,59;🟡 Estoque excessivo;0,0;466,82;0,0
PC004309;Não informado;C;Baixa;41,0;34,5;35,7;30;55;15;10,23;8,59;🟢 OK;0,0;637,27;0,0
PC007808;Não informado;C;Baixa;80,0;50,3;47,7;30;55;15;7,66;8,59;🟢 OK;0,0;386,02;0,0
PC001898;Não informado;C;Baixa;55,0;33,1;49,9;30;55;15;7,31;8,59;🟢 OK;0,0;801,97;0,0
PC009152;Não informado;C;Baixa;84,0;26,5;95,0;30;55;15;3,84;8,59;🟡 Estoque excessivo;0,0;796,12;0,0
PC007082;Não informado;C;Baixa;31,0;21,2;43,9;30;55;15;8,31;8,59;🟢 OK;0,0;767,91;0,0
PC003541;Não informado;C;Baixa;112,0;37,1;90,5;30;55;15;4,03;8,59;🟡 Estoque excessivo;0,0;478,41;0,0
PC005387;Não informado;C;Baixa;29,0;28,5;30,5;30;55;15;11,97;8,59;🟢 OK;0,0;721,7;0,0
PC002259;Não informado;C;Baixa;46,0;18,7;73,8;30;55;15;4,95;8,59;🟡 Estoque excessivo;0,0;999,45;0,0
PC006611;Não informado;C;Baixa;197,0;265,5;22,3;30;55;15;16,4;8,59;🔴 Comprar agora;290,0;466,46;135137,91
PC000234;Não informado;C;Baixa;46,0;18,5;74,7;30;55;15;4,89;8,59;🟡 Estoque excessivo;0,0;730,12;0,0
PC003531;Não informado;C;Baixa;324,0;146,2;66,5;30;55;15;5,49;8,59;🟡 Estoque excessivo;0,0;101,01;0,0
PC008320;Não informado;C;Baixa;51,0;38,2;40,0;30;55;15;9,12;8,59;🟢 OK;0,0;641,57;0,0
PC006186;Não informado;C;Baixa;23,0;23,9;28,8;30;55;15;12,66;8,59;🔴 Comprar agora;21,0;816,27;17046,86
PC006720;Não informado;C;Baixa;23,0;26,0;26,5;30;55;15;13,76;8,59;🔴 Comprar agora;25,0;775,96;19168,47
PC000810;Não informado;C;Baixa;67,0;61,2;32,8;30;55;15;11,12;8,59;🟢 OK;0,0;397,67;0,0
PC009685;Não informado;C;Baixa;193,0;58,9;98,3;30;55;15;3,71;8,59;🟡 Estoque excessivo;0,0;278,1;0,0
PC002773;Não informado;C;Média;53,0;61,2;26,0;30;55;15;14,05;8,59;🔴 Comprar agora;59,0;463,28;27432,68
PC002848;Não informado;C;Baixa;53,0;42,3;37,6;30;55;15;9,72;8,59;🟢 OK;0,0;634,13;0,0
PC005568;Não informado;C;Baixa;54,0;27,6;58,7;30;55;15;6,22;8,59;🟡 Estoque excessivo;0,0;545,77;0,0
PC004384;Não informado;C;Baixa;28,0;36,8;22,8;30;55;15;16,01;8,59;🔴 Comprar agora;40,0;560,42;22152,64
PC000490;Não informado;C;Baixa;78,0;35,5;65,9;30;55;15;5,54;8,59;🟡 Estoque excessivo;0,0;365,39;0,0
PC009043;Não informado;C;Média;82,0;48,1;51,2;30;55;15;7,13;8,59;🟢 OK;0,0;525,98;0,0
PC006784;Não informado;C;Baixa;105,0;51,8;60,8;30;55;15;6,0;8,59;🟡 Estoque excessivo;0,0;413,16;0,0
PC008096;Não informado;C;Baixa;51,0;49,0;31,3;30;55;15;11,68;8,59;🟢 OK;0,0;433,54;0,0
PC007392;Não informado;C;Baixa;156,0;177,9;26,3;30;55;15;13,88;8,59;🔴 Comprar agora;170,0;85,57;14565,02
PC000576;Não informado;C;Baixa;55,0;21,9;75,5;30;55;15;4,84;8,59;🟡 Estoque excessivo;0,0;564,28;0,0
PC008403;Não informado;C;Baixa;40,0;15,4;77,9;30;55;15;4,68;8,59;🟡 Estoque excessivo;0,0;740,99;0,0
PC009600;Não informado;C;Baixa;62,0;20,6;90,2;30;55;15;4,04;8,59;🟡 Estoque excessivo;0,0;660,32;0,0
PC002195;Não informado;C;Baixa;74,0;41,1;54,0;30;55;15;6,75;8,59;🟢 OK;0,0;360,94;0,0
PC005579;Não informado;C;Baixa;23,0;45,3;15,2;30;55;15;23,97;8,59;🔴 Comprar agora;60,0;302,6;18176,18
PC006035;Não informado;C;Baixa;100,0;51,7;58,0;30;55;15;6,3;8,59;🟡 Estoque excessivo;0,0;452,46;0,0
PC000085;Não informado;C;Baixa;46,0;52,6;26,3;30;55;15;13,9;8,59;🔴 Comprar agora;50,0;407,15;20512,35
PC008704;Não informado;C;Baixa;60,0;129,4;13,9;30;55;15;26,24;8,59;🚨 RUPTURA IMINENTE;177,0;458,94;81360,92
PC003987;Não informado;C;Baixa;53,0;113,4;14,0;30;55;15;26,04;8,59;🚨 RUPTURA IMINENTE;155,0;187,33;29030,76
PC005408;Não informado;C;Baixa;102,0;31,2;98,0;30;55;15;3,73;8,59;🟡 Estoque excessivo;0,0;506,39;0,0
PC006483;Não informado;C;Baixa;17,0;17,3;29,4;30;55;15;12,41;8,59;🔴 Comprar agora;15,0;740,93;10953,53
PC005653;Não informado;C;Baixa;117,0;72,9;48,1;30;55;15;7,58;8,59;🟢 OK;0,0;578,13;0,0
PC007722;Não informado;C;Baixa;67,0;31,9;62,9;30;55;15;5,8;8,59;🟡 Estoque excessivo;0,0;424,59;0,0
PC009952;Não informado;C;Baixa;36,0;66,6;16,2;30;55;15;22,51;8,59;🔴 Comprar agora;86,0;727,51;62628,93
PC003667;Não informado;C;Baixa;19,0;16,3;34,9;30;55;15;10,45;8,59;🟢 OK;0,0;943,71;0,0
PC004896;Não informado;C;Baixa;41,0;29,1;42,3;30;55;15;8,64;8,59;🟢 OK;0,0;476,2;0,0
PC006997;Não informado;C;Baixa;28,0;30,4;27,6;30;55;15;13,23;8,59;🔴 Comprar agora;28,0;838,25;23311,24
PC009611;Não informado;C;Baixa;51,0;23,3;65,8;30;55;15;5,55;8,59;🟡 Estoque excessivo;0,0;630,6;0,0
PC002730;Não informado;C;Baixa;37,0;35,6;31,2;30;55;15;11,72;8,59;🟢 OK;0,0;366,17;0,0
PC008160;Não informado;C;Baixa;86,0;29,9;86,4;30;55;15;4,23;8,59;🟡 Estoque excessivo;0,0;569,67;0,0
PC003157;Não informado;C;Baixa;42,0;38,8;32,5;30;55;15;11,23;8,59;🟢 OK;0,0;541,32;0,0
PC004928;Não informado;C;Baixa;39,0;42,1;27,8;30;55;15;13,14;8,59;🔴 Comprar agora;38,0;610,84;23354,95
PC001291;Não informado;C;Média;23,0;65,6;10,5;30;55;15;34,69;8,59;🚨 RUPTURA IMINENTE;97,0;353,07;34328,29
PC006698;Não informado;C;Baixa;55,0;18,2;90,5;30;55;15;4,03;8,59;🟡 Estoque excessivo;0,0;708,71;0,0
PC006954;Não informado;C;Baixa;48,0;19,4;74,1;30;55;15;4,93;8,59;🟡 Estoque excessivo;0,0;766,24;0,0
PC006163;Não informado;C;Baixa;44,0;16,4;80,7;30;55;15;4,52;8,59;🟡 Estoque excessivo;0,0;933,91;0,0
PC002581;Não informado;C;Baixa;91,0;69,1;39,5;30;55;15;9,24;8,59;🟢 OK;0,0;271,09;0,0
PC005184;Não informado;C;Baixa;92,0;27,2;101,5;30;55;15;3,6;8,59;🟡 Estoque excessivo;0,0;393,88;0,0
PC006272;Não informado;C;Baixa;102,0;96,2;31,8;30;55;15;11,48;8,59;🟢 OK;0,0;235,43;0,0
PC008213;Não informado;C;Média;11,0;31,7;10,4;30;55;15;35,05;8,59;🚨 RUPTURA IMINENTE;47,0;817,13;38482,7
PC008256;Não informado;C;Baixa;19,0;17,6;32,4;30;55;15;11,27;8,59;🟢 OK;0,0;852,34;0,0
PC002901;Não informado;C;Baixa;55,0;31,9;51,7;30;55;15;7,06;8,59;🟢 OK;0,0;364,87;0,0
PC001941;Não informado;C;Baixa;37,0;12,9;85,7;30;55;15;4,26;8,59;🟡 Estoque excessivo;0,0;856,24;0,0
PC009045;Não informado;C;Média;14,0;26,7;15,7;30;55;15;23,22;8,59;🔴 Comprar agora;35,0;816,44;28569,15
PC001696;Não informado;C;Baixa;58,0;34,7;50,1;30;55;15;7,28;8,59;🟢 OK;0,0;412,3;0,0
PC001301;Não informado;D;Baixa;18,0;17,5;30,9;40;75;15;11,82;6,35;🔴 Comprar agora;26,0;636,98;16373,24
PC007123;Não informado;D;Baixa;19,0;16,0;35,6;40;75;15;10,24;6,35;🔴 Comprar agora;21,0;730,26;15333,61
PC004435;Não informado;D;Baixa;15,0;24,8;18,1;40;75;15;20,13;6,35;🔴 Comprar agora;47,0;832,64;39170,15
PC001472;Não informado;D;Baixa;34,0;24,9;40,9;40;75;15;8,91;6,35;🟢 OK;0,0;541,07;0,0
PC008981;Não informado;D;Baixa;32,0;30,9;31,1;40;75;15;11,75;6,35;🔴 Comprar agora;45,0;543,04;24585,34
PC003072;Não informado;D;Baixa;11,0;53,5;6,2;40;75;15;59,21;6,35;🚨 RUPTURA IMINENTE;123,0;670,04;82303,28
PC001216;Não informado;D;Baixa;43,0;15,1;85,6;40;75;15;4,27;6,35;🟡 Estoque excessivo;0,0;622,59;0,0
PC005802;Não informado;D;Baixa;11,0;14,0;23,5;40;75;15;15,51;6,35;🔴 Comprar agora;24,0;948,51;22821,53
PC005589;Não informado;D;Média;26,0;24,9;31,3;40;75;15;11,65;6,35;🔴 Comprar agora;36,0;897,89;32548,0
PC004320;Não informado;D;Baixa;20,0;25,4;23,7;40;75;15;15,43;6,35;🔴 Comprar agora;43,0;521,9;22649,36
PC005907;Não informado;D;Baixa;48,0;36,9;39,0;40;75;15;9,35;6,35;🔴 Comprar agora;44,0;579,92;25643,79
PC000395;Não informado;D;Baixa;37,0;13,3;83,4;40;75;15;4,37;6,35;🟡 Estoque excessivo;0,0;857,9;0,0
PC009834;Não informado;D;Média;38,0;23,6;48,3;40;75;15;7,56;6,35;🟢 OK;0,0;648,82;0,0
PC001504;Não informado;D;Baixa;79,0;42,5;55,7;40;75;15;6,55;6,35;🟢 OK;0,0;437,01;0,0
PC009066;Não informado;D;Baixa;101,0;89,9;33,7;40;75;15;10,83;6,35;🔴 Comprar agora;124,0;132,23;16367,37
PC001739;Não informado;D;Baixa;13,0;13,4;29,2;40;75;15;12,52;6,35;🔴 Comprar agora;20,0;831,59;16994,84
PC004704;Não informado;D;Baixa;33,0;14,1;70,2;40;75;15;5,2;6,35;🟢 OK;0,0;732,71;0,0
PC008896;Não informado;D;Baixa;52,0;29,8;52,4;40;75;15;6,97;6,35;🟢 OK;0,0;704,22;0,0
PC005226;Não informado;D;Baixa;12,0;10,9;33,0;40;75;15;11,07;6,35;🔴 Comprar agora;15,0;988,54;15120,04
PC007187;Não informado;D;Média;10,0;22,9;13,1;40;75;15;27,86;6,35;🚨 RUPTURA IMINENTE;47,0;933,22;44099,33
PC002827;Não informado;D;Baixa;15,0;13,4;33,7;40;75;15;10,83;6,35;🔴 Comprar agora;18,0;913,06;16787,91
PC004714;Não informado;D;Média;39,0;19,7;59,3;40;75;15;6,15;6,35;🟢 OK;0,0;978,63;0,0
PC001043;Não informado;D;Baixa;64,0;31,4;61,1;40;75;15;5,97;6,35;🟢 OK;0,0;587,13;0,0
PC006634;Não informado;D;Baixa;37,0;11,9;93,5;40;75;15;3,9;6,35;🟡 Estoque excessivo;0,0;806,31;0,0
PC000595;Não informado;D;Baixa;27,0;14,1;57,6;40;75;15;6,34;6,35;🟢 OK;0,0;639,98;0,0
PC007136;Não informado;D;Baixa;43,0;55,6;23,2;40;75;15;15,72;6,35;🔴 Comprar agora;96,0;254,04;24369,57
PC005034;Não informado;D;Baixa;30,0;67,7;13,3;40;75;15;27,45;6,35;🚨 RUPTURA IMINENTE;139,0;875,65;121878,3
PC003392;Não informado;D;Baixa;13,0;11,9;32,6;40;75;15;11,18;6,35;🔴 Comprar agora;17,0;1091,36;18413,33
PC001184;Não informado;D;Baixa;74,0;24,7;89,7;40;75;15;4,07;6,35;🟡 Estoque excessivo;0,0;428,71;0,0
PC007883;Não informado;D;Média;25,0;25,7;29,2;40;75;15;12,49;6,35;🔴 Comprar agora;39,0;735,1;28799,42
PC002963;Não informado;D;Baixa;32,0;16,2;59,4;40;75;15;6,15;6,35;🟢 OK;0,0;533,01;0,0
PC008779;Não informado;D;Baixa;27,0;15,6;51,9;40;75;15;7,04;6,35;🟢 OK;0,0;956,77;0,0
PC006656;Não informado;D;Baixa;29,0;20,6;42,2;40;75;15;8,64;6,35;🟢 OK;0,0;673,65;0,0
PC004064;Não informado;D;Baixa;149,0;49,7;90,0;40;75;15;4,05;6,35;🟡 Estoque excessivo;0,0;176,28;0,0
PC002026;Não informado;D;Baixa;187,0;56,1;99,9;40;75;15;3,65;6,35;🟡 Estoque excessivo;0,0;170,76;0,0
PC007210;Não informado;D;Baixa;58,0;18,5;94,1;40;75;15;3,88;6,35;🟡 Estoque excessivo;0,0;512,59;0,0
PC000917;Não informado;D;Baixa;70,0;46,0;45,6;40;75;15;8,0;6,35;🟢 OK;0,0;315,71;0,0
