Vencimento;Valor;Conta;Filial
2026-12-03;17741,51;Fornecedor Alfa;Loja Centro
2026-11-30;9307,49;Fornecedor Beta;Loja Centro
2026-12-03;7696,33;Fornecedor Beta;Loja Centro
2026-12-03;16901,0;Fornecedor Delta;Loja Centro
2026-12-09;154112,23;Fornecedor Gamma;Loja Centro
2026-12-10;67038,85;Fornecedor Delta;Loja Centro
2026-12-08;121380,27;Fornecedor Gamma;Loja Centro
2026-12-07;70043,22;Fornecedor Alfa;Loja Centro
2026-12-14;174179,63;Fornecedor Gamma;Loja Centro
2026-12-15;10099,13;Fornecedor Delta;Loja Centro
2026-12-15;100298,12;Fornecedor Beta;Loja Centro
2026-12-23;19649,23;Fornecedor Alfa;Loja Centro
2026-12-23;45252,85;Fornecedor Delta;Loja Centro
2026-12-21;71948,32;Fornecedor Gamma;Loja Centro
2026-12-30;5174,53;Fornecedor Gamma;Loja Centro
2027-01-01;14086,27;Fornecedor Delta;Loja Centro
2026-12-29;5720,3;Fornecedor Alfa;Loja Centro
2027-01-01;2578,23;Fornecedor Beta;Loja Centro
2027-01-07;8813,17;Fornecedor Delta;Loja Centro
2027-01-07;1670,33;Fornecedor Beta;Loja Centro
2027-01-06;9261,24;Fornecedor Gamma;Loja Centro
2027-01-08;4351,41;Fornecedor Delta;Loja Centro
2027-01-13;9824,19;Fornecedor Beta;Loja Centro
2027-01-13;8876,67;Fornecedor Alfa;Loja Centro
2027-01-12;103409,29;Fornecedor Delta;Loja Centro
2027-01-13;71026,07;Fornecedor Delta;Loja Centro
2027-01-18;17420,14;Fornecedor Gamma;Loja Centro
2027-01-18;51634,19;Fornecedor Gamma;Loja Centro
2027-01-18;29132,82;Fornecedor Beta;Loja Centro
2027-01-22;3815,85;Fornecedor Alfa;Loja Centro
2027-01-26;165244,92;Fornecedor Delta;Loja Centro
2027-01-25;5335,67;Fornecedor Beta;Loja Centro
2026-08-07;13008,25;Fornecedor Gamma;Loja Norte
2026-08-06;63318,77;Fornecedor Beta;Loja Norte
2026-08-13;13263,84;Fornecedor Delta;Loja Norte
2026-08-14;41564,02;Fornecedor Beta;Loja Norte
2026-08-21;410,04;Fornecedor Beta;Loja Norte
2026-08-18;52326,95;Fornecedor Alfa;Loja Norte
2026-08-20;24904,18;Fornecedor Alfa;Loja Norte
2026-08-25;5507,33;Fornecedor Alfa;Loja Norte
2026-08-25;56586,79;Fornecedor Beta;Loja Norte
2026-08-27;12103,09;Fornecedor Beta;Loja Norte
2026-08-26;8557,29;Fornecedor Delta;Loja Norte
2026-08-31;82470,06;Fornecedor Delta;Loja Norte
2026-09-04;92,23;Fornecedor Beta;Loja Norte
2026-09-04;42158,07;Fornecedor Alfa;Loja Norte
2026-08-31;1302,05;Fornecedor Alfa;Loja Norte
2026-09-10;4594,88;Fornecedor Gamma;Loja Norte
2026-09-11;31098,2;Fornecedor Delta;Loja Norte
2026-09-07;42542,97;Fornecedor Gamma;Loja Norte
2026-09-09;2126,94;Fornecedor Gamma;Loja Norte
2026-09-08;49401,1;Fornecedor Gamma;Loja Norte
2026-09-15;37345,2;Fornecedor Beta;Loja Norte
2026-09-18;1097,6;Fornecedor Beta;Loja Norte
2026-09-16;2388,26;Fornecedor Beta;Loja Norte
2026-09-15;2991,99;Fornecedor Delta;Loja Norte
2026-09-15;10671,97;Fornecedor Gamma;Loja Norte
2026-09-21;77980,96;Fornecedor Delta;Loja Norte
2026-09-23;22799,56;Fornecedor Beta;Loja Norte
2026-10-02;8296,89;Fornecedor Alfa;Loja Norte
2026-09-28;41658,67;Fornecedor Beta;Loja Norte
2026-09-30;30590,42;Fornecedor Delta;Loja Norte
2026-10-08;18548,5;Fornecedor Alfa;Loja Norte
2026-10-07;5664,35;Fornecedor Alfa;Loja Norte
2026-10-08;19142,9;Fornecedor Delta;Loja Norte
2026-10-12;1242,07;Fornecedor Alfa;Loja Norte
2026-10-14;2423,96;Fornecedor Delta;Loja Norte
2026-10-16;1140,28;Fornecedor Gamma;Loja Norte
2026-10-12;676,29;Fornecedor Alfa;Loja Norte
2026-10-15;986,09;Fornecedor Delta;Loja Norte
2026-10-22;14553,87;Fornecedor Alfa;Loja Norte
2026-10-20;92007,19;Fornecedor Beta;Loja Norte
2026-10-22;33342,67;Fornecedor Beta;Loja Norte
2026-10-19;38207,06;Fornecedor Beta;Loja Norte
2026-10-20;2885,62;Fornecedor Gamma;Loja Norte
2026-10-30;10695,17;Fornecedor Beta;Loja Norte
2026-10-29;7731,88;Fornecedor Gamma;Loja Norte
2026-10-30;7999,28;Fornecedor Beta;Loja Norte
2026-10-29;551,57;Fornecedor Alfa;Loja Norte
2026-10-28;1194,78;Fornecedor Beta;Loja Norte
2026-11-05;14414,39;Fornecedor Delta;Loja Norte
2026-11-02;159567,42;Fornecedor Alfa;Loja Norte
2026-11-05;41550,91;Fornecedor Alfa;Loja Norte
2026-11-12;27790,86;Fornecedor Alfa;Loja Norte
2026-11-11;15584,96;Fornecedor Beta;Loja Norte
2026-11-09;36965,78;Fornecedor Beta;Loja Norte
2026-11-17;13623,63;Fornecedor Beta;Loja Norte
2026-11-18;19832,15;Fornecedor Beta;Loja Norte
2026-11-19;8210,43;Fornecedor Gamma;Loja Norte
2026-11-26;1258,2;Fornecedor Gamma;Loja Norte
2026-11-25;159384,53;Fornecedor Gamma;Loja Norte
2026-11-23;10841,54;Fornecedor Beta;Loja Norte
2026-12-02;3638,67;Fornecedor Gamma;Loja Norte
2026-12-04;25789,04;Fornecedor Gamma;Loja Norte
2026-12-01;20520,9;Fornecedor Delta;Loja Norte
2026-12-03;7238,8;Fornecedor Alfa;Loja Norte
2026-12-08;123956,9;Fornecedor Alfa;Loja Norte
2026-12-10;47906,55;Fornecedor Delta;Loja Norte
2026-12-14;6340,23;Fornecedor Gamma;Loja Norte
2026-12-17;4803,19;Fornecedor Alfa;Loja Norte
2026-12-16;5310,36;Fornecedor Delta;Loja Norte
2026-12-16;4772,91;Fornecedor Gamma;Loja Norte
2026-12-25;7028,76;Fornecedor Delta;Loja Norte
2026-12-22;105137,11;Fornecedor Alfa;Loja Norte
2026-12-30;17486,21;Fornecedor Delta;Loja Norte
2026-12-31;107017,03;Fornecedor Delta;Loja Norte
2027-01-06;11472,7;Fornecedor Gamma;Loja Norte
2027-01-05;11356,48;Fornecedor Delta;Loja Norte
2027-01-04;389,61;Fornecedor Alfa;Loja Norte
2027-01-12;25936,94;Fornecedor Gamma;Loja Norte
2027-01-11;127594,5;Fornecedor Delta;Loja Norte
2027-01-13;30261,59;Fornecedor Delta;Loja Norte
2027-01-18;2747,29;Fornecedor Gamma;Loja Norte
2027-01-22;2368,87;Fornecedor Alfa;Loja Norte
2027-01-19;3433,13;Fornecedor Delta;Loja Norte
2027-01-27;44863,51;Fornecedor Delta;Loja Norte
2027-01-27;1451,86;Fornecedor Alfa;Loja Norte
2026-08-05;13123,45;Fornecedor Beta;Loja Sul
2026-08-03;1967,55;Fornecedor Alfa;Loja Sul
2026-08-03;12086,81;Fornecedor Alfa;Loja Sul
2026-08-03;13895,8;Fornecedor Beta;Loja Sul
2026-08-12;3210,51;Fornecedor Alfa;Loja Sul
2026-08-13;2932,17;Fornecedor Alfa;Loja Sul
2026-08-11;132972,79;Fornecedor Beta;Loja Sul
2026-08-10;80957,36;Fornecedor Gamma;Loja Sul
2026-08-13;14433,83;Fornecedor Alfa;Loja Sul
2026-08-17;85160,5;Fornecedor Beta;Loja Sul
2026-08-19;2103,45;Fornecedor Alfa;Loja Sul
2026-08-21;7879,02;Fornecedor Delta;Loja Sul
2026-08-24;3772,66;Fornecedor Delta;Loja Sul
2026-08-28;24584,39;Fornecedor Gamma;Loja Sul
2026-08-25;10790,55;Fornecedor Delta;Loja Sul
2026-08-24;11008,04;Fornecedor Beta;Loja Sul
2026-08-28;2107,39;Fornecedor Gamma;Loja Sul
2026-09-01;111951,32;Fornecedor Beta;Loja Sul
2026-09-03;51410,16;Fornecedor Gamma;Loja Sul
2026-09-04;20723,5;Fornecedor Beta;Loja Sul
2026-09-09;118873,68;Fornecedor Alfa;Loja Sul
2026-09-11;39397,3;Fornecedor Alfa;Loja Sul
2026-09-15;31972,33;Fornecedor Alfa;Loja Sul
2026-09-15;56779,67;Fornecedor Gamma;Loja Sul
2026-09-17;71783,02;Fornecedor Delta;Loja Sul
2026-09-14;27590,48;Fornecedor Delta;Loja Sul
2026-09-22;32344,17;Fornecedor Gamma;Loja Sul
2026-09-25;7236,68;Fornecedor Gamma;Loja Sul
2026-09-25;21928,36;Fornecedor Beta;Loja Sul
2026-10-02;17491,49;Fornecedor Beta;Loja Sul
2026-09-29;15533,03;Fornecedor Delta;Loja Sul
2026-10-02;36702,16;Fornecedor Alfa;Loja Sul
2026-10-02;10716,18;Fornecedor Gamma;Loja Sul
2026-09-30;3359,43;Fornecedor Delta;Loja Sul
2026-10-05;19259,73;Fornecedor Gamma;Loja Sul
2026-10-05;96870,78;Fornecedor Gamma;Loja Sul
2026-10-16;7494,21;Fornecedor Delta;Loja Sul
2026-10-12;36060,36;Fornecedor Gamma;Loja Sul
2026-10-19;34919,2;Fornecedor Gamma;Loja Sul
2026-10-22;25282,36;Fornecedor Delta;Loja Sul
2026-10-19;24134,08;Fornecedor Alfa;Loja Sul
2026-10-22;37833,27;Fornecedor Delta;Loja Sul
2026-10-26;22025,33;Fornecedor Gamma;Loja Sul
2026-10-30;25720,33;Fornecedor Delta;Loja Sul
2026-11-03;159448,62;Fornecedor Beta;Loja Sul
2026-11-05;28985,86;Fornecedor Alfa;Loja Sul
2026-11-05;128974,5;Fornecedor Gamma;Loja Sul
2026-11-10;25654,16;Fornecedor Delta;Loja Sul
2026-11-11;15293,65;Fornecedor Delta;Loja Sul
2026-11-12;6136,5;Fornecedor Delta;Loja Sul
2026-11-19;40165,76;Fornecedor Beta;Loja Sul
2026-11-19;51993,32;Fornecedor Alfa;Loja Sul
2026-11-17;18067,16;Fornecedor Alfa;Loja Sul
2026-11-20;5214,0;Fornecedor Gamma;Loja Sul
2026-11-25;14043,5;Fornecedor Alfa;Loja Sul
2026-11-25;8743,89;Fornecedor Delta;Loja Sul
2026-11-24;25725,92;Fornecedor Beta;Loja Sul
2026-11-24;17038,75;Fornecedor Delta;Loja Sul
2026-11-27;7908,65;Fornecedor Delta;Loja Sul
2026-12-04;66361,31;Fornecedor Alfa;Loja Sul
2026-11-30;22137,26;Fornecedor Alfa;Loja Sul
2026-12-01;49021,7;Fornecedor Delta;Loja Sul
2026-12-01;36390,47;Fornecedor Alfa;Loja Sul
2026-11-30;4194,7;Fornecedor Gamma;Loja Sul
2026-12-08;23468,24;Fornecedor Alfa;Loja Sul
2026-12-08;65932,87;Fornecedor Alfa;Loja Sul
2026-12-15;235376,89;Fornecedor Alfa;Loja Sul
2026-12-15;103162,33;Fornecedor Beta;Loja Sul
2026-12-24;48822,49;Fornecedor Gamma;Loja Sul
2026-12-22;34551,78;Fornecedor Beta;Loja Sul
2026-12-29;155,21;Fornecedor Alfa;Loja Sul
2026-12-28;62,08;Fornecedor Alfa;Loja Sul
2026-12-29;1513,99;Fornecedor Gamma;Loja Sul
2026-12-29;1163,36;Fornecedor Gamma;Loja Sul
2026-12-29;523,93;Fornecedor Delta;Loja Sul
2027-01-05;19931,35;Fornecedor Beta;Loja Sul
2027-01-05;50619,07;Fornecedor Beta;Loja Sul
2027-01-06;19051,37;Fornecedor Beta;Loja Sul
2027-01-04;50209,31;Fornecedor Alfa;Loja Sul
2027-01-04;27500,72;Fornecedor Alfa;Loja Sul
2027-01-12;36554,35;Fornecedor Delta;Loja Sul
2027-01-15;14338,44;Fornecedor Beta;Loja Sul
2027-01-15;121267,75;Fornecedor Delta;Loja Sul
2027-01-19;30799,97;Fornecedor Gamma;Loja Sul
2027-01-18;48073,51;Fornecedor Beta;Loja Sul
2027-01-18;13947,05;Fornecedor Delta;Loja Sul
2027-01-28;42943,61;Fornecedor Alfa;Loja Sul
2027-01-29;50123,85;Fornecedor Gamma;Loja Sul
