Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;CapitalParado
PC004888;Não informado;D;Baixa;3,0;1,0;88,3;40;75;15;4,13;6,35;🟡 Estoque excessivo;0,0;6583,82;0,0;19751,46
PC009860;Não informado;D;Baixa;6,0;2,0;88,5;40;75;15;4,13;6,35;🟡 Estoque excessivo;0,0;3246,79;0,0;19480,739999999998
PC002073;Não informado;D;Baixa;3,0;1,9;46,2;40;75;15;7,89;6,35;🟢 OK;0,0;6373,73;0,0;19121,19
PC000386;Não informado;D;Média;3,0;1,6;56,9;40;75;15;6,42;6,35;🟢 OK;0,0;5628,92;0,0;16886,760000000002
PC008344;Não informado;D;Baixa;3,0;1,0;92,6;40;75;15;3,94;6,35;🟡 Estoque excessivo;0,0;5527,01;0,0;16581,03
PC008973;Não informado;D;Baixa;6,0;1,8;102,0;40;75;15;3,58;6,35;🟡 Estoque excessivo;0,0;2760,73;0,0;16564,38
PC005204;Não informado;D;Baixa;3,0;1,0;89,5;40;75;15;4,08;6,35;🟡 Estoque excessivo;0,0;5438,77;0,0;16316,310000000001
PC002428;Não informado;D;Baixa;3,0;0,9;99,5;40;75;15;3,67;6,35;🟡 Estoque excessivo;0,0;5420,37;0,0;16261,11
PC004868;Não informado;D;Baixa;3,0;1,6;56,7;40;75;15;6,44;6,35;🟢 OK;0,0;5365,34;0,0;16096,02
PC001306;Não informado;D;Baixa;3,0;1,0;89,1;40;75;15;4,09;6,35;🟡 Estoque excessivo;0,0;5356,47;0,0;16069,41
PC001240;Não informado;C;Baixa;2,0;1,9;32,2;30;55;15;11,32;8,59;🟢 OK;0,0;7948,83;0,0;15897,66
PC008109;Não informado;D;Média;3,0;1,7;53,3;40;75;15;6,84;6,35;🟢 OK;0,0;5233,18;0,0;15699,54
PC001903;Não informado;D;Baixa;3,0;1,9;47,1;40;75;15;7,75;6,35;🟢 OK;0,0;5183,47;0,0;15550,41
PC002500;Não informado;D;Baixa;2,0;1,0;59,3;40;75;15;6,16;6,35;🟢 OK;0,0;7714,65;0,0;15429,3
PC003780;Não informado;E;Baixa;3,0;1,9;46,5;55;100;15;7,85;4,71;🔴 Comprar agora;3,0;5101,72;17605,41;15305,16
PC004404;Não informado;D;Baixa;2,0;1,0;59,5;40;75;15;6,13;6,35;🟢 OK;0,0;7445,63;0,0;14891,26
PC006669;Não informado;D;Baixa;3,0;0,9;100,6;40;75;15;3,63;6,35;🟡 Estoque excessivo;0,0;4958,81;0,0;14876,43
PC000641;Não informado;D;Baixa;3,0;2,0;44,7;40;75;15;8,16;6,35;🟢 OK;0,0;4922,27;0,0;14766,810000000001
PC000985;Não informado;D;Baixa;3,0;1,0;90,3;40;75;15;4,04;6,35;🟡 Estoque excessivo;0,0;4918,08;0,0;14754,24
PC003195;Não informado;D;Baixa;6,0;1,7;104,3;40;75;15;3,5;6,35;🟡 Estoque excessivo;0,0;2406,91;0,0;14441,46
PC008621;Não informado;D;Baixa;4,0;2,0;59,8;40;75;15;6,11;6,35;🟢 OK;0,0;3605,73;0,0;14422,92
PC009425;Não informado;D;Baixa;3,0;1,9;47,6;40;75;15;7,67;6,35;🟢 OK;0,0;4803,19;0,0;14409,57
PC005831;Não informado;D;Baixa;5,0;2,0;74,7;40;75;15;4,88;6,35;🟢 OK;0,0;2875,96;0,0;14379,8
PC009716;Não informado;D;Baixa;3,0;0,9;95,8;40;75;15;3,81;6,35;🟡 Estoque excessivo;0,0;4772,58;0,0;14317,74
PC000574;Não informado;D;Baixa;3,0;1,3;68,4;40;75;15;5,33;6,35;🟢 OK;0,0;4730,06;0,0;14190,18
PC009240;Não informado;D;Baixa;3,0;1,0;88,7;40;75;15;4,11;6,35;🟡 Estoque excessivo;0,0;4697,6;0,0;14092,800000000001
PC002558;Não informado;D;Baixa;3,0;2,0;45,0;40;75;15;8,12;6,35;🟢 OK;0,0;4672,51;0,0;14017,53
PC004312;Não informado;D;Baixa;2,0;1,0;59,8;40;75;15;6,11;6,35;🟢 OK;0,0;6974,48;0,0;13948,96
PC000372;Não informado;D;Baixa;2,0;1,0;61,1;40;75;15;5,98;6,35;🟢 OK;0,0;6903,91;0,0;13807,82
PC002942;Não informado;D;Baixa;3,0;1,0;88,0;40;75;15;4,15;6,35;🟡 Estoque excessivo;0,0;4584,1;0,0;13752,300000000001
PC003140;Não informado;D;Baixa;3,0;2,0;45,2;40;75;15;8,08;6,35;🟢 OK;0,0;4314,51;0,0;12943,53
PC008404;Não informado;D;Baixa;3,0;1,9;47,8;40;75;15;7,64;6,35;🟢 OK;0,0;4171,88;0,0;12515,64
PC004103;Não informado;D;Baixa;4,0;2,0;58,7;40;75;15;6,22;6,35;🟢 OK;0,0;3109,07;0,0;12436,28
PC006533;Não informado;D;Baixa;5,0;2,0;74,4;40;75;15;4,91;6,35;🟢 OK;0,0;2445,21;0,0;12226,05
PC003969;Não informado;D;Baixa;2,0;1,0;60,0;40;75;15;6,08;6,35;🟢 OK;0,0;6072,95;0,0;12145,9
PC000090;Não informado;D;Baixa;3,0;1,3;70,9;40;75;15;5,15;6,35;🟢 OK;0,0;4014,3;0,0;12042,900000000001
PC006097;Não informado;D;Baixa;2,0;1,0;60,5;40;75;15;6,03;6,35;🟢 OK;0,0;5990,42;0,0;11980,84
PC009485;Não informado;D;Baixa;2,0;0,9;63,9;40;75;15;5,71;6,35;🟢 OK;0,0;5990,38;0,0;11980,76
PC000792;Não informado;E;Baixa;2,0;1,9;31,0;55;100;15;11,78;4,71;🔴 Comprar agora;4,0;5942,74;26468,4;11885,48
PC009623;Não informado;D;Baixa;4,0;1,9;62,2;40;75;15;5,87;6,35;🟢 OK;0,0;2961,55;0,0;11846,2
PC004094;Não informado;D;Baixa;2,0;1,7;35,4;40;75;15;10,32;6,35;🔴 Comprar agora;2,0;5781,13;12957,78;11562,26
PC009092;Não informado;E;Baixa;2,0;1,1;55,8;55;100;15;6,54;4,71;🟢 OK;0,0;5589,36;0,0;11178,72
PC008827;Não informado;E;Baixa;7,0;2,0;102,5;55;100;15;3,56;4,71;🟡 Estoque excessivo;0,0;1581,94;0,0;11073,58
PC004633;Não informado;D;Baixa;2,0;1,2;51,9;40;75;15;7,03;6,35;🟢 OK;0,0;5448,57;0,0;10897,14
PC009916;Não informado;D;Baixa;2,0;0,9;64,5;40;75;15;5,66;6,35;🟢 OK;0,0;5408,92;0,0;10817,84
PC003268;Não informado;D;Baixa;3,0;1,0;89,2;40;75;15;4,09;6,35;🟡 Estoque excessivo;0,0;3565,86;0,0;10697,58
PC001470;Não informado;D;Baixa;2,0;1,0;60,5;40;75;15;6,03;6,35;🟢 OK;0,0;5161,53;0,0;10323,06
PC005069;Não informado;D;Baixa;2,0;1,0;59,6;40;75;15;6,13;6,35;🟢 OK;0,0;5069,32;0,0;10138,64
PC001940;Não informado;D;Baixa;2,0;1,0;59,1;40;75;15;6,18;6,35;🟢 OK;0,0;5005,62;0,0;10011,24
PC005997;Não informado;D;Baixa;2,0;1,0;58,6;40;75;15;6,23;6,35;🟢 OK;0,0;4968,95;0,0;9937,9
PC004269;Não informado;D;Baixa;2,0;1,0;62,6;40;75;15;5,83;6,35;🟢 OK;0,0;4960,54;0,0;9921,08
PC000025;Não informado;D;Baixa;2,0;1,1;56,8;40;75;15;6,43;6,35;🟢 OK;0,0;4867,73;0,0;9735,46
PC001404;Não informado;D;Baixa;2,0;1,0;60,4;40;75;15;6,04;6,35;🟢 OK;0,0;4769,65;0,0;9539,3
PC001022;Não informado;E;Baixa;3,0;1,1;84,5;55;100;15;4,32;4,71;🟢 OK;0,0;3014,41;0,0;9043,23
PC003536;Não informado;E;Baixa;6,0;2,0;88,3;55;100;15;4,13;4,71;🟢 OK;0,0;1503,13;0,0;9018,78
PC007022;Não informado;E;Baixa;6,0;1,8;102,5;55;100;15;3,56;4,71;🟡 Estoque excessivo;0,0;1491,42;0,0;8948,52
PC004069;Não informado;E;Baixa;3,0;0,9;103,0;55;100;15;3,54;4,71;🟡 Estoque excessivo;0,0;2961,63;0,0;8884,89
PC006170;Não informado;D;Baixa;2,0;1,9;31,0;40;75;15;11,76;6,35;🔴 Comprar agora;3,0;4432,69;12560,28;8865,38
PC002241;Não informado;E;Baixa;3,0;1,0;86,5;55;100;15;4,22;4,71;🟢 OK;0,0;2896,38;0,0;8689,14
PC000739;Não informado;E;Baixa;5,0;2,0;74,8;55;100;15;4,88;4,71;🟢 OK;0,0;1719,19;0,0;8595,95
PC006012;Não informado;E;Baixa;6,0;2,0;89,2;55;100;15;4,09;4,71;🟢 OK;0,0;1430,2;0,0;8581,2
PC007661;Não informado;E;Baixa;5,0;2,0;76,1;55;100;15;4,8;4,71;🟢 OK;0,0;1709,37;0,0;8546,849999999999
PC008025;Não informado;D;Baixa;4,0;2,0;59,1;40;75;15;6,18;6,35;🟢 OK;0,0;2102,91;0,0;8411,64
PC001765;Não informado;D;Baixa;3,0;1,8;51,2;40;75;15;7,13;6,35;🟢 OK;0,0;2787,17;0,0;8361,51
PC002513;Não informado;E;Baixa;3,0;1,1;78,9;55;100;15;4,62;4,71;🟢 OK;0,0;2772,99;0,0;8318,97
PC007298;Não informado;D;Baixa;2,0;1,0;59,8;40;75;15;6,1;6,35;🟢 OK;0,0;4149,3;0,0;8298,6
PC004628;Não informado;E;Baixa;3,0;1,0;89,1;55;100;15;4,1;4,71;🟢 OK;0,0;2723,03;0,0;8169,09
PC006501;Não informado;D;Baixa;3,0;2,0;44,8;40;75;15;8,15;6,35;🟢 OK;0,0;2714,36;0,0;8143,08
PC002260;Não informado;E;Baixa;3,0;0,9;100,9;55;100;15;3,62;4,71;🟡 Estoque excessivo;0,0;2700,21;0,0;8100,63
PC003582;Não informado;D;Baixa;2,0;1,8;33,5;40;75;15;10,91;6,35;🔴 Comprar agora;2,0;3965,66;9849,67;7931,32
PC006212;Não informado;E;Baixa;3,0;2,0;44,7;55;100;15;8,17;4,71;🔴 Comprar agora;4,0;2583,75;9592,72;7751,25
PC009844;Não informado;D;Baixa;3,0;2,0;44,1;40;75;15;8,27;6,35;🟢 OK;0,0;2574,06;0,0;7722,18
PC005547;Não informado;E;Baixa;6,0;1,9;95,8;55;100;15;3,81;4,71;🟢 OK;0,0;1282,08;0,0;7692,48
PC005477;Não informado;E;Baixa;6,0;1,8;97,4;55;100;15;3,75;4,71;🟢 OK;0,0;1281,86;0,0;7691,16
PC001793;Não informado;D;Baixa;2,0;1,0;59,2;40;75;15;6,16;6,35;🟢 OK;0,0;3836,66;0,0;7673,32
PC002548;Não informado;E;Baixa;2,0;1,0;57,9;55;100;15;6,3;4,71;🟢 OK;0,0;3834,26;0,0;7668,52
PC006425;Não informado;E;Baixa;2,0;1,0;58,2;55;100;15;6,27;4,71;🟢 OK;0,0;3825,88;0,0;7651,76
PC009724;Não informado;E;Baixa;5,0;2,0;76,8;55;100;15;4,75;4,71;🟢 OK;0,0;1518,39;0,0;7591,950000000001
PC002031;Não informado;E;Baixa;3,0;1,0;91,3;55;100;15;4,0;4,71;🟢 OK;0,0;2517,74;0,0;7553,219999999999
PC009178;Não informado;D;Baixa;2,0;2,0;29,9;40;75;15;12,19;6,35;🔴 Comprar agora;3,0;3671,79;11054,17;7343,58
PC001160;Não informado;E;Baixa;5,0;1,7;85,9;55;100;15;4,25;4,71;🟢 OK;0,0;1462,02;0,0;7310,1
PC002266;Não informado;E;Baixa;2,0;1,0;60,9;55;100;15;5,99;4,71;🟢 OK;0,0;3633,0;0,0;7266,0
PC009805;Não informado;E;Baixa;2,0;1,0;58,3;55;100;15;6,26;4,71;🟢 OK;0,0;3565,16;0,0;7130,32
PC006490;Não informado;E;Baixa;2,0;1,1;55,7;55;100;15;6,55;4,71;🟢 OK;0,0;3554,12;0,0;7108,24
PC003085;Não informado;E;Baixa;5,0;1,8;83,7;55;100;15;4,36;4,71;🟢 OK;0,0;1421,09;0,0;7105,45
PC004865;Não informado;E;Baixa;2,0;1,0;59,4;55;100;15;6,15;4,71;🟢 OK;0,0;3548,68;0,0;7097,36
PC008141;Não informado;E;Baixa;2,0;1,6;37,0;55;100;15;9,86;4,71;🔴 Comprar agora;3,0;3535,38;12022,99;7070,76
PC006978;Não informado;D;Baixa;2,0;1,0;58,5;40;75;15;6,24;6,35;🟢 OK;0,0;3523,93;0,0;7047,86
PC001261;Não informado;E;Baixa;3,0;1,0;87,7;55;100;15;4,16;4,71;🟢 OK;0,0;2318,45;0,0;6955,349999999999
PC006900;Não informado;D;Baixa;1,0;1,0;29,6;40;75;15;12,34;6,35;🔴 Comprar agora;2,0;6918,15;10629,43;6918,15
PC007228;Não informado;D;Baixa;1,0;1,6;18,9;40;75;15;19,28;6,35;🔴 Comprar agora;3,0;6903,97;20442,57;6903,97
PC000513;Não informado;E;Baixa;4,0;1,3;94,1;55;100;15;3,88;4,71;🟢 OK;0,0;1711,7;0,0;6846,8
PC004123;Não informado;E;Baixa;6,0;1,8;97,8;55;100;15;3,73;4,71;🟢 OK;0,0;1131,2;0,0;6787,200000000001
PC001746;Não informado;E;Baixa;6,0;2,0;90,0;55;100;15;4,05;4,71;🟢 OK;0,0;1130,12;0,0;6780,719999999999
PC003992;Não informado;E;Baixa;2,0;1,1;55,8;55;100;15;6,54;4,71;🟢 OK;0,0;3372,51;0,0;6745,02
PC008782;Não informado;E;Baixa;5,0;1,8;82,4;55;100;15;4,43;4,71;🟢 OK;0,0;1329,19;0,0;6645,950000000001
PC001233;Não informado;E;Baixa;3,0;1,4;63,8;55;100;15;5,72;4,71;🟢 OK;0,0;2214,26;0,0;6642,780000000001
PC004493;Não informado;E;Baixa;3,0;2,0;44,4;55;100;15;8,22;4,71;🔴 Comprar agora;4,0;2172,08;8153,09;6516,24
PC008171;Não informado;E;Baixa;6,0;2,0;90,7;55;100;15;4,02;4,71;🟢 OK;0,0;1074,76;0,0;6448,5599999999995
PC003482;Não informado;E;Baixa;1,0;1,0;30,0;55;100;15;12,16;4,71;🔴 Comprar agora;2,0;6429,29;14992,66;6429,29
PC006806;Não informado;E;Baixa;6,0;1,8;100,5;55;100;15;3,63;4,71;🟡 Estoque excessivo;0,0;1068,17;0,0;6409,02
PC002608;Não informado;E;Baixa;6,0;2,0;89,3;55;100;15;4,09;4,71;🟢 OK;0,0;1065,43;0,0;6392,58
PC003875;Não informado;E;Baixa;4,0;2,0;59,8;55;100;15;6,1;4,71;🟢 OK;0,0;1591,49;0,0;6365,96
PC003329;Não informado;D;Baixa;1,0;1,0;30,7;40;75;15;11,9;6,35;🔴 Comprar agora;1,0;6308,25;9119,01;6308,25
PC008301;Não informado;D;Baixa;1,0;1,0;31,5;40;75;15;11,6;6,35;🔴 Comprar agora;1,0;6260,95;8664,0;6260,95
PC007687;Não informado;E;Baixa;3,0;1,5;58,4;55;100;15;6,25;4,71;🟢 OK;0,0;2067,05;0,0;6201,150000000001
PC008379;Não informado;E;Baixa;3,0;1,3;66,9;55;100;15;5,46;4,71;🟢 OK;0,0;2061,68;0,0;6185,039999999999
PC005963;Não informado;E;Baixa;7,0;1,9;108,1;55;100;15;3,38;4,71;🟡 Estoque excessivo;0,0;875,57;0,0;6128,990000000001
PC009541;Não informado;D;Baixa;2,0;2,0;30,0;40;75;15;12,17;6,35;🔴 Comprar agora;3,0;3049,24;9148,95;6098,48
PC002420;Não informado;E;Baixa;2,0;1,0;62,8;55;100;15;5,81;4,71;🟢 OK;0,0;3033,26;0,0;6066,52
PC008471;Não informado;E;Baixa;4,0;1,8;66,4;55;100;15;5,5;4,71;🟢 OK;0,0;1515,21;0,0;6060,84
PC000533;Não informado;E;Baixa;6,0;2,0;88,8;55;100;15;4,11;4,71;🟢 OK;0,0;1000,56;0,0;6003,36
PC002949;Não informado;E;Baixa;2,0;1,0;59,4;55;100;15;6,15;4,71;🟢 OK;0,0;2999,73;0,0;5999,46
PC003161;Não informado;D;Baixa;2,0;1,4;44,1;40;75;15;8,27;6,35;🟢 OK;0,0;2984,91;0,0;5969,82
PC006780;Não informado;D;Baixa;1,0;1,0;29,7;40;75;15;12,31;6,35;🔴 Comprar agora;2,0;5846,44;8938,97;5846,44
PC002727;Não informado;E;Baixa;5,0;2,0;74,0;55;100;15;4,93;4,71;🟢 OK;0,0;1167,25;0,0;5836,25
PC005422;Não informado;E;Baixa;3,0;1,7;54,0;55;100;15;6,76;4,71;🔴 Comprar agora;3,0;1894,64;4835,62;5683,92
PC003994;Não informado;E;Média;3,0;1,7;52,2;55;100;15;6,99;4,71;🔴 Comprar agora;3,0;1889,43;5187,67;5668,29
PC004045;Não informado;E;Baixa;2,0;2,0;30,2;55;100;15;12,08;4,71;🔴 Comprar agora;5,0;2823,52;13036,2;5647,04
PC001946;Não informado;E;Baixa;2,0;1,4;43,1;55;100;15;8,47;4,71;🔴 Comprar agora;3,0;2784,83;7353,14;5569,66
PC009349;Não informado;E;Baixa;4,0;2,0;59,1;55;100;15;6,18;4,71;🟢 OK;0,0;1378,97;0,0;5515,88
PC003985;Não informado;E;Baixa;2,0;1,1;55,5;55;100;15;6,58;4,71;🟢 OK;0,0;2753,92;0,0;5507,84
PC005977;Não informado;E;Baixa;2,0;1,3;45,8;55;100;15;7,97;4,71;🔴 Comprar agora;2,0;2742,65;6498,07;5485,3
PC008386;Não informado;D;Baixa;1,0;1,0;30,1;40;75;15;12,14;6,35;🔴 Comprar agora;1,0;5467,18;8171,27;5467,18
PC009294;Não informado;E;Baixa;6,0;0,0;;55;100;15;0,0;4,71;⚪ Sem demanda prevista;0,0;905,0;0,0;5430,0
PC002884;Não informado;E;Baixa;1,0;1,0;30,4;55;100;15;12,0;4,71;🔴 Comprar agora;2,0;5429,74;12418,86;5429,74
PC008999;Não informado;E;Baixa;6,0;2,0;88,0;55;100;15;4,15;4,71;🟢 OK;0,0;898,07;0,0;5388,42
PC002814;Não informado;D;Baixa;1,0;1,0;30,4;40;75;15;12,01;6,35;🔴 Comprar agora;1,0;5362,31;7873,95;5362,31
PC000827;Não informado;E;Baixa;2,0;0,9;64,6;55;100;15;5,65;4,71;🟢 OK;0,0;2671,45;0,0;5342,9
PC009662;Não informado;E;Baixa;2,0;0,9;67,3;55;100;15;5,43;4,71;🟢 OK;0,0;2670,42;0,0;5340,84
PC000480;Não informado;E;Baixa;6,0;2,0;88,3;55;100;15;4,13;4,71;🟢 OK;0,0;885,52;0,0;5313,12
PC001809;Não informado;D;Baixa;1,0;1,0;28,6;40;75;15;12,76;6,35;🔴 Comprar agora;2,0;5301,21;8594,89;5301,21
PC006416;Não informado;E;Baixa;5,0;1,9;80,7;55;100;15;4,52;4,71;🟢 OK;0,0;1054,92;0,0;5274,6
PC002516;Não informado;E;Baixa;3,0;1,0;87,7;55;100;15;4,16;4,71;🟢 OK;0,0;1756,69;0,0;5270,07
PC002228;Não informado;D;Baixa;1,0;0,9;32,2;40;75;15;11,33;6,35;🔴 Comprar agora;1,0;5160,98;6849,47;5160,98
PC006356;Não informado;D;Baixa;1,0;1,0;30,6;40;75;15;11,93;6,35;🔴 Comprar agora;1,0;5154,54;7483,48;5154,54
PC006599;Não informado;E;Baixa;1,0;1,1;27,7;55;100;15;13,18;4,71;🔴 Comprar agora;3,0;5081,74;13275,03;5081,74
PC001435;Não informado;E;Baixa;5,0;2,0;73,7;55;100;15;4,95;4,71;🟢 OK;0,0;1009,2;0,0;5046,0
PC006792;Não informado;E;Baixa;3,0;1,0;87,5;55;100;15;4,17;4,71;🟢 OK;0,0;1679,97;0,0;5039,91
PC004030;Não informado;E;Baixa;3,0;2,0;44,6;55;100;15;8,19;4,71;🔴 Comprar agora;4,0;1677,67;6254,23;5033,01
PC002509;Não informado;D;Baixa;1,0;2,0;14,9;40;75;15;24,44;6,35;🚨 RUPTURA IMINENTE;4,0;4990,33;20070,94;4990,33
PC002765;Não informado;E;Baixa;1,0;1,0;29,0;55;100;15;12,6;4,71;🔴 Comprar agora;2,0;4983,51;12223,78;4983,51
PC006311;Não informado;E;Baixa;5,0;2,0;73,5;55;100;15;4,97;4,71;🟢 OK;0,0;986,33;0,0;4931,650000000001
PC003124;Não informado;D;Baixa;1,0;1,0;30,5;40;75;15;11,96;6,35;🔴 Comprar agora;1,0;4916,17;7162,61;4916,17
PC006820;Não informado;E;Baixa;5,0;2,0;75,1;55;100;15;4,86;4,71;🟢 OK;0,0;968,82;0,0;4844,1
PC001660;Não informado;D;Baixa;1,0;1,6;18,7;40;75;15;19,53;6,35;🔴 Comprar agora;3,0;4840,14;14580,47;4840,14
PC002641;Não informado;E;Baixa;2,0;1,3;46,1;55;100;15;7,91;4,71;🔴 Comprar agora;2,0;2412,51;5633,19;4825,02
PC006270;Não informado;D;Baixa;1,0;1,0;29,5;40;75;15;12,38;6,35;🔴 Comprar agora;2,0;4821,44;7445,47;4821,44
PC005215;Não informado;E;Baixa;3,0;2,0;44,8;55;100;15;8,15;4,71;🔴 Comprar agora;4,0;1601,99;5924,61;4805,97
PC004813;Não informado;D;Baixa;1,0;1,8;16,5;40;75;15;22,05;6,35;🔴 Comprar agora;4,0;4775,96;16867,84;4775,96
PC000621;Não informado;D;Baixa;1,0;1,3;23,5;40;75;15;15,54;6,35;🔴 Comprar agora;2,0;4770,86;10466,57;4770,86
PC003437;Não informado;E;Baixa;1,0;1,0;29,5;55;100;15;12,39;4,71;🔴 Comprar agora;2,0;4750,6;11370,14;4750,6
PC003963;Não informado;E;Baixa;3,0;1,6;57,0;55;100;15;6,4;4,71;🟢 OK;0,0;1562,05;0,0;4686,15
PC005347;Não informado;E;Baixa;3,0;1,0;87,5;55;100;15;4,17;4,71;🟢 OK;0,0;1544,89;0,0;4634,67
PC000456;Não informado;E;Baixa;3,0;1,0;88,4;55;100;15;4,13;4,71;🟢 OK;0,0;1540,94;0,0;4622,82
PC004205;Não informado;D;Baixa;1,0;1,0;31,3;40;75;15;11,67;6,35;🔴 Comprar agora;1,0;4613,98;6450,32;4613,98
PC007230;Não informado;D;Baixa;1,0;1,0;30,8;40;75;15;11,83;6,35;🔴 Comprar agora;1,0;4582,03;6558,45;4582,03
PC002633;Não informado;E;Baixa;5,0;1,9;76,9;55;100;15;4,74;4,71;🟢 OK;0,0;913,41;0,0;4567,05
PC008952;Não informado;E;Baixa;6,0;1,8;101,6;55;100;15;3,59;4,71;🟡 Estoque excessivo;0,0;756,9;0,0;4541,4
PC004846;Não informado;E;Baixa;3,0;1,0;90,2;55;100;15;4,05;4,71;🟢 OK;0,0;1503,39;0,0;4510,17
PC008959;Não informado;E;Baixa;5,0;2,0;74,4;55;100;15;4,9;4,71;🟢 OK;0,0;899,45;0,0;4497,25
PC000382;Não informado;D;Baixa;1,0;2,0;14,9;40;75;15;24,55;6,35;🚨 RUPTURA IMINENTE;4,0;4473,1;18092,46;4473,1
PC002575;Não informado;E;Baixa;3,0;1,0;90,0;55;100;15;4,05;4,71;🟢 OK;0,0;1483,95;0,0;4451,85
PC003716;Não informado;E;Média;2,0;1,6;37,3;55;100;15;9,79;4,71;🔴 Comprar agora;3,0;2222,42;7477,73;4444,84
PC006292;Não informado;E;Baixa;1,0;2,0;14,7;55;100;15;24,81;4,71;🚨 RUPTURA IMINENTE;6,0;4409,09;25566,22;4409,09
PC007597;Não informado;E;Média;2,0;1,7;35,7;55;100;15;10,23;4,71;🔴 Comprar agora;4,0;2187,2;7884,62;4374,4
PC009615;Não informado;E;Baixa;3,0;1,0;90,3;55;100;15;4,04;4,71;🟢 OK;0,0;1454,74;0,0;4364,22
PC008834;Não informado;E;Baixa;1,0;1,1;27,8;55;100;15;13,11;4,71;🔴 Comprar agora;3,0;4351,08;11276,51;4351,08
PC005389;Não informado;E;Baixa;4,0;2,0;61,5;55;100;15;5,93;4,71;🟢 OK;0,0;1085,75;0,0;4343,0
PC000380;Não informado;D;Baixa;1,0;1,3;22,7;40;75;15;16,05;6,35;🔴 Comprar agora;2,0;4341,01;9977,91;4341,01
PC008593;Não informado;E;Baixa;1,0;1,0;30,5;55;100;15;11,96;4,71;🔴 Comprar agora;2,0;4308,56;9810,62;4308,56
PC003214;Não informado;E;Baixa;3,0;1,7;52,1;55;100;15;7,0;4,71;🔴 Comprar agora;3,0;1435,33;3957,23;4305,99
PC004097;Não informado;E;Baixa;3,0;1,0;89,9;55;100;15;4,06;4,71;🟢 OK;0,0;1433,46;0,0;4300,38
PC005133;Não informado;E;Baixa;1,0;1,0;28,7;55;100;15;12,74;4,71;🔴 Comprar agora;2,0;4297,3;10699,39;4297,3
