Produto;Filial;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;FontePrevisao;ModeloUsado
PC000883;Loja Centro;Fornecedor Beta;A;Baixa;21,0;33,4;18,9;15;30;10,0;19,33;16,22;🟢 OK;0,0;289,24;0,0;1-Config ML (Painel);Ensemble
PC000802;Loja Centro;Fornecedor Gamma;A;Baixa;38,0;27,1;42,0;15;30;10,0;8,69;16,22;🟡 Estoque excessivo;0,0;333,98;0,0;1-Config ML (Painel);SARIMAX
PC000903;Loja Centro;Fornecedor Delta;A;Baixa;19,0;28,7;19,9;15;30;10,0;18,36;16,22;🟢 OK;0,0;344,36;0,0;1-Config ML (Painel);Holt
PC000460;Loja Centro;Fornecedor Beta;A;Baixa;37,0;33,8;32,8;15;30;10,0;11,12;16,22;🟡 Estoque excessivo;0,0;299,23;0,0;1-Config ML (Painel);Ensemble
PC000520;Loja Centro;Fornecedor Beta;A;Baixa;128,0;20,1;190,9;15;30;10,0;1,91;16,22;🟡 Estoque excessivo;0,0;417,75;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000080;Loja Centro;Fornecedor Alfa;A;Baixa;47,0;18,3;77,0;15;30;10,0;4,74;16,22;🟡 Estoque excessivo;0,0;427,88;0,0;1-Config ML (Painel);ARIMA
PC000015;Loja Centro;Fornecedor Alfa;A;Baixa;22,0;22,6;29,2;15;30;10,0;12,49;16,22;🟢 OK;0,0;319,86;0,0;1-Config ML (Painel);Prophet
PC000785;Loja Centro;Fornecedor Alfa;A;Baixa;35,0;23,3;45,1;15;30;10,0;8,08;16,22;🟡 Estoque excessivo;0,0;299,43;0,0;1-Config ML (Painel);SARIMAX
PC000335;Loja Centro;Fornecedor Delta;A;Baixa;100,0;18,9;158,5;15;30;10,0;2,3;16,22;🟡 Estoque excessivo;0,0;438,86;0,0;1-Config ML (Painel);SARIMAX
PC000900;Loja Centro;Fornecedor Gamma;A;Baixa;58,0;18,4;94,4;15;30;10,0;3,87;16,22;🟡 Estoque excessivo;0,0;354,44;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000450;Loja Centro;Fornecedor Alfa;A;Baixa;48,0;26,9;53,5;15;30;10,0;6,83;16,22;🟡 Estoque excessivo;0,0;310,0;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000032;Loja Centro;Fornecedor Gamma;A;Baixa;27,0;30,7;26,4;15;30;10,0;13,84;16,22;🟢 OK;0,0;271,55;0,0;1-Config ML (Painel);Holt
PC000591;Loja Centro;Fornecedor Beta;A;Baixa;34,0;24,9;41,0;15;30;10,0;8,91;16,22;🟡 Estoque excessivo;0,0;314,06;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000884;Loja Centro;Fornecedor Alfa;A;Baixa;30,0;16,6;54,1;15;30;10,0;6,75;16,22;🟡 Estoque excessivo;0,0;344,42;0,0;1-Config ML (Painel);SARIMAX
PC000641;Loja Centro;Fornecedor Delta;A;Baixa;71,0;28,2;75,5;15;30;10,0;4,83;16,22;🟡 Estoque excessivo;0,0;246,66;0,0;1-Config ML (Painel);ARIMA
PC000378;Loja Centro;Fornecedor Delta;A;Baixa;39,0;24,0;48,7;15;30;10,0;7,5;16,22;🟡 Estoque excessivo;0,0;235,55;0,0;1-Config ML (Painel);SARIMAX
PC000146;Loja Centro;Fornecedor Delta;A;Baixa;12,0;15,0;24,1;15;30;10,0;15,16;16,22;🟢 OK;0,0;396,35;0,0;1-Config ML (Painel);ARIMA
PC000370;Loja Centro;Fornecedor Delta;A;Baixa;18,0;61,2;8,8;15;30;10,0;41,37;16,22;🚨 RUPTURA IMINENTE;43,0;112,99;4881,92;1-Config ML (Painel);Ensemble
PC000336;Loja Centro;Fornecedor Alfa;A;Baixa;90,0;24,1;112,0;15;30;10,0;3,26;16,22;🟡 Estoque excessivo;0,0;295,44;0,0;1-Config ML (Painel);Ensemble
PC000540;Loja Centro;Fornecedor Delta;A;Baixa;15,0;21,4;21,0;15;30;10,0;17,35;16,22;🟢 OK;0,0;240,12;0,0;1-Config ML (Painel);ARIMA
PC000727;Loja Centro;Fornecedor Alfa;A;Baixa;25,0;23,4;32,1;15;30;10,0;11,37;16,22;🟡 Estoque excessivo;0,0;233,16;0,0;1-Config ML (Painel);Prophet
PC000856;Loja Centro;Fornecedor Delta;A;Baixa;11,0;50,5;6,5;15;30;10,0;55,9;16,22;🚨 RUPTURA IMINENTE;40,0;119,49;4724,46;1-Config ML (Painel);ARIMA
PC000875;Loja Centro;Fornecedor Delta;A;Baixa;14,0;19,2;21,9;15;30;10,0;16,69;16,22;🟢 OK;0,0;331,9;0,0;1-Config ML (Painel);Ensemble
PC000091;Loja Centro;Fornecedor Beta;A;Baixa;26,0;12,9;60,7;15;30;10,0;6,02;16,22;🟡 Estoque excessivo;0,0;424,69;0,0;1-Config ML (Painel);ARIMA
PC000587;Loja Centro;Fornecedor Alfa;A;Baixa;25,0;18,1;41,5;15;30;10,0;8,79;16,22;🟡 Estoque excessivo;0,0;315,25;0,0;1-Config ML (Painel);ARIMA
PC000006;Loja Centro;Fornecedor Beta;A;Baixa;69,0;18,5;111,8;15;30;10,0;3,27;16,22;🟡 Estoque excessivo;0,0;299,18;0,0;1-Config ML (Painel);Prophet
PC000334;Loja Centro;Fornecedor Alfa;A;Baixa;52,0;38,7;40,3;15;30;10,0;9,06;16,22;🟡 Estoque excessivo;0,0;448,38;0,0;1-Config ML (Painel);Holt
PC000860;Loja Centro;Fornecedor Beta;A;Baixa;23,0;17,1;40,4;15;30;10,0;9,04;16,22;🟡 Estoque excessivo;0,0;329,99;0,0;1-Config ML (Painel);ARIMA
PC000371;Loja Centro;Fornecedor Beta;A;Baixa;27,0;11,7;69,2;15;30;10,0;5,28;16,22;🟡 Estoque excessivo;0,0;437,36;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000719;Loja Centro;Fornecedor Delta;A;Baixa;42,0;10,0;126,0;15;30;10,0;2,9;16,22;🟡 Estoque excessivo;0,0;442,79;0,0;1-Config ML (Painel);Prophet
PC000030;Loja Centro;Fornecedor Beta;A;Baixa;36,0;14,3;75,5;15;30;10,0;4,83;16,22;🟡 Estoque excessivo;0,0;374,38;0,0;1-Config ML (Painel);Holt
PC000408;Loja Centro;Fornecedor Delta;A;Baixa;24,0;14,4;49,9;15;30;10,0;7,32;16,22;🟡 Estoque excessivo;0,0;364,11;0,0;1-Config ML (Painel);Ensemble
PC000729;Loja Centro;Fornecedor Alfa;A;Baixa;40,0;11,1;108,4;15;30;10,0;3,37;16,22;🟡 Estoque excessivo;0,0;367,77;0,0;1-Config ML (Painel);Ensemble
PC000761;Loja Centro;Fornecedor Gamma;A;Baixa;65,0;29,9;65,3;15;30;10,0;5,59;16,22;🟡 Estoque excessivo;0,0;208,83;0,0;1-Config ML (Painel);Prophet
PC000843;Loja Centro;Fornecedor Beta;A;Baixa;29,0;21,6;40,2;15;30;10,0;9,07;16,22;🟡 Estoque excessivo;0,0;202,22;0,0;1-Config ML (Painel);Ensemble
PC000600;Loja Centro;Fornecedor Gamma;A;Baixa;12,0;11,2;32,1;15;30;10,0;11,39;16,22;🟡 Estoque excessivo;0,0;403,23;0,0;1-Config ML (Painel);SARIMAX
PC000665;Loja Centro;Fornecedor Gamma;A;Baixa;38,0;10,5;108,4;15;30;10,0;3,37;16,22;🟡 Estoque excessivo;0,0;446,53;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000027;Loja Centro;Fornecedor Alfa;A;Baixa;4,0;13,1;9,2;15;30;10,0;39,84;16,22;🚨 RUPTURA IMINENTE;9,0;389,02;3538,72;1-Config ML (Painel);ARIMA
PC000477;Loja Centro;Fornecedor Gamma;A;Baixa;22,0;12,8;51,4;15;30;10,0;7,1;16,22;🟡 Estoque excessivo;0,0;365,07;0,0;1-Config ML (Painel);SARIMAX
PC000939;Loja Centro;Fornecedor Delta;A;Baixa;43,0;20,8;62,1;15;30;10,0;5,88;16,22;🟡 Estoque excessivo;0,0;228,23;0,0;1-Config ML (Painel);Prophet
PC000410;Loja Centro;Fornecedor Beta;A;Baixa;62,0;11,7;158,5;15;30;10,0;2,3;16,22;🟡 Estoque excessivo;0,0;391,78;0,0;1-Config ML (Painel);Ensemble
PC000260;Loja Centro;Fornecedor Gamma;A;Baixa;35,0;15,1;69,3;15;30;10,0;5,26;16,22;🟡 Estoque excessivo;0,0;265,23;0,0;1-Config ML (Painel);Prophet
PC000755;Loja Centro;Fornecedor Beta;A;Baixa;48,0;9,9;145,8;15;30;10,0;2,5;16,22;🟡 Estoque excessivo;0,0;439,34;0,0;1-Config ML (Painel);Holt
PC000059;Loja Centro;Fornecedor Gamma;A;Baixa;26,0;20,8;37,5;15;30;10,0;9,73;16,22;🟡 Estoque excessivo;0,0;220,11;0,0;1-Config ML (Painel);ARIMA
PC000590;Loja Centro;Fornecedor Alfa;A;Baixa;61,0;11,5;159,3;15;30;10,0;2,29;16,22;🟡 Estoque excessivo;0,0;325,18;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000937;Loja Centro;Fornecedor Alfa;A;Baixa;31,0;31,5;29,6;15;30;10,0;12,35;16,22;🟢 OK;0,0;127,26;0,0;1-Config ML (Painel);ARIMA
PC000833;Loja Centro;Fornecedor Delta;A;Baixa;23,0;15,5;44,6;15;30;10,0;8,18;16,22;🟡 Estoque excessivo;0,0;265,43;0,0;1-Config ML (Painel);Prophet
PC000457;Loja Centro;Fornecedor Gamma;A;Baixa;16,0;14,0;34,3;15;30;10,0;10,63;16,22;🟡 Estoque excessivo;0,0;312,77;0,0;1-Config ML (Painel);Ensemble
PC000078;Loja Centro;Fornecedor Gamma;A;Baixa;15,0;15,6;28,9;15;30;10,0;12,64;16,22;🟢 OK;0,0;308,4;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000312;Loja Centro;Fornecedor Gamma;B;Baixa;82,0;10,7;229,3;20;40;10,0;1,59;12,17;🟡 Estoque excessivo;0,0;403,51;0,0;1-Config ML (Painel);Ensemble
PC000666;Loja Centro;Fornecedor Delta;B;Baixa;63,0;12,3;153,9;20;40;10,0;2,37;12,17;🟡 Estoque excessivo;0,0;384,33;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000022;Loja Centro;Fornecedor Gamma;B;Baixa;64,0;22,2;86,4;20;40;10,0;4,23;12,17;🟡 Estoque excessivo;0,0;139,43;0,0;1-Config ML (Painel);SARIMAX
PC000841;Loja Centro;Fornecedor Beta;B;Baixa;10,0;21,2;14,1;20;40;10,0;25,85;12,17;🔴 Comprar agora;18,0;172,5;3162,39;1-Config ML (Painel);Prophet
PC000124;Loja Centro;Fornecedor Beta;B;Baixa;39,0;10,7;109,2;20;40;10,0;3,34;12,17;🟡 Estoque excessivo;0,0;365,81;0,0;1-Config ML (Painel);ARIMA
PC000855;Loja Centro;Fornecedor Beta;B;Baixa;42,0;9,6;130,9;20;40;10,0;2,79;12,17;🟡 Estoque excessivo;0,0;414,17;0,0;1-Config ML (Painel);Prophet
PC000354;Loja Centro;Fornecedor Delta;B;Baixa;40,0;11,7;102,7;20;40;10,0;3,55;12,17;🟡 Estoque excessivo;0,0;328,56;0,0;1-Config ML (Painel);ARIMA
PC000899;Loja Centro;Fornecedor Beta;B;Baixa;29,0;20,0;43,4;20;40;10,0;8,4;12,17;🟡 Estoque excessivo;0,0;165,08;0,0;1-Config ML (Painel);SARIMAX
PC000099;Loja Centro;Fornecedor Beta;B;Baixa;77,0;9,5;243,7;20;40;10,0;1,5;12,17;🟡 Estoque excessivo;0,0;352,58;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000635;Loja Centro;Fornecedor Alfa;B;Baixa;26,0;9,1;86,0;20;40;10,0;4,24;12,17;🟡 Estoque excessivo;0,0;417,81;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000920;Loja Centro;Fornecedor Alfa;B;Baixa;94,0;17,5;160,9;20;40;10,0;2,27;12,17;🟡 Estoque excessivo;0,0;190,38;0,0;1-Config ML (Painel);SARIMAX
PC000300;Loja Centro;Fornecedor Delta;B;Baixa;7,0;11,1;18,9;20;40;10,0;19,33;12,17;🔴 Comprar agora;8,0;320,26;2506,87;1-Config ML (Painel);Prophet
PC000058;Loja Centro;Fornecedor Alfa;B;Baixa;32,0;19,7;48,8;20;40;10,0;7,48;12,17;🟡 Estoque excessivo;0,0;185,65;0,0;1-Config ML (Painel);Prophet
PC000886;Loja Centro;Fornecedor Alfa;B;Baixa;50,0;14,2;105,6;20;40;10,0;3,46;12,17;🟡 Estoque excessivo;0,0;212,01;0,0;1-Config ML (Painel);Ensemble
PC000959;Loja Centro;Fornecedor Alfa;B;Baixa;6,0;11,4;15,8;20;40;10,0;23,03;12,17;🔴 Comprar agora;9,0;289,19;2644,13;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000731;Loja Centro;Fornecedor Beta;B;Baixa;20,0;20,2;29,7;20;40;10,0;12,28;12,17;🟢 OK;0,0;143,36;0,0;1-Config ML (Painel);SARIMAX
PC000557;Loja Centro;Fornecedor Gamma;B;Baixa;10,0;11,9;25,2;20;40;10,0;14,48;12,17;🟢 OK;0,0;278,05;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000704;Loja Centro;Fornecedor Alfa;B;Baixa;11,0;15,3;21,6;20;40;10,0;16,88;12,17;🟢 OK;0,0;231,71;0,0;1-Config ML (Painel);ARIMA
PC000668;Loja Centro;Fornecedor Beta;B;Baixa;58,0;8,8;197,0;20;40;10,0;1,85;12,17;🟡 Estoque excessivo;0,0;419,32;0,0;1-Config ML (Painel);Ensemble
PC000857;Loja Centro;Fornecedor Alfa;B;Baixa;10,0;8,8;34,2;20;40;10,0;10,66;12,17;🟢 OK;0,0;341,73;0,0;1-Config ML (Painel);Ensemble
PC000176;Loja Centro;Fornecedor Gamma;B;Baixa;2,0;12,8;4,7;20;40;10,0;77,83;12,17;🚨 RUPTURA IMINENTE;15,0;246,67;3714,68;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000207;Loja Centro;Fornecedor Delta;B;Baixa;82,0;11,1;221,6;20;40;10,0;1,65;12,17;🟡 Estoque excessivo;0,0;310,02;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000180;Loja Centro;Fornecedor Gamma;B;Baixa;46,0;11,3;121,9;20;40;10,0;2,99;12,17;🟡 Estoque excessivo;0,0;247,24;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000223;Loja Centro;Fornecedor Alfa;B;Baixa;22,0;17,5;37,8;20;40;10,0;9,66;12,17;🟢 OK;0,0;199,09;0,0;1-Config ML (Painel);ARIMA
PC000286;Loja Centro;Fornecedor Delta;B;Baixa;45,0;9,2;146,4;20;40;10,0;2,49;12,17;🟡 Estoque excessivo;0,0;236,83;0,0;1-Config ML (Painel);SARIMAX
PC000235;Loja Centro;Fornecedor Beta;B;Baixa;33,0;9,6;103,4;20;40;10,0;3,53;12,17;🟡 Estoque excessivo;0,0;296,04;0,0;1-Config ML (Painel);Ensemble
PC000879;Loja Centro;Fornecedor Alfa;B;Baixa;8,0;23,0;10,4;20;40;10,0;35,01;12,17;🔴 Comprar agora;23,0;139,52;3165,89;1-Config ML (Painel);ExponentialSmoothing
PC000974;Loja Centro;Fornecedor Delta;B;Baixa;11,0;13,6;24,3;20;40;10,0;15,02;12,17;🟢 OK;0,0;236,99;0,0;1-Config ML (Painel);Ensemble
PC000263;Loja Centro;Fornecedor Gamma;C;Baixa;44,0;13,9;94,7;30;55;10,0;3,86;8,59;🟡 Estoque excessivo;0,0;145,18;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000440;Loja Centro;Fornecedor Delta;C;Baixa;6,0;9,8;18,4;30;55;10,0;19,83;8,59;🔴 Comprar agora;12,0;305,66;3645,47;1-Config ML (Painel);Prophet
PC000487;Loja Centro;Fornecedor Delta;C;Baixa;18,0;18,7;28,9;30;55;10,0;12,64;8,59;🔴 Comprar agora;16,0;183,11;2981,78;1-Config ML (Painel);ARIMA
PC000041;Loja Centro;Fornecedor Delta;C;Baixa;22,0;12,8;51,6;30;55;10,0;7,07;8,59;🟢 OK;0,0;246,46;0,0;1-Config ML (Painel);Prophet
PC000069;Loja Centro;Fornecedor Delta;C;Baixa;28,0;19,3;43,6;30;55;10,0;8,38;8,59;🟢 OK;0,0;164,74;0,0;1-Config ML (Painel);Ensemble
PC000118;Loja Centro;Fornecedor Gamma;C;Baixa;8,0;7,2;33,4;30;55;10,0;10,93;8,59;🟢 OK;0,0;395,84;0,0;1-Config ML (Painel);ARIMA
PC000129;Loja Centro;Fornecedor Delta;C;Baixa;59,0;15,0;118,1;30;55;10,0;3,09;8,59;🟡 Estoque excessivo;0,0;172,73;0,0;1-Config ML (Painel);Prophet
PC000702;Loja Centro;Fornecedor Gamma;C;Baixa;71,0;13,7;155,5;30;55;10,0;2,35;8,59;🟡 Estoque excessivo;0,0;199,16;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000673;Loja Centro;Fornecedor Gamma;C;Baixa;42,0;7,0;179,4;30;55;10,0;2,04;8,59;🟡 Estoque excessivo;0,0;391,68;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000705;Loja Centro;Fornecedor Alfa;C;Baixa;26,0;12,1;64,4;30;55;10,0;5,67;8,59;🟡 Estoque excessivo;0,0;202,26;0,0;1-Config ML (Painel);SARIMAX
PC000401;Loja Centro;Fornecedor Beta;C;Baixa;19,0;39,8;14,3;30;55;10,0;25,47;8,59;🔴 Comprar agora;54,0;81,83;4412,11;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000946;Loja Centro;Fornecedor Beta;C;Baixa;44,0;10,8;122,7;30;55;10,0;2,97;8,59;🟡 Estoque excessivo;0,0;236,63;0,0;1-Config ML (Painel);ARIMA
PC000751;Loja Centro;Fornecedor Gamma;C;Baixa;23,0;32,0;21,6;30;55;10,0;16,93;8,59;🔴 Comprar agora;36,0;244,61;8724,42;1-Config ML (Painel);Média Móvel
PC000437;Loja Centro;Fornecedor Gamma;C;Baixa;49,0;20,5;71,7;30;55;10,0;5,09;8,59;🟡 Estoque excessivo;0,0;144,11;0,0;1-Config ML (Painel);Ensemble
PC000851;Loja Centro;Fornecedor Alfa;C;Baixa;30,0;15,4;58,5;30;55;10,0;6,24;8,59;🟡 Estoque excessivo;0,0;134,37;0,0;1-Config ML (Painel);Ensemble
PC000057;Loja Centro;Fornecedor Beta;C;Baixa;69,0;7,4;280,8;30;55;10,0;1,3;8,59;🟡 Estoque excessivo;0,0;347,1;0,0;1-Config ML (Painel);SARIMAX
PC000695;Loja Centro;Fornecedor Beta;C;Baixa;59,0;14,8;119,3;30;55;10,0;3,06;8,59;🟡 Estoque excessivo;0,0;170,45;0,0;1-Config ML (Painel);ARIMA
PC000669;Loja Centro;Fornecedor Beta;C;Baixa;28,0;34,0;24,7;30;55;10,0;14,77;8,59;🔴 Comprar agora;34,0;59,43;2038,95;1-Config ML (Painel);ExponentialSmoothing
PC000945;Loja Centro;Fornecedor Alfa;C;Baixa;44,0;5,8;227,4;30;55;10,0;1,61;8,59;🟡 Estoque excessivo;0,0;356,57;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000434;Loja Centro;Fornecedor Alfa;C;Baixa;15,0;7,4;61,0;30;55;10,0;5,98;8,59;🟡 Estoque excessivo;0,0;302,75;0,0;1-Config ML (Painel);Ensemble
PC000355;Loja Centro;Fornecedor Gamma;C;Baixa;23,0;12,8;53,7;30;55;10,0;6,79;8,59;🟢 OK;0,0;223,11;0,0;1-Config ML (Painel);ARIMA
PC000953;Loja Centro;Fornecedor Alfa;C;Baixa;45,0;8,2;164,5;30;55;10,0;2,22;8,59;🟡 Estoque excessivo;0,0;272,42;0,0;1-Config ML (Painel);Prophet
PC000771;Loja Centro;Fornecedor Delta;C;Baixa;35,0;14,8;71,0;30;55;10,0;5,14;8,59;🟡 Estoque excessivo;0,0;211,08;0,0;1-Config ML (Painel);Ensemble
PC000461;Loja Centro;Fornecedor Beta;C;Baixa;60,0;12,4;145,2;30;55;10,0;2,51;8,59;🟡 Estoque excessivo;0,0;182,09;0,0;1-Config ML (Painel);SARIMAX
PC000604;Loja Centro;Fornecedor Delta;C;Baixa;35,0;14,0;74,8;30;55;10,0;4,88;8,59;🟡 Estoque excessivo;0,0;164,91;0,0;1-Config ML (Painel);SARIMAX
PC000847;Loja Centro;Fornecedor Gamma;C;Baixa;10,0;32,4;9,3;30;55;10,0;39,39;8,59;🚨 RUPTURA IMINENTE;49,0;61,7;3045,52;1-Config ML (Painel);ARIMA
PC000473;Loja Centro;Fornecedor Alfa;C;Baixa;69,0;22,2;93,4;30;55;10,0;3,91;8,59;🟡 Estoque excessivo;0,0;396,3;0,0;1-Config ML (Painel);Croston
PC000683;Loja Centro;Fornecedor Alfa;C;Baixa;64,0;7,1;270,6;30;55;10,0;1,35;8,59;🟡 Estoque excessivo;0,0;291,31;0,0;1-Config ML (Painel);Ensemble
PC000810;Loja Centro;Fornecedor Delta;C;Baixa;53,0;34,5;46,0;30;55;10,0;7,93;8,59;🟢 OK;0,0;51,49;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000996;Loja Centro;Fornecedor Alfa;C;Baixa;27,0;8,6;94,7;30;55;10,0;3,85;8,59;🟡 Estoque excessivo;0,0;298,37;0,0;1-Config ML (Painel);ARIMA
PC000182;Loja Centro;Fornecedor Alfa;C;Baixa;20,0;12,8;47,0;30;55;10,0;7,77;8,59;🟢 OK;0,0;159,11;0,0;1-Config ML (Painel);Prophet
PC000889;Loja Centro;Fornecedor Gamma;C;Baixa;8,0;7,1;34,0;30;55;10,0;10,73;8,59;🟢 OK;0,0;329,1;0,0;1-Config ML (Painel);SARIMAX
PC000515;Loja Centro;Fornecedor Gamma;C;Baixa;84,0;19,7;128,2;30;55;10,0;2,85;8,59;🟡 Estoque excessivo;0,0;94,53;0,0;1-Config ML (Painel);Prophet
PC000255;Loja Centro;Fornecedor Delta;C;Baixa;22,0;6,1;107,9;30;55;10,0;3,38;8,59;🟡 Estoque excessivo;0,0;311,02;0,0;1-Config ML (Painel);SARIMAX
PC000430;Loja Centro;Fornecedor Alfa;C;Baixa;31,0;4,7;199,9;30;55;10,0;1,83;8,59;🟡 Estoque excessivo;0,0;391,62;0,0;1-Config ML (Painel);Prophet
PC000978;Loja Centro;Fornecedor Gamma;C;Baixa;41,0;12,5;98,6;30;55;10,0;3,7;8,59;🟡 Estoque excessivo;0,0;197,91;0,0;1-Config ML (Painel);Holt
PC000935;Loja Centro;Fornecedor Delta;C;Baixa;65,0;5,5;355,1;30;55;10,0;1,03;8,59;🟡 Estoque excessivo;0,0;307,0;0,0;1-Config ML (Painel);Ensemble
PC000431;Loja Centro;Fornecedor Gamma;C;Baixa;4,0;8,3;14,5;30;55;10,0;25,19;8,59;🔴 Comprar agora;11,0;209,0;2337,78;1-Config ML (Painel);SARIMAX
PC000245;Loja Centro;Fornecedor Delta;C;Baixa;19,0;4,8;118,3;30;55;10,0;3,09;8,59;🟡 Estoque excessivo;0,0;344,37;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000206;Loja Centro;Fornecedor Delta;D;Baixa;47,0;5,7;246,2;40;75;10,0;1,48;6,35;🟡 Estoque excessivo;0,0;348,52;0,0;1-Config ML (Painel);SARIMAX
PC000984;Loja Centro;Fornecedor Beta;D;Baixa;28,0;7,1;117,9;40;75;10,0;3,1;6,35;🟡 Estoque excessivo;0,0;221,47;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000529;Loja Centro;Fornecedor Delta;D;Baixa;48,0;45,3;31,8;40;75;10,0;11,49;6,35;🔴 Comprar agora;65,0;362,94;23712,09;1-Config ML (Painel);Média Móvel
PC000876;Loja Centro;Fornecedor Beta;D;Baixa;20,0;8,3;72,1;40;75;10,0;5,06;6,35;🟢 OK;0,0;247,67;0,0;1-Config ML (Painel);ARIMA
PC000643;Loja Centro;Fornecedor Alfa;D;Baixa;78,0;7,7;305,8;40;75;10,0;1,19;6,35;🟡 Estoque excessivo;0,0;238,26;0,0;1-Config ML (Painel);Ensemble
