Ano;Mês;Filial;Receita Serviços;Receita Produtos;Receb. Clientes;Receita Financ.;Outras Receitas;Folha;Fornecedores;Impostos;Desp. Operacionais;Investimentos
2024;Ago;Loja Centro;185502,56;54699,47;80860,09;5232,12;6659,07;95129,52;70395,84;30917,09;42332,64;11891,19
2024;Ago;Loja Norte;96994,31;28600,89;42279,57;2735,74;3481,85;49740,67;36808,1;16165,72;22134,6;6217,58
2024;Ago;Loja Sul;107503,13;31699,64;46860,34;3032,14;3859,09;55129,81;40796,06;17917,19;24532,77;6891,23
2024;Set;Loja Centro;186664,24;55762,99;81281,64;5670,81;6143,38;95458,67;70885,15;31189,47;42531,09;9451,35
2024;Set;Loja Norte;97397,2;29095,87;42410,93;2958,9;3205,48;49808,19;36986,28;16273,96;22191,77;4931,5
2024;Set;Loja Sul;110938,56;33141,14;48307,42;3370,29;3651,14;56733,14;42128,57;18536,57;25277,14;5617,14
2024;Out;Loja Centro;183616,89;54405;79340,63;5440,5;5893,88;92941,88;69819,76;30829,5;41710,5;12694,5
2024;Out;Loja Norte;110985,57;32884,61;47956,73;3288,46;3562,5;56177,88;42201,92;18634,61;25211,54;7673,08
2024;Out;Loja Sul;110397,54;32710,38;47702,64;3271,04;3543,62;55880,24;41978,33;18535,88;25077,96;7632,42
2024;Nov;Loja Centro;187376,69;55766,87;80304,29;5799,75;6245,89;92796,07;70489,33;31229,45;41936,69;13384,05
2024;Nov;Loja Norte;113601,42;33809,95;48686,32;3516,23;3786,71;56259,75;42735,77;18933,57;25425,08;8114,39
2024;Nov;Loja Sul;119021,89;35423,18;51009,38;3684,01;3967,4;58944,18;44774,9;19836,98;26638,23;8501,56
2024;Dez;Loja Centro;196981,35;59094,41;83169,9;6566,05;6566,05;96301,99;72226,5;32830,23;42898,16;17509,45
2024;Dez;Loja Norte;104662,62;31398,79;44190,89;3488,75;3488,75;51168,39;38376,3;17443,77;22793,19;9303,34
2024;Dez;Loja Sul;148356,03;44506,81;62639,21;4945,2;4945,2;72529,61;54397,21;24726;32308,65;13187,2
2025;Jan;Loja Centro;190010,76;56409,45;83129,71;4750,27;7125,4;106881,05;74222,95;30876,75;46315,12;20782,43
2025;Jan;Loja Norte;74314,56;22062,13;32512,62;1857,86;2786,8;41801,94;29029,12;12076,12;18114,17;8128,15
2025;Jan;Loja Sul;119674,68;35528,42;52357,67;2991,87;4487,8;67317,01;46747,92;19447,14;29170,7;13089,42
2025;Fev;Loja Centro;176499,33;52414,95;77552,74;4278,77;5348,46;96272,36;68460,35;28881,71;42787,72;10696,93
2025;Fev;Loja Norte;84189,35;25001,69;36992,29;2040,95;2551,19;45921,46;32655,26;13776,44;20409,54;5102,38
2025;Fev;Loja Sul;135311,32;40183,36;59454,97;3280,27;4100,34;73806,17;52484,39;22141,85;32802,74;8200,69
2025;Mar;Loja Centro;180764,87;52680,05;77470,66;4648,24;5681,18;95547,15;68174,18;29955,32;41834,16;7747,07
2025;Mar;Loja Norte;88039,69;25657,28;37731,3;2263,88;2766,96;46535,27;33203,54;14589,44;20374,9;3773,13
2025;Mar;Loja Sul;151195,43;44062,67;64798,04;3887,88;4751,86;79917,59;57022,28;25055,24;34990,94;6479,8
2025;Abr;Loja Centro;190730,5;53853,32;83023,87;4487,78;5048,75;103779,83;72926,37;31414,44;45999,71;14024,3
2025;Abr;Loja Norte;83697,87;23632,34;36433,19;1969,36;2215,53;45541,49;32002,13;13785,53;20185,96;6154,26
2025;Abr;Loja Sul;133571,63;37714,34;58142,94;3142,86;3535,72;72678,68;51071,5;22000,03;32214,33;9821,44
2025;Mai;Loja Centro;185669,9;54393,43;80544,12;5230,14;5230,14;99372,62;70083,85;30857,81;43933,16;9414,25
2025;Mai;Loja Norte;103326,16;30270,2;44823,18;2910,6;2910,6;55301,33;39001,99;17172,52;24449,01;5239,07
2025;Mai;Loja Sul;137003,94;40136,37;59432,69;3859,27;3859,27;73326,05;51714,16;22769,67;32417,83;6946,68
2025;Jun;Loja Centro;205270,78;59916,88;88765,74;5547,86;6657,43;108183,25;77670,02;33841,94;47156,8;16643,58
2025;Jun;Loja Norte;99847,71;29144,74;43177,39;2698,59;3238,3;52622,44;37780,21;16461,38;22937,99;8095,76
2025;Jun;Loja Sul;138881,52;40538,39;60056,87;3753,55;4504,27;73194,31;52549,76;22896,68;31905,21;11260,66
2025;Jul;Loja Centro;205553,13;60584,08;89253,33;5950,22;6491,15;107104;78434,75;34078,54;47601,78;11900,44
2025;Jul;Loja Norte;119661,08;35268,53;51958,1;3463,87;3778,77;62349,72;45660,15;19838,55;27710,99;6927,75
2025;Jul;Loja Sul;130785,8;38547,39;56788,57;3785,9;4130,08;68146,28;49905,11;21682,91;30287,24;7571,81
2025;Ago;Loja Centro;218169,72;64332,1;95099,62;6153,5;7831,73;111881,91;82792,61;36361,62;49787,45;13985,24
2025;Ago;Loja Norte;110386,72;32549,93;48117,29;3113,47;3962,6;56608,57;41890,35;18397,79;25190,82;7076,07
2025;Ago;Loja Sul;139443,56;41117,97;60783,09;3933,02;5005,67;71509,52;52917,04;23240,59;31821,74;8938,69
2025;Set;Loja Centro;228288,2;68197,49;99406,51;6935,34;7513,28;116744,85;86691,72;38144,36;52015,03;11558,9
2025;Set;Loja Norte;110977,47;33152,76;48324,37;3371,47;3652,42;56753,04;42143,34;18543,07;25286,01;5619,11
2025;Set;Loja Sul;134734,33;40249,75;58669,12;4093,19;4434,29;68902,11;51164,93;22512,57;30698,96;6821,99
2025;Out;Loja Centro;206259,97;61114,07;89124,68;6111,41;6620,69;104403,19;78429,72;34631,3;46854,12;14259,95
2025;Out;Loja Norte;115281,15;34157,38;49812,84;3415,74;3700,38;58352,19;43835,3;19355,85;26187,32;7970,06
2025;Out;Loja Sul;164458,87;48728,56;71062,48;4872,86;5278,93;83244,62;62534,98;27612,85;37358,56;11370
2025;Nov;Loja Centro;225801,36;67202,79;96772,01;6989,09;7526,71;111825,44;84944,32;37633,56;50536,5;16128,67
2025;Nov;Loja Norte;109042,89;32453,24;46732,67;3375,14;3634,76;54002,19;41020,9;18173,81;24404,84;7788,78
2025;Nov;Loja Sul;169155,75;50343,97;72495,32;5235,77;5638,52;83772,37;63634,78;28192,62;37858,67;12082,55
2025;Dez;Loja Centro;276065,36;82819,61;116560,93;9202,18;9202,18;134965,29;101223,97;46010,89;60120,9;24539,14
2025;Dez;Loja Norte;106955,69;32086,71;45159,07;3565,19;3565,19;52289,45;39217,09;17825,95;23292,57;9507,17
2025;Dez;Loja Sul;156978,94;47093,68;66280;5232,63;5232,63;76745,26;57558,95;26163,16;34186,53;13953,68
2026;Jan;Loja Centro;209711,74;62258,17;91748,88;5242,79;7864,19;117962,85;81918,65;34078,16;51117,24;22937,22
2026;Jan;Loja Norte;116006,09;34439,31;50752,66;2900,15;4350,23;65253,42;45314,88;18850,99;28276,48;12688,17
2026;Jan;Loja Sul;138282,18;41052,52;60498,45;3457,05;5185,58;77783,72;54016,47;22470,85;33706,28;15124,61
2026;Fev;Loja Centro;222354,67;66032,6;97701,29;5390,42;6738,02;121284,36;86246,66;36385,31;53904,16;13476,04
2026;Fev;Loja Norte;97847,11;29057,63;42993,43;2372,05;2965,06;53371,15;37952,82;16011,35;23720,51;5930,13
2026;Fev;Loja Sul;158298,22;47009,77;69555,28;3837,53;4796,92;86344,48;61400,52;25903,35;38375,33;9593,83
2026;Mar;Loja Centro;225643,31;65758,91;96704,27;5802,26;7091,65;119268,61;85099,76;37392,32;52220,31;9670,43
2026;Mar;Loja Norte;108935,27;31746,85;46686,54;2801,19;3423,68;57580,07;41084,16;18052,13;25210,73;4668,65
2026;Mar;Loja Sul;172921,42;50394,24;74109,18;4446,55;5434,67;91401,32;65216,08;28655,55;40018,96;7410,92
2026;Abr;Loja Centro;214671,05;60613;93445,04;5051,08;5682,47;116806,3;82080,11;35357,58;51773,61;15784,64
2026;Abr;Loja Norte;104890,35;29616,1;45658,15;2468,01;2776,51;57072,69;40105,13;17276,06;25297,08;7712,53
2026;Abr;Loja Sul;173438,6;48970,9;75496,8;4080,91;4591,02;94371;66314,76;28566,36;41829,31;12752,84
2026;Mai;Loja Centro;255333,51;74801,93;110764,4;7192,49;7192,49;136657,37;96379,41;42435,71;60416,94;12946,49
2026;Mai;Loja Norte;125126,84;36656,88;54280,37;3524,7;3524,7;66969,29;47230,97;20795,73;29607,48;6344,46
2026;Mai;Loja Sul;134289,65;39341,19;58255,23;3782,81;3782,81;71873,33;50689,61;22318,56;31775,58;6809,05
2026;Jun;Loja Centro;250231,71;73040,61;108208,31;6763,02;8115,62;131878,87;94682,27;41254,42;57485,66;20289,06
2026;Jun;Loja Norte;125185,7;36540,69;54134,36;3383,4;4060,08;65976,25;47367,56;20638,72;28758,88;10150,19
2026;Jun;Loja Sul;161082,59;47018,7;69657,34;4353,58;5224,3;84894,88;60950,17;26556,86;37005,46;13060,75
2026;Jul;Loja Centro;214463,72;63210,36;93122,41;6208,16;6772,54;111746,89;81834,84;35555,83;49665,28;12416,32
2026;Jul;Loja Norte;136758,62;40307,8;59382,03;3958,8;4318,69;71258,44;52184,21;22673,14;31670,42;7917,6
2026;Jul;Loja Sul;199777,66;58881,84;86745,56;5783,04;6308,77;104094,68;76230,95;33121,03;46264,3;11566,08
