Produto;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000611;02/10/2026;2;31,0;12140,87;🟡 Planejado;A;Fornecedor Alfa;7,0;49,6
PC000611;14/10/2026;3;35,0;14088,65;🟡 Planejado;A;Fornecedor Alfa;7,0;56,0
PC000611;29/10/2026;3;35,0;13703,71;🟡 Planejado;A;Fornecedor Alfa;7,0;56,0
PC000611;12/11/2026;4;39,0;15629,29;🟡 Planejado;A;Fornecedor Alfa;6,0;60,2
PC000611;27/11/2026;4;37,0;14742,43;🟡 Planejado;A;Fornecedor Alfa;6,0;60,2
PC000611;13/12/2026;5;36,0;14239,91;🟡 Planejado;A;Fornecedor Alfa;6,0;58,1
PC000611;28/12/2026;5;36,0;14211,95;🟡 Planejado;A;Fornecedor Alfa;6,0;58,1
PC000611;06/01/2027;6;49,0;19614,9;🟡 Planejado;A;Fornecedor Alfa;5,0;77,0
PC000611;21/01/2027;6;47,0;18831,83;🟡 Planejado;A;Fornecedor Alfa;5,0;77,0
PC000600;14/08/2026;1;19,0;7718,77;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;12,0;30,9
PC000600;29/08/2026;1;19,0;7692,21;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;12,0;30,9
PC000600;17/09/2026;2;18,0;7090,18;🟡 Planejado;A;Fornecedor Gamma;13,0;27,4
PC000600;03/10/2026;3;27,0;11053,36;🟡 Planejado;A;Fornecedor Gamma;10,0;34,8
PC000600;18/10/2026;3;21,0;8642,49;🟡 Planejado;A;Fornecedor Gamma;10,0;34,8
PC000600;02/11/2026;4;35,0;13956,42;🟡 Planejado;A;Fornecedor Gamma;8,0;45,1
PC000600;18/11/2026;4;30,0;11961,33;🟡 Planejado;A;Fornecedor Gamma;8,0;45,1
PC000600;03/12/2026;5;28,0;11445,82;🟡 Planejado;A;Fornecedor Gamma;8,0;45,6
PC000600;18/12/2026;5;28,0;11322,53;🟡 Planejado;A;Fornecedor Gamma;8,0;45,6
PC000600;01/01/2027;6;45,0;18134,86;🟡 Planejado;A;Fornecedor Gamma;6,0;60,3
PC000600;16/01/2027;6;37,0;14984,06;🟡 Planejado;A;Fornecedor Gamma;6,0;60,3
PC000690;04/08/2026;1;34,0;11722,96;🚨 Urgente (até 7 dias);A;Fornecedor Beta;8,0;46,2
PC000690;19/08/2026;1;28,0;9858,49;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;8,0;46,2
PC000690;03/09/2026;2;30,0;10516,23;🟡 Planejado;A;Fornecedor Beta;8,0;47,7
PC000690;18/09/2026;2;29,0;10176,75;🟡 Planejado;A;Fornecedor Beta;8,0;47,7
PC000690;03/10/2026;3;33,0;11330,19;🟡 Planejado;A;Fornecedor Beta;7,0;50,3
PC000690;19/10/2026;3;33,0;11450,52;🟡 Planejado;A;Fornecedor Beta;7,0;50,3
PC000690;03/11/2026;4;32,0;11051,93;🟡 Planejado;A;Fornecedor Beta;7,0;51,0
PC000690;19/11/2026;4;34,0;11609,06;🟡 Planejado;A;Fornecedor Beta;7,0;51,0
PC000690;05/12/2026;5;33,0;11549,12;🟡 Planejado;A;Fornecedor Beta;7,0;50,9
PC000690;21/12/2026;5;33,0;11580,85;🟡 Planejado;A;Fornecedor Beta;7,0;50,9
PC000690;05/01/2027;6;35,0;11996,45;🟡 Planejado;A;Fornecedor Beta;7,0;53,2
PC000690;20/01/2027;6;33,0;11345,37;🟡 Planejado;A;Fornecedor Beta;7,0;53,2
PC000425;14/10/2026;3;30,0;13442,33;🟡 Planejado;A;Fornecedor Delta;8,0;47,1
PC000425;29/10/2026;3;29,0;12884,51;🟡 Planejado;A;Fornecedor Delta;8,0;47,1
PC000425;14/11/2026;4;28,0;12620,26;🟡 Planejado;A;Fornecedor Delta;8,0;45,6
PC000425;29/11/2026;4;28,0;12492,69;🟡 Planejado;A;Fornecedor Delta;8,0;45,6
PC000425;09/12/2026;5;36,0;16054,8;🟡 Planejado;A;Fornecedor Delta;6,0;56,8
PC000425;25/12/2026;5;37,0;16578,73;🟡 Planejado;A;Fornecedor Delta;6,0;56,8
PC000425;09/01/2027;6;37,0;16255,36;🟡 Planejado;A;Fornecedor Delta;6,0;57,8
PC000425;24/01/2027;6;36,0;15816,72;🟡 Planejado;A;Fornecedor Delta;6,0;57,8
PC000668;04/08/2026;1;25,0;10603,2;🚨 Urgente (até 7 dias);A;Fornecedor Beta;13,0;28,5
PC000668;20/08/2026;1;19,0;7853,28;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;13,0;28,5
PC000668;07/09/2026;2;16,0;6743,81;🟡 Planejado;A;Fornecedor Beta;15,0;25,0
PC000668;22/09/2026;2;15,0;6466,25;🟡 Planejado;A;Fornecedor Beta;15,0;25,0
PC000668;05/10/2026;3;17,0;7304,29;🟡 Planejado;A;Fornecedor Beta;13,0;28,0
PC000668;20/10/2026;3;17,0;7239,07;🟡 Planejado;A;Fornecedor Beta;13,0;28,0
PC000668;02/11/2026;4;32,0;13501,04;🟡 Planejado;A;Fornecedor Beta;9,0;41,5
PC000668;18/11/2026;4;27,0;11451,83;🟡 Planejado;A;Fornecedor Beta;9,0;41,5
PC000668;02/12/2026;5;35,0;14496,53;🟡 Planejado;A;Fornecedor Beta;7,0;49,9
PC000668;17/12/2026;5;31,0;12901,99;🟡 Planejado;A;Fornecedor Beta;7,0;49,9
PC000668;06/01/2027;6;24,0;10018,89;🟡 Planejado;A;Fornecedor Beta;10,0;38,3
PC000668;22/01/2027;6;25,0;10569,34;🟡 Planejado;A;Fornecedor Beta;10,0;38,3
PC000945;25/08/2026;1;24,0;8680,34;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;9,0;38,5
PC000945;06/09/2026;2;30,0;10672,78;🟡 Planejado;A;Fornecedor Alfa;8,0;46,4
PC000945;21/09/2026;2;29,0;10188,93;🟡 Planejado;A;Fornecedor Alfa;8,0;46,4
PC000945;07/10/2026;3;27,0;9728,14;🟡 Planejado;A;Fornecedor Alfa;8,0;44,1
PC000945;23/10/2026;3;29,0;10347,03;🟡 Planejado;A;Fornecedor Alfa;8,0;44,1
PC000945;04/11/2026;4;32,0;11365,12;🟡 Planejado;A;Fornecedor Alfa;7,0;51,6
PC000945;19/11/2026;4;32,0;11338,91;🟡 Planejado;A;Fornecedor Alfa;7,0;51,6
PC000945;04/12/2026;5;36,0;12674,64;🟡 Planejado;A;Fornecedor Alfa;7,0;54,3
PC000945;19/12/2026;5;34,0;11946,06;🟡 Planejado;A;Fornecedor Alfa;7,0;54,3
PC000945;01/01/2027;6;44,0;15751,9;🟡 Planejado;A;Fornecedor Alfa;6,0;66,2
PC000945;17/01/2027;6;44,0;15528,86;🟡 Planejado;A;Fornecedor Alfa;6,0;66,2
PC000547;12/08/2026;1;24,0;8689,36;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;9,0;38,6
PC000547;27/08/2026;1;24,0;8665,71;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;9,0;38,6
PC000547;13/09/2026;2;23,0;8320,64;🟡 Planejado;A;Fornecedor Beta;10,0;36,1
PC000547;29/09/2026;2;24,0;8657,87;🟡 Planejado;A;Fornecedor Beta;10,0;36,1
PC000547;12/10/2026;3;26,0;9645,86;🟡 Planejado;A;Fornecedor Beta;9,0;40,5
PC000547;28/10/2026;3;27,0;9702,4;🟡 Planejado;A;Fornecedor Beta;9,0;40,5
PC000547;08/11/2026;4;32,0;11647,15;🟡 Planejado;A;Fornecedor Beta;7,0;49,5
PC000547;24/11/2026;4;33,0;11854,51;🟡 Planejado;A;Fornecedor Beta;7,0;49,5
PC000547;08/12/2026;5;34,0;12256,62;🟡 Planejado;A;Fornecedor Beta;7,0;52,9
PC000547;23/12/2026;5;33,0;11877,36;🟡 Planejado;A;Fornecedor Beta;7,0;52,9
PC000547;08/01/2027;6;33,0;12127,02;🟡 Planejado;A;Fornecedor Beta;7,0;51,9
PC000547;24/01/2027;6;34,0;12440,9;🟡 Planejado;A;Fornecedor Beta;7,0;51,9
PC000410;04/08/2026;1;34,0;13386,24;🚨 Urgente (até 7 dias);A;Fornecedor Beta;11,0;34,7
PC000410;19/08/2026;1;21,0;8372,92;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;11,0;34,7
PC000410;03/09/2026;2;27,0;10628,14;🟡 Planejado;A;Fornecedor Beta;9,0;39,2
PC000410;19/09/2026;2;26,0;10095,1;🟡 Planejado;A;Fornecedor Beta;9,0;39,2
PC000410;05/10/2026;3;24,0;9242,85;🟡 Planejado;A;Fornecedor Beta;10,0;37,6
PC000410;21/10/2026;3;25,0;9681,89;🟡 Planejado;A;Fornecedor Beta;10,0;37,6
PC000410;04/11/2026;4;26,0;10017,14;🟡 Planejado;A;Fornecedor Beta;9,0;40,5
PC000410;20/11/2026;4;27,0;10431,22;🟡 Planejado;A;Fornecedor Beta;9,0;40,5
PC000410;04/12/2026;5;28,0;11160,62;🟡 Planejado;A;Fornecedor Beta;8,0;44,3
PC000410;19/12/2026;5;27,0;10703,5;🟡 Planejado;A;Fornecedor Beta;8,0;44,3
PC000410;04/01/2027;6;27,0;10501,14;🟡 Planejado;A;Fornecedor Beta;9,0;42,6
PC000410;19/01/2027;6;26,0;10299,41;🟡 Planejado;A;Fornecedor Beta;9,0;42,6
PC000755;04/08/2026;1;35,0;15430,44;🚨 Urgente (até 7 dias);A;Fornecedor Beta;9,0;41,7
PC000755;20/08/2026;1;27,0;12045,71;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;9,0;41,7
PC000755;04/09/2026;2;26,0;11292,86;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;19/09/2026;2;26,0;11292,86;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;04/10/2026;3;26,0;11292,86;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;20/10/2026;3;27,0;12045,72;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;04/11/2026;4;26,0;11292,86;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;20/11/2026;4;27,0;12045,72;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;05/12/2026;5;26,0;11292,87;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;21/12/2026;5;27,0;12045,72;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;05/01/2027;6;26,0;11292,87;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000755;21/01/2027;6;27,0;12045,72;🟡 Planejado;A;Fornecedor Beta;9,0;41,7
PC000295;18/08/2026;1;17,0;6072,76;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;14,0;26,4
PC000295;03/09/2026;2;24,0;8860,64;🟡 Planejado;A;Fornecedor Alfa;11,0;32,0
PC000295;18/09/2026;2;20,0;7134,55;🟡 Planejado;A;Fornecedor Alfa;11,0;32,0
PC000295;06/10/2026;3;18,0;6403,45;🟡 Planejado;A;Fornecedor Alfa;13,0;27,7
PC000295;21/10/2026;3;17,0;6182,49;🟡 Planejado;A;Fornecedor Alfa;13,0;27,7
PC000295;02/11/2026;4;27,0;9910,63;🟡 Planejado;A;Fornecedor Alfa;9,0;38,5
PC000295;18/11/2026;4;25,0;9157,05;🟡 Planejado;A;Fornecedor Alfa;9,0;38,5
PC000295;05/12/2026;5;23,0;8489,57;🟡 Planejado;A;Fornecedor Alfa;10,0;36,0
PC000295;20/12/2026;5;22,0;8037,76;🟡 Planejado;A;Fornecedor Alfa;10,0;36,0
PC000295;01/01/2027;6;34,0;12435,11;🟡 Planejado;A;Fornecedor Alfa;7,0;49,1
PC000295;16/01/2027;6;30,0;10943,36;🟡 Planejado;A;Fornecedor Alfa;7,0;49,1
PC000666;09/08/2026;1;22,0;8297,68;🚨 Urgente (até 7 dias);A;Fornecedor Delta;11,0;32,8
PC000666;25/08/2026;1;22,0;8299,82;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;11,0;32,8
PC000666;11/09/2026;2;19,0;7351,44;🟡 Planejado;A;Fornecedor Delta;12,0;30,5
PC000666;26/09/2026;2;19,0;7216,8;🟡 Planejado;A;Fornecedor Delta;12,0;30,5
PC000666;09/10/2026;3;23,0;8791,76;🟡 Planejado;A;Fornecedor Delta;10,0;34,8
PC000666;24/10/2026;3;21,0;8245,4;🟡 Planejado;A;Fornecedor Delta;10,0;34,8
PC000666;05/11/2026;4;26,0;10182,71;🟡 Planejado;A;Fornecedor Delta;9,0;41,5
PC000666;21/11/2026;4;27,0;10482,81;🟡 Planejado;A;Fornecedor Delta;9,0;41,5
PC000666;03/12/2026;5;33,0;12608,07;🟡 Planejado;A;Fornecedor Delta;7,0;50,9
PC000666;19/12/2026;5;33,0;12855,79;🟡 Planejado;A;Fornecedor Delta;7,0;50,9
PC000666;08/01/2027;6;26,0;10084,43;🟡 Planejado;A;Fornecedor Delta;9,0;40,9
PC000666;23/01/2027;6;25,0;9689,68;🟡 Planejado;A;Fornecedor Delta;9,0;40,9
PC000773;20/08/2026;1;24,0;9751,64;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;10,0;36,9
PC000773;05/09/2026;2;23,0;9387,95;🟡 Planejado;A;Fornecedor Beta;10,0;36,2
PC000773;21/09/2026;2;24,0;9577,81;🟡 Planejado;A;Fornecedor Beta;10,0;36,2
PC000773;06/10/2026;3;23,0;9302,44;🟡 Planejado;A;Fornecedor Beta;10,0;36,8
PC000773;22/10/2026;3;24,0;9729,93;🟡 Planejado;A;Fornecedor Beta;10,0;36,8
PC000773;07/11/2026;4;23,0;9438,58;🟡 Planejado;A;Fornecedor Beta;10,0;36,3
PC000773;23/11/2026;4;24,0;9600,44;🟡 Planejado;A;Fornecedor Beta;10,0;36,3
PC000773;08/12/2026;5;23,0;9255,3;🟡 Planejado;A;Fornecedor Beta;10,0;36,7
PC000773;24/12/2026;5;24,0;9710,66;🟡 Planejado;A;Fornecedor Beta;10,0;36,7
PC000773;09/01/2027;6;24,0;9481,96;🟡 Planejado;A;Fornecedor Beta;10,0;36,4
PC000773;24/01/2027;6;22,0;9015,78;🟡 Planejado;A;Fornecedor Beta;10,0;36,4
PC000007;01/09/2026;1;26,0;8038,39;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;9,0;41,1
PC000007;17/09/2026;2;27,0;8370,8;🟡 Planejado;A;Fornecedor Delta;9,0;40,9
PC000007;03/10/2026;3;30,0;9311,46;🟡 Planejado;A;Fornecedor Delta;8,0;43,1
PC000007;18/10/2026;3;27,0;8335,0;🟡 Planejado;A;Fornecedor Delta;8,0;43,1
PC000007;02/11/2026;4;29,0;8978,16;🟡 Planejado;A;Fornecedor Delta;8,0;44,7
PC000007;18/11/2026;4;29,0;9222,62;🟡 Planejado;A;Fornecedor Delta;8,0;44,7
PC000007;03/12/2026;5;31,0;9741,37;🟡 Planejado;A;Fornecedor Delta;8,0;47,3
PC000007;19/12/2026;5;31,0;9770,2;🟡 Planejado;A;Fornecedor Delta;8,0;47,3
PC000007;04/01/2027;6;30,0;9525,82;🟡 Planejado;A;Fornecedor Delta;8,0;46,8
PC000007;19/01/2027;6;29,0;9051,75;🟡 Planejado;A;Fornecedor Delta;8,0;46,8
PC000477;04/08/2026;1;35,0;12814,62;🚨 Urgente (até 7 dias);A;Fornecedor Gamma;11,0;33,8
PC000477;19/08/2026;1;21,0;7613,8;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;11,0;33,8
PC000477;07/09/2026;2;18,0;6704,48;🟡 Planejado;A;Fornecedor Gamma;13,0;28,2
PC000477;23/09/2026;2;19,0;6777,54;🟡 Planejado;A;Fornecedor Gamma;13,0;28,2
PC000477;04/10/2026;3;23,0;8544,95;🟡 Planejado;A;Fornecedor Gamma;10,0;36,3
PC000477;20/10/2026;3;24,0;8720,24;🟡 Planejado;A;Fornecedor Gamma;10,0;36,3
PC000477;03/11/2026;4;24,0;8780,36;🟡 Planejado;A;Fornecedor Gamma;9,0;38,7
PC000477;18/11/2026;4;24,0;8714,35;🟡 Planejado;A;Fornecedor Gamma;9,0;38,7
PC000477;02/12/2026;5;28,0;10381,86;🟡 Planejado;A;Fornecedor Gamma;8,0;43,6
PC000477;18/12/2026;5;29,0;10455,81;🟡 Planejado;A;Fornecedor Gamma;8,0;43,6
PC000477;01/01/2027;6;36,0;13070,96;🟡 Planejado;A;Fornecedor Gamma;7,0;52,0
PC000477;17/01/2027;6;34,0;12480,13;🟡 Planejado;A;Fornecedor Gamma;7,0;52,0
PC000255;04/08/2026;1;45,0;14100,3;🚨 Urgente (até 7 dias);A;Fornecedor Delta;8,0;44,2
PC000255;20/08/2026;1;29,0;9043,36;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;8,0;44,2
PC000255;04/09/2026;2;28,0;8838,02;🟡 Planejado;A;Fornecedor Delta;8,0;45,1
PC000255;20/09/2026;2;30,0;9223,3;🟡 Planejado;A;Fornecedor Delta;8,0;45,1
PC000255;04/10/2026;3;32,0;9853,54;🟡 Planejado;A;Fornecedor Delta;7,0;49,5
PC000255;20/10/2026;3;33,0;10114,88;🟡 Planejado;A;Fornecedor Delta;7,0;49,5
PC000255;05/11/2026;4;32,0;9920,07;🟡 Planejado;A;Fornecedor Delta;7,0;49,0
PC000255;21/11/2026;4;32,0;10023,2;🟡 Planejado;A;Fornecedor Delta;7,0;49,0
PC000255;05/12/2026;5;34,0;10639,77;🟡 Planejado;A;Fornecedor Delta;7,0;53,3
PC000255;21/12/2026;5;35,0;10902,95;🟡 Planejado;A;Fornecedor Delta;7,0;53,3
PC000255;06/01/2027;6;33,0;10294,06;🟡 Planejado;A;Fornecedor Delta;7,0;52,0
PC000255;22/01/2027;6;34,0;10632,34;🟡 Planejado;A;Fornecedor Delta;7,0;52,0
PC000587;07/08/2026;1;23,0;7378,6;🚨 Urgente (até 7 dias);A;Fornecedor Alfa;10,0;36,1
PC000587;23/08/2026;1;24,0;7477,81;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;10,0;36,1
PC000587;07/09/2026;2;23,0;7191,45;🟡 Planejado;A;Fornecedor Alfa;10,0;36,5
PC000587;22/09/2026;2;22,0;7088,02;🟡 Planejado;A;Fornecedor Alfa;10,0;36,5
PC000587;07/10/2026;3;25,0;7912,93;🟡 Planejado;A;Fornecedor Alfa;10,0;38,3
PC000587;22/10/2026;3;24,0;7441,55;🟡 Planejado;A;Fornecedor Alfa;10,0;38,3
PC000587;06/11/2026;4;26,0;8107,35;🟡 Planejado;A;Fornecedor Alfa;9,0;39,8
PC000587;21/11/2026;4;25,0;7726,89;🟡 Planejado;A;Fornecedor Alfa;9,0;39,8
PC000587;05/12/2026;5;26,0;8146,12;🟡 Planejado;A;Fornecedor Alfa;9,0;41,9
PC000587;21/12/2026;5;28,0;8681,71;🟡 Planejado;A;Fornecedor Alfa;9,0;41,9
PC000587;05/01/2027;6;26,0;8150,28;🟡 Planejado;A;Fornecedor Alfa;9,0;41,9
PC000587;21/01/2027;6;28,0;8686,82;🟡 Planejado;A;Fornecedor Alfa;9,0;41,9
PC000312;21/08/2026;1;16,0;6455,71;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;15,0;24,8
PC000312;04/09/2026;2;18,0;7195,88;🟡 Planejado;A;Fornecedor Gamma;13,0;27,5
PC000312;19/09/2026;2;17,0;6848,53;🟡 Planejado;A;Fornecedor Gamma;13,0;27,5
PC000312;06/10/2026;3;17,0;6743,9;🟡 Planejado;A;Fornecedor Gamma;14,0;25,7
PC000312;22/10/2026;3;17,0;6826,15;🟡 Planejado;A;Fornecedor Gamma;14,0;25,7
PC000312;02/11/2026;4;25,0;10013,57;🟡 Planejado;A;Fornecedor Gamma;10,0;36,1
PC000312;17/11/2026;4;22,0;8974,0;🟡 Planejado;A;Fornecedor Gamma;10,0;36,1
PC000312;04/12/2026;5;20,0;8106,16;🟡 Planejado;A;Fornecedor Gamma;11,0;32,3
PC000312;19/12/2026;5;20,0;8035,65;🟡 Planejado;A;Fornecedor Gamma;11,0;32,3
PC000312;02/01/2027;6;24,0;9635,36;🟡 Planejado;A;Fornecedor Gamma;10,0;36,3
PC000312;17/01/2027;6;22,0;9036,63;🟡 Planejado;A;Fornecedor Gamma;10,0;36,3
PC000896;04/08/2026;1;24,0;8080,66;🚨 Urgente (até 7 dias);A;Fornecedor Beta;11,0;32,4
PC000896;20/08/2026;1;21,0;7083,87;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;11,0;32,4
PC000896;03/09/2026;2;24,0;8027,86;🟡 Planejado;A;Fornecedor Beta;10,0;36,8
PC000896;18/09/2026;2;23,0;7526,36;🟡 Planejado;A;Fornecedor Beta;10,0;36,8
PC000896;03/10/2026;3;28,0;9140,09;🟡 Planejado;A;Fornecedor Beta;9,0;40,6
PC000896;18/10/2026;3;25,0;8307,2;🟡 Planejado;A;Fornecedor Beta;9,0;40,6
PC000896;02/11/2026;4;33,0;10920,46;🟡 Planejado;A;Fornecedor Beta;8,0;46,8
PC000896;17/11/2026;4;29,0;9571,68;🟡 Planejado;A;Fornecedor Beta;8,0;46,8
PC000896;04/12/2026;5;28,0;9177,48;🟡 Planejado;A;Fornecedor Beta;8,0;43,1
PC000896;20/12/2026;5;28,0;9399,89;🟡 Planejado;A;Fornecedor Beta;8,0;43,1
PC000896;01/01/2027;6;34,0;11154,63;🟡 Planejado;A;Fornecedor Beta;7,0;52,8
PC000896;17/01/2027;6;35,0;11518,45;🟡 Planejado;A;Fornecedor Beta;7,0;52,8
PC000665;01/09/2026;1;15,0;6482,64;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;16,0;22,5
PC000665;17/09/2026;2;14,0;6452,58;🟡 Planejado;A;Fornecedor Gamma;16,0;22,3
PC000665;03/10/2026;3;23,0;10084,22;🟡 Planejado;A;Fornecedor Gamma;13,0;28,5
PC000665;18/10/2026;3;18,0;7850,14;🟡 Planejado;A;Fornecedor Gamma;13,0;28,5
PC000665;02/11/2026;4;22,0;9720,32;🟡 Planejado;A;Fornecedor Gamma;11,0;31,8
PC000665;17/11/2026;4;20,0;8755,06;🟡 Planejado;A;Fornecedor Gamma;11,0;31,8
