_ProdutoUnico;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000689;48;SARIMAX;19805,12;[21877.24, 20566.85, 28424.93];10,5;ok;"{""ARIMA"": 7823474.249927177, ""ExponentialSmoothing"": 2148106.53233816, ""SARIMAX"": 1805339.4229507456, ""Holt"": 9163834.208307704, ""Prophet"": 2664258.3223323375, ""Croston"": 8400295.68038773, ""TSB"": 8400295.68038773}"
PC000282;48;Croston;20979,81;[23313.39, 23313.39, 23313.39];11,1;ok;"{""ARIMA"": 13418673.785654783, ""ExponentialSmoothing"": 14458758.851515584, ""SARIMAX"": 18517869.021038778, ""Holt"": 8180768.126137059, ""Prophet"": 11713003.593693549, ""Croston"": 7696172.466662935, ""TSB"": 7696172.466662935, ""Ensemble"": 7846407.478457853}"
PC000634;48;Prophet;16013,51;[19207.26, 18974.98, 29007.17];19,9;ok;"{""ARIMA"": 8431235.669595705, ""ExponentialSmoothing"": 2671173.6321478435, ""SARIMAX"": 13900749.835550884, ""Holt"": 8871091.722016905, ""Prophet"": 2052912.3801543887, ""Croston"": 8005260.942368548, ""TSB"": 8005260.942368548}"
PC000023;48;Ensemble;19679,24;[20224.82, 20423.63, 22698.88];2,8;ok;"{""ARIMA"": 6529701.080694899, ""ExponentialSmoothing"": 3701016.740201438, ""SARIMAX"": 12965299.57669344, ""Holt"": 5516820.437164676, ""Prophet"": 3073997.0530941575, ""Croston"": 3132549.803557159, ""TSB"": 3132549.803557159, ""Ensemble"": 2165817.1410716795}"
PC000674;48;ExponentialSmoothing;16899,58;[19553.76, 21000.93, 27168.43];15,7;ok;"{""ARIMA"": 12240104.567772128, ""ExponentialSmoothing"": 7581709.269722532, ""SARIMAX"": 18036455.28015597, ""Holt"": 10287351.726703309, ""Prophet"": 7935972.246469797, ""Croston"": 10568683.35459962, ""TSB"": 10568683.35459962}"
PC000707;48;Holt;22544,73;[22114.22, 22114.24, 22114.27];-1,9;ok;"{""ARIMA"": 5423835.803162457, ""ExponentialSmoothing"": 4667018.252811086, ""SARIMAX"": 4042793.90130425, ""Holt"": 1016700.9792004423, ""Prophet"": 3507577.713036211, ""Croston"": 1277789.1352179856, ""TSB"": 1277789.1352179856, ""Ensemble"": 1170049.9772296692}"
PC000135;48;Ensemble;20539,11;[21237.83, 21246.28, 21249.29];3,4;ok;"{""ARIMA"": 4145099.1031807475, ""ExponentialSmoothing"": 9424217.16513997, ""SARIMAX"": 15492839.070726588, ""Holt"": 4163401.654497828, ""Prophet"": 7896231.550136928, ""Croston"": 4128005.855237153, ""TSB"": 4128005.855237153, ""Ensemble"": 3893910.8706126804}"
PC000190;48;Holt;21136,49;[20882.14, 20882.11, 20882.09];-1,2;ok;"{""ARIMA"": 2339129.5094580017, ""ExponentialSmoothing"": 7461976.812018834, ""SARIMAX"": 4512730.852944543, ""Holt"": 1566987.62569776, ""Prophet"": 7208037.534302994, ""Croston"": 2159070.9431483913, ""TSB"": 2159070.9431483913}"
PC000901;48;Ensemble;19007,31;[20469.49, 20469.5, 20469.5];7,7;ok;"{""ARIMA"": 5432678.813841475, ""ExponentialSmoothing"": 4986239.751790514, ""SARIMAX"": 7258764.132657363, ""Holt"": 3153682.883866679, ""Prophet"": 5580995.897435354, ""Croston"": 3214201.708602717, ""TSB"": 3214201.708602717, ""Ensemble"": 3147911.0172385927}"
PC000618;48;ExponentialSmoothing;17156,9;[18577.37, 18659.79, 25414.4];8,3;ok;"{""ARIMA"": 5914868.083289041, ""ExponentialSmoothing"": 3612372.893516619, ""SARIMAX"": 5934735.6369721675, ""Holt"": 5294804.460673743, ""Prophet"": 5088014.105276239, ""Croston"": 5382405.6881506955, ""TSB"": 5382405.6881506955}"
PC000774;48;Holt;18921,16;[19419.09, 19419.04, 19419.0];2,6;ok;"{""ARIMA"": 2352168.228367644, ""ExponentialSmoothing"": 4231537.34516834, ""SARIMAX"": 2266977.1645238567, ""Holt"": 1559838.6340405121, ""Prophet"": 4357969.188702523, ""Croston"": 1846735.2250238492, ""TSB"": 1846735.2250238492, ""Ensemble"": 1634284.6766278052}"
PC000866;48;Ensemble;16809,2;[17231.75, 16589.56, 21298.73];2,5;ok;"{""ARIMA"": 4562502.0792579865, ""ExponentialSmoothing"": 4700969.080694861, ""SARIMAX"": 8793407.133757161, ""Holt"": 16492338.641184285, ""Prophet"": 4810255.825522102, ""Croston"": 8063086.1326877335, ""TSB"": 8063086.1326877335, ""Ensemble"": 3956908.70567728}"
PC000853;48;Prophet;15390,56;[16624.85, 17525.67, 23458.79];8,0;ok;"{""ARIMA"": 3512543.2937313854, ""ExponentialSmoothing"": 2607867.78150742, ""SARIMAX"": 4135848.9715669253, ""Holt"": 3592776.8179431558, ""Prophet"": 2489628.3339058836, ""Croston"": 4297013.72147005, ""TSB"": 4297013.72147005}"
PC000600;48;ARIMA;17890,49;[17565.84, 17386.33, 17287.07];-1,8;ok;"{""ARIMA"": 3642306.6251080674, ""ExponentialSmoothing"": 8311406.315421482, ""SARIMAX"": 6285513.104562737, ""Holt"": 7955839.398610371, ""Prophet"": 6687932.309234814, ""Croston"": 5051714.581305093, ""TSB"": 5051714.581305093}"
PC000913;48;Ensemble;17649,82;[18592.97, 18592.97, 18592.97];5,3;ok;"{""ARIMA"": 5443805.781405775, ""ExponentialSmoothing"": 12896814.47726129, ""SARIMAX"": 15349472.29583507, ""Holt"": 5202982.91932849, ""Prophet"": 9005577.88105199, ""Croston"": 5227412.571260815, ""TSB"": 5227412.571260815, ""Ensemble"": 5118478.10218199}"
PC000400;48;SARIMAX;16870,43;[19547.91, 18058.94, 25256.99];15,9;ok;"{""ARIMA"": 1881711.7416149362, ""ExponentialSmoothing"": 2620502.347537069, ""SARIMAX"": 1270219.1121490553, ""Holt"": 2831177.2853483264, ""Prophet"": 2276167.261476344, ""Croston"": 2511954.045905011, ""TSB"": 2511954.045905011}"
PC000806;48;Ensemble;18231,47;[16267.86, 16543.71, 17593.56];-10,8;ok;"{""ARIMA"": 4298138.369392492, ""ExponentialSmoothing"": 3955553.945916286, ""SARIMAX"": 8936886.220263122, ""Holt"": 4087570.7175471517, ""Prophet"": 4259032.894560932, ""Croston"": 4068077.003101429, ""TSB"": 4068077.003101429, ""Ensemble"": 3218089.179225018}"
PC000055;48;ExponentialSmoothing;14165,59;[15880.6, 14624.11, 22529.5];12,1;ok;"{""ARIMA"": 4037033.4847792215, ""ExponentialSmoothing"": 2442863.977308979, ""SARIMAX"": 3814697.472957151, ""Holt"": 4303523.288801696, ""Prophet"": 2851307.789488572, ""Croston"": 5162403.173017816, ""TSB"": 5162403.173017816}"
PC000955;48;Prophet;13334,87;[15298.96, 15941.81, 20002.48];14,7;ok;"{""ARIMA"": 3799167.9329125383, ""ExponentialSmoothing"": 3341809.91799937, ""SARIMAX"": 9262453.555963492, ""Holt"": 9124573.199193398, ""Prophet"": 2095201.8968915232, ""Croston"": 5460196.161451413, ""TSB"": 5460196.161451413}"
PC000844;48;Prophet;15358,75;[14634.65, 15064.46, 21817.94];-4,7;ok;"{""ARIMA"": 4419658.095023147, ""ExponentialSmoothing"": 5070174.227456286, ""SARIMAX"": 5684876.311330482, ""Holt"": 5909346.517581359, ""Prophet"": 3433098.6137109553, ""Croston"": 5210888.438471834, ""TSB"": 5210888.438471834}"
PC000141;48;Ensemble;12701,69;[15132.43, 16448.37, 19225.7];19,1;ok;"{""ARIMA"": 4913426.640993255, ""ExponentialSmoothing"": 4607272.299428918, ""SARIMAX"": 4078438.0171791725, ""Holt"": 5249360.562252466, ""Prophet"": 6042698.7436891785, ""Croston"": 4754551.274367142, ""TSB"": 4754551.274367142, ""Ensemble"": 3689908.24517935}"
PC000640;48;Croston;17408,6;[16657.29, 16657.29, 16657.29];-4,3;ok;"{""ARIMA"": 1698320.8143032994, ""ExponentialSmoothing"": 1477598.0277109642, ""SARIMAX"": 5982709.066682868, ""Holt"": 1383807.915687203, ""Prophet"": 1871589.5544180118, ""Croston"": 1250701.7583404419, ""TSB"": 1250701.7583404419, ""Ensemble"": 1287751.2489767906}"
PC000105;48;ExponentialSmoothing;12655,61;[15225.24, 14804.19, 19017.17];20,3;ok;"{""ARIMA"": 5223517.251070937, ""ExponentialSmoothing"": 2755692.749889322, ""SARIMAX"": 5368260.637223092, ""Holt"": 8461237.096827531, ""Prophet"": 4873505.980820677, ""Croston"": 4673134.591598134, ""TSB"": 4673134.591598134}"
PC000728;48;SARIMAX;12567,96;[16188.09, 15967.66, 19313.23];28,8;ok;"{""ARIMA"": 3180826.2027449664, ""ExponentialSmoothing"": 3050837.894082257, ""SARIMAX"": 2622009.697751175, ""Holt"": 5594235.4699205225, ""Prophet"": 3505257.0744122155, ""Croston"": 4400912.018923153, ""TSB"": 4400912.018923153, ""Ensemble"": 2766547.4056772646}"
PC000595;48;ARIMA;13827,18;[14546.26, 14956.53, 15190.61];5,2;ok;"{""ARIMA"": 1861181.0068439608, ""ExponentialSmoothing"": 2604421.805778393, ""SARIMAX"": 3661194.575086191, ""Holt"": 2688212.5901462296, ""Prophet"": 2159479.1871347963, ""Croston"": 3115713.731299758, ""TSB"": 3115713.731299758}"
PC000551;48;SARIMAX;12752,66;[12946.57, 15571.57, 22145.4];1,5;ok;"{""ARIMA"": 5006378.5102659585, ""ExponentialSmoothing"": 2863372.8401106726, ""SARIMAX"": 1894832.549666751, ""Holt"": 6777139.986867395, ""Prophet"": 3130882.4812102295, ""Croston"": 3747442.3603690118, ""TSB"": 3747442.3603690118}"
PC000146;48;ARIMA;15868,37;[15589.76, 15462.6, 15404.56];-1,8;ok;"{""ARIMA"": 1308735.4571409153, ""ExponentialSmoothing"": 3319175.172580374, ""SARIMAX"": 3678769.585657734, ""Holt"": 3708686.4189136117, ""Prophet"": 2933873.070791969, ""Croston"": 2616108.115047493, ""TSB"": 2616108.115047493}"
PC000385;48;ARIMA;12758,78;[13918.55, 14525.06, 14842.25];9,1;ok;"{""ARIMA"": 3035568.495303909, ""ExponentialSmoothing"": 5226383.3065065695, ""SARIMAX"": 3780647.7055670596, ""Holt"": 4008697.569395037, ""Prophet"": 5287707.3567553535, ""Croston"": 3910310.529621216, ""TSB"": 3910310.529621216, ""Ensemble"": 3369687.8935273434}"
PC000357;48;Croston;14698,61;[15877.45, 15877.45, 15877.45];8,0;ok;"{""ARIMA"": 3029483.20997637, ""ExponentialSmoothing"": 4282669.215392263, ""SARIMAX"": 3807646.602548813, ""Holt"": 2929110.6726987753, ""Prophet"": 4176577.735807207, ""Croston"": 2623261.449487138, ""TSB"": 2623261.449487138, ""Ensemble"": 2698397.0604182775}"
PC000823;48;Ensemble;12411,22;[14063.53, 14416.58, 16576.63];13,3;ok;"{""ARIMA"": 3556543.536017006, ""ExponentialSmoothing"": 3587584.3402300705, ""SARIMAX"": 4474629.271871533, ""Holt"": 3614155.280528277, ""Prophet"": 3740104.310223648, ""Croston"": 3801134.541080164, ""TSB"": 3801134.541080164, ""Ensemble"": 3135351.5217990004}"
PC000042;48;Prophet;13994,12;[13375.65, 14252.23, 19587.22];-4,4;ok;"{""ARIMA"": 2810561.1133323926, ""ExponentialSmoothing"": 2314233.5169712226, ""SARIMAX"": 3716627.000567224, ""Holt"": 8786493.12668884, ""Prophet"": 1916268.5571401361, ""Croston"": 3627508.777952598, ""TSB"": 3627508.777952598}"
PC000225;48;SARIMAX;11718,22;[13095.61, 14307.09, 18090.69];11,8;ok;"{""ARIMA"": 3752018.967129685, ""ExponentialSmoothing"": 5561145.999255493, ""SARIMAX"": 2945043.9817259884, ""Holt"": 8174188.636003535, ""Prophet"": 4065637.993061093, ""Croston"": 6006822.784833986, ""TSB"": 6006822.784833986}"
PC000430;48;Prophet;13909,87;[12905.81, 12756.55, 16917.55];-7,2;ok;"{""ARIMA"": 3094398.088993844, ""ExponentialSmoothing"": 1682430.8501116717, ""SARIMAX"": 3373396.5922305733, ""Holt"": 4445362.59419147, ""Prophet"": 1585994.5260273323, ""Croston"": 3659930.2111308593, ""TSB"": 3659930.2111308593}"
PC000147;48;ARIMA;15067,79;[14614.39, 14423.35, 14342.85];-3,0;ok;"{""ARIMA"": 743553.1657762361, ""ExponentialSmoothing"": 2242713.2009406756, ""SARIMAX"": 6742235.223984883, ""Holt"": 1546030.2795286195, ""Prophet"": 2232123.323845685, ""Croston"": 1843894.527394924, ""TSB"": 1843894.527394924}"
PC000344;48;Prophet;14332,02;[14182.81, 13427.82, 17402.85];-1,0;ok;"{""ARIMA"": 4726502.958694152, ""ExponentialSmoothing"": 2880490.3695825934, ""SARIMAX"": 3076755.429511219, ""Holt"": 5631481.489944848, ""Prophet"": 2331787.4569246466, ""Croston"": 4999563.840034268, ""TSB"": 4999563.840034268}"
PC000335;48;Prophet;12982,19;[12184.43, 13743.94, 17634.06];-6,1;ok;"{""ARIMA"": 2313857.249657123, ""ExponentialSmoothing"": 942260.1053384314, ""SARIMAX"": 1913607.339503958, ""Holt"": 4260458.675900397, ""Prophet"": 596561.5386733634, ""Croston"": 3044641.4740162357, ""TSB"": 3044641.4740162357}"
PC000527;48;ARIMA;14174,3;[14096.32, 14052.07, 14026.96];-0,6;ok;"{""ARIMA"": 866559.3483839975, ""ExponentialSmoothing"": 2189739.4105792823, ""SARIMAX"": 2203501.6275766357, ""Holt"": 5366260.113476797, ""Prophet"": 2665460.1740695317, ""Croston"": 2163838.765379442, ""TSB"": 2163838.765379442}"
PC000201;48;Ensemble;11150,67;[12565.73, 12106.52, 16226.81];12,7;ok;"{""ARIMA"": 2669141.586908968, ""ExponentialSmoothing"": 2410472.1333182734, ""SARIMAX"": 2290131.7423526216, ""Holt"": 3634011.282867612, ""Prophet"": 2776465.398680732, ""Croston"": 3576805.3176399865, ""TSB"": 3576805.3176399865, ""Ensemble"": 2230011.7353252084}"
PC000045;48;Ensemble;13814,64;[13818.75, 13255.78, 15855.21];0,0;ok;"{""ARIMA"": 3151063.5577454935, ""ExponentialSmoothing"": 3136892.410530281, ""SARIMAX"": 8275552.702188422, ""Holt"": 3314245.2507345653, ""Prophet"": 2911855.1867951355, ""Croston"": 4042867.9385146736, ""TSB"": 4042867.9385146736, ""Ensemble"": 2717244.7018830865}"
PC000596;48;SARIMAX;11432,69;[12327.25, 13693.38, 19006.56];7,8;ok;"{""ARIMA"": 2956878.7380645215, ""ExponentialSmoothing"": 2129930.350680311, ""SARIMAX"": 1766864.933825831, ""Holt"": 4182034.6891417033, ""Prophet"": 2601965.208286052, ""Croston"": 3288692.7700043484, ""TSB"": 3288692.7700043484}"
