Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000238;6;Média Móvel;8179,72;[7760.25];-5,1;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000238
PC000038;4;Média Móvel;7440,15;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000038
PC000926;10;Média Móvel;2573,66;[2516.47];-2,2;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000926
PC000033;9;Média Móvel;3119,96;[2842.63];-8,9;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000033
PC000621;7;Média Móvel;3365,75;[3739.72];11,1;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000621
PC000617;7;Média Móvel;2628,7;[2847.76];8,3;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000617
PC000983;4;Média Móvel;4488,29;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000983
PC000067;16;SARIMAX (c/ sazonalidade+promoção);922,23;[1034.51];12,2;ok;"{""ARIMA"": 24536.046116138077, ""ExponentialSmoothing"": 222029.9910106319, ""SARIMAX"": Infinity, ""Holt"": 33371.03807864416, ""Prophet"": 1719417192.8650668, ""Croston"": 40832.650009315425, ""TSB"": 40832.650009315425, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 22587.061436341377}";PC000067
PC000577;13;Média Móvel;740,93;[843.84];13,9;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000577
PC000498;14;SARIMAX (c/ sazonalidade+promoção);596,63;[596.63];0,0;ok;"{""ARIMA"": 2664.5107432509367, ""ExponentialSmoothing"": 21067.63270251972, ""SARIMAX"": Infinity, ""Holt"": 4394.5113282544, ""Prophet"": 27640618.297284212, ""Croston"": 2107.719744388299, ""TSB"": 2107.719744388299, ""Ensemble"": 2242.721535838898, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 0.0}";PC000498
PC000169;4;Média Móvel;342,68;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000169
PC000931;48;Prophet;33590,73;[31067.67, 33453.9, 46751.43, 54534.22, 37067.82, 37722.2];-7,5;ok;"{""ARIMA"": 7485662.597380635, ""ExponentialSmoothing"": 11983834.034810418, ""SARIMAX"": 10955583.995685041, ""Holt"": 18348063.22421821, ""Prophet"": 7213913.6118087405, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 10290059.50863524}";PC000931
PC000588;48;ExponentialSmoothing;20240,02;[24981.97, 21465.68, 30732.78, 39635.69, 27353.63, 27255.84];23,4;ok;"{""ARIMA"": 8165600.547509293, ""ExponentialSmoothing"": 6815124.301570512, ""SARIMAX"": 13023009.200485552, ""Holt"": 15665977.759234311, ""Prophet"": 11338944.479076697, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 19581486.164923746}";PC000588
PC000210;48;ARIMA;28087,43;[27265.83, 26808.32, 26553.55, 26411.69, 26332.69, 26288.7];-2,9;ok;"{""ARIMA"": 5980878.057657088, ""ExponentialSmoothing"": 8743421.26247556, ""SARIMAX"": 14964248.93029376, ""Holt"": 9547199.805468516, ""Prophet"": 8681345.456967631, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 12716810.05126424}";PC000210
PC000819;48;Prophet;19955,16;[20565.78, 21600.01, 29766.68, 35878.72, 21775.44, 23330.52];3,1;ok;"{""ARIMA"": 7251587.923025672, ""ExponentialSmoothing"": 4441621.67927178, ""SARIMAX"": 4309341.901196695, ""Holt"": 12244530.457837552, ""Prophet"": 3459033.2386348434, ""Ensemble"": 3741773.316319678, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4936959.629783741}";PC000819
PC000016;48;Ensemble;20354,35;[21530.68, 22404.93, 28339.8, 32471.0, 24331.0, 23969.4];5,8;ok;"{""ARIMA"": 6903637.770396748, ""ExponentialSmoothing"": 7181148.325309649, ""SARIMAX"": 8018898.481678382, ""Holt"": 12062211.331035675, ""Prophet"": 7270689.200513165, ""Ensemble"": 6504853.701904007, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 7881382.377474845}";PC000016
PC000690;48;ARIMA;21475,2;[22048.69, 22224.64, 22278.62, 22295.18, 22300.26, 22301.82];2,7;ok;"{""ARIMA"": 2941299.456933291, ""ExponentialSmoothing"": 8481816.578924796, ""SARIMAX"": 7480687.415092648, ""Holt"": 4600487.020223532, ""Prophet"": 4728819.229796548, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 12057654.725313185}";PC000690
PC000295;48;ARIMA;20374,48;[20243.47, 20152.72, 20089.86, 20046.32, 20016.17, 19995.28];-0,6;ok;"{""ARIMA"": 2576935.0087514385, ""ExponentialSmoothing"": 4228797.7860465525, ""SARIMAX"": 3345040.173030065, ""Holt"": 7763064.961781707, ""Prophet"": 4145532.560656537, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3260324.5543264323}";PC000295
PC000007;48;ARIMA;21097,61;[21155.83, 21181.16, 21192.18, 21196.98, 21199.06, 21199.97];0,3;ok;"{""ARIMA"": 1093351.4407630719, ""ExponentialSmoothing"": 4025883.4665942024, ""SARIMAX"": 7562435.165435936, ""Holt"": 11010741.833965061, ""Prophet"": 5426731.44615592, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 6170815.122100629}";PC000007
PC000425;48;ExponentialSmoothing;15999,52;[16947.18, 19088.56, 25451.9, 29881.6, 21033.8, 21052.22];5,9;ok;"{""ARIMA"": 8372341.431264694, ""ExponentialSmoothing"": 4240102.921615067, ""SARIMAX"": 14127238.783603655, ""Holt"": 11294046.783827052, ""Prophet"": 5338637.88001223, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 7000032.859814326}";PC000425
PC000730;48;Prophet;17154,25;[15087.82, 16173.69, 25355.23, 30456.13, 18999.92, 17763.08];-12,0;ok;"{""ARIMA"": 4739424.389207854, ""ExponentialSmoothing"": 2570286.5684193126, ""SARIMAX"": 3914854.144942034, ""Holt"": 12089451.09966436, ""Prophet"": 1610771.7067298805, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4069664.6291643432}";PC000730
PC000357;48;ExponentialSmoothing;16997,04;[17361.09, 17749.03, 24539.98, 26926.02, 20077.78, 20981.8];2,1;ok;"{""ARIMA"": 6416061.569236632, ""ExponentialSmoothing"": 3637130.4046475496, ""SARIMAX"": 5674982.928954036, ""Holt"": 11859317.435611727, ""Prophet"": 3808758.967408447, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3941490.6590680336}";PC000357
PC000845;48;ARIMA;19807,09;[19371.46, 19208.12, 19146.88, 19123.92, 19115.31, 19112.08];-2,2;ok;"{""ARIMA"": 724344.5598810172, ""ExponentialSmoothing"": 3593159.765294356, ""SARIMAX"": 5207366.028274507, ""Holt"": 3836931.616130665, ""Prophet"": 3227413.7521976605, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4366069.529495174}";PC000845
PC000896;48;ARIMA;17910,69;[18360.15, 18605.33, 18739.08, 18812.04, 18851.85, 18873.56];2,5;ok;"{""ARIMA"": 1788299.0205669699, ""ExponentialSmoothing"": 3562658.0085336263, ""SARIMAX"": 4413282.155151336, ""Holt"": 11331152.146629224, ""Prophet"": 4025511.380907239, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3257214.449830145}";PC000896
PC000547;48;ARIMA;17080,26;[17250.83, 17343.69, 17394.24, 17421.76, 17436.75, 17444.91];1,0;ok;"{""ARIMA"": 1041851.2647287607, ""ExponentialSmoothing"": 2297530.7448166, ""SARIMAX"": 3282156.545257726, ""Holt"": 3262086.658240655, ""Prophet"": 3180191.662878439, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3427343.1774293035}";PC000547
PC000773;48;Prophet;13417,39;[18125.53, 16084.68, 22806.73, 24078.04, 18383.42, 18475.84];35,1;ok;"{""ARIMA"": 5813963.361316353, ""ExponentialSmoothing"": 4440688.666067898, ""SARIMAX"": 7178078.245891015, ""Holt"": 9870470.733009566, ""Prophet"": 2826179.750434075, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3811946.0829958827}";PC000773
PC000883;48;Ensemble;12569,93;[14975.95, 13910.9, 20915.81, 24258.31, 16548.71, 16209.56];19,1;ok;"{""ARIMA"": 4733484.471812704, ""ExponentialSmoothing"": 2178117.2387375995, ""SARIMAX"": 2218183.279598535, ""Holt"": 7170080.481643631, ""Prophet"": 2138620.18825992, ""Ensemble"": 1962934.0598745693, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2663658.615115819}";PC000883
PC000802;48;SARIMAX;11728,03;[13838.07, 12061.27, 18095.0, 21719.47, 15334.71, 15182.9];18,0;ok;"{""ARIMA"": 3181000.9220093177, ""ExponentialSmoothing"": 3089241.492213018, ""SARIMAX"": 1647392.851121772, ""Holt"": 8865132.577842401, ""Prophet"": 3198764.1841810555, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2369993.875182642}";PC000802
PC000903;48;Holt;15886,43;[15704.48, 15704.45, 15704.41, 15704.39, 15704.37, 15704.35];-1,1;ok;"{""ARIMA"": 1037872.5904676737, ""ExponentialSmoothing"": 3274137.600184391, ""SARIMAX"": 5703937.429096349, ""Holt"": 738026.5557402623, ""Prophet"": 2060981.6991836235, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4972113.398665678}";PC000903
PC000460;48;Ensemble;14426,52;[15250.52, 15311.21, 15332.01, 15339.14, 15341.58, 15342.42];5,7;ok;"{""ARIMA"": 3573458.3527533584, ""ExponentialSmoothing"": 3658270.89603959, ""SARIMAX"": 4057549.7939781616, ""Holt"": 4116883.923383447, ""Prophet"": 3857120.5609540404, ""Ensemble"": 3346766.2104612966, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4013303.2403019764}";PC000460
PC000520;48;ExponentialSmoothing;13874,2;[12688.02, 12694.27, 19821.28, 21465.29, 14691.76, 15923.69];-8,5;ok;"{""ARIMA"": 967416.8064321569, ""ExponentialSmoothing"": 331495.4937819827, ""SARIMAX"": 2050570.7625548046, ""Holt"": 1059799.0232594397, ""Prophet"": 628272.2494622355, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1391304.0099215657}";PC000520
PC000080;48;ARIMA;13639,18;[13868.26, 13984.52, 14043.52, 14073.46, 14088.65, 14096.36];1,7;ok;"{""ARIMA"": 886931.9949966321, ""ExponentialSmoothing"": 1368726.216832111, ""SARIMAX"": 1535177.5250665164, ""Holt"": 3114474.54720423, ""Prophet"": 1491971.4725986859, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2101004.5435073916}";PC000080
PC000015;48;Prophet;13305,54;[13659.2, 13925.2, 21511.95, 21814.26, 15680.35, 16612.93];2,7;ok;"{""ARIMA"": 7417157.89560591, ""ExponentialSmoothing"": 5320895.640158666, ""SARIMAX"": 10235968.005575454, ""Holt"": 16984478.889976468, ""Prophet"": 4649422.259125539, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 8737638.715409713}";PC000015
PC000785;48;SARIMAX;12339,3;[11956.98, 11217.62, 14477.81, 21116.12, 12892.6, 13270.77];-3,1;ok;"{""ARIMA"": 3020071.567206016, ""ExponentialSmoothing"": 2902470.5337756593, ""SARIMAX"": 2455251.0769533906, ""Holt"": 5733784.292207136, ""Prophet"": 2862277.37644304, ""Ensemble"": 2665075.878168457, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3395426.074334129}";PC000785
PC000335;48;SARIMAX;11969,73;[13330.5, 13712.23, 18641.17, 19614.95, 13343.07, 14446.05];11,4;ok;"{""ARIMA"": 2266172.625408262, ""ExponentialSmoothing"": 1539622.0005690625, ""SARIMAX"": 1046604.9292517571, ""Holt"": 2184892.016508686, ""Prophet"": 1294819.3618344765, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1757641.2199741686}";PC000335
PC000900;48;ExponentialSmoothing;12291,3;[11928.27, 11496.07, 15798.68, 20532.43, 12992.65, 14931.77];-3,0;ok;"{""ARIMA"": 1276718.9443980688, ""ExponentialSmoothing"": 105253.5883993884, ""SARIMAX"": 826543.3407717977, ""Holt"": 1145102.7320467178, ""Prophet"": 434038.4220254726, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 607515.2981471422}";PC000900
PC000450;48;ExponentialSmoothing;11920,75;[11465.3, 11202.39, 14027.58, 19275.41, 13458.92, 13262.49];-3,8;ok;"{""ARIMA"": 1529961.4628097245, ""ExponentialSmoothing"": 730593.5274202313, ""SARIMAX"": 1163305.4426374638, ""Holt"": 2776965.8349883696, ""Prophet"": 1117652.217123236, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1639085.8606656075}";PC000450
PC000032;48;Holt;12894,06;[12775.19, 12775.18, 12775.18, 12775.17, 12775.17, 12775.17];-0,9;ok;"{""ARIMA"": 1384917.6951333052, ""ExponentialSmoothing"": 3243056.919596165, ""SARIMAX"": 3008328.233977333, ""Holt"": 1090614.1347515157, ""Prophet"": 2885165.4616363626, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 7605197.481635519}";PC000032
PC000591;48;SARIMAX (c/ sazonalidade+promoção);8838,29;[11001.72, 10399.08, 14627.06, 20055.71, 12376.12, 10945.66];24,5;ok;"{""ARIMA"": 2453069.7241761545, ""ExponentialSmoothing"": 1779978.595366717, ""SARIMAX"": 1456898.080890016, ""Holt"": 3488305.03227704, ""Prophet"": 2222652.729284619, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1041208.8216012662}";PC000591
PC000884;48;SARIMAX;10745,25;[9937.85, 11454.22, 15272.2, 18866.11, 11173.63, 12286.2];-7,5;ok;"{""ARIMA"": 985429.0501516802, ""ExponentialSmoothing"": 929883.6087055284, ""SARIMAX"": 664243.4541365885, ""Holt"": 1068972.4048837796, ""Prophet"": 1399117.5318033749, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 858269.5031713861}";PC000884
PC000641;48;ARIMA;10170,06;[10621.5, 10831.1, 10928.42, 10973.6, 10994.57, 11004.31];4,4;ok;"{""ARIMA"": 756904.0183223598, ""ExponentialSmoothing"": 1393157.1707170578, ""SARIMAX"": 2100731.8186338735, ""Holt"": 4115734.5562507263, ""Prophet"": 1612954.4839280627, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1479013.8064055003}";PC000641
PC000378;48;SARIMAX;10488,27;[10506.2, 10636.58, 14504.63, 17838.8, 12042.63, 12857.67];0,2;ok;"{""ARIMA"": 1363826.5890437348, ""ExponentialSmoothing"": 1315177.962971983, ""SARIMAX"": 945604.8228660104, ""Holt"": 2137624.139325986, ""Prophet"": 1184327.0850555508, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1013957.4996671773}";PC000378
PC000146;48;ARIMA;10936,06;[10900.16, 10884.23, 10877.16, 10874.03, 10872.63, 10872.02];-0,3;ok;"{""ARIMA"": 869057.7806127731, ""ExponentialSmoothing"": 1275940.9520904906, ""SARIMAX"": 1265606.41701911, ""Holt"": 1066353.5950673062, ""Prophet"": 1328160.053795503, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2862391.351311632}";PC000146
PC000370;48;Ensemble;10718,12;[11118.98, 11289.67, 12125.12, 12670.55, 11482.91, 11904.57];3,7;ok;"{""ARIMA"": 1295452.424396898, ""ExponentialSmoothing"": 1524595.2035754677, ""SARIMAX"": 1300093.981896214, ""Holt"": 2149900.800590906, ""Prophet"": 1554921.8120285207, ""Ensemble"": 1128967.5483850965, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1614706.584973501}";PC000370
PC000336;48;Ensemble;10112,64;[10599.28, 10563.02, 13073.9, 14828.73, 11218.31, 11199.87];4,8;ok;"{""ARIMA"": 736262.794535794, ""ExponentialSmoothing"": 862363.0101012812, ""SARIMAX"": 2106012.1729561207, ""Holt"": 1829454.8084350154, ""Prophet"": 668766.5343610959, ""Ensemble"": 508881.43908428866, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1802437.147654811}";PC000336
PC000540;48;ARIMA;8058,99;[9071.12, 9587.53, 9851.02, 9985.46, 10054.05, 10089.05];12,6;ok;"{""ARIMA"": 1754576.8942681572, ""ExponentialSmoothing"": 2684930.321441908, ""SARIMAX"": 3361194.560903775, ""Holt"": 2029264.09068916, ""Prophet"": 2361135.534620307, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3711710.121037954}";PC000540
PC000727;48;Prophet;8872,95;[9875.5, 10038.26, 14621.43, 15245.48, 11103.59, 12144.5];11,3;ok;"{""ARIMA"": 1711185.3082629784, ""ExponentialSmoothing"": 1432170.1577132174, ""SARIMAX"": 1186024.3791834016, ""Holt"": 1709760.5952882692, ""Prophet"": 950786.1156162216, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 7749702.947157268}";PC000727
PC000856;48;ARIMA;10873,23;[10567.65, 10426.57, 10361.44, 10331.37, 10317.49, 10311.08];-2,8;ok;"{""ARIMA"": 450121.39799324126, ""ExponentialSmoothing"": 741642.7147256816, ""SARIMAX"": 893509.8525466486, ""Holt"": 1526101.7862787498, ""Prophet"": 868456.8677882854, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 982346.461157606}";PC000856
PC000875;48;Ensemble;8638,25;[9758.88, 9837.82, 10678.82, 11525.28, 10302.38, 10504.58];13,0;ok;"{""ARIMA"": 1215347.9168920044, ""ExponentialSmoothing"": 1907618.2833109929, ""SARIMAX"": 2809549.0432887548, ""Holt"": 1205802.9817081084, ""Prophet"": 1059167.258662104, ""Ensemble"": 847053.3535543429, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4827272.168439328}";PC000875
PC000091;48;ARIMA;8059,73;[8637.37, 8967.24, 9155.61, 9263.19, 9324.62, 9359.7];7,2;ok;"{""ARIMA"": 588739.5367250236, ""ExponentialSmoothing"": 650203.2014053946, ""SARIMAX"": 992173.3086528118, ""Holt"": 1428257.1161479943, ""Prophet"": 1161381.4152626088, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 797176.9851350744}";PC000091
PC000587;48;ARIMA;8248,61;[8758.82, 8999.75, 9113.53, 9167.26, 9192.64, 9204.62];6,2;ok;"{""ARIMA"": 766721.2069112224, ""ExponentialSmoothing"": 1366809.991910823, ""SARIMAX"": 1140512.4777495598, ""Holt"": 1485562.1313434436, ""Prophet"": 1338395.0206736173, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1393020.8110988403}";PC000587
PC000006;48;Prophet;9107,74;[8877.22, 8732.53, 12163.55, 13742.19, 9286.45, 10309.6];-2,5;ok;"{""ARIMA"": 1525065.3351046452, ""ExponentialSmoothing"": 1792868.4022000323, ""SARIMAX"": 2534664.7981743473, ""Holt"": 1781496.1429156756, ""Prophet"": 1280002.3534798056, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3652832.7851013}";PC000006
PC000860;48;ARIMA;8858,34;[8908.41, 8929.43, 8938.26, 8941.96, 8943.52, 8944.17];0,6;ok;"{""ARIMA"": 453703.12540184526, ""ExponentialSmoothing"": 975995.1882735112, ""SARIMAX"": 921968.6727792225, ""Holt"": 2692748.25652268, ""Prophet"": 847280.8672471388, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 886025.7783766799}";PC000860
PC000371;48;SARIMAX (c/ sazonalidade+promoção);7340,86;[7812.36, 7163.44, 11171.6, 12952.08, 8503.59, 9081.9];6,4;ok;"{""ARIMA"": 2399100.4405284137, ""ExponentialSmoothing"": 884425.9763021137, ""SARIMAX"": 1132624.691261741, ""Holt"": 2780814.7078748136, ""Prophet"": 1847262.1263567805, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 657885.5644896635}";PC000371
PC000719;48;Prophet;7346,78;[8161.06, 8067.33, 11634.52, 13284.84, 8840.94, 9433.61];11,1;ok;"{""ARIMA"": 1009012.465108873, ""ExponentialSmoothing"": 6141905.73764884, ""SARIMAX"": 2459159.444999482, ""Holt"": 4903604.257148818, ""Prophet"": 600825.1392742527, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3872066.063284848}";PC000719
PC000030;48;Holt;9477,55;[9032.7, 9032.69, 9032.68, 9032.67, 9032.67, 9032.67];-4,7;ok;"{""ARIMA"": 1581898.7071889334, ""ExponentialSmoothing"": 1453909.715853543, ""SARIMAX"": 3108310.743011594, ""Holt"": 1174298.0366549678, ""Prophet"": 1395469.242979983, ""Ensemble"": 1214996.3499405894, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3318258.046171458}";PC000030
PC000408;48;Ensemble;7808,6;[8055.16, 7824.08, 10352.06, 11544.46, 8957.79, 9157.85];3,2;ok;"{""ARIMA"": 3094765.6779909874, ""ExponentialSmoothing"": 2909596.1335944925, ""SARIMAX"": 2883861.7130337027, ""Holt"": 3531523.6894763135, ""Prophet"": 3148952.3545001955, ""Ensemble"": 2760825.993792158, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3041775.6213317737}";PC000408
PC000729;48;Ensemble;6878,64;[7612.25, 7928.9, 9308.92, 11821.68, 8193.35, 8117.26];10,7;ok;"{""ARIMA"": 1300097.0332476792, ""ExponentialSmoothing"": 1163131.5659672034, ""SARIMAX"": 1544985.232150336, ""Holt"": 1676637.0366108438, ""Prophet"": 1246850.9119860958, ""Ensemble"": 1129817.7362248702, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1427726.153823426}";PC000729
PC000761;48;Prophet;6800,51;[8832.55, 8311.44, 10918.37, 12901.39, 8338.81, 9564.13];29,9;ok;"{""ARIMA"": 1426229.2954338684, ""ExponentialSmoothing"": 1801679.043837298, ""SARIMAX"": 1079253.3352187488, ""Holt"": 1882064.1568979307, ""Prophet"": 769389.5939037198, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 1432299.9082140706}";PC000761
