Produto;Descricao;Categoria;Emissao;Quantidade;Vlr.Unitario;Vlr.Total;Custo Total;Promocao;_data_ml;_periodo_ml;_periodo_val
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/12/2021;20,0;7008,51;140203,09;84861,31;0;2021-12-15;2021-12;2021-12
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/01/2022;38,8;7008,51;271895,24;164571,16;0;2022-01-15;2022-01;2022-01
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/02/2022;18,96;7008,51;132873,0;80424,59;0;2022-02-15;2022-02;2022-02
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/03/2022;22,38;7008,51;156854,53;94939,99;0;2022-03-15;2022-03;2022-03
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/04/2022;18,46;7008,51;129400,87;78323,0;0;2022-04-15;2022-04;2022-04
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/05/2022;18,78;7008,51;131605,16;79657,2;0;2022-05-15;2022-05;2022-05
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/06/2022;19,14;7008,51;134121,64;81180,36;0;2022-06-15;2022-06;2022-06
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/07/2022;36,68;7008,51;257081,75;155604,94;0;2022-07-15;2022-07;2022-07
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/08/2022;21,84;7008,51;153075,98;92652,94;0;2022-08-15;2022-08;2022-08
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/09/2022;19,91;7008,51;139545,21;84463,11;0;2022-09-15;2022-09;2022-09
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/10/2022;17,38;7008,51;121781,52;73711,21;0;2022-10-15;2022-10;2022-10
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/11/2022;25,13;6447,83;162012,41;106589,05;1;2022-11-15;2022-11;2022-11
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/12/2022;21,37;7008,51;149798,18;90668,97;0;2022-12-15;2022-12;2022-12
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/01/2023;35,63;7008,51;249728,45;151154,18;0;2023-01-15;2023-01;2023-01
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/02/2023;18,27;7008,51;128048,13;77504,23;0;2023-02-15;2023-02;2023-02
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/03/2023;22,46;7008,51;157400,72;95270,59;0;2023-03-15;2023-03;2023-03
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/04/2023;19,73;7008,51;138280,61;83697,68;0;2023-04-15;2023-04;2023-04
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/05/2023;19,19;7008,51;134473,33;81393,23;0;2023-05-15;2023-05;2023-05
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/06/2023;24,14;6447,83;155666,0;102413,71;1;2023-06-15;2023-06;2023-06
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/07/2023;37,33;7008,51;261643,54;158366,07;0;2023-07-15;2023-07;2023-07
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/08/2023;19,8;7008,51;138783,96;84002,34;0;2023-08-15;2023-08;2023-08
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/09/2023;19,71;7008,51;138120,45;83600,74;0;2023-09-15;2023-09;2023-09
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/10/2023;21,32;7008,51;149423,33;90442,08;0;2023-10-15;2023-10;2023-10
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/11/2023;20,37;7008,51;142783,96;86423,44;0;2023-11-15;2023-11;2023-11
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/12/2023;18,79;7008,51;131685,53;79705,85;0;2023-12-15;2023-12;2023-12
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/01/2024;35,84;7008,51;251150,38;152014,83;0;2024-01-15;2024-01;2024-01
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/02/2024;21,45;7008,51;150311,08;90979,41;0;2024-02-15;2024-02;2024-02
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/03/2024;19,89;7008,51;139424,48;84390,03;0;2024-03-15;2024-03;2024-03
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/04/2024;19,56;7008,51;137066,64;82962,89;0;2024-04-15;2024-04;2024-04
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/05/2024;19,81;7008,51;138856,49;84046,25;0;2024-05-15;2024-05;2024-05
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/06/2024;22,89;6447,83;147617,58;97118,6;1;2024-06-15;2024-06;2024-06
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/07/2024;38,01;7008,51;266405,9;161248,61;0;2024-07-15;2024-07;2024-07
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/08/2024;20,69;7008,51;145013,75;87773,08;0;2024-08-15;2024-08;2024-08
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/09/2024;19,87;7008,51;139248,64;84283,6;0;2024-09-15;2024-09;2024-09
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/10/2024;20,58;7008,51;144233,86;87301,03;0;2024-10-15;2024-10;2024-10
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/11/2024;19,92;7008,51;139578,53;84483,28;0;2024-11-15;2024-11;2024-11
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/12/2024;20,25;7008,51;141911,17;85895,16;0;2024-12-15;2024-12;2024-12
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/01/2021;11,98;8175,68;97983,98;56957,46;0;2021-01-15;2021-01;2021-01
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/02/2021;13,04;8175,68;106596,73;61963,99;0;2021-02-15;2021-02;2021-02
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/03/2021;13,25;8175,68;108355,18;62986,17;0;2021-03-15;2021-03;2021-03
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/04/2021;11,58;8175,68;94692,33;55044,04;0;2021-04-15;2021-04;2021-04
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/05/2021;12,12;8175,68;99075,26;57591,81;0;2021-05-15;2021-05;2021-05
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/06/2021;13,77;8175,68;112617,78;65463,99;0;2021-06-15;2021-06;2021-06
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/07/2021;12,22;8175,68;99893,81;58067,63;0;2021-07-15;2021-07;2021-07
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/08/2021;13,05;8175,68;106722,12;62036,88;0;2021-08-15;2021-08;2021-08
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/09/2021;13,4;8175,68;109549,62;63680,49;0;2021-09-15;2021-09;2021-09
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/10/2021;11,77;8175,68;96258,78;55954,6;0;2021-10-15;2021-10;2021-10
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/11/2021;12,87;8175,68;105204,46;61154,67;0;2021-11-15;2021-11;2021-11
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/12/2021;13,05;8175,68;106675,77;62009,94;0;2021-12-15;2021-12;2021-12
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/01/2022;14,02;8175,68;114594,66;66613,14;0;2022-01-15;2022-01;2022-01
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/02/2022;13,98;8175,68;114288,53;66435,19;0;2022-02-15;2022-02;2022-02
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/03/2022;12,51;8175,68;102286,93;59458,73;0;2022-03-15;2022-03;2022-03
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/04/2022;12,7;8175,68;103842,11;60362,75;0;2022-04-15;2022-04;2022-04
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/05/2022;13,81;8175,68;112882,07;65617,62;0;2022-05-15;2022-05;2022-05
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/06/2022;12,55;8175,68;102597,59;59639,32;0;2022-06-15;2022-06;2022-06
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/07/2022;12,33;8175,68;100797,31;58592,82;0;2022-07-15;2022-07;2022-07
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/08/2022;12,37;8175,68;101135,33;58789,32;0;2022-08-15;2022-08;2022-08
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/09/2022;12,4;8175,68;101400,19;58943,28;0;2022-09-15;2022-09;2022-09
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/10/2022;13,36;8175,68;109233,07;63496,48;0;2022-10-15;2022-10;2022-10
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/11/2022;15,2;7521,63;114318,86;72231,32;1;2022-11-15;2022-11;2022-11
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/12/2022;13,42;8175,68;109732,69;63786,91;0;2022-12-15;2022-12;2022-12
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/01/2023;12,1;8175,68;98912,87;57497,41;0;2023-01-15;2023-01;2023-01
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/02/2023;12,58;8175,68;102886,1;59807,03;0;2023-02-15;2023-02;2023-02
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/03/2023;12,25;8175,68;100114,02;58195,63;0;2023-03-15;2023-03;2023-03
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/04/2023;13,97;8175,68;114246,03;66410,48;0;2023-04-15;2023-04;2023-04
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/05/2023;11,17;8175,68;91357,95;53105,79;0;2023-05-15;2023-05;2023-05
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/06/2023;14,26;7521,63;107225,59;67749,5;1;2023-06-15;2023-06;2023-06
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/07/2023;13,31;8175,68;108782,56;63234,6;0;2023-07-15;2023-07;2023-07
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/08/2023;13,43;8175,68;109790,85;63820,71;0;2023-08-15;2023-08;2023-08
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/09/2023;13,16;8175,68;107597,77;62545,89;0;2023-09-15;2023-09;2023-09
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/10/2023;12,99;8175,68;106166,56;61713,93;0;2023-10-15;2023-10;2023-10
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/11/2023;14,98;7521,63;112709,15;71214,24;1;2023-11-15;2023-11;2023-11
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/12/2023;12,83;8175,68;104902,67;60979,25;0;2023-12-15;2023-12;2023-12
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/01/2024;13,43;8175,68;109837,69;63847,94;0;2024-01-15;2024-01;2024-01
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/02/2024;13,86;8175,68;113296,63;65858,6;0;2024-02-15;2024-02;2024-02
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/03/2024;13,7;8175,68;112017,47;65115,03;0;2024-03-15;2024-03;2024-03
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/04/2024;13,22;8175,68;108068,74;62819,66;0;2024-04-15;2024-04;2024-04
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/05/2024;12,54;8175,68;102512,15;59589,65;0;2024-05-15;2024-05;2024-05
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/06/2024;13,04;8175,68;106623,04;61979,28;0;2024-06-15;2024-06;2024-06
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/07/2024;11,89;8175,68;97226,64;56517,22;0;2024-07-15;2024-07;2024-07
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/08/2024;14,14;8175,68;115616,89;67207,35;0;2024-08-15;2024-08;2024-08
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/09/2024;13,1;8175,68;107116,63;62266,2;0;2024-09-15;2024-09;2024-09
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/10/2024;14,16;8175,68;115806,2;67317,4;0;2024-10-15;2024-10;2024-10
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/11/2024;14,81;7521,63;111427,42;70404,39;1;2024-11-15;2024-11;2024-11
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;15/12/2024;13,23;8175,68;108182,79;62885,96;0;2024-12-15;2024-12;2024-12
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/01/2021;8,72;478,61;4175,61;2624,58;0;2021-01-15;2021-01;2021-01
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/02/2021;8,21;478,61;3927,62;2468,7;0;2021-02-15;2021-02;2021-02
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/03/2021;9,02;478,61;4315,74;2712,66;0;2021-03-15;2021-03;2021-03
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/04/2021;8,35;478,61;3998,27;2513,11;0;2021-04-15;2021-04;2021-04
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/05/2021;9,29;478,61;4447,69;2795,59;0;2021-05-15;2021-05;2021-05
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/06/2021;11,14;440,32;4904,71;3350,93;1;2021-06-15;2021-06;2021-06
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/07/2021;9,38;478,61;4488,13;2821,01;0;2021-07-15;2021-07;2021-07
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/08/2021;10,07;478,61;4821,07;3030,28;0;2021-08-15;2021-08;2021-08
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/09/2021;9,21;478,61;4406,85;2769,92;0;2021-09-15;2021-09;2021-09
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/10/2021;8,7;478,61;4164,89;2617,84;0;2021-10-15;2021-10;2021-10
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/11/2021;11,05;440,32;4863,47;3322,75;1;2021-11-15;2021-11;2021-11
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/12/2021;8,22;478,61;3931,83;2471,35;0;2021-12-15;2021-12;2021-12
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/01/2022;8,96;478,61;4287,44;2694,87;0;2022-01-15;2022-01;2022-01
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/02/2022;8,59;478,61;4111,18;2584,08;0;2022-02-15;2022-02;2022-02
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/03/2022;8,65;478,61;4138,89;2601,5;0;2022-03-15;2022-03;2022-03
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/04/2022;9,02;478,61;4314,93;2712,14;0;2022-04-15;2022-04;2022-04
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/05/2022;8,82;478,61;4221,81;2653,61;0;2022-05-15;2022-05;2022-05
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/06/2022;9,27;478,61;4435,68;2788,05;0;2022-06-15;2022-06;2022-06
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/07/2022;8,76;478,61;4191,25;2634,41;0;2022-07-15;2022-07;2022-07
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/08/2022;9,71;478,61;4646,56;2920,59;0;2022-08-15;2022-08;2022-08
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/09/2022;8,95;478,61;4281,26;2690,98;0;2022-09-15;2022-09;2022-09
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/10/2022;8,78;478,61;4200,65;2640,32;0;2022-10-15;2022-10;2022-10
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/11/2022;9,6;478,61;4593,92;2887,51;0;2022-11-15;2022-11;2022-11
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/12/2022;8,7;478,61;4163,23;2616,79;0;2022-12-15;2022-12;2022-12
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/01/2023;8,95;478,61;4281,83;2691,34;0;2023-01-15;2023-01;2023-01
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/02/2023;8,69;478,61;4161,12;2615,47;0;2023-02-15;2023-02;2023-02
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/03/2023;8,44;478,61;4037,09;2537,51;0;2023-03-15;2023-03;2023-03
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/04/2023;8,19;478,61;3917,67;2462,45;0;2023-04-15;2023-04;2023-04
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/05/2023;8,9;478,61;4261,16;2678,35;0;2023-05-15;2023-05;2023-05
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/06/2023;10,23;440,32;4505,63;3078,27;1;2023-06-15;2023-06;2023-06
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/07/2023;8,16;478,61;3903,63;2453,62;0;2023-07-15;2023-07;2023-07
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/08/2023;8,58;478,61;4106,37;2581,05;0;2023-08-15;2023-08;2023-08
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/09/2023;9,3;478,61;4450,91;2797,62;0;2023-09-15;2023-09;2023-09
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/10/2023;8,83;478,61;4228,02;2657,52;0;2023-10-15;2023-10;2023-10
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/11/2023;8,01;478,61;3834,67;2410,28;0;2023-11-15;2023-11;2023-11
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/12/2023;9,02;478,61;4315,31;2712,38;0;2023-12-15;2023-12;2023-12
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/01/2024;8,54;478,61;4085,54;2567,96;0;2024-01-15;2024-01;2024-01
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/02/2024;8,99;478,61;4302,62;2704,41;0;2024-02-15;2024-02;2024-02
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/03/2024;9,86;478,61;4719,92;2966,7;0;2024-03-15;2024-03;2024-03
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/04/2024;9,8;478,61;4689,12;2947,34;0;2024-04-15;2024-04;2024-04
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/05/2024;9,55;478,61;4568,79;2871,71;0;2024-05-15;2024-05;2024-05
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/06/2024;9,12;478,61;4362,7;2742,17;0;2024-06-15;2024-06;2024-06
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/07/2024;8,98;478,61;4300,15;2702,86;0;2024-07-15;2024-07;2024-07
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/08/2024;7,97;478,61;3814,28;2397,46;0;2024-08-15;2024-08;2024-08
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/09/2024;8,1;478,61;3875,02;2435,64;0;2024-09-15;2024-09;2024-09
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/10/2024;8,95;478,61;4283,19;2692,19;0;2024-10-15;2024-10;2024-10
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/11/2024;9,55;478,61;4568,37;2871,45;0;2024-11-15;2024-11;2024-11
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;15/12/2024;8,32;478,61;3983,48;2503,82;0;2024-12-15;2024-12;2024-12
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/01/2021;9,42;11286,87;106376,65;78095,8;0;2021-01-15;2021-01;2021-01
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/02/2021;9,36;11286,87;105589,07;77517,6;0;2021-02-15;2021-02;2021-02
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/03/2021;9,47;11286,87;106916,92;78492,44;0;2021-03-15;2021-03;2021-03
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/04/2021;9,54;11286,87;107639,81;79023,14;0;2021-04-15;2021-04;2021-04
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/05/2021;9,64;11286,87;108840,84;79904,87;0;2021-05-15;2021-05;2021-05
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/06/2021;10,81;10383,92;112283,46;89600,27;1;2021-06-15;2021-06;2021-06
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/07/2021;9,66;11286,87;109000,78;80022,29;0;2021-07-15;2021-07;2021-07
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/08/2021;7,78;11286,87;87820,19;64472,68;0;2021-08-15;2021-08;2021-08
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/09/2021;9,36;11286,87;105611,64;77534,17;0;2021-09-15;2021-09;2021-09
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/10/2021;8,15;11286,87;92018,4;67554,78;0;2021-10-15;2021-10;2021-10
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/11/2021;10,65;10383,92;110572,24;88234,74;1;2021-11-15;2021-11;2021-11
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/12/2021;9,87;11286,87;111371,67;81762,87;0;2021-12-15;2021-12;2021-12
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/01/2022;9,27;11286,87;104604,93;76795,1;0;2022-01-15;2022-01;2022-01
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/02/2022;9,08;11286,87;102483,75;75237,85;0;2022-02-15;2022-02;2022-02
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/03/2022;8,21;11286,87;92658,44;68024,66;0;2022-03-15;2022-03;2022-03
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/04/2022;8,96;11286,87;101145,51;74255,38;0;2022-04-15;2022-04;2022-04
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/05/2022;9,46;11286,87;106743,11;78364,83;0;2022-05-15;2022-05;2022-05
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/06/2022;8,43;11286,87;95103,14;69819,42;0;2022-06-15;2022-06;2022-06
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/07/2022;9,29;11286,87;104823,5;76955,56;0;2022-07-15;2022-07;2022-07
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/08/2022;8,6;11286,87;97075,88;71267,7;0;2022-08-15;2022-08;2022-08
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/09/2022;9,09;11286,87;102608,58;75329,49;0;2022-09-15;2022-09;2022-09
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/10/2022;8,66;11286,87;97693,7;71721,26;0;2022-10-15;2022-10;2022-10
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/11/2022;8,76;11286,87;98857,38;72575,57;0;2022-11-15;2022-11;2022-11
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/12/2022;9,29;11286,87;104869,25;76989,15;0;2022-12-15;2022-12;2022-12
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/01/2023;8,63;11286,87;97373,68;71486,32;0;2023-01-15;2023-01;2023-01
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/02/2023;9,71;11286,87;109635,88;80488,54;0;2023-02-15;2023-02;2023-02
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;15/03/2023;9,88;11286,87;111538,49;81885,34;0;2023-03-15;2023-03;2023-03
