ano;mes;campo_pai;subconta;valor;filial
2022;set;Disponibilidades Saida;Fornecedores;150000,0;
2022;set;Disponibilidades Saida;Impostos/Operacionais;156000,0;
2022;set;Disponibilidades Saida;Investimentos;20000,0;
2022;out;Disponibilidades entradas;Receita Serviços;405000,0;
2022;out;Disponibilidades entradas;Receita Produtos;120000,0;
2022;out;Disponibilidades entradas;Recebimento Clientes;175000,0;
2022;out;Disponibilidades entradas;Receita Financeira/Outras;203000,0;
2022;out;Disponibilidades Saida;Folha;205000,0;
2022;out;Disponibilidades Saida;Fornecedores;154000,0;
2022;out;Disponibilidades Saida;Impostos/Operacionais;160000,0;
2022;out;Disponibilidades Saida;Investimentos;28000,0;
2022;nov;Disponibilidades entradas;Receita Serviços;420000,0;
2022;nov;Disponibilidades entradas;Receita Produtos;125000,0;
2022;nov;Disponibilidades entradas;Recebimento Clientes;180000,0;
2022;nov;Disponibilidades entradas;Receita Financeira/Outras;219000,0;
2022;nov;Disponibilidades Saida;Folha;208000,0;
2022;nov;Disponibilidades Saida;Fornecedores;158000,0;
2022;nov;Disponibilidades Saida;Impostos/Operacionais;164000,0;
2022;nov;Disponibilidades Saida;Investimentos;30000,0;
2022;dez;Disponibilidades entradas;Receita Serviços;450000,0;
2022;dez;Disponibilidades entradas;Receita Produtos;135000,0;
2022;dez;Disponibilidades entradas;Recebimento Clientes;190000,0;
2022;dez;Disponibilidades entradas;Receita Financeira/Outras;237000,0;
2022;dez;Disponibilidades Saida;Folha;220000,0;
2022;dez;Disponibilidades Saida;Fornecedores;165000,0;
2022;dez;Disponibilidades Saida;Impostos/Operacionais;173000,0;
2022;dez;Disponibilidades Saida;Investimentos;40000,0;
2023;jan;Disponibilidades entradas;Receita Serviços;384000,0;
2023;jan;Disponibilidades entradas;Receita Produtos;114000,0;
2023;jan;Disponibilidades entradas;Recebimento Clientes;168000,0;
2023;jan;Disponibilidades entradas;Receita Financeira/Outras;150000,0;
2023;jan;Disponibilidades Saida;Folha;216000,0;
2023;jan;Disponibilidades Saida;Fornecedores;150000,0;
2023;jan;Disponibilidades Saida;Impostos/Operacionais;156000,0;
2023;jan;Disponibilidades Saida;Investimentos;42000,0;
2023;fev;Disponibilidades entradas;Receita Serviços;396000,0;
2023;fev;Disponibilidades entradas;Receita Produtos;117600,0;
2023;fev;Disponibilidades entradas;Recebimento Clientes;174000,0;
2023;fev;Disponibilidades entradas;Receita Financeira/Outras;176400,0;
2023;fev;Disponibilidades Saida;Folha;216000,0;
2023;fev;Disponibilidades Saida;Fornecedores;153600,0;
2023;fev;Disponibilidades Saida;Impostos/Operacionais;160800,0;
2023;fev;Disponibilidades Saida;Investimentos;24000,0;
2023;mar;Disponibilidades entradas;Receita Serviços;420000,0;
2023;mar;Disponibilidades entradas;Receita Produtos;122400,0;
2023;mar;Disponibilidades entradas;Recebimento Clientes;180000,0;
2023;mar;Disponibilidades entradas;Receita Financeira/Outras;205200,0;
2023;mar;Disponibilidades Saida;Folha;222000,0;
2023;mar;Disponibilidades Saida;Fornecedores;158400,0;
2023;mar;Disponibilidades Saida;Impostos/Operacionais;166800,0;
2023;mar;Disponibilidades Saida;Investimentos;18000,0;
2023;abr;Disponibilidades entradas;Receita Serviços;408000,0;
2023;abr;Disponibilidades entradas;Receita Produtos;115200,0;
2023;abr;Disponibilidades entradas;Recebimento Clientes;177600,0;
2023;abr;Disponibilidades entradas;Receita Financeira/Outras;168000,0;
2023;abr;Disponibilidades Saida;Folha;222000,0;
2023;abr;Disponibilidades Saida;Fornecedores;156000,0;
2023;abr;Disponibilidades Saida;Impostos/Operacionais;165600,0;
2023;abr;Disponibilidades Saida;Investimentos;30000,0;
2023;mai;Disponibilidades entradas;Receita Serviços;426000,0;
2023;mai;Disponibilidades entradas;Receita Produtos;124800,0;
2023;mai;Disponibilidades entradas;Recebimento Clientes;184800,0;
2023;mai;Disponibilidades entradas;Receita Financeira/Outras;201600,0;
2023;mai;Disponibilidades Saida;Folha;228000,0;
2023;mai;Disponibilidades Saida;Fornecedores;160800,0;
2023;mai;Disponibilidades Saida;Impostos/Operacionais;171600,0;
2023;mai;Disponibilidades Saida;Investimentos;21600,0;
2023;jun;Disponibilidades entradas;Receita Serviços;444000,0;
2023;jun;Disponibilidades entradas;Receita Produtos;129600,0;
2023;jun;Disponibilidades entradas;Recebimento Clientes;192000,0;
2023;jun;Disponibilidades entradas;Receita Financeira/Outras;205200,0;
2023;jun;Disponibilidades Saida;Folha;234000,0;
2023;jun;Disponibilidades Saida;Fornecedores;168000,0;
2023;jun;Disponibilidades Saida;Impostos/Operacionais;175200,0;
2023;jun;Disponibilidades Saida;Investimentos;36000,0;
2023;jul;Disponibilidades entradas;Receita Serviços;456000,0;
2023;jul;Disponibilidades entradas;Receita Produtos;134400,0;
2023;jul;Disponibilidades entradas;Recebimento Clientes;198000,0;
2023;jul;Disponibilidades entradas;Receita Financeira/Outras;224400,0;
2023;jul;Disponibilidades Saida;Folha;237600,0;
2023;jul;Disponibilidades Saida;Fornecedores;174000,0;
2023;jul;Disponibilidades Saida;Impostos/Operacionais;181200,0;
2023;jul;Disponibilidades Saida;Investimentos;26400,0;
2023;ago;Disponibilidades entradas;Receita Serviços;468000,0;
2023;ago;Disponibilidades entradas;Receita Produtos;138000,0;
2023;ago;Disponibilidades entradas;Recebimento Clientes;204000,0;
2023;ago;Disponibilidades entradas;Receita Financeira/Outras;237600,0;
2023;ago;Disponibilidades Saida;Folha;240000,0;
2023;ago;Disponibilidades Saida;Fornecedores;177600,0;
2023;ago;Disponibilidades Saida;Impostos/Operacionais;184800,0;
2023;ago;Disponibilidades Saida;Investimentos;30000,0;
2023;set;Disponibilidades entradas;Receita Serviços;474000,0;
2023;set;Disponibilidades entradas;Receita Produtos;141600,0;
2023;set;Disponibilidades entradas;Recebimento Clientes;206400,0;
2023;set;Disponibilidades entradas;Receita Financeira/Outras;248400,0;
2023;set;Disponibilidades Saida;Folha;242400,0;
2023;set;Disponibilidades Saida;Fornecedores;180000,0;
2023;set;Disponibilidades Saida;Impostos/Operacionais;187200,0;
2023;set;Disponibilidades Saida;Investimentos;24000,0;
2023;out;Disponibilidades entradas;Receita Serviços;486000,0;
2023;out;Disponibilidades entradas;Receita Produtos;144000,0;
2023;out;Disponibilidades entradas;Recebimento Clientes;210000,0;
2023;out;Disponibilidades entradas;Receita Financeira/Outras;243600,0;
2023;out;Disponibilidades Saida;Folha;246000,0;
2023;out;Disponibilidades Saida;Fornecedores;184800,0;
2023;out;Disponibilidades Saida;Impostos/Operacionais;192000,0;
2023;out;Disponibilidades Saida;Investimentos;33600,0;
2023;nov;Disponibilidades entradas;Receita Serviços;504000,0;
2023;nov;Disponibilidades entradas;Receita Produtos;150000,0;
2023;nov;Disponibilidades entradas;Recebimento Clientes;216000,0;
2023;nov;Disponibilidades entradas;Receita Financeira/Outras;262800,0;
2023;nov;Disponibilidades Saida;Folha;249600,0;
2023;nov;Disponibilidades Saida;Fornecedores;189600,0;
2023;nov;Disponibilidades Saida;Impostos/Operacionais;196800,0;
2023;nov;Disponibilidades Saida;Investimentos;36000,0;
2023;dez;Disponibilidades entradas;Receita Serviços;540000,0;
2023;dez;Disponibilidades entradas;Receita Produtos;162000,0;
2023;dez;Disponibilidades entradas;Recebimento Clientes;228000,0;
2023;dez;Disponibilidades entradas;Receita Financeira/Outras;284400,0;
2023;dez;Disponibilidades Saida;Folha;264000,0;
2023;dez;Disponibilidades Saida;Fornecedores;198000,0;
2023;dez;Disponibilidades Saida;Impostos/Operacionais;207600,0;
2023;dez;Disponibilidades Saida;Investimentos;48000,0;
2024;jan;Disponibilidades entradas;Receita Serviços;464000,0;
2024;jan;Disponibilidades entradas;Receita Produtos;137750,0;
2024;jan;Disponibilidades entradas;Recebimento Clientes;203000,0;
2024;jan;Disponibilidades entradas;Receita Financeira/Outras;181250,0;
2024;jan;Disponibilidades Saida;Folha;261000,0;
2024;jan;Disponibilidades Saida;Fornecedores;181250,0;
2024;jan;Disponibilidades Saida;Impostos/Operacionais;188500,0;
2024;jan;Disponibilidades Saida;Investimentos;50750,0;
2024;fev;Disponibilidades entradas;Receita Serviços;478500,0;
2024;fev;Disponibilidades entradas;Receita Produtos;142100,0;
2024;fev;Disponibilidades entradas;Recebimento Clientes;210250,0;
2024;fev;Disponibilidades entradas;Receita Financeira/Outras;213150,0;
2024;fev;Disponibilidades Saida;Folha;261000,0;
2024;fev;Disponibilidades Saida;Fornecedores;185600,0;
2024;fev;Disponibilidades Saida;Impostos/Operacionais;194300,0;
2024;fev;Disponibilidades Saida;Investimentos;29000,0;
2024;mar;Disponibilidades entradas;Receita Serviços;507500,0;
2024;mar;Disponibilidades entradas;Receita Produtos;147900,0;
2024;mar;Disponibilidades entradas;Recebimento Clientes;217500,0;
2024;mar;Disponibilidades entradas;Receita Financeira/Outras;247950,0;
2024;mar;Disponibilidades Saida;Folha;268250,0;
2024;mar;Disponibilidades Saida;Fornecedores;191400,0;
2024;mar;Disponibilidades Saida;Impostos/Operacionais;201550,0;
2024;mar;Disponibilidades Saida;Investimentos;21750,0;
2024;abr;Disponibilidades entradas;Receita Serviços;493000,0;
2024;abr;Disponibilidades entradas;Receita Produtos;139200,0;
2024;abr;Disponibilidades entradas;Recebimento Clientes;214600,0;
2024;abr;Disponibilidades entradas;Receita Financeira/Outras;203000,0;
2024;abr;Disponibilidades Saida;Folha;268250,0;
2024;abr;Disponibilidades Saida;Fornecedores;188500,0;
2024;abr;Disponibilidades Saida;Impostos/Operacionais;200100,0;
2024;abr;Disponibilidades Saida;Investimentos;36250,0;
2024;mai;Disponibilidades entradas;Receita Serviços;514750,0;
2024;mai;Disponibilidades entradas;Receita Produtos;150800,0;
2024;mai;Disponibilidades entradas;Recebimento Clientes;223300,0;
2024;mai;Disponibilidades entradas;Receita Financeira/Outras;243600,0;
2024;mai;Disponibilidades Saida;Folha;275500,0;
2024;mai;Disponibilidades Saida;Fornecedores;194300,0;
2024;mai;Disponibilidades Saida;Impostos/Operacionais;207350,0;
2024;mai;Disponibilidades Saida;Investimentos;26100,0;
2024;jun;Disponibilidades entradas;Receita Serviços;536500,0;
2024;jun;Disponibilidades entradas;Receita Produtos;156600,0;
2024;jun;Disponibilidades entradas;Recebimento Clientes;232000,0;
2024;jun;Disponibilidades entradas;Receita Financeira/Outras;247950,0;
2024;jun;Disponibilidades Saida;Folha;282750,0;
2024;jun;Disponibilidades Saida;Fornecedores;203000,0;
2024;jun;Disponibilidades Saida;Impostos/Operacionais;211700,0;
2024;jun;Disponibilidades Saida;Investimentos;43500,0;
2024;jul;Disponibilidades entradas;Receita Serviços;551000,0;
2024;jul;Disponibilidades entradas;Receita Produtos;162400,0;
2024;jul;Disponibilidades entradas;Recebimento Clientes;239250,0;
2024;jul;Disponibilidades entradas;Receita Financeira/Outras;271150,0;
2024;jul;Disponibilidades Saida;Folha;287100,0;
2024;jul;Disponibilidades Saida;Fornecedores;210250,0;
2024;jul;Disponibilidades Saida;Impostos/Operacionais;218950,0;
2024;jul;Disponibilidades Saida;Investimentos;31900,0;
2024;ago;Disponibilidades entradas;Receita Serviços;565500,0;
2024;ago;Disponibilidades entradas;Receita Produtos;166750,0;
2024;ago;Disponibilidades entradas;Recebimento Clientes;246500,0;
2024;ago;Disponibilidades entradas;Receita Financeira/Outras;287100,0;
2024;ago;Disponibilidades Saida;Folha;290000,0;
2024;ago;Disponibilidades Saida;Fornecedores;214600,0;
2024;ago;Disponibilidades Saida;Impostos/Operacionais;223300,0;
2024;ago;Disponibilidades Saida;Investimentos;36250,0;
2024;set;Disponibilidades entradas;Receita Serviços;572750,0;
2024;set;Disponibilidades entradas;Receita Produtos;171100,0;
2024;set;Disponibilidades entradas;Recebimento Clientes;249400,0;
2024;set;Disponibilidades entradas;Receita Financeira/Outras;300150,0;
2024;set;Disponibilidades Saida;Folha;292900,0;
2024;set;Disponibilidades Saida;Fornecedores;217500,0;
2024;set;Disponibilidades Saida;Impostos/Operacionais;226200,0;
2024;set;Disponibilidades Saida;Investimentos;29000,0;
2024;out;Disponibilidades entradas;Receita Serviços;587250,0;
2024;out;Disponibilidades entradas;Receita Produtos;174000,0;
2024;out;Disponibilidades entradas;Recebimento Clientes;253750,0;
2024;out;Disponibilidades entradas;Receita Financeira/Outras;294350,0;
2024;out;Disponibilidades Saida;Folha;297250,0;
2024;out;Disponibilidades Saida;Fornecedores;223300,0;
2024;out;Disponibilidades Saida;Impostos/Operacionais;232000,0;
2024;out;Disponibilidades Saida;Investimentos;40600,0;
2024;nov;Disponibilidades entradas;Receita Serviços;609000,0;
2024;nov;Disponibilidades entradas;Receita Produtos;181250,0;
2024;nov;Disponibilidades entradas;Recebimento Clientes;261000,0;
2024;nov;Disponibilidades entradas;Receita Financeira/Outras;317550,0;
2024;nov;Disponibilidades Saida;Folha;301600,0;
2024;nov;Disponibilidades Saida;Fornecedores;229100,0;
2024;nov;Disponibilidades Saida;Impostos/Operacionais;237800,0;
2024;nov;Disponibilidades Saida;Investimentos;43500,0;
2024;dez;Disponibilidades entradas;Receita Serviços;652500,0;
2024;dez;Disponibilidades entradas;Receita Produtos;195750,0;
2024;dez;Disponibilidades entradas;Recebimento Clientes;275500,0;
2024;dez;Disponibilidades entradas;Receita Financeira/Outras;343650,0;
2024;dez;Disponibilidades Saida;Folha;319000,0;
2024;dez;Disponibilidades Saida;Fornecedores;239250,0;
2024;dez;Disponibilidades Saida;Impostos/Operacionais;250850,0;
2024;dez;Disponibilidades Saida;Investimentos;58000,0;
2022;dez;CMV (custo da mercadoria vendida);CMV;3825966,73;Loja Sul
2022;nov;CMV (custo da mercadoria vendida);CMV;3183140,1;Loja Sul
2022;out;CMV (custo da mercadoria vendida);CMV;2269323,88;Loja Sul
2022;set;CMV (custo da mercadoria vendida);CMV;2241493,69;Loja Sul
2023;abr;CMV (custo da mercadoria vendida);CMV;2660736,5;Loja Sul
2023;ago;CMV (custo da mercadoria vendida);CMV;2320268,1;Loja Sul
2023;dez;CMV (custo da mercadoria vendida);CMV;3896775,35;Loja Sul
2023;fev;CMV (custo da mercadoria vendida);CMV;2652720,63;Loja Sul
2023;jan;CMV (custo da mercadoria vendida);CMV;2559636,51;Loja Sul
2023;jul;CMV (custo da mercadoria vendida);CMV;2393546,12;Loja Sul
2023;jun;CMV (custo da mercadoria vendida);CMV;2481443,61;Loja Sul
2023;mai;CMV (custo da mercadoria vendida);CMV;2586931,21;Loja Sul
2023;mar;CMV (custo da mercadoria vendida);CMV;2654095,4;Loja Sul
2023;nov;CMV (custo da mercadoria vendida);CMV;3243068,4;Loja Sul
2023;out;CMV (custo da mercadoria vendida);CMV;2336760,64;Loja Sul
2023;set;CMV (custo da mercadoria vendida);CMV;2318602,01;Loja Sul
2026;ago;CMV (custo da mercadoria vendida);CMV;2817404,66;Loja Sul
2024;abr;despesas administrativas;Aluguel;57689,91;Loja Sul
2024;abr;CMV (custo da mercadoria vendida);CMV;2693401,96;Loja Sul
2024;abr;provisão para contribuição social;CSLL;48152,98;Loja Sul
2024;abr;despesas comerciais;Comissões;120500,81;Loja Sul
2024;abr;despesas administrativas;Contabilidade;14480,56;Loja Sul
2024;abr;despesas com depreciações e amortizações;Depreciação;48050,55;Loja Sul
2024;abr;despesas financeiras líquidas;Despesas Financeiras;19263,38;Loja Sul
2024;abr;devoluções de vendas;Devoluções;47878,31;Loja Sul
2024;abr;despesas administrativas;Energia Elétrica;19250,97;Loja Sul
2024;abr;CMV (custo da mercadoria vendida);Fretes de Produção;96685,73;Loja Sul
2024;abr;provisão para imposto de renda;IRPJ;144357,73;Loja Sul
2024;abr;despesas administrativas;Internet e Telefonia;9640,33;Loja Sul
2024;abr;receitas não operacionais;Juros Ativos;4728,57;Loja Sul
2024;abr;despesas financeiras líquidas;Juros Bancários;9674,63;Loja Sul
2024;abr;despesas administrativas;Manutenção;9641,79;Loja Sul
2024;abr;despesas comerciais;Marketing e Publicidade;95222,83;Loja Sul
2024;abr;CMV (custo da mercadoria vendida);Materiais e Insumos;241547,07;Loja Sul
2024;abr;despesas administrativas;Material de Escritório;4804,23;Loja Sul
2024;abr;CMV (custo da mercadoria vendida);Mão de Obra Direta;386107,21;Loja Sul
2024;abr;receita bruta de vendas;Outras Receitas Operacionais;48011,87;Loja Sul
2024;abr;despesas administrativas;Pró-Labore;71863,68;Loja Sul
2024;abr;receita bruta de vendas;Receita de Serviços;336207,42;Loja Sul
2024;abr;receita bruta de vendas;Receita de Vendas;4398986,79;Loja Sul
2024;abr;receitas não operacionais;Receitas Financeiras;14264,76;Loja Sul
2024;abr;despesas administrativas;Salários Administrativos;240405,07;Loja Sul
2024;abr;despesas comerciais;Salários Comerciais;193296,04;Loja Sul
2024;abr;despesas administrativas;Seguros;9715,75;Loja Sul
2024;abr;despesas administrativas;Sistemas e Licenças;19557,03;Loja Sul
2024;abr;despesas financeiras líquidas;Tarifas Bancárias;2421,46;Loja Sul
2024;abr;despesas administrativas;Treinamentos;4807,39;Loja Sul
2024;abr;despesas comerciais;Viagens Comerciais;24202,39;Loja Sul
2024;ago;despesas administrativas;Aluguel;50939,83;Loja Sul
2024;ago;CMV (custo da mercadoria vendida);CMV;2391889,52;Loja Sul
2024;ago;provisão para contribuição social;CSLL;42545,42;Loja Sul
2024;ago;despesas comerciais;Comissões;106980,95;Loja Sul
2024;ago;despesas administrativas;Contabilidade;12728,05;Loja Sul
2024;ago;despesas com depreciações e amortizações;Depreciação;42503,86;Loja Sul
2024;ago;despesas financeiras líquidas;Despesas Financeiras;17085,58;Loja Sul
2024;ago;devoluções de vendas;Devoluções;42765,28;Loja Sul
2024;ago;despesas administrativas;Energia Elétrica;16932,22;Loja Sul
2024;ago;CMV (custo da mercadoria vendida);Fretes de Produção;85631,56;Loja Sul
2024;ago;provisão para imposto de renda;IRPJ;127415,15;Loja Sul
2024;ago;despesas administrativas;Internet e Telefonia;8489,59;Loja Sul
2024;ago;receitas não operacionais;Juros Ativos;4232,02;Loja Sul
2024;ago;despesas financeiras líquidas;Juros Bancários;8523,46;Loja Sul
2024;ago;despesas administrativas;Manutenção;8546,12;Loja Sul
2024;ago;despesas comerciais;Marketing e Publicidade;84300,96;Loja Sul
2024;ago;CMV (custo da mercadoria vendida);Materiais e Insumos;213738,29;Loja Sul
2024;ago;despesas administrativas;Material de Escritório;4281,06;Loja Sul
2024;ago;CMV (custo da mercadoria vendida);Mão de Obra Direta;341618,52;Loja Sul
2024;ago;receita bruta de vendas;Outras Receitas Operacionais;42711,67;Loja Sul
2024;ago;despesas administrativas;Pró-Labore;63348,69;Loja Sul
2024;ago;receita bruta de vendas;Receita de Serviços;294329,87;Loja Sul
2024;ago;receita bruta de vendas;Receita de Vendas;3905277,11;Loja Sul
2024;ago;receitas não operacionais;Receitas Financeiras;12636,82;Loja Sul
2024;ago;despesas administrativas;Salários Administrativos;212641,48;Loja Sul
2024;ago;despesas comerciais;Salários Comerciais;167536,49;Loja Sul
2024;ago;despesas administrativas;Seguros;8397,12;Loja Sul
2024;ago;despesas administrativas;Sistemas e Licenças;17042,36;Loja Sul
2024;ago;despesas financeiras líquidas;Tarifas Bancárias;2109,46;Loja Sul
2024;ago;despesas administrativas;Treinamentos;4273,58;Loja Sul
2024;ago;despesas comerciais;Viagens Comerciais;21304,92;Loja Sul
2024;dez;despesas administrativas;Aluguel;84031,64;Loja Sul
2024;dez;CMV (custo da mercadoria vendida);CMV;3989186,74;Loja Sul
2024;dez;provisão para contribuição social;CSLL;70113,03;Loja Sul
2024;dez;despesas comerciais;Comissões;175291,8;Loja Sul
2024;dez;despesas administrativas;Contabilidade;20885,64;Loja Sul
2024;dez;despesas com depreciações e amortizações;Depreciação;70269,45;Loja Sul
2024;dez;despesas financeiras líquidas;Despesas Financeiras;27998,69;Loja Sul
2024;dez;devoluções de vendas;Devoluções;70114,71;Loja Sul
2024;dez;despesas administrativas;Energia Elétrica;27999,36;Loja Sul
2024;dez;CMV (custo da mercadoria vendida);Fretes de Produção;140037,4;Loja Sul
2024;dez;provisão para imposto de renda;IRPJ;209486,12;Loja Sul
2024;dez;despesas administrativas;Internet e Telefonia;13871,28;Loja Sul
2024;dez;receitas não operacionais;Juros Ativos;7059,34;Loja Sul
2024;dez;despesas financeiras líquidas;Juros Bancários;13886,05;Loja Sul
2024;dez;despesas administrativas;Manutenção;13825,96;Loja Sul
2024;dez;despesas comerciais;Marketing e Publicidade;138897,44;Loja Sul
2024;dez;CMV (custo da mercadoria vendida);Materiais e Insumos;350628,25;Loja Sul
2024;dez;despesas administrativas;Material de Escritório;6941,85;Loja Sul
2024;dez;CMV (custo da mercadoria vendida);Mão de Obra Direta;564097,88;Loja Sul
2024;dez;receita bruta de vendas;Outras Receitas Operacionais;71560,48;Loja Sul
2024;dez;despesas administrativas;Pró-Labore;106055,23;Loja Sul
2024;dez;receita bruta de vendas;Receita de Serviços;499368,48;Loja Sul
2024;dez;receita bruta de vendas;Receita de Vendas;6515877,9;Loja Sul
2024;dez;receitas não operacionais;Receitas Financeiras;21016,55;Loja Sul
2024;dez;despesas administrativas;Salários Administrativos;344730,03;Loja Sul
2024;dez;despesas comerciais;Salários Comerciais;281093,93;Loja Sul
