Produto;Categoria;Emissao;Quantidade;Vlr.Total;Filial;_data_ml;_periodo_ml;_periodo_val
PC000005;Arrefecimento;01/06/2024;5;2684,17;Loja Centro;2024-06-01;2024-06;2024-06
PC000005;Arrefecimento;01/07/2024;5;2684,17;Loja Centro;2024-07-01;2024-07;2024-07
PC000005;Arrefecimento;01/08/2024;4;2147,33;Loja Centro;2024-08-01;2024-08;2024-08
PC000005;Arrefecimento;01/09/2024;4;2147,33;Loja Centro;2024-09-01;2024-09;2024-09
PC000005;Arrefecimento;01/10/2024;4;2147,33;Loja Centro;2024-10-01;2024-10;2024-10
PC000005;Arrefecimento;01/11/2024;6;3221,0;Loja Centro;2024-11-01;2024-11;2024-11
PC000005;Arrefecimento;01/12/2024;7;3757,84;Loja Centro;2024-12-01;2024-12;2024-12
PC000005;Arrefecimento;01/01/2025;4;2147,33;Loja Centro;2025-01-01;2025-01;2025-01
PC000005;Arrefecimento;01/02/2025;5;2684,17;Loja Centro;2025-02-01;2025-02;2025-02
PC000005;Arrefecimento;01/03/2025;5;2684,17;Loja Centro;2025-03-01;2025-03;2025-03
PC000005;Arrefecimento;01/04/2025;5;2684,17;Loja Centro;2025-04-01;2025-04;2025-04
PC000005;Arrefecimento;01/05/2025;5;2684,17;Loja Centro;2025-05-01;2025-05;2025-05
PC000005;Arrefecimento;01/06/2025;4;2147,33;Loja Centro;2025-06-01;2025-06;2025-06
PC000005;Arrefecimento;01/07/2025;5;2684,17;Loja Centro;2025-07-01;2025-07;2025-07
PC000005;Arrefecimento;01/08/2025;4;2147,33;Loja Centro;2025-08-01;2025-08;2025-08
PC000005;Arrefecimento;01/09/2025;4;2147,33;Loja Centro;2025-09-01;2025-09;2025-09
PC000005;Arrefecimento;01/10/2025;4;2147,33;Loja Centro;2025-10-01;2025-10;2025-10
PC000005;Arrefecimento;01/11/2025;6;3221,0;Loja Centro;2025-11-01;2025-11;2025-11
PC000005;Arrefecimento;01/12/2025;8;4294,67;Loja Centro;2025-12-01;2025-12;2025-12
PC000005;Arrefecimento;01/01/2026;5;2684,17;Loja Centro;2026-01-01;2026-01;2026-01
PC000005;Arrefecimento;01/02/2026;5;2684,17;Loja Centro;2026-02-01;2026-02;2026-02
PC000005;Arrefecimento;01/03/2026;4;2147,33;Loja Centro;2026-03-01;2026-03;2026-03
PC000005;Arrefecimento;01/04/2026;4;2147,33;Loja Centro;2026-04-01;2026-04;2026-04
PC000005;Arrefecimento;01/05/2026;4;2147,33;Loja Centro;2026-05-01;2026-05;2026-05
PC000005;Arrefecimento;01/06/2026;5;2684,17;Loja Centro;2026-06-01;2026-06;2026-06
PC000005;Arrefecimento;01/07/2026;5;2684,17;Loja Centro;2026-07-01;2026-07;2026-07
PC000005;Arrefecimento;01/08/2026;4;2147,33;Loja Centro;2026-08-01;2026-08;2026-08
PC000006;Arrefecimento;01/09/2022;18;8628,39;Loja Centro;2022-09-01;2022-09;2022-09
PC000006;Arrefecimento;01/10/2022;17;8149,03;Loja Centro;2022-10-01;2022-10;2022-10
PC000006;Arrefecimento;01/11/2022;22;10545,81;Loja Centro;2022-11-01;2022-11;2022-11
PC000006;Arrefecimento;01/12/2022;24;11504,52;Loja Centro;2022-12-01;2022-12;2022-12
PC000006;Arrefecimento;01/01/2023;18;8628,39;Loja Centro;2023-01-01;2023-01;2023-01
PC000006;Arrefecimento;01/02/2023;18;8628,39;Loja Centro;2023-02-01;2023-02;2023-02
PC000006;Arrefecimento;01/03/2023;19;9107,74;Loja Centro;2023-03-01;2023-03;2023-03
PC000006;Arrefecimento;01/04/2023;21;10066,45;Loja Centro;2023-04-01;2023-04;2023-04
PC000006;Arrefecimento;01/05/2023;16;7669,68;Loja Centro;2023-05-01;2023-05;2023-05
PC000006;Arrefecimento;01/06/2023;18;8628,39;Loja Centro;2023-06-01;2023-06;2023-06
PC000006;Arrefecimento;01/07/2023;15;7190,32;Loja Centro;2023-07-01;2023-07;2023-07
PC000006;Arrefecimento;01/08/2023;13;6231,61;Loja Centro;2023-08-01;2023-08;2023-08
PC000006;Arrefecimento;01/09/2023;16;7669,68;Loja Centro;2023-09-01;2023-09;2023-09
PC000006;Arrefecimento;01/10/2023;16;7669,68;Loja Centro;2023-10-01;2023-10;2023-10
PC000006;Arrefecimento;01/11/2023;24;11504,52;Loja Centro;2023-11-01;2023-11;2023-11
PC000006;Arrefecimento;01/12/2023;27;12942,58;Loja Centro;2023-12-01;2023-12;2023-12
PC000006;Arrefecimento;01/01/2024;16;7669,68;Loja Centro;2024-01-01;2024-01;2024-01
PC000006;Arrefecimento;01/02/2024;17;8149,03;Loja Centro;2024-02-01;2024-02;2024-02
PC000006;Arrefecimento;01/03/2024;22;10545,81;Loja Centro;2024-03-01;2024-03;2024-03
PC000006;Arrefecimento;01/04/2024;17;8149,03;Loja Centro;2024-04-01;2024-04;2024-04
PC000006;Arrefecimento;01/05/2024;21;10066,45;Loja Centro;2024-05-01;2024-05;2024-05
PC000006;Arrefecimento;01/06/2024;20;9587,1;Loja Centro;2024-06-01;2024-06;2024-06
PC000006;Arrefecimento;01/07/2024;17;8149,03;Loja Centro;2024-07-01;2024-07;2024-07
PC000006;Arrefecimento;01/08/2024;16;7669,68;Loja Centro;2024-08-01;2024-08;2024-08
PC000006;Arrefecimento;01/09/2024;18;8628,39;Loja Centro;2024-09-01;2024-09;2024-09
PC000006;Arrefecimento;01/10/2024;16;7669,68;Loja Centro;2024-10-01;2024-10;2024-10
PC000006;Arrefecimento;01/11/2024;20;9587,1;Loja Centro;2024-11-01;2024-11;2024-11
PC000006;Arrefecimento;01/12/2024;30;14380,64;Loja Centro;2024-12-01;2024-12;2024-12
PC000006;Arrefecimento;01/01/2025;20;9587,1;Loja Centro;2025-01-01;2025-01;2025-01
PC000006;Arrefecimento;01/02/2025;22;10545,81;Loja Centro;2025-02-01;2025-02;2025-02
PC000006;Arrefecimento;01/03/2025;21;10066,45;Loja Centro;2025-03-01;2025-03;2025-03
PC000006;Arrefecimento;01/04/2025;19;9107,74;Loja Centro;2025-04-01;2025-04;2025-04
PC000006;Arrefecimento;01/05/2025;22;10545,81;Loja Centro;2025-05-01;2025-05;2025-05
PC000006;Arrefecimento;01/06/2025;21;10066,45;Loja Centro;2025-06-01;2025-06;2025-06
PC000006;Arrefecimento;01/07/2025;18;8628,39;Loja Centro;2025-07-01;2025-07;2025-07
PC000006;Arrefecimento;01/08/2025;17;8149,03;Loja Centro;2025-08-01;2025-08;2025-08
PC000006;Arrefecimento;01/09/2025;15;7190,32;Loja Centro;2025-09-01;2025-09;2025-09
PC000006;Arrefecimento;01/10/2025;16;7669,68;Loja Centro;2025-10-01;2025-10;2025-10
PC000006;Arrefecimento;01/11/2025;26;12463,23;Loja Centro;2025-11-01;2025-11;2025-11
PC000006;Arrefecimento;01/12/2025;28;13421,94;Loja Centro;2025-12-01;2025-12;2025-12
PC000006;Arrefecimento;01/01/2026;17;8149,03;Loja Centro;2026-01-01;2026-01;2026-01
PC000006;Arrefecimento;01/02/2026;24;11504,52;Loja Centro;2026-02-01;2026-02;2026-02
PC000006;Arrefecimento;01/03/2026;18;8628,39;Loja Centro;2026-03-01;2026-03;2026-03
PC000006;Arrefecimento;01/04/2026;24;11504,52;Loja Centro;2026-04-01;2026-04;2026-04
PC000006;Arrefecimento;01/05/2026;19;9107,74;Loja Centro;2026-05-01;2026-05;2026-05
PC000006;Arrefecimento;01/06/2026;19;9107,74;Loja Centro;2026-06-01;2026-06;2026-06
PC000006;Arrefecimento;01/07/2026;17;8149,03;Loja Centro;2026-07-01;2026-07;2026-07
PC000006;Arrefecimento;01/08/2026;19;9107,74;Loja Centro;2026-08-01;2026-08;2026-08
PC000007;Arrefecimento;01/09/2022;23;13114,73;Loja Centro;2022-09-01;2022-09;2022-09
PC000007;Arrefecimento;01/10/2022;31;17676,38;Loja Centro;2022-10-01;2022-10;2022-10
PC000007;Arrefecimento;01/11/2022;43;24518,84;Loja Centro;2022-11-01;2022-11;2022-11
PC000007;Arrefecimento;01/12/2022;51;29080,49;Loja Centro;2022-12-01;2022-12;2022-12
PC000007;Arrefecimento;01/01/2023;30;17106,17;Loja Centro;2023-01-01;2023-01;2023-01
PC000007;Arrefecimento;01/02/2023;33;18816,79;Loja Centro;2023-02-01;2023-02;2023-02
PC000007;Arrefecimento;01/03/2023;29;16535,96;Loja Centro;2023-03-01;2023-03;2023-03
PC000007;Arrefecimento;01/04/2023;36;20527,4;Loja Centro;2023-04-01;2023-04;2023-04
PC000007;Arrefecimento;01/05/2023;39;22238,02;Loja Centro;2023-05-01;2023-05;2023-05
PC000007;Arrefecimento;01/06/2023;26;14825,35;Loja Centro;2023-06-01;2023-06;2023-06
PC000007;Arrefecimento;01/07/2023;29;16535,96;Loja Centro;2023-07-01;2023-07;2023-07
PC000007;Arrefecimento;01/08/2023;30;17106,17;Loja Centro;2023-08-01;2023-08;2023-08
PC000007;Arrefecimento;01/09/2023;30;17106,17;Loja Centro;2023-09-01;2023-09;2023-09
PC000007;Arrefecimento;01/10/2023;33;18816,79;Loja Centro;2023-10-01;2023-10;2023-10
PC000007;Arrefecimento;01/11/2023;42;23948,64;Loja Centro;2023-11-01;2023-11;2023-11
PC000007;Arrefecimento;01/12/2023;49;27940,08;Loja Centro;2023-12-01;2023-12;2023-12
PC000007;Arrefecimento;01/01/2024;38;21667,81;Loja Centro;2024-01-01;2024-01;2024-01
PC000007;Arrefecimento;01/02/2024;38;21667,81;Loja Centro;2024-02-01;2024-02;2024-02
PC000007;Arrefecimento;01/03/2024;38;21667,81;Loja Centro;2024-03-01;2024-03;2024-03
PC000007;Arrefecimento;01/04/2024;36;20527,4;Loja Centro;2024-04-01;2024-04;2024-04
PC000007;Arrefecimento;01/05/2024;38;21667,81;Loja Centro;2024-05-01;2024-05;2024-05
PC000007;Arrefecimento;01/06/2024;31;17676,38;Loja Centro;2024-06-01;2024-06;2024-06
PC000007;Arrefecimento;01/07/2024;30;17106,17;Loja Centro;2024-07-01;2024-07;2024-07
PC000007;Arrefecimento;01/08/2024;34;19386,99;Loja Centro;2024-08-01;2024-08;2024-08
PC000007;Arrefecimento;01/09/2024;26;14825,35;Loja Centro;2024-09-01;2024-09;2024-09
PC000007;Arrefecimento;01/10/2024;32;18246,58;Loja Centro;2024-10-01;2024-10;2024-10
PC000007;Arrefecimento;01/11/2024;43;24518,84;Loja Centro;2024-11-01;2024-11;2024-11
PC000007;Arrefecimento;01/12/2024;45;25659,25;Loja Centro;2024-12-01;2024-12;2024-12
PC000007;Arrefecimento;01/01/2025;32;18246,58;Loja Centro;2025-01-01;2025-01;2025-01
PC000007;Arrefecimento;01/02/2025;36;20527,4;Loja Centro;2025-02-01;2025-02;2025-02
PC000007;Arrefecimento;01/03/2025;41;23378,43;Loja Centro;2025-03-01;2025-03;2025-03
PC000007;Arrefecimento;01/04/2025;35;19957,2;Loja Centro;2025-04-01;2025-04;2025-04
PC000007;Arrefecimento;01/05/2025;40;22808,23;Loja Centro;2025-05-01;2025-05;2025-05
PC000007;Arrefecimento;01/06/2025;35;19957,2;Loja Centro;2025-06-01;2025-06;2025-06
PC000007;Arrefecimento;01/07/2025;38;21667,81;Loja Centro;2025-07-01;2025-07;2025-07
PC000007;Arrefecimento;01/08/2025;31;17676,38;Loja Centro;2025-08-01;2025-08;2025-08
PC000007;Arrefecimento;01/09/2025;32;18246,58;Loja Centro;2025-09-01;2025-09;2025-09
PC000007;Arrefecimento;01/10/2025;34;19386,99;Loja Centro;2025-10-01;2025-10;2025-10
PC000007;Arrefecimento;01/11/2025;45;25659,25;Loja Centro;2025-11-01;2025-11;2025-11
PC000007;Arrefecimento;01/12/2025;60;34212,34;Loja Centro;2025-12-01;2025-12;2025-12
PC000007;Arrefecimento;01/01/2026;30;17106,17;Loja Centro;2026-01-01;2026-01;2026-01
PC000007;Arrefecimento;01/02/2026;45;25659,25;Loja Centro;2026-02-01;2026-02;2026-02
PC000007;Arrefecimento;01/03/2026;42;23948,64;Loja Centro;2026-03-01;2026-03;2026-03
PC000007;Arrefecimento;01/04/2026;38;21667,81;Loja Centro;2026-04-01;2026-04;2026-04
PC000007;Arrefecimento;01/05/2026;35;19957,2;Loja Centro;2026-05-01;2026-05;2026-05
PC000007;Arrefecimento;01/06/2026;33;18816,79;Loja Centro;2026-06-01;2026-06;2026-06
PC000007;Arrefecimento;01/07/2026;37;21097,61;Loja Centro;2026-07-01;2026-07;2026-07
PC000007;Arrefecimento;01/08/2026;37;21097,61;Loja Centro;2026-08-01;2026-08;2026-08
PC000011;Arrefecimento;01/09/2022;3;532,17;Loja Centro;2022-09-01;2022-09;2022-09
PC000011;Arrefecimento;01/10/2022;3;532,17;Loja Centro;2022-10-01;2022-10;2022-10
PC000011;Arrefecimento;01/11/2022;5;886,96;Loja Centro;2022-11-01;2022-11;2022-11
PC000011;Arrefecimento;01/12/2022;4;709,57;Loja Centro;2022-12-01;2022-12;2022-12
PC000011;Arrefecimento;01/01/2023;4;709,57;Loja Centro;2023-01-01;2023-01;2023-01
PC000011;Arrefecimento;01/02/2023;4;709,57;Loja Centro;2023-02-01;2023-02;2023-02
PC000011;Arrefecimento;01/03/2023;4;709,57;Loja Centro;2023-03-01;2023-03;2023-03
PC000011;Arrefecimento;01/04/2023;3;532,17;Loja Centro;2023-04-01;2023-04;2023-04
PC000011;Arrefecimento;01/05/2023;4;709,57;Loja Centro;2023-05-01;2023-05;2023-05
PC000011;Arrefecimento;01/06/2023;3;532,17;Loja Centro;2023-06-01;2023-06;2023-06
PC000011;Arrefecimento;01/07/2023;4;709,57;Loja Centro;2023-07-01;2023-07;2023-07
PC000011;Arrefecimento;01/08/2023;3;532,17;Loja Centro;2023-08-01;2023-08;2023-08
PC000011;Arrefecimento;01/09/2023;3;532,17;Loja Centro;2023-09-01;2023-09;2023-09
PC000011;Arrefecimento;01/10/2023;4;709,57;Loja Centro;2023-10-01;2023-10;2023-10
PC000011;Arrefecimento;01/11/2023;4;709,57;Loja Centro;2023-11-01;2023-11;2023-11
PC000011;Arrefecimento;01/12/2023;6;1064,35;Loja Centro;2023-12-01;2023-12;2023-12
PC000011;Arrefecimento;01/01/2024;4;709,57;Loja Centro;2024-01-01;2024-01;2024-01
PC000011;Arrefecimento;01/02/2024;4;709,57;Loja Centro;2024-02-01;2024-02;2024-02
PC000011;Arrefecimento;01/03/2024;4;709,57;Loja Centro;2024-03-01;2024-03;2024-03
PC000011;Arrefecimento;01/04/2024;5;886,96;Loja Centro;2024-04-01;2024-04;2024-04
PC000011;Arrefecimento;01/05/2024;4;709,57;Loja Centro;2024-05-01;2024-05;2024-05
PC000011;Arrefecimento;01/06/2024;4;709,57;Loja Centro;2024-06-01;2024-06;2024-06
PC000011;Arrefecimento;01/07/2024;3;532,17;Loja Centro;2024-07-01;2024-07;2024-07
PC000011;Arrefecimento;01/08/2024;3;532,17;Loja Centro;2024-08-01;2024-08;2024-08
PC000011;Arrefecimento;01/09/2024;3;532,17;Loja Centro;2024-09-01;2024-09;2024-09
PC000011;Arrefecimento;01/10/2024;4;709,57;Loja Centro;2024-10-01;2024-10;2024-10
PC000011;Arrefecimento;01/11/2024;5;886,96;Loja Centro;2024-11-01;2024-11;2024-11
PC000011;Arrefecimento;01/12/2024;6;1064,35;Loja Centro;2024-12-01;2024-12;2024-12
PC000011;Arrefecimento;01/01/2025;3;532,17;Loja Centro;2025-01-01;2025-01;2025-01
PC000011;Arrefecimento;01/02/2025;4;709,57;Loja Centro;2025-02-01;2025-02;2025-02
PC000011;Arrefecimento;01/03/2025;3;532,17;Loja Centro;2025-03-01;2025-03;2025-03
PC000011;Arrefecimento;01/04/2025;4;709,57;Loja Centro;2025-04-01;2025-04;2025-04
PC000011;Arrefecimento;01/05/2025;3;532,17;Loja Centro;2025-05-01;2025-05;2025-05
PC000011;Arrefecimento;01/06/2025;4;709,57;Loja Centro;2025-06-01;2025-06;2025-06
PC000011;Arrefecimento;01/07/2025;3;532,17;Loja Centro;2025-07-01;2025-07;2025-07
PC000011;Arrefecimento;01/08/2025;4;709,57;Loja Centro;2025-08-01;2025-08;2025-08
PC000011;Arrefecimento;01/09/2025;3;532,17;Loja Centro;2025-09-01;2025-09;2025-09
PC000011;Arrefecimento;01/10/2025;4;709,57;Loja Centro;2025-10-01;2025-10;2025-10
PC000011;Arrefecimento;01/11/2025;5;886,96;Loja Centro;2025-11-01;2025-11;2025-11
PC000011;Arrefecimento;01/12/2025;6;1064,35;Loja Centro;2025-12-01;2025-12;2025-12
PC000011;Arrefecimento;01/01/2026;4;709,57;Loja Centro;2026-01-01;2026-01;2026-01
PC000011;Arrefecimento;01/02/2026;5;886,96;Loja Centro;2026-02-01;2026-02;2026-02
PC000011;Arrefecimento;01/03/2026;3;532,17;Loja Centro;2026-03-01;2026-03;2026-03
PC000011;Arrefecimento;01/04/2026;4;709,57;Loja Centro;2026-04-01;2026-04;2026-04
PC000011;Arrefecimento;01/05/2026;4;709,57;Loja Centro;2026-05-01;2026-05;2026-05
PC000011;Arrefecimento;01/06/2026;4;709,57;Loja Centro;2026-06-01;2026-06;2026-06
PC000011;Arrefecimento;01/07/2026;4;709,57;Loja Centro;2026-07-01;2026-07;2026-07
PC000011;Arrefecimento;01/08/2026;4;709,57;Loja Centro;2026-08-01;2026-08;2026-08
PC000014;Arrefecimento;01/09/2022;7;276,86;Loja Centro;2022-09-01;2022-09;2022-09
PC000014;Arrefecimento;01/10/2022;11;435,06;Loja Centro;2022-10-01;2022-10;2022-10
PC000014;Arrefecimento;01/11/2022;14;553,71;Loja Centro;2022-11-01;2022-11;2022-11
PC000014;Arrefecimento;01/12/2022;18;711,92;Loja Centro;2022-12-01;2022-12;2022-12
PC000014;Arrefecimento;01/01/2023;11;435,06;Loja Centro;2023-01-01;2023-01;2023-01
PC000014;Arrefecimento;01/02/2023;9;355,96;Loja Centro;2023-02-01;2023-02;2023-02
PC000014;Arrefecimento;01/03/2023;11;435,06;Loja Centro;2023-03-01;2023-03;2023-03
PC000014;Arrefecimento;01/04/2023;9;355,96;Loja Centro;2023-04-01;2023-04;2023-04
PC000014;Arrefecimento;01/05/2023;12;474,61;Loja Centro;2023-05-01;2023-05;2023-05
PC000014;Arrefecimento;01/06/2023;9;355,96;Loja Centro;2023-06-01;2023-06;2023-06
PC000014;Arrefecimento;01/07/2023;8;316,41;Loja Centro;2023-07-01;2023-07;2023-07
PC000014;Arrefecimento;01/08/2023;8;316,41;Loja Centro;2023-08-01;2023-08;2023-08
PC000014;Arrefecimento;01/09/2023;9;355,96;Loja Centro;2023-09-01;2023-09;2023-09
PC000014;Arrefecimento;01/10/2023;8;316,41;Loja Centro;2023-10-01;2023-10;2023-10
PC000014;Arrefecimento;01/11/2023;11;435,06;Loja Centro;2023-11-01;2023-11;2023-11
PC000014;Arrefecimento;01/12/2023;18;711,92;Loja Centro;2023-12-01;2023-12;2023-12
PC000014;Arrefecimento;01/01/2024;11;435,06;Loja Centro;2024-01-01;2024-01;2024-01
PC000014;Arrefecimento;01/02/2024;11;435,06;Loja Centro;2024-02-01;2024-02;2024-02
PC000014;Arrefecimento;01/03/2024;12;474,61;Loja Centro;2024-03-01;2024-03;2024-03
PC000014;Arrefecimento;01/04/2024;11;435,06;Loja Centro;2024-04-01;2024-04;2024-04
PC000014;Arrefecimento;01/05/2024;9;355,96;Loja Centro;2024-05-01;2024-05;2024-05
PC000014;Arrefecimento;01/06/2024;8;316,41;Loja Centro;2024-06-01;2024-06;2024-06
PC000014;Arrefecimento;01/07/2024;9;355,96;Loja Centro;2024-07-01;2024-07;2024-07
PC000014;Arrefecimento;01/08/2024;10;395,51;Loja Centro;2024-08-01;2024-08;2024-08
PC000014;Arrefecimento;01/09/2024;8;316,41;Loja Centro;2024-09-01;2024-09;2024-09
PC000014;Arrefecimento;01/10/2024;9;355,96;Loja Centro;2024-10-01;2024-10;2024-10
PC000014;Arrefecimento;01/11/2024;14;553,71;Loja Centro;2024-11-01;2024-11;2024-11
PC000014;Arrefecimento;01/12/2024;16;632,81;Loja Centro;2024-12-01;2024-12;2024-12
PC000014;Arrefecimento;01/01/2025;11;435,06;Loja Centro;2025-01-01;2025-01;2025-01
PC000014;Arrefecimento;01/02/2025;11;435,06;Loja Centro;2025-02-01;2025-02;2025-02
PC000014;Arrefecimento;01/03/2025;11;435,06;Loja Centro;2025-03-01;2025-03;2025-03
PC000014;Arrefecimento;01/04/2025;12;474,61;Loja Centro;2025-04-01;2025-04;2025-04
PC000014;Arrefecimento;01/05/2025;9;355,96;Loja Centro;2025-05-01;2025-05;2025-05
PC000014;Arrefecimento;01/06/2025;10;395,51;Loja Centro;2025-06-01;2025-06;2025-06
PC000014;Arrefecimento;01/07/2025;8;316,41;Loja Centro;2025-07-01;2025-07;2025-07
PC000014;Arrefecimento;01/08/2025;7;276,86;Loja Centro;2025-08-01;2025-08;2025-08
PC000014;Arrefecimento;01/09/2025;9;355,96;Loja Centro;2025-09-01;2025-09;2025-09
PC000014;Arrefecimento;01/10/2025;10;395,51;Loja Centro;2025-10-01;2025-10;2025-10
PC000014;Arrefecimento;01/11/2025;15;593,26;Loja Centro;2025-11-01;2025-11;2025-11
PC000014;Arrefecimento;01/12/2025;18;711,92;Loja Centro;2025-12-01;2025-12;2025-12
PC000014;Arrefecimento;01/01/2026;12;474,61;Loja Centro;2026-01-01;2026-01;2026-01
PC000014;Arrefecimento;01/02/2026;11;435,06;Loja Centro;2026-02-01;2026-02;2026-02
PC000014;Arrefecimento;01/03/2026;11;435,06;Loja Centro;2026-03-01;2026-03;2026-03
PC000014;Arrefecimento;01/04/2026;9;355,96;Loja Centro;2026-04-01;2026-04;2026-04
PC000014;Arrefecimento;01/05/2026;10;395,51;Loja Centro;2026-05-01;2026-05;2026-05
PC000014;Arrefecimento;01/06/2026;11;435,06;Loja Centro;2026-06-01;2026-06;2026-06
PC000014;Arrefecimento;01/07/2026;10;395,51;Loja Centro;2026-07-01;2026-07;2026-07
PC000014;Arrefecimento;01/08/2026;8;316,41;Loja Centro;2026-08-01;2026-08;2026-08
PC000015;Arrefecimento;01/09/2022;20;12095,94;Loja Centro;2022-09-01;2022-09;2022-09
PC000015;Arrefecimento;01/10/2022;18;10886,35;Loja Centro;2022-10-01;2022-10;2022-10
PC000015;Arrefecimento;01/11/2022;29;17539,12;Loja Centro;2022-11-01;2022-11;2022-11
PC000015;Arrefecimento;01/12/2022;32;19353,51;Loja Centro;2022-12-01;2022-12;2022-12
PC000015;Arrefecimento;01/01/2023;19;11491,14;Loja Centro;2023-01-01;2023-01;2023-01
PC000015;Arrefecimento;01/02/2023;22;13305,54;Loja Centro;2023-02-01;2023-02;2023-02
PC000015;Arrefecimento;01/03/2023;19;11491,14;Loja Centro;2023-03-01;2023-03;2023-03
PC000015;Arrefecimento;01/04/2023;25;15119,93;Loja Centro;2023-04-01;2023-04;2023-04
PC000015;Arrefecimento;01/05/2023;23;13910,33;Loja Centro;2023-05-01;2023-05;2023-05
PC000015;Arrefecimento;01/06/2023;21;12700,74;Loja Centro;2023-06-01;2023-06;2023-06
PC000015;Arrefecimento;01/07/2023;24;14515,13;Loja Centro;2023-07-01;2023-07;2023-07
PC000015;Arrefecimento;01/08/2023;20;12095,94;Loja Centro;2023-08-01;2023-08;2023-08
PC000015;Arrefecimento;01/09/2023;17;10281,55;Loja Centro;2023-09-01;2023-09;2023-09
PC000015;Arrefecimento;01/10/2023;19;11491,14;Loja Centro;2023-10-01;2023-10;2023-10
PC000015;Arrefecimento;01/11/2023;33;19958,3;Loja Centro;2023-11-01;2023-11;2023-11
PC000015;Arrefecimento;01/12/2023;32;19353,51;Loja Centro;2023-12-01;2023-12;2023-12
PC000015;Arrefecimento;01/01/2024;24;14515,13;Loja Centro;2024-01-01;2024-01;2024-01
PC000015;Arrefecimento;01/02/2024;25;15119,93;Loja Centro;2024-02-01;2024-02;2024-02
PC000015;Arrefecimento;01/03/2024;25;15119,93;Loja Centro;2024-03-01;2024-03;2024-03
PC000015;Arrefecimento;01/04/2024;28;16934,32;Loja Centro;2024-04-01;2024-04;2024-04
PC000015;Arrefecimento;01/05/2024;20;12095,94;Loja Centro;2024-05-01;2024-05;2024-05
PC000015;Arrefecimento;01/06/2024;20;12095,94;Loja Centro;2024-06-01;2024-06;2024-06
PC000015;Arrefecimento;01/07/2024;19;11491,14;Loja Centro;2024-07-01;2024-07;2024-07
PC000015;Arrefecimento;01/08/2024;20;12095,94;Loja Centro;2024-08-01;2024-08;2024-08
PC000015;Arrefecimento;01/09/2024;23;13910,33;Loja Centro;2024-09-01;2024-09;2024-09
PC000015;Arrefecimento;01/10/2024;19;11491,14;Loja Centro;2024-10-01;2024-10;2024-10
PC000015;Arrefecimento;01/11/2024;33;19958,3;Loja Centro;2024-11-01;2024-11;2024-11
PC000015;Arrefecimento;01/12/2024;35;21167,9;Loja Centro;2024-12-01;2024-12;2024-12
PC000015;Arrefecimento;01/01/2025;21;12700,74;Loja Centro;2025-01-01;2025-01;2025-01
PC000015;Arrefecimento;01/02/2025;20;12095,94;Loja Centro;2025-02-01;2025-02;2025-02
PC000015;Arrefecimento;01/03/2025;21;12700,74;Loja Centro;2025-03-01;2025-03;2025-03
PC000015;Arrefecimento;01/04/2025;23;13910,33;Loja Centro;2025-04-01;2025-04;2025-04
PC000015;Arrefecimento;01/05/2025;24;14515,13;Loja Centro;2025-05-01;2025-05;2025-05
PC000015;Arrefecimento;01/06/2025;26;15724,72;Loja Centro;2025-06-01;2025-06;2025-06
